dataset,original_decision,in_multabench,accept_8of10,n_eligible_models,n_panels,pct_pass_ge3,pct_pass_ge4,pct_pass_eq5
BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT,accept,False,False,10,252,50.0,10.3,0.4
BIN_TEXT_PROFESSIONAL_FAKE_JOB_POSTING,accept,True,False,10,252,50.0,10.3,0.4
BIN_TEXT_PROFESSIONAL_KICKSTARTER_FUNDING,accept,True,True,10,252,100.0,100.0,100.0
BIN_TEXT_SOCIAL_IMDB_GENRE_PREDICTION,reject,False,False,10,252,0.0,0.0,0.0
BIN_TEXT_SOCIAL_JIGSAW_TOXICITY,accept,True,True,10,252,100.0,77.8,22.2
BIN_TEXT_TRANSPORTATION_OSHA_ACCIDENT_INJURY_DATA,reject,False,False,10,252,26.2,2.4,0.0
MUL_TEXT_CONSUMER_PRODUCT_SENTIMENT,accept,True,True,10,252,100.0,100.0,50.0
MUL_TEXT_CONSUMER_WOMEN_ECOMMERCE_CLOTHING_REVIEW,accept,True,True,10,252,100.0,100.0,100.0
MUL_TEXT_FOOD_MICHELIN_GUIDE_RESTAURANTS,accept,True,True,10,252,100.0,100.0,50.0
MUL_TEXT_FOOD_WINE_REVIEW,accept,True,True,8,56,100.0,100.0,100.0
MUL_TEXT_FOOD_YELP_REVIEWS,reject,False,False,10,252,0.0,0.0,0.0
MUL_TEXT_HOUSES_MELBOURNE_AIRBNB,reject,False,False,10,252,0.0,0.0,0.0
MUL_TEXT_PROFESSIONAL_DATA_SCIENTIST_SALARY,accept,True,True,10,252,100.0,77.8,22.2
MUL_TEXT_SOCIAL_GOOGLE_QA_TYPE_REASON,reject,False,False,10,252,0.0,0.0,0.0
MUL_TEXT_SOCIAL_HEARTHSTONE_CARD_GAME_WARCRAFT,accept,False,False,10,252,91.7,50.0,8.3
MUL_TEXT_SOCIAL_NEWS_CHANNEL_CATEGORY,accept,False,False,10,252,73.8,26.2,2.4
MUL_TEXT_SOCIAL_SPOTIFY_GENRES,accept,True,True,8,56,100.0,100.0,37.5
MUL_TEXT_TRANSPORTATION_US_ACCIDENTS_MARCH23,accept,True,True,10,252,100.0,100.0,50.0
REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES,reject,False,False,10,252,26.2,2.4,0.0
REG_TEXT_CONSUMER_BABIES_R_US_PRICES,accept,True,True,10,252,100.0,100.0,100.0
REG_TEXT_CONSUMER_BIKE_PRICE_BIKEWALE,reject,False,False,10,252,8.3,0.0,0.0
REG_TEXT_CONSUMER_BOOK_PRICE_PREDICTION,accept,True,False,10,252,91.7,50.0,8.3
REG_TEXT_CONSUMER_CAR_PRICE_CARDEKHO,reject,False,False,10,252,0.0,0.0,0.0
REG_TEXT_CONSUMER_JC_PENNEY_PRODUCT_PRICE,reject,False,False,10,252,8.3,0.0,0.0
REG_TEXT_CONSUMER_LAPTOP_INDIAN_PRICES,reject,False,False,10,252,0.0,0.0,0.0
REG_TEXT_CONSUMER_MERCARI_ONLINE_MARKETPLACE,accept,True,True,10,252,100.0,100.0,50.0
REG_TEXT_FOOD_ALCOHOL_WIKILIQ_PRICES,reject,False,False,10,252,26.2,2.4,0.0
REG_TEXT_FOOD_BEER_RATINGS,reject,False,False,10,252,0.0,0.0,0.0
REG_TEXT_FOOD_CHOCOLATE_BAR_RATINGS,reject,False,False,10,252,26.2,2.4,0.0
REG_TEXT_FOOD_COFFEE_REVIEW,reject,False,False,10,252,0.0,0.0,0.0
REG_TEXT_FOOD_RAMEN_RATINGS_2022,reject,False,False,10,252,0.0,0.0,0.0
REG_TEXT_FOOD_WINE_POLISH_MARKET_PRICES,reject,False,False,10,252,8.3,0.0,0.0
REG_TEXT_FOOD_WINE_VIVINO_SPAIN,reject,False,False,10,252,50.0,10.3,0.4
REG_TEXT_FOOD_ZOMATO_RESTAURANTS,accept,True,True,10,252,100.0,100.0,50.0
REG_TEXT_HOUSES_AIRBNB_SEATTLE,reject,False,False,10,252,0.0,0.0,0.0
REG_TEXT_HOUSES_CALIFORNIA_PRICES_2020,reject,False,False,10,252,8.3,0.0,0.0
REG_TEXT_HOUSES_SAN_FRANCISCO_PERMITS_APPLICATIONS,reject,False,False,10,252,8.3,0.0,0.0
REG_TEXT_PROFESSIONAL_COMPANY_EMPLOYEES_SIZE,reject,False,False,10,252,0.0,0.0,0.0
REG_TEXT_PROFESSIONAL_EMPLOYEE_RENUMERATION_VANCOUBER,accept,True,True,10,252,100.0,100.0,100.0
REG_TEXT_PROFESSIONAL_EMPLOYEE_SALARY_MONTGOMERY,accept,True,False,10,252,73.8,26.2,2.4
REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES,reject,False,False,10,252,8.3,0.0,0.0
REG_TEXT_PROFESSIONAL_SCIMAGOJR_ACADEMIC_IMPACT,accept,True,True,10,252,100.0,100.0,100.0
REG_TEXT_SOCIAL_ANIME_PLANET_RATING,reject,False,False,10,252,0.0,0.0,0.0
REG_TEXT_SOCIAL_BOOKS_GOODREADS,reject,False,False,10,252,0.0,0.0,0.0
REG_TEXT_SOCIAL_BOOK_READABILITY_CLEAR,accept,True,True,10,252,100.0,100.0,50.0
REG_TEXT_SOCIAL_FILMTV_MOVIE_RATING_ITALY,reject,False,False,10,252,0.0,0.0,0.0
REG_TEXT_SOCIAL_KOREAN_DRAMA,reject,False,False,10,252,8.3,0.0,0.0
REG_TEXT_SOCIAL_MOVIES_DATASET_REVENUE,reject,False,False,10,252,0.0,0.0,0.0
REG_TEXT_SOCIAL_MOVIES_ROTTEN_TOMATOES,accept,True,True,10,252,100.0,100.0,50.0
REG_TEXT_SOCIAL_MUSEUMS_US_REVENUES,reject,False,False,10,252,8.3,0.0,0.0
REG_TEXT_SOCIAL_VIDEO_GAMES_SALES,accept,True,True,10,252,100.0,77.8,22.2
REG_TEXT_SPORTS_FIFA22_WAGES,reject,False,False,10,252,50.0,10.3,0.4
REG_TEXT_SPORTS_NBA_DRAFT_VALUE_OVER_REPLACEMENT,reject,False,False,10,252,0.0,0.0,0.0
REG_TEXT_TRANSPORTATION_USED_CAR_MERCEDES_BENZ_ITALY,reject,False,False,10,252,8.3,0.0,0.0
REG_TEXT_TRANSPORTATION_USED_CAR_PAKISTAN,reject,False,False,10,252,8.3,0.0,0.0
REG_TEXT_TRANSPORTATION_USED_CAR_SAUDI_ARABIA,reject,False,False,10,252,26.2,2.4,0.0
