model,state,dataset,test_score,fold
CatBoost,all,BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT,0.906471638656008,0
CatBoost,all,BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT,0.9001164187030883,1
CatBoost,all,BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT,0.910127600572182,2
CatBoost,all,BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT,0.8969616958850033,3
CatBoost,all,BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT,0.9123647206039948,4
CatBoost,ft,BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT,0.910062551105352,0
CatBoost,ft,BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT,0.8996377177361923,1
CatBoost,ft,BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT,0.9074636406152864,2
CatBoost,ft,BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT,0.90049106241517,3
CatBoost,ft,BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT,0.9102168495794556,4
CatBoost,no_text,BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT,0.8604447190500164,0
CatBoost,no_text,BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT,0.8527736924286,1
CatBoost,no_text,BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT,0.8532165885976825,2
CatBoost,no_text,BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT,0.8500381183574902,3
CatBoost,no_text,BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT,0.8640347653185237,4
CatBoost,text_only,BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT,0.8844825654571447,0
CatBoost,text_only,BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT,0.8691658262239466,1
CatBoost,text_only,BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT,0.8951673396752807,2
CatBoost,text_only,BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT,0.874305673303635,3
CatBoost,text_only,BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT,0.8885305139733715,4
LightGBM,all,BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT,0.8820382159142731,0
LightGBM,all,BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT,0.8955231956694454,1
LightGBM,all,BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT,0.8977865883399696,2
LightGBM,all,BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT,0.8876950188181876,3
LightGBM,all,BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT,0.8632382628842439,4
