lea"Name","test_score","pca_components","model","fold","multimodal_state","User","Hostname","dataset_name","Created"
"tabpfnv2p5_REG_TEXT_ZOMATO_RESTAURANTS_4","0.8678198744996033","15","TabPFN-v2p5 🇩🇪","4","all","","n309","REG_TEXT_ZOMATO_RESTAURANTS","2026-04-14T13:23:39.000Z"
"tabpfnv2_REG_TEXT_ZOMATO_RESTAURANTS_4","0.7193821260895187","15","TabPFN-v2 🤯","4","all","","n309","REG_TEXT_ZOMATO_RESTAURANTS","2026-04-14T13:07:45.000Z"
"tabm_REG_TEXT_ZOMATO_RESTAURANTS_4","0.8339165061265671","15","TabM Ⓜ️","4","all","","n306","REG_TEXT_ZOMATO_RESTAURANTS","2026-04-14T12:14:02.000Z"
"cat_REG_TEXT_ZOMATO_RESTAURANTS_4","0.8134803301493247","15","CatBoost 😸","4","all","","n309","REG_TEXT_ZOMATO_RESTAURANTS","2026-04-14T11:02:18.000Z"
"light_REG_TEXT_ZOMATO_RESTAURANTS_4","0.7645985813902454","15","LightGBM 💡","4","all","","n305","REG_TEXT_ZOMATO_RESTAURANTS","2026-04-14T10:37:23.000Z"
"tabpfnv2p5_REG_TEXT_ZOMATO_RESTAURANTS_3","0.8733382058980315","15","TabPFN-v2p5 🇩🇪","3","all","","n305","REG_TEXT_ZOMATO_RESTAURANTS","2026-04-14T10:01:52.000Z"
"tabpfnv2_REG_TEXT_ZOMATO_RESTAURANTS_3","0.7328418877659568","15","TabPFN-v2 🤯","3","all","","n309","REG_TEXT_ZOMATO_RESTAURANTS","2026-04-14T09:26:40.000Z"
"tabm_REG_TEXT_ZOMATO_RESTAURANTS_3","0.8422822463164024","15","TabM Ⓜ️","3","all","","n309","REG_TEXT_ZOMATO_RESTAURANTS","2026-04-14T08:26:03.000Z"
"cat_REG_TEXT_ZOMATO_RESTAURANTS_3","0.8287768546573373","15","CatBoost 😸","3","all","","n305","REG_TEXT_ZOMATO_RESTAURANTS","2026-04-14T07:48:55.000Z"
"light_REG_TEXT_ZOMATO_RESTAURANTS_3","0.7743060093489407","15","LightGBM 💡","3","all","","n305","REG_TEXT_ZOMATO_RESTAURANTS","2026-04-14T07:07:23.000Z"
"tabpfnv2p5_REG_TEXT_ZOMATO_RESTAURANTS_2","0.8596548945170455","15","TabPFN-v2p5 🇩🇪","2","all","","n306","REG_TEXT_ZOMATO_RESTAURANTS","2026-04-14T06:50:14.000Z"
"tabpfnv2_REG_TEXT_ZOMATO_RESTAURANTS_2","0.7458331852857663","15","TabPFN-v2 🤯","2","all","","n309","REG_TEXT_ZOMATO_RESTAURANTS","2026-04-14T06:08:02.000Z"
"tabm_REG_TEXT_ZOMATO_RESTAURANTS_2","0.8342112107586684","15","TabM Ⓜ️","2","all","","n309","REG_TEXT_ZOMATO_RESTAURANTS","2026-04-14T05:23:19.000Z"
"cat_REG_TEXT_ZOMATO_RESTAURANTS_2","0.8179261958406522","15","CatBoost 😸","2","all","","n309","REG_TEXT_ZOMATO_RESTAURANTS","2026-04-14T05:08:53.000Z"
"light_REG_TEXT_ZOMATO_RESTAURANTS_2","0.7621224059651204","15","LightGBM 💡","2","all","","n305","REG_TEXT_ZOMATO_RESTAURANTS","2026-04-14T04:45:51.000Z"
"tabpfnv2p5_REG_TEXT_ZOMATO_RESTAURANTS_1","0.8646013074938445","15","TabPFN-v2p5 🇩🇪","1","all","","n306","REG_TEXT_ZOMATO_RESTAURANTS","2026-04-14T03:18:47.000Z"
