"Name","test_score","pca_components","model","fold","multimodal_state","User","Hostname","dataset_name","Created"
"tabpfnv2p5_REG_TEXT_ZOMATO_RESTAURANTS_4","0.8605532886658389","60","TabPFN-v2p5 🇩🇪","4","all","","n309","REG_TEXT_ZOMATO_RESTAURANTS","2026-04-14T13:29:07.000Z"
"tabpfnv2_REG_TEXT_ZOMATO_RESTAURANTS_4","0.6641679382279653","60","TabPFN-v2 🤯","4","all","","n305","REG_TEXT_ZOMATO_RESTAURANTS","2026-04-14T13:17:07.000Z"
"tabm_REG_TEXT_ZOMATO_RESTAURANTS_4","0.843828077522215","60","TabM Ⓜ️","4","all","","n306","REG_TEXT_ZOMATO_RESTAURANTS","2026-04-14T12:28:01.000Z"
"cat_REG_TEXT_ZOMATO_RESTAURANTS_4","0.8259379208556833","60","CatBoost 😸","4","all","","n305","REG_TEXT_ZOMATO_RESTAURANTS","2026-04-14T11:04:45.000Z"
"light_REG_TEXT_ZOMATO_RESTAURANTS_4","0.780667888663803","60","LightGBM 💡","4","all","","n305","REG_TEXT_ZOMATO_RESTAURANTS","2026-04-14T10:51:04.000Z"
"tabpfnv2p5_REG_TEXT_ZOMATO_RESTAURANTS_3","0.8666555810926262","60","TabPFN-v2p5 🇩🇪","3","all","","n306","REG_TEXT_ZOMATO_RESTAURANTS","2026-04-14T10:06:39.000Z"
"tabpfnv2_REG_TEXT_ZOMATO_RESTAURANTS_3","0.6777109730734585","60","TabPFN-v2 🤯","3","all","","n309","REG_TEXT_ZOMATO_RESTAURANTS","2026-04-14T09:41:29.000Z"
"tabm_REG_TEXT_ZOMATO_RESTAURANTS_3","0.856365361721899","60","TabM Ⓜ️","3","all","","n306","REG_TEXT_ZOMATO_RESTAURANTS","2026-04-14T08:29:14.000Z"
"cat_REG_TEXT_ZOMATO_RESTAURANTS_3","0.8361970304672564","60","CatBoost 😸","3","all","","n305","REG_TEXT_ZOMATO_RESTAURANTS","2026-04-14T08:03:23.000Z"
"light_REG_TEXT_ZOMATO_RESTAURANTS_3","0.7773184256421724","60","LightGBM 💡","3","all","","n305","REG_TEXT_ZOMATO_RESTAURANTS","2026-04-14T07:20:56.000Z"
"tabpfnv2p5_REG_TEXT_ZOMATO_RESTAURANTS_2","0.8575591627660842","60","TabPFN-v2p5 🇩🇪","2","all","","n305","REG_TEXT_ZOMATO_RESTAURANTS","2026-04-14T06:52:09.000Z"
"tabpfnv2_REG_TEXT_ZOMATO_RESTAURANTS_2","0.679266842863085","60","TabPFN-v2 🤯","2","all","","n305","REG_TEXT_ZOMATO_RESTAURANTS","2026-04-14T06:19:24.000Z"
"tabm_REG_TEXT_ZOMATO_RESTAURANTS_2","0.847310136803268","60","TabM Ⓜ️","2","all","","n306","REG_TEXT_ZOMATO_RESTAURANTS","2026-04-14T05:30:25.000Z"
"cat_REG_TEXT_ZOMATO_RESTAURANTS_2","0.8337380913463419","60","CatBoost 😸","2","all","","n309","REG_TEXT_ZOMATO_RESTAURANTS","2026-04-14T05:12:57.000Z"
"light_REG_TEXT_ZOMATO_RESTAURANTS_2","0.7818143950172157","60","LightGBM 💡","2","all","","n309","REG_TEXT_ZOMATO_RESTAURANTS","2026-04-14T04:58:56.000Z"
"tabpfnv2p5_REG_TEXT_ZOMATO_RESTAURANTS_1","0.8631557794356882","60","TabPFN-v2p5 🇩🇪","1","all","","n306","REG_TEXT_ZOMATO_RESTAURANTS","2026-04-14T03:33:13.000Z"
"tabpfnv2_REG_TEXT_ZOMATO_RESTAURANTS_1","0.6786551954788338","60","TabPFN-v2 🤯","1","all","","n306","REG_TEXT_ZOMATO_RESTAURANTS","2026-04-14T02:59:16.000Z"
"tabm_REG_TEXT_ZOMATO_RESTAURANTS_1","0.8499476207662904","60","TabM Ⓜ️","1","all","","n306","REG_TEXT_ZOMATO_RESTAURANTS","2026-04-14T02:45:15.000Z"
"cat_REG_TEXT_ZOMATO_RESTAURANTS_1","0.8313124075605336","60","CatBoost 😸","1","all","","n309","REG_TEXT_ZOMATO_RESTAURANTS","2026-04-14T02:39:27.000Z"
"light_REG_TEXT_ZOMATO_RESTAURANTS_1","0.7937179573807664","60","LightGBM 💡","1","all","","n305","REG_TEXT_ZOMATO_RESTAURANTS","2026-04-14T01:12:23.000Z"
