"Name","test_score","pca_components","model","fold","multimodal_state","User","Hostname","dataset_name","Created","Runtime"
"tabpfnv2p5_REG_TEXT_ZOMATO_RESTAURANTS_4","0.870107634217261","15","TabPFN-v2p5 🇩🇪","4","ft","","n305","REG_TEXT_ZOMATO_RESTAURANTS","2026-04-14T13:36:41.000Z","9063"
"tabpfnv2_REG_TEXT_ZOMATO_RESTAURANTS_4","0.746105073387525","15","TabPFN-v2 🤯","4","ft","","n309","REG_TEXT_ZOMATO_RESTAURANTS","2026-04-14T13:19:42.000Z","12673"
"tabm_REG_TEXT_ZOMATO_RESTAURANTS_4","0.8490937021534628","15","TabM Ⓜ️","4","ft","","n306","REG_TEXT_ZOMATO_RESTAURANTS","2026-04-14T12:41:44.000Z","4464"
"cat_REG_TEXT_ZOMATO_RESTAURANTS_4","0.8375308206303155","15","CatBoost 😸","4","ft","","n305","REG_TEXT_ZOMATO_RESTAURANTS","2026-04-14T11:20:17.000Z","4476"
"light_REG_TEXT_ZOMATO_RESTAURANTS_4","0.7993051872927383","15","LightGBM 💡","4","ft","","n309","REG_TEXT_ZOMATO_RESTAURANTS","2026-04-14T10:58:08.000Z","4454"
"tabpfnv2p5_REG_TEXT_ZOMATO_RESTAURANTS_3","0.8669963588625459","15","TabPFN-v2p5 🇩🇪","3","ft","","n305","REG_TEXT_ZOMATO_RESTAURANTS","2026-04-14T10:16:20.000Z","10840"
"tabpfnv2_REG_TEXT_ZOMATO_RESTAURANTS_3","0.7688377363658057","15","TabPFN-v2 🤯","3","ft","","n305","REG_TEXT_ZOMATO_RESTAURANTS","2026-04-14T09:51:08.000Z","10850"
"tabm_REG_TEXT_ZOMATO_RESTAURANTS_3","0.8541864252917313","15","TabM Ⓜ️","3","ft","","n309","REG_TEXT_ZOMATO_RESTAURANTS","2026-04-14T08:40:25.000Z","8255"
"cat_REG_TEXT_ZOMATO_RESTAURANTS_3","0.8378856838546455","15","CatBoost 😸","3","ft","","n309","REG_TEXT_ZOMATO_RESTAURANTS","2026-04-14T08:05:07.000Z","8222"
"light_REG_TEXT_ZOMATO_RESTAURANTS_3","0.7994411745839742","15","LightGBM 💡","3","ft","","n305","REG_TEXT_ZOMATO_RESTAURANTS","2026-04-14T07:34:35.000Z","8184"
"tabpfnv2p5_REG_TEXT_ZOMATO_RESTAURANTS_2","0.8498380250221398","15","TabPFN-v2p5 🇩🇪","2","ft","","n309","REG_TEXT_ZOMATO_RESTAURANTS","2026-04-14T07:00:51.000Z","14478"
"tabpfnv2_REG_TEXT_ZOMATO_RESTAURANTS_2","0.7476163560395668","15","TabPFN-v2 🤯","2","ft","","n309","REG_TEXT_ZOMATO_RESTAURANTS","2026-04-14T06:23:18.000Z","10996"
