"Name","test_score","fold","model","multimodal_state","dataset","Created","no_pca"
"light_REG_TEXT_VIDEO_GAMES_SALES_4","0.3539680573496138","4","LightGBM 💡","ft","REG_TEXT_VIDEO_GAMES_SALES","2026-04-15T21:17:17.000Z","true"
"light_REG_TEXT_VIDEO_GAMES_SALES_4","0.20201155165160736","4","LightGBM 💡","all","REG_TEXT_VIDEO_GAMES_SALES","2026-04-15T21:16:20.000Z","true"
"cat_REG_TEXT_VIDEO_GAMES_SALES_4","0.3501502158756088","4","CatBoost 😸","ft","REG_TEXT_VIDEO_GAMES_SALES","2026-04-15T21:15:51.000Z","true"
"cat_REG_TEXT_VIDEO_GAMES_SALES_4","0.26047480361190023","4","CatBoost 😸","all","REG_TEXT_VIDEO_GAMES_SALES","2026-04-15T21:14:17.000Z","true"
"light_REG_TEXT_VIDEO_GAMES_SALES_3","0.2913630299606339","3","LightGBM 💡","ft","REG_TEXT_VIDEO_GAMES_SALES","2026-04-15T21:13:24.000Z","true"
"light_REG_TEXT_VIDEO_GAMES_SALES_3","0.33993867060080885","3","LightGBM 💡","all","REG_TEXT_VIDEO_GAMES_SALES","2026-04-15T21:10:41.000Z","true"
"cat_REG_TEXT_VIDEO_GAMES_SALES_3","0.39272314535046415","3","CatBoost 😸","ft","REG_TEXT_VIDEO_GAMES_SALES","2026-04-15T21:08:01.000Z","true"
"cat_REG_TEXT_VIDEO_GAMES_SALES_3","0.4307584182224384","3","CatBoost 😸","all","REG_TEXT_VIDEO_GAMES_SALES","2026-04-15T21:04:43.000Z","true"
"light_REG_TEXT_VIDEO_GAMES_SALES_2","0.4675707476304066","2","LightGBM 💡","ft","REG_TEXT_VIDEO_GAMES_SALES","2026-04-15T21:01:57.000Z","true"
"light_REG_TEXT_VIDEO_GAMES_SALES_2","0.3410955659833831","2","LightGBM 💡","all","REG_TEXT_VIDEO_GAMES_SALES","2026-04-15T21:01:28.000Z","true"
"cat_REG_TEXT_VIDEO_GAMES_SALES_2","0.5043231644430284","2","CatBoost 😸","ft","REG_TEXT_VIDEO_GAMES_SALES","2026-04-15T20:57:36.000Z","true"
"cat_REG_TEXT_VIDEO_GAMES_SALES_2","0.43663002948756147","2","CatBoost 😸","all","REG_TEXT_VIDEO_GAMES_SALES","2026-04-15T20:54:43.000Z","true"
"light_REG_TEXT_VIDEO_GAMES_SALES_1","0.4520076343411642","1","LightGBM 💡","ft","REG_TEXT_VIDEO_GAMES_SALES","2026-04-15T20:53:47.000Z","true"
"light_REG_TEXT_VIDEO_GAMES_SALES_1","0.33323701403154504","1","LightGBM 💡","all","REG_TEXT_VIDEO_GAMES_SALES","2026-04-15T20:53:43.000Z","true"
"cat_REG_TEXT_VIDEO_GAMES_SALES_1","0.3938989886679177","1","CatBoost 😸","ft","REG_TEXT_VIDEO_GAMES_SALES","2026-04-15T20:50:50.000Z","true"
"cat_REG_TEXT_VIDEO_GAMES_SALES_1","0.24667658564127928","1","CatBoost 😸","all","REG_TEXT_VIDEO_GAMES_SALES","2026-04-15T20:50:11.000Z","true"
"light_REG_TEXT_VIDEO_GAMES_SALES_0","0.4518347195226029","0","LightGBM 💡","ft","REG_TEXT_VIDEO_GAMES_SALES","2026-04-15T20:49:12.000Z","true"
"light_REG_TEXT_VIDEO_GAMES_SALES_0","0.428790433541644","0","LightGBM 💡","all","REG_TEXT_VIDEO_GAMES_SALES","2026-04-15T20:48:22.000Z","true"
"cat_REG_TEXT_VIDEO_GAMES_SALES_0","0.4838661513764537","0","CatBoost 😸","ft","REG_TEXT_VIDEO_GAMES_SALES","2026-04-15T20:46:16.000Z","true"
"cat_REG_TEXT_VIDEO_GAMES_SALES_0","0.4820881683300825","0","CatBoost 😸","all","REG_TEXT_VIDEO_GAMES_SALES","2026-04-15T20:45:24.000Z","true"
"light_REG_TEXT_VANCOUVER_SALARIES_4","0.8032169194590959","4","LightGBM 💡","ft","REG_TEXT_VANCOUVER_SALARIES","2026-04-15T20:41:23.000Z","true"
"light_REG_TEXT_VANCOUVER_SALARIES_4","0.7759610034105208","4","LightGBM 💡","all","REG_TEXT_VANCOUVER_SALARIES","2026-04-15T20:38:50.000Z","true"
"cat_REG_TEXT_VANCOUVER_SALARIES_4","0.8181701699285622","4","CatBoost 😸","ft","REG_TEXT_VANCOUVER_SALARIES","2026-04-15T20:36:24.000Z","true"
"cat_REG_TEXT_VANCOUVER_SALARIES_4","0.7964442338030576","4","CatBoost 😸","all","REG_TEXT_VANCOUVER_SALARIES","2026-04-15T20:35:35.000Z","true"
"light_REG_TEXT_VANCOUVER_SALARIES_3","0.7680145721936699","3","LightGBM 💡","ft","REG_TEXT_VANCOUVER_SALARIES","2026-04-15T20:34:28.000Z","true"
"light_REG_TEXT_VANCOUVER_SALARIES_3","0.7589007152200048","3","LightGBM 💡","all","REG_TEXT_VANCOUVER_SALARIES","2026-04-15T20:33:03.000Z","true"
"cat_REG_TEXT_VANCOUVER_SALARIES_3","0.790940597368698","3","CatBoost 😸","ft","REG_TEXT_VANCOUVER_SALARIES","2026-04-15T20:30:26.000Z","true"
"cat_REG_TEXT_VANCOUVER_SALARIES_3","0.7856337609041545","3","CatBoost 😸","all","REG_TEXT_VANCOUVER_SALARIES","2026-04-15T20:29:53.000Z","true"
"light_REG_TEXT_VANCOUVER_SALARIES_2","0.7480386292817109","2","LightGBM 💡","ft","REG_TEXT_VANCOUVER_SALARIES","2026-04-15T20:21:04.000Z","true"
"light_REG_TEXT_VANCOUVER_SALARIES_2","0.7265470535677727","2","LightGBM 💡","all","REG_TEXT_VANCOUVER_SALARIES","2026-04-15T20:18:21.000Z","true"
"cat_REG_TEXT_VANCOUVER_SALARIES_2","0.760409041551438","2","CatBoost 😸","ft","REG_TEXT_VANCOUVER_SALARIES","2026-04-15T20:16:03.000Z","true"
"cat_REG_TEXT_VANCOUVER_SALARIES_2","0.754468013263607","2","CatBoost 😸","all","REG_TEXT_VANCOUVER_SALARIES","2026-04-15T20:13:03.000Z","true"
"light_REG_TEXT_VANCOUVER_SALARIES_1","0.7811908114056916","1","LightGBM 💡","ft","REG_TEXT_VANCOUVER_SALARIES","2026-04-15T20:12:40.000Z","true"
"light_REG_TEXT_VANCOUVER_SALARIES_1","0.741060992465892","1","LightGBM 💡","all","REG_TEXT_VANCOUVER_SALARIES","2026-04-15T20:10:04.000Z","true"
"cat_REG_TEXT_VANCOUVER_SALARIES_1","0.7844000572127354","1","CatBoost 😸","ft","REG_TEXT_VANCOUVER_SALARIES","2026-04-15T20:08:22.000Z","true"
"cat_REG_TEXT_VANCOUVER_SALARIES_1","0.7722285707804954","1","CatBoost 😸","all","REG_TEXT_VANCOUVER_SALARIES","2026-04-15T20:06:43.000Z","true"
"light_REG_TEXT_VANCOUVER_SALARIES_0","0.7966095706704753","0","LightGBM 💡","ft","REG_TEXT_VANCOUVER_SALARIES","2026-04-15T20:05:55.000Z","true"
"light_REG_TEXT_VANCOUVER_SALARIES_0","0.7796520572202442","0","LightGBM 💡","all","REG_TEXT_VANCOUVER_SALARIES","2026-04-15T20:04:05.000Z","true"
"cat_REG_TEXT_VANCOUVER_SALARIES_0","0.8087553671353997","0","CatBoost 😸","ft","REG_TEXT_VANCOUVER_SALARIES","2026-04-15T20:04:01.000Z","true"
"cat_REG_TEXT_VANCOUVER_SALARIES_0","0.7968997474409251","0","CatBoost 😸","all","REG_TEXT_VANCOUVER_SALARIES","2026-04-15T19:58:18.000Z","true"
"light_REG_TEXT_MONTGOMERY_SALARIES_4","0.9639081142019398","4","LightGBM 💡","ft","REG_TEXT_MONTGOMERY_SALARIES","2026-04-15T19:45:46.000Z","true"
"light_REG_TEXT_MONTGOMERY_SALARIES_4","0.9681487680355118","4","LightGBM 💡","all","REG_TEXT_MONTGOMERY_SALARIES","2026-04-15T19:40:50.000Z","true"
"cat_REG_TEXT_MONTGOMERY_SALARIES_4","0.9669497653465234","4","CatBoost 😸","ft","REG_TEXT_MONTGOMERY_SALARIES","2026-04-15T19:35:35.000Z","true"
"cat_REG_TEXT_MONTGOMERY_SALARIES_4","0.9671822828429716","4","CatBoost 😸","all","REG_TEXT_MONTGOMERY_SALARIES","2026-04-15T19:30:51.000Z","true"
"light_REG_TEXT_MONTGOMERY_SALARIES_3","0.98072054795985","3","LightGBM 💡","ft","REG_TEXT_MONTGOMERY_SALARIES","2026-04-15T19:28:33.000Z","true"
"light_REG_TEXT_MONTGOMERY_SALARIES_3","0.976892714904832","3","LightGBM 💡","all","REG_TEXT_MONTGOMERY_SALARIES","2026-04-15T19:24:41.000Z","true"
"cat_REG_TEXT_MONTGOMERY_SALARIES_3","0.9817430394364915","3","CatBoost 😸","ft","REG_TEXT_MONTGOMERY_SALARIES","2026-04-15T19:20:30.000Z","true"
"cat_REG_TEXT_MONTGOMERY_SALARIES_3","0.975628653617366","3","CatBoost 😸","all","REG_TEXT_MONTGOMERY_SALARIES","2026-04-15T19:20:02.000Z","true"
"light_REG_TEXT_MONTGOMERY_SALARIES_2","0.9687752783950492","2","LightGBM 💡","ft","REG_TEXT_MONTGOMERY_SALARIES","2026-04-15T19:18:23.000Z","true"
"light_REG_TEXT_MONTGOMERY_SALARIES_2","0.9737188153469234","2","LightGBM 💡","all","REG_TEXT_MONTGOMERY_SALARIES","2026-04-15T19:16:04.000Z","true"
"cat_REG_TEXT_MONTGOMERY_SALARIES_2","0.9688117423371276","2","CatBoost 😸","ft","REG_TEXT_MONTGOMERY_SALARIES","2026-04-15T19:15:02.000Z","true"
"cat_REG_TEXT_MONTGOMERY_SALARIES_2","0.9748565752100048","2","CatBoost 😸","all","REG_TEXT_MONTGOMERY_SALARIES","2026-04-15T19:11:25.000Z","true"
"light_REG_TEXT_MONTGOMERY_SALARIES_1","0.954753515539132","1","LightGBM 💡","ft","REG_TEXT_MONTGOMERY_SALARIES","2026-04-15T19:11:21.000Z","true"
"light_REG_TEXT_MONTGOMERY_SALARIES_1","0.95240546787627","1","LightGBM 💡","all","REG_TEXT_MONTGOMERY_SALARIES","2026-04-15T19:11:09.000Z","true"
"cat_REG_TEXT_MONTGOMERY_SALARIES_1","0.9598098978560928","1","CatBoost 😸","ft","REG_TEXT_MONTGOMERY_SALARIES","2026-04-15T19:10:33.000Z","true"
"cat_REG_TEXT_MONTGOMERY_SALARIES_1","0.951287665556591","1","CatBoost 😸","all","REG_TEXT_MONTGOMERY_SALARIES","2026-04-15T19:10:04.000Z","true"
"light_REG_TEXT_MONTGOMERY_SALARIES_0","0.979935224663994","0","LightGBM 💡","ft","REG_TEXT_MONTGOMERY_SALARIES","2026-04-15T19:09:21.000Z","true"
"light_REG_TEXT_MONTGOMERY_SALARIES_0","0.9765639118579614","0","LightGBM 💡","all","REG_TEXT_MONTGOMERY_SALARIES","2026-04-15T19:06:11.000Z","true"
"cat_REG_TEXT_MONTGOMERY_SALARIES_0","0.9798816943241104","0","CatBoost 😸","ft","REG_TEXT_MONTGOMERY_SALARIES","2026-04-15T19:02:10.000Z","true"
"cat_REG_TEXT_MONTGOMERY_SALARIES_0","0.9799517235876598","0","CatBoost 😸","all","REG_TEXT_MONTGOMERY_SALARIES","2026-04-15T19:02:06.000Z","true"
"cat_REG_TEXT_BOOK_PRICE_3","0.48650276040366947","3","CatBoost 😸","all","REG_TEXT_BOOK_PRICE","2026-04-15T19:01:26.000Z","true"
"light_REG_TEXT_BOOK_PRICE_4","0.5313715431045809","4","LightGBM 💡","ft","REG_TEXT_BOOK_PRICE","2026-04-15T19:01:18.000Z","true"
"light_REG_TEXT_BOOK_PRICE_4","0.4662322850185753","4","LightGBM 💡","all","REG_TEXT_BOOK_PRICE","2026-04-15T18:59:00.000Z","true"
"cat_REG_TEXT_BOOK_PRICE_4","0.5548839160415642","4","CatBoost 😸","ft","REG_TEXT_BOOK_PRICE","2026-04-15T18:54:23.000Z","true"
"cat_REG_TEXT_BOOK_PRICE_4","0.4980506021034404","4","CatBoost 😸","all","REG_TEXT_BOOK_PRICE","2026-04-15T18:52:23.000Z","true"
"light_REG_TEXT_BOOK_PRICE_3","0.5407988273538572","3","LightGBM 💡","ft","REG_TEXT_BOOK_PRICE","2026-04-15T18:51:15.000Z","true"
"light_REG_TEXT_BOOK_PRICE_3","0.4307429011536795","3","LightGBM 💡","all","REG_TEXT_BOOK_PRICE","2026-04-15T18:49:24.000Z","true"
"cat_REG_TEXT_BOOK_PRICE_3","0.5544806492218385","3","CatBoost 😸","ft","REG_TEXT_BOOK_PRICE","2026-04-15T18:49:14.000Z","true"
"light_REG_TEXT_BOOK_PRICE_2","0.542462202787556","2","LightGBM 💡","ft","REG_TEXT_BOOK_PRICE","2026-04-15T18:46:30.000Z","true"
"light_REG_TEXT_BOOK_PRICE_2","0.4943220601002035","2","LightGBM 💡","all","REG_TEXT_BOOK_PRICE","2026-04-15T18:43:30.000Z","true"
"cat_REG_TEXT_BOOK_PRICE_2","0.5440701217334534","2","CatBoost 😸","ft","REG_TEXT_BOOK_PRICE","2026-04-15T18:40:29.000Z","true"
"cat_REG_TEXT_BOOK_PRICE_2","0.5419336523845109","2","CatBoost 😸","all","REG_TEXT_BOOK_PRICE","2026-04-15T18:40:22.000Z","true"
"light_REG_TEXT_BOOK_PRICE_1","0.5680220669215332","1","LightGBM 💡","ft","REG_TEXT_BOOK_PRICE","2026-04-15T18:38:36.000Z","true"
"light_REG_TEXT_BOOK_PRICE_1","0.506512913910078","1","LightGBM 💡","all","REG_TEXT_BOOK_PRICE","2026-04-15T18:37:16.000Z","true"
"cat_REG_TEXT_BOOK_PRICE_1","0.5827061010709246","1","CatBoost 😸","ft","REG_TEXT_BOOK_PRICE","2026-04-15T18:36:21.000Z","true"
"cat_REG_TEXT_BOOK_PRICE_1","0.5547548360141562","1","CatBoost 😸","all","REG_TEXT_BOOK_PRICE","2026-04-15T18:32:37.000Z","true"
"light_REG_TEXT_BOOK_PRICE_0","0.5526959930417858","0","LightGBM 💡","ft","REG_TEXT_BOOK_PRICE","2026-04-15T18:31:15.000Z","true"
"light_REG_TEXT_BOOK_PRICE_0","0.5073187191956305","0","LightGBM 💡","all","REG_TEXT_BOOK_PRICE","2026-04-15T18:27:59.000Z","true"
"cat_REG_TEXT_BOOK_PRICE_0","0.5806015571838551","0","CatBoost 😸","ft","REG_TEXT_BOOK_PRICE","2026-04-15T18:20:15.000Z","true"
"cat_REG_TEXT_BOOK_PRICE_0","0.5343432917715074","0","CatBoost 😸","all","REG_TEXT_BOOK_PRICE","2026-04-15T18:15:14.000Z","true"
"light_REG_TEXT_BABIES_PRICES_4","0.8383729512805137","4","LightGBM 💡","ft","REG_TEXT_BABIES_PRICES","2026-04-15T18:13:12.000Z","true"
"light_REG_TEXT_BABIES_PRICES_4","0.8098672714044787","4","LightGBM 💡","all","REG_TEXT_BABIES_PRICES","2026-04-15T18:12:23.000Z","true"
"cat_REG_TEXT_BABIES_PRICES_4","0.8703613693462646","4","CatBoost 😸","ft","REG_TEXT_BABIES_PRICES","2026-04-15T18:03:59.000Z","true"
"cat_REG_TEXT_BABIES_PRICES_4","0.8424152938169224","4","CatBoost 😸","all","REG_TEXT_BABIES_PRICES","2026-04-15T17:56:02.000Z","true"
"light_REG_TEXT_BABIES_PRICES_3","0.8644886402766228","3","LightGBM 💡","ft","REG_TEXT_BABIES_PRICES","2026-04-15T17:54:59.000Z","true"
