"Name","test_score","fold","multimodal_state","model","Created","dataset","Runtime","e5_model"
"tabpfnv2p5_REG_TEXT_ZOMATO_RESTAURANTS_4","0.880185043795142","4","all","TabPFN-v2p5 🇩🇪","2026-04-14T06:25:38.000Z","REG_TEXT_ZOMATO_RESTAURANTS","281","tf-idf"
"tabpfnv2_REG_TEXT_ZOMATO_RESTAURANTS_4","0.7252755594835771","4","all","TabPFN-v2 🤯","2026-04-14T06:19:46.000Z","REG_TEXT_ZOMATO_RESTAURANTS","344","tf-idf"
"tabm_REG_TEXT_ZOMATO_RESTAURANTS_4","0.8576391933279559","4","all","TabM Ⓜ️","2026-04-14T06:16:00.000Z","REG_TEXT_ZOMATO_RESTAURANTS","219","tf-idf"
"cat_REG_TEXT_ZOMATO_RESTAURANTS_4","0.8383733395647837","4","all","CatBoost 😸","2026-04-14T06:12:24.000Z","REG_TEXT_ZOMATO_RESTAURANTS","212","tf-idf"
"light_REG_TEXT_ZOMATO_RESTAURANTS_4","0.7887344332293216","4","all","LightGBM 💡","2026-04-14T06:09:09.000Z","REG_TEXT_ZOMATO_RESTAURANTS","191","tf-idf"
"tabpfnv2p5_REG_TEXT_ZOMATO_RESTAURANTS_3","0.8776077988847684","3","all","TabPFN-v2p5 🇩🇪","2026-04-14T06:04:36.000Z","REG_TEXT_ZOMATO_RESTAURANTS","269","tf-idf"
"tabpfnv2_REG_TEXT_ZOMATO_RESTAURANTS_3","0.7451078855204338","3","all","TabPFN-v2 🤯","2026-04-14T05:52:07.000Z","REG_TEXT_ZOMATO_RESTAURANTS","337","tf-idf"
"tabm_REG_TEXT_ZOMATO_RESTAURANTS_3","0.8520787715221668","3","all","TabM Ⓜ️","2026-04-14T05:48:15.000Z","REG_TEXT_ZOMATO_RESTAURANTS","225","tf-idf"
"cat_REG_TEXT_ZOMATO_RESTAURANTS_3","0.8300159144576378","3","all","CatBoost 😸","2026-04-14T05:44:40.000Z","REG_TEXT_ZOMATO_RESTAURANTS","209","tf-idf"
"light_REG_TEXT_ZOMATO_RESTAURANTS_3","0.7858258709837166","3","all","LightGBM 💡","2026-04-14T05:41:25.000Z","REG_TEXT_ZOMATO_RESTAURANTS","190","tf-idf"
"tabpfnv2p5_REG_TEXT_ZOMATO_RESTAURANTS_2","0.8520087080072636","2","all","TabPFN-v2p5 🇩🇪","2026-04-14T05:36:46.000Z","REG_TEXT_ZOMATO_RESTAURANTS","276","tf-idf"
"tabpfnv2_REG_TEXT_ZOMATO_RESTAURANTS_2","0.7443680983130438","2","all","TabPFN-v2 🤯","2026-04-14T05:31:04.000Z","REG_TEXT_ZOMATO_RESTAURANTS","336","tf-idf"
"tabm_REG_TEXT_ZOMATO_RESTAURANTS_2","0.8407111393998917","2","all","TabM Ⓜ️","2026-04-14T05:27:07.000Z","REG_TEXT_ZOMATO_RESTAURANTS","232","tf-idf"
"cat_REG_TEXT_ZOMATO_RESTAURANTS_2","0.8183880207380254","2","all","CatBoost 😸","2026-04-14T05:23:32.000Z","REG_TEXT_ZOMATO_RESTAURANTS","211","tf-idf"
"light_REG_TEXT_ZOMATO_RESTAURANTS_2","0.7730062407686599","2","all","LightGBM 💡","2026-04-14T05:20:12.000Z","REG_TEXT_ZOMATO_RESTAURANTS","195","tf-idf"
"tabpfnv2p5_REG_TEXT_ZOMATO_RESTAURANTS_1","0.8607535463944591","1","all","TabPFN-v2p5 🇩🇪","2026-04-14T05:15:44.000Z","REG_TEXT_ZOMATO_RESTAURANTS","264","tf-idf"
"tabpfnv2_REG_TEXT_ZOMATO_RESTAURANTS_1","0.7102228891970193","1","all","TabPFN-v2 🤯","2026-04-14T05:10:07.000Z","REG_TEXT_ZOMATO_RESTAURANTS","331","tf-idf"
"tabm_REG_TEXT_ZOMATO_RESTAURANTS_1","0.847175219583817","1","all","TabM Ⓜ️","2026-04-14T05:06:06.000Z","REG_TEXT_ZOMATO_RESTAURANTS","235","tf-idf"
