"Name","test_score","fold","multimodal_state","model","Created","dataset","Runtime","e5_model","no_pca"
"tabpfnv2p5_REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES_4","0.18536925315856936","4","all","TabPFN-v2p5 🇩🇪","2026-04-23T08:49:08.000Z","REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES","22","tf-idf","false"
"tabpfnv2_REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES_4","0.2600709795951843","4","all","TabPFN-v2 🤯","2026-04-23T08:49:00.000Z","REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES","30","tf-idf","false"
"tabm_REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES_4","0.2668631076812744","4","all","TabM Ⓜ️","2026-04-23T08:48:57.000Z","REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES","23","tf-idf","false"
"cat_REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES_4","0.2171031999586175","4","all","CatBoost 😸","2026-04-23T08:48:48.000Z","REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES","23","tf-idf","false"
"light_REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES_4","0.20400033019937217","4","all","LightGBM 💡","2026-04-23T08:48:46.000Z","REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES","17","tf-idf","false"
"tabpfnv2p5_REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES_3","0.3763108253479004","3","all","TabPFN-v2p5 🇩🇪","2026-04-23T08:48:27.000Z","REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES","28","tf-idf","false"
"tabpfnv2_REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES_3","0.3245893120765686","3","all","TabPFN-v2 🤯","2026-04-23T08:48:19.000Z","REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES","31","tf-idf","false"
"tabm_REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES_3","0.3928578495979309","3","all","TabM Ⓜ️","2026-04-23T08:48:15.000Z","REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES","25","tf-idf","false"
"cat_REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES_3","0.2533760374308365","3","all","CatBoost 😸","2026-04-23T08:48:13.000Z","REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES","26","tf-idf","false"
"light_REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES_3","0.25757555763277074","3","all","LightGBM 💡","2026-04-23T08:48:05.000Z","REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES","16","tf-idf","false"
"tabpfnv2p5_REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES_2","0.43221867084503174","2","all","TabPFN-v2p5 🇩🇪","2026-04-23T08:47:42.000Z","REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES","29","tf-idf","false"
"tabpfnv2_REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES_2","0.5864582061767578","2","all","TabPFN-v2 🤯","2026-04-23T08:47:42.000Z","REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES","32","tf-idf","false"
"tabm_REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES_2","0.6927064657211304","2","all","TabM Ⓜ️","2026-04-23T08:47:37.000Z","REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES","22","tf-idf","false"
"cat_REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES_2","0.3938177179709466","2","all","CatBoost 😸","2026-04-23T08:47:35.000Z","REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES","34","tf-idf","false"
"tabpfnv2p5_REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES_1","0.029193460941314697","1","all","TabPFN-v2p5 🇩🇪","2026-04-23T08:47:15.000Z","REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES","23","tf-idf","false"
"light_REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES_2","0.02813085287242356","2","all","LightGBM 💡","2026-04-23T08:47:15.000Z","REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES","16","tf-idf","false"
"tabpfnv2_REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES_1","0.23600691556930545","1","all","TabPFN-v2 🤯","2026-04-23T08:47:09.000Z","REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES","26","tf-idf","false"
"tabm_REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES_1","0.2752240300178528","1","all","TabM Ⓜ️","2026-04-23T08:47:08.000Z","REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES","21","tf-idf","false"
"cat_REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES_1","-0.4190167769344249","1","all","CatBoost 😸","2026-04-23T08:46:47.000Z","REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES","21","tf-idf","false"
"light_REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES_1","-0.16194115352838323","1","all","LightGBM 💡","2026-04-23T08:46:45.000Z","REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES","17","tf-idf","false"
"tabpfnv2p5_REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES_0","0.05731683969497681","0","all","TabPFN-v2p5 🇩🇪","2026-04-23T08:46:42.000Z","REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES","24","tf-idf","false"
"tabpfnv2_REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES_0","0.04485052824020386","0","all","TabPFN-v2 🤯","2026-04-23T08:46:11.000Z","REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES","26","tf-idf","false"
"tabm_REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES_0","0.16829097270965576","0","all","TabM Ⓜ️","2026-04-23T08:46:04.000Z","REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES","39","tf-idf","false"
"cat_REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES_0","0.0845262152224231","0","all","CatBoost 😸","2026-04-23T08:45:06.000Z","REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES","58","tf-idf","false"
"light_REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES_0","0.05295499045138896","0","all","LightGBM 💡","2026-04-23T08:45:04.000Z","REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES","55","tf-idf","false"
"tabpfnv2p5_REG_TEXT_SOCIAL_MOVIES_DATASET_REVENUE_4","0.6033688476593855","4","all","TabPFN-v2p5 🇩🇪","2026-04-23T08:44:39.000Z","REG_TEXT_SOCIAL_MOVIES_DATASET_REVENUE","115","tf-idf","false"
"tabpfnv2_REG_TEXT_SOCIAL_MOVIES_DATASET_REVENUE_4","0.32670427064105634","4","all","TabPFN-v2 🤯","2026-04-23T08:44:34.000Z","REG_TEXT_SOCIAL_MOVIES_DATASET_REVENUE","154","tf-idf","false"
