"Name","test_score","model","Hostname","multimodal_state","State","Created","Runtime","dataset_name","fold","e5_model"
"tabpfnv2p5_REG_TEXT_SOCIAL_BOOKS_GOODREADS_4","0.8669781391276452","TabPFN-v2p5 🇩🇪","nlp19.iem.technion.ac.il","all","finished","2026-04-29T13:12:57.000Z","59","REG_TEXT_SOCIAL_BOOKS_GOODREADS","4","tf-idf"
"tabpfnv2_REG_TEXT_SOCIAL_BOOKS_GOODREADS_4","0.871844884828114","TabPFN-v2 🤯","nlp19.iem.technion.ac.il","all","finished","2026-04-29T13:12:47.000Z","79","REG_TEXT_SOCIAL_BOOKS_GOODREADS","4","tf-idf"
"tabm_REG_TEXT_SOCIAL_BOOKS_GOODREADS_4","0.8572697364354752","TabM Ⓜ️","nlp19.iem.technion.ac.il","all","finished","2026-04-29T13:12:24.000Z","28","REG_TEXT_SOCIAL_BOOKS_GOODREADS","4","tf-idf"
"cat_REG_TEXT_SOCIAL_BOOKS_GOODREADS_4","0.882870361476942","CatBoost 😸","nlp19.iem.technion.ac.il","all","finished","2026-04-29T13:12:08.000Z","32","REG_TEXT_SOCIAL_BOOKS_GOODREADS","4","tf-idf"
"light_REG_TEXT_SOCIAL_BOOKS_GOODREADS_4","0.8855928450240387","LightGBM 💡","nlp-srv2.iem.technion.ac.il","all","finished","2026-04-29T13:11:49.000Z","313","REG_TEXT_SOCIAL_BOOKS_GOODREADS","4","tf-idf"
"tabpfnv2p5_REG_TEXT_SOCIAL_BOOKS_GOODREADS_3","0.8228793484925283","TabPFN-v2p5 🇩🇪","nlp19.iem.technion.ac.il","all","finished","2026-04-29T13:10:17.000Z","102","REG_TEXT_SOCIAL_BOOKS_GOODREADS","3","tf-idf"
"tabpfnv2_REG_TEXT_SOCIAL_BOOKS_GOODREADS_3","0.8148189461521507","TabPFN-v2 🤯","nlp19.iem.technion.ac.il","all","finished","2026-04-29T13:10:13.000Z","124","REG_TEXT_SOCIAL_BOOKS_GOODREADS","3","tf-idf"
"tabm_REG_TEXT_SOCIAL_BOOKS_GOODREADS_3","0.8274083941954116","TabM Ⓜ️","nlp19.iem.technion.ac.il","all","finished","2026-04-29T13:09:35.000Z","34","REG_TEXT_SOCIAL_BOOKS_GOODREADS","3","tf-idf"
"cat_REG_TEXT_SOCIAL_BOOKS_GOODREADS_3","0.8370301604769393","CatBoost 😸","nlp19.iem.technion.ac.il","all","finished","2026-04-29T13:09:32.000Z","40","REG_TEXT_SOCIAL_BOOKS_GOODREADS","3","tf-idf"
"light_REG_TEXT_SOCIAL_BOOKS_GOODREADS_3","0.8310144935318737","LightGBM 💡","nlp19.iem.technion.ac.il","all","finished","2026-04-29T13:09:09.000Z","19","REG_TEXT_SOCIAL_BOOKS_GOODREADS","3","tf-idf"
"tabpfnv2p5_REG_TEXT_SOCIAL_BOOKS_GOODREADS_2","0.7830693589732987","TabPFN-v2p5 🇩🇪","nlp-srv2.iem.technion.ac.il","all","finished","2026-04-29T13:08:38.000Z","186","REG_TEXT_SOCIAL_BOOKS_GOODREADS","2","tf-idf"
"tabpfnv2_REG_TEXT_SOCIAL_BOOKS_GOODREADS_2","0.7778964376220066","TabPFN-v2 🤯","nlp19.iem.technion.ac.il","all","finished","2026-04-29T13:08:33.000Z","53","REG_TEXT_SOCIAL_BOOKS_GOODREADS","2","tf-idf"
"tabm_REG_TEXT_SOCIAL_BOOKS_GOODREADS_2","0.7983512984387405","TabM Ⓜ️","nlp19.iem.technion.ac.il","all","finished","2026-04-29T13:08:20.000Z","39","REG_TEXT_SOCIAL_BOOKS_GOODREADS","2","tf-idf"
"cat_REG_TEXT_SOCIAL_BOOKS_GOODREADS_2","0.8117261477516887","CatBoost 😸","nlp19.iem.technion.ac.il","all","finished","2026-04-29T13:07:53.000Z","34","REG_TEXT_SOCIAL_BOOKS_GOODREADS","2","tf-idf"
"light_REG_TEXT_SOCIAL_BOOKS_GOODREADS_2","0.8097533504236412","LightGBM 💡","nlp-srv2.iem.technion.ac.il","all","finished","2026-04-29T13:07:35.000Z","566","REG_TEXT_SOCIAL_BOOKS_GOODREADS","2","tf-idf"
"tabpfnv2p5_REG_TEXT_SOCIAL_BOOKS_GOODREADS_1","0.8442518219822512","TabPFN-v2p5 🇩🇪","nlp19.iem.technion.ac.il","all","finished","2026-04-29T13:07:08.000Z","56","REG_TEXT_SOCIAL_BOOKS_GOODREADS","1","tf-idf"
"tabpfnv2_REG_TEXT_SOCIAL_BOOKS_GOODREADS_1","0.8247459500618358","TabPFN-v2 🤯","nlp19.iem.technion.ac.il","all","finished","2026-04-29T13:06:50.000Z","55","REG_TEXT_SOCIAL_BOOKS_GOODREADS","1","tf-idf"
"tabm_REG_TEXT_SOCIAL_BOOKS_GOODREADS_1","0.8705697840161815","TabM Ⓜ️","nlp19.iem.technion.ac.il","all","finished","2026-04-29T13:06:35.000Z","29","REG_TEXT_SOCIAL_BOOKS_GOODREADS","1","tf-idf"
"cat_REG_TEXT_SOCIAL_BOOKS_GOODREADS_1","0.8696455688330371","CatBoost 😸","nlp-srv2.iem.technion.ac.il","all","finished","2026-04-29T13:05:18.000Z","191","REG_TEXT_SOCIAL_BOOKS_GOODREADS","1","tf-idf"
"light_REG_TEXT_SOCIAL_BOOKS_GOODREADS_1","0.8698994854117197","LightGBM 💡","nlp-srv2.iem.technion.ac.il","all","finished","2026-04-29T13:05:15.000Z","682","REG_TEXT_SOCIAL_BOOKS_GOODREADS","1","tf-idf"
"tabpfnv2p5_REG_TEXT_SOCIAL_BOOKS_GOODREADS_0","0.8253739864030079","TabPFN-v2p5 🇩🇪","nlp19.iem.technion.ac.il","all","finished","2026-04-29T13:04:51.000Z","98","REG_TEXT_SOCIAL_BOOKS_GOODREADS","0","tf-idf"
"tabpfnv2_REG_TEXT_SOCIAL_BOOKS_GOODREADS_0","0.8282303550920548","TabPFN-v2 🤯","nlp19.iem.technion.ac.il","all","finished","2026-04-29T13:04:45.000Z","117","REG_TEXT_SOCIAL_BOOKS_GOODREADS","0","tf-idf"
"tabm_REG_TEXT_SOCIAL_BOOKS_GOODREADS_0","0.8409941301367478","TabM Ⓜ️","nlp19.iem.technion.ac.il","all","finished","2026-04-29T13:04:18.000Z","26","REG_TEXT_SOCIAL_BOOKS_GOODREADS","0","tf-idf"
"cat_REG_TEXT_SOCIAL_BOOKS_GOODREADS_0","0.8503681334447711","CatBoost 😸","nlp19.iem.technion.ac.il","all","finished","2026-04-29T13:03:40.000Z","36","REG_TEXT_SOCIAL_BOOKS_GOODREADS","0","tf-idf"
"light_REG_TEXT_SOCIAL_BOOKS_GOODREADS_0","0.8435527383856114","LightGBM 💡","nlp-srv2.iem.technion.ac.il","all","finished","2026-04-29T13:03:38.000Z","651","REG_TEXT_SOCIAL_BOOKS_GOODREADS","0","tf-idf"
"tabpfnv2p5_REG_TEXT_HOUSES_SAN_FRANCISCO_PERMITS_APPLICATIONS_4","0.5457882400657614","TabPFN-v2p5 🇩🇪","nlp19.iem.technion.ac.il","all","finished","2026-04-29T13:03:24.000Z","74","REG_TEXT_HOUSES_SAN_FRANCISCO_PERMITS_APPLICATIONS","4","tf-idf"
