"Name","test_score","fold","multimodal_state","model","Created","dataset","Runtime","train_peak_gpu_gb","train_peak_cpu_gb"
"tabpfnv2_REG_IMAGE_AMAZON_BEST_SELLER_4","0.6236359854949095","4","ft","TabPFN-v2 🤯","2026-04-06T23:35:06.000Z","REG_IMAGE_AMAZON_BEST_SELLER","180","2.15216064453125","7.093269348144531"
"tabpfnv2_REG_IMAGE_AMAZON_BEST_SELLER_4","0.6127354736276336","4","all","TabPFN-v2 🤯","2026-04-06T23:34:14.000Z","REG_IMAGE_AMAZON_BEST_SELLER","48","1.75762939453125","3.2644119262695312"
"tabpfnv2p5_REG_IMAGE_AMAZON_BEST_SELLER_4","0.6251017616747264","4","ft","TabPFN-v2p5 🇩🇪","2026-04-06T23:34:08.000Z","REG_IMAGE_AMAZON_BEST_SELLER","127","2.15216064453125","7.026634216308594"
"tabpfnv2p5_REG_IMAGE_AMAZON_BEST_SELLER_4","0.6269553571254529","4","all","TabPFN-v2p5 🇩🇪","2026-04-06T23:26:24.000Z","REG_IMAGE_AMAZON_BEST_SELLER","464","5.48419189453125","3.2707366943359375"
"tabm_REG_IMAGE_AMAZON_BEST_SELLER_4","0.6029076537620233","4","ft","TabM Ⓜ️","2026-04-06T23:22:19.000Z","REG_IMAGE_AMAZON_BEST_SELLER","703","5.48419189453125","6.741455078125"
"tabm_REG_IMAGE_AMAZON_BEST_SELLER_4","0.5754913947530095","4","all","TabM Ⓜ️","2026-04-06T23:21:31.000Z","REG_IMAGE_AMAZON_BEST_SELLER","44","1.45684814453125","3.15496826171875"
"cat_REG_IMAGE_AMAZON_BEST_SELLER_4","0.5932503933190587","4","ft","CatBoost 😸","2026-04-06T23:20:56.000Z","REG_IMAGE_AMAZON_BEST_SELLER","759","5.46466064453125","6.662956237792969"
"cat_REG_IMAGE_AMAZON_BEST_SELLER_4","0.536941712265101","4","all","CatBoost 😸","2026-04-06T23:20:33.000Z","REG_IMAGE_AMAZON_BEST_SELLER","46","5.46466064453125","3.1849441528320312"
"light_REG_IMAGE_AMAZON_BEST_SELLER_4","0.5856565420046553","4","ft","LightGBM 💡","2026-04-06T23:19:31.000Z","REG_IMAGE_AMAZON_BEST_SELLER","114","5.46466064453125","6.653511047363281"
"light_REG_IMAGE_AMAZON_BEST_SELLER_4","0.5182645204480817","4","all","LightGBM 💡","2026-04-06T23:18:54.000Z","REG_IMAGE_AMAZON_BEST_SELLER","35","1.43145751953125","3.076904296875"
"tabpfnv2_REG_IMAGE_AMAZON_BEST_SELLER_3","0.5708868518684577","3","ft","TabPFN-v2 🤯","2026-04-06T23:17:53.000Z","REG_IMAGE_AMAZON_BEST_SELLER","163","5.46466064453125","7.025779724121094"
"tabpfnv2_REG_IMAGE_AMAZON_BEST_SELLER_3","0.5923552509650097","3","all","TabPFN-v2 🤯","2026-04-06T23:17:03.000Z","REG_IMAGE_AMAZON_BEST_SELLER","42","1.43145751953125","3.270618438720703"
"tabpfnv2p5_REG_IMAGE_AMAZON_BEST_SELLER_3","0.5911928407896547","3","ft","TabPFN-v2p5 🇩🇪","2026-04-06T23:16:42.000Z","REG_IMAGE_AMAZON_BEST_SELLER","163","5.48419189453125","7.010292053222656"
"tabpfnv2p5_REG_IMAGE_AMAZON_BEST_SELLER_3","0.6351071183321595","3","all","TabPFN-v2p5 🇩🇪","2026-04-06T23:16:13.000Z","REG_IMAGE_AMAZON_BEST_SELLER","45","5.48419189453125","3.22705078125"
"tabm_REG_IMAGE_AMAZON_BEST_SELLER_3","0.5465710840956868","3","ft","TabM Ⓜ️","2026-04-06T23:15:13.000Z","REG_IMAGE_AMAZON_BEST_SELLER","103","5.48419189453125","6.689487457275391"
