"Name","test_score","fold","Created","dataset","model","multimodal_state","dino_model","Runtime","train_peak_gpu_gb","train_peak_cpu_gb"
"tabm_REG_IMAGE_AMAZON_BEST_SELLER_2","0.5884311706439457","2","2026-04-08T06:33:22.000Z","REG_IMAGE_AMAZON_BEST_SELLER","TabM Ⓜ️","ft","dino-large","358","17.71270751953125","6.845470428466797"
"tabm_REG_IMAGE_AMAZON_BEST_SELLER_2","0.5884582227717862","2","2026-04-08T06:31:47.000Z","REG_IMAGE_AMAZON_BEST_SELLER","TabM Ⓜ️","all","dino-large","93","3.14825439453125","3.108192443847656"
"cat_REG_IMAGE_AMAZON_BEST_SELLER_2","0.5986500172556102","2","2026-04-08T06:25:46.000Z","REG_IMAGE_AMAZON_BEST_SELLER","CatBoost 😸","ft","dino-large","356","17.69708251953125","6.880584716796875"
"tabpfnv2_REG_IMAGE_AMAZON_BEST_SELLER_4","0.6933831389128832","4","2026-04-08T06:02:22.000Z","REG_IMAGE_AMAZON_BEST_SELLER","TabPFN-v2 🤯","all","dino-large","92","3.12091064453125","3.15213394165039"
"tabm_REG_IMAGE_AMAZON_BEST_SELLER_4","0.6358895612207727","4","2026-04-08T06:00:47.000Z","REG_IMAGE_AMAZON_BEST_SELLER","TabM Ⓜ️","all","dino-large","91","3.14825439453125","3.018096923828125"
"cat_REG_IMAGE_AMAZON_BEST_SELLER_4","0.6852691431427077","4","2026-04-08T05:55:13.000Z","REG_IMAGE_AMAZON_BEST_SELLER","CatBoost 😸","ft","dino-large","327","17.69708251953125","6.741092681884766"
"light_REG_IMAGE_AMAZON_BEST_SELLER_4","0.6584437579926039","4","2026-04-08T05:49:43.000Z","REG_IMAGE_AMAZON_BEST_SELLER","LightGBM 💡","ft","dino-large","322","17.69708251953125","6.6522064208984375"
"tabpfnv2_REG_IMAGE_AMAZON_BEST_SELLER_3","0.6633543284642072","3","2026-04-08T05:43:10.000Z","REG_IMAGE_AMAZON_BEST_SELLER","TabPFN-v2 🤯","ft","dino-large","387","14.01739501953125","7.1131744384765625"
"tabpfnv2_REG_IMAGE_AMAZON_BEST_SELLER_3","0.6624258681552291","3","2026-04-08T05:41:36.000Z","REG_IMAGE_AMAZON_BEST_SELLER","TabPFN-v2 🤯","all","dino-large","92","3.12091064453125","3.2573509216308594"
"light_REG_IMAGE_AMAZON_BEST_SELLER_3","0.5623582814721626","3","2026-04-08T05:40:06.000Z","REG_IMAGE_AMAZON_BEST_SELLER","LightGBM 💡","all","dino-large","86","3.12091064453125","3.1051788330078125"
"tabpfnv2_REG_IMAGE_AMAZON_BEST_SELLER_2","0.5805383044689659","2","2026-04-08T05:33:34.000Z","REG_IMAGE_AMAZON_BEST_SELLER","TabPFN-v2 🤯","ft","dino-large","387","14.01739501953125","7.048728942871094"
"tabpfnv2p5_REG_IMAGE_AMAZON_BEST_SELLER_2","0.603754631653043","2","2026-04-08T05:27:02.000Z","REG_IMAGE_AMAZON_BEST_SELLER","TabPFN-v2p5 🇩🇪","ft","dino-large","385","14.01739501953125","7.0614013671875"
"cat_REG_IMAGE_AMAZON_BEST_SELLER_2","0.5761322193787262","2","2026-04-08T05:25:28.000Z","REG_IMAGE_AMAZON_BEST_SELLER","CatBoost 😸","all","dino-large","89","3.12091064453125","2.991436004638672"
"cat_REG_IMAGE_AMAZON_BEST_SELLER_3","0.6754859984011659","3","2026-04-08T03:35:21.000Z","REG_IMAGE_AMAZON_BEST_SELLER","CatBoost 😸","ft","dino-large","357","17.69708251953125","7.195888519287109"
"tabpfnv2p5_REG_IMAGE_AMAZON_BEST_SELLER_3","0.685469373250066","3","2026-04-08T02:35:31.000Z","REG_IMAGE_AMAZON_BEST_SELLER","TabPFN-v2p5 🇩🇪","ft","dino-large","385","14.01739501953125","7.209110260009766"
"light_REG_IMAGE_AMAZON_BEST_SELLER_2","0.5469580778767578","2","2026-04-08T02:25:17.000Z","REG_IMAGE_AMAZON_BEST_SELLER","LightGBM 💡","ft","dino-large","3954","17.69708251953125","6.7783050537109375"
"tabpfnv2p5_REG_IMAGE_AMAZON_BEST_SELLER_1","0.6615731631693579","1","2026-04-08T02:25:00.000Z","REG_IMAGE_AMAZON_BEST_SELLER","TabPFN-v2p5 🇩🇪","ft","dino-large","387","14.01739501953125","7.085071563720703"
