"Name","test_score","fold","multimodal_state","model","Created","dataset","Runtime","e5_model","train_peak_cpu_gb","train_peak_gpu_gb"
"tabpfnv2p5_REG_TEXT_ROTTEN_TOMATOES_3","0.5848476965303648","3","ft","TabPFN-v2p5 🇩🇪","2026-04-08T23:58:36.000Z","REG_TEXT_ROTTEN_TOMATOES","21919","e5-large","3.0836219787597656","44.9857177734375"
"cat_REG_TEXT_VIDEO_GAMES_SALES_2","0.3485657348449056","2","ft","CatBoost 😸","2026-04-08T23:55:00.000Z","REG_TEXT_VIDEO_GAMES_SALES","8431","e5-large","3.1511001586914062","44.9857177734375"
"tabpfnv2_REG_TEXT_VIDEO_GAMES_SALES_4","0.27010931657462345","4","ft","TabPFN-v2 🤯","2026-04-08T22:21:37.000Z","REG_TEXT_VIDEO_GAMES_SALES","4865","e5-large","3.0989418029785156","39.5517578125"
"tabpfnv2_REG_TEXT_VIDEO_GAMES_SALES_4","0.2537683504646653","4","all","TabPFN-v2 🤯","2026-04-08T22:20:22.000Z","REG_TEXT_VIDEO_GAMES_SALES","852","e5-large","1.714763641357422","3.39019775390625"
"tabpfnv2p5_REG_TEXT_VIDEO_GAMES_SALES_4","0.3842894898015934","4","ft","TabPFN-v2p5 🇩🇪","2026-04-08T22:19:38.000Z","REG_TEXT_VIDEO_GAMES_SALES","4883","e5-large","3.239776611328125","39.5830078125"
"tabpfnv2p5_REG_TEXT_VIDEO_GAMES_SALES_4","0.3548315796504695","4","all","TabPFN-v2p5 🇩🇪","2026-04-08T22:16:57.000Z","REG_TEXT_VIDEO_GAMES_SALES","844","e5-large","1.785114288330078","3.39019775390625"
"tabm_REG_TEXT_VIDEO_GAMES_SALES_4","0.3343994330372292","4","ft","TabM Ⓜ️","2026-04-08T22:14:22.000Z","REG_TEXT_VIDEO_GAMES_SALES","5214","e5-large","3.1893463134765625","39.5810546875"
"tabm_REG_TEXT_VIDEO_GAMES_SALES_4","0.3459357144889973","4","all","TabM Ⓜ️","2026-04-08T22:14:02.000Z","REG_TEXT_VIDEO_GAMES_SALES","814","e5-large","1.8383522033691408","3.41754150390625"
"cat_REG_TEXT_VIDEO_GAMES_SALES_4","0.28673008611250184","4","ft","CatBoost 😸","2026-04-08T22:11:31.000Z","REG_TEXT_VIDEO_GAMES_SALES","5241","e5-large","3.233501434326172","39.5810546875"
"cat_REG_TEXT_VIDEO_GAMES_SALES_4","0.27441393506890643","4","all","CatBoost 😸","2026-04-08T22:08:42.000Z","REG_TEXT_VIDEO_GAMES_SALES","813","e5-large","1.7541847229003906","3.39019775390625"
