"Name","test_score","fold","multimodal_state","model","Created","dataset","Runtime","State","train_peak_cpu_gb","train_peak_gpu_gb"
"tabpfnv2p5_MUL_TEXT_US_ACCIDENTS_4","0.989482915268196","4","ft","TabPFN-v2p5 🇩🇪","2026-04-03T10:17:50.000Z","MUL_TEXT_US_ACCIDENTS","3207","finished","2.11917495727539","17.1025390625"
"tabpfnv2p5_REG_TEXT_MONTGOMERY_SALARIES_2","0.9885803464047728","2","ft","TabPFN-v2p5 🇩🇪","2026-04-03T19:38:30.000Z","REG_TEXT_MONTGOMERY_SALARIES","2705","finished","1.8620452880859375","21.7197265625"
"tabpfnv2p5_REG_TEXT_MONTGOMERY_SALARIES_3","0.9884818747130756","3","ft","TabPFN-v2p5 🇩🇪","2026-04-03T20:01:13.000Z","REG_TEXT_MONTGOMERY_SALARIES","3481","finished","1.8818092346191408","21.7197265625"
"tabpfnv2_REG_TEXT_MONTGOMERY_SALARIES_3","0.9883011409454716","3","ft","TabPFN-v2 🤯","2026-04-03T20:03:28.000Z","REG_TEXT_MONTGOMERY_SALARIES","3480","finished","1.8892669677734375","21.7197265625"
"tabpfnv2p5_REG_TEXT_MONTGOMERY_SALARIES_2","0.9882653495207798","2","all","TabPFN-v2p5 🇩🇪","2026-04-03T19:38:28.000Z","REG_TEXT_MONTGOMERY_SALARIES","238","finished","1.7005996704101562","1.0986328125"
"tabpfnv2p5_REG_TEXT_MONTGOMERY_SALARIES_0","0.988012525703326","0","ft","TabPFN-v2p5 🇩🇪","2026-04-03T19:10:19.000Z","REG_TEXT_MONTGOMERY_SALARIES","2987","finished","1.844135284423828","21.7197265625"
"tabpfnv2_MUL_TEXT_US_ACCIDENTS_4","0.987145729172204","4","ft","TabPFN-v2 🤯","2026-04-03T10:25:36.000Z","MUL_TEXT_US_ACCIDENTS","3222","finished","2.21976089477539","17.1025390625"
"tabpfnv2_REG_TEXT_MONTGOMERY_SALARIES_3","0.986542233928404","3","all","TabPFN-v2 🤯","2026-04-03T20:02:26.000Z","REG_TEXT_MONTGOMERY_SALARIES","254","finished","2.7161941528320312","1.0986328125"
"tabm_REG_TEXT_MONTGOMERY_SALARIES_2","0.9864863720948286","2","ft","TabM Ⓜ️","2026-04-03T19:35:23.000Z","REG_TEXT_MONTGOMERY_SALARIES","2879","finished","1.8276252746582031","16.7958984375"
"tabpfnv2p5_REG_TEXT_MONTGOMERY_SALARIES_3","0.9857046702375942","3","all","TabPFN-v2p5 🇩🇪","2026-04-03T20:00:57.000Z","REG_TEXT_MONTGOMERY_SALARIES","238","finished","1.6910247802734375","1.0986328125"
"tabpfnv2p5_REG_TEXT_MONTGOMERY_SALARIES_0","0.985447214672531","0","all","TabPFN-v2p5 🇩🇪","2026-04-03T19:07:05.000Z","REG_TEXT_MONTGOMERY_SALARIES","262","finished","1.699176788330078","1.0986328125"
"tabpfnv2p5_MUL_TEXT_US_ACCIDENTS_0","0.9852071951513588","0","ft","TabPFN-v2p5 🇩🇪","2026-04-03T08:20:18.000Z","MUL_TEXT_US_ACCIDENTS","5730","finished","2.1197547912597656","17.1025390625"
"tabpfnv2_REG_TEXT_MONTGOMERY_SALARIES_0","0.9850003224975616","0","ft","TabPFN-v2 🤯","2026-04-03T19:13:51.000Z","REG_TEXT_MONTGOMERY_SALARIES","3034","finished","2.835742950439453","21.7197265625"
"tabm_REG_TEXT_MONTGOMERY_SALARIES_0","0.9849829822137172","0","ft","TabM Ⓜ️","2026-04-03T19:06:14.000Z","REG_TEXT_MONTGOMERY_SALARIES","1884","finished","1.853599548339844","16.7958984375"
"tabm_REG_TEXT_MONTGOMERY_SALARIES_2","0.9848453890334248","2","all","TabM Ⓜ️","2026-04-03T19:34:38.000Z","REG_TEXT_MONTGOMERY_SALARIES","227","finished","1.7502670288085938","1.1748046875"
