"Name","test_score","fold","multimodal_state","parameters.dino_models","model","Created","dataset","Runtime"
"tabpfnv2_BIN_IMAGE_CELEB_ATTRACTIVENESS_4","0.8975828213124742","4","img","","TabPFN-v2 🤯","2026-03-30T11:02:46.000Z","BIN_IMAGE_CELEB_ATTRACTIVENESS","71"
"tabpfnv2_BIN_IMAGE_CELEB_ATTRACTIVENESS_4","0.9215424959803736","4","ft","","TabPFN-v2 🤯","2026-03-30T10:58:52.000Z","BIN_IMAGE_CELEB_ATTRACTIVENESS","230"
"tabpfnv2_BIN_IMAGE_CELEB_ATTRACTIVENESS_4","0.8779539376330078","4","non","","TabPFN-v2 🤯","2026-03-30T10:58:19.000Z","BIN_IMAGE_CELEB_ATTRACTIVENESS","28"
"tabpfnv2_BIN_IMAGE_CELEB_ATTRACTIVENESS_4","0.9128133782771084","4","all","","TabPFN-v2 🤯","2026-03-30T10:56:50.000Z","BIN_IMAGE_CELEB_ATTRACTIVENESS","85"
"tabpfnv2p5_BIN_IMAGE_CELEB_ATTRACTIVENESS_4","0.8970755529675198","4","img","","TabPFN-v2p5 🇩🇪","2026-03-30T10:55:29.000Z","BIN_IMAGE_CELEB_ATTRACTIVENESS","78"
"tabpfnv2p5_BIN_IMAGE_CELEB_ATTRACTIVENESS_4","0.9226470803054816","4","ft","","TabPFN-v2p5 🇩🇪","2026-03-30T10:51:42.000Z","BIN_IMAGE_CELEB_ATTRACTIVENESS","222"
"tabpfnv2p5_BIN_IMAGE_CELEB_ATTRACTIVENESS_4","0.8799995197459456","4","non","","TabPFN-v2p5 🇩🇪","2026-03-30T10:51:15.000Z","BIN_IMAGE_CELEB_ATTRACTIVENESS","24"
"tabpfnv2p5_BIN_IMAGE_CELEB_ATTRACTIVENESS_4","0.9148729677999662","4","all","","TabPFN-v2p5 🇩🇪","2026-03-30T10:49:51.000Z","BIN_IMAGE_CELEB_ATTRACTIVENESS","80"
"tabm_BIN_IMAGE_CELEB_ATTRACTIVENESS_4","0.8956427950385755","4","img","","TabM Ⓜ️","2026-03-30T10:48:47.000Z","BIN_IMAGE_CELEB_ATTRACTIVENESS","60"
"tabm_BIN_IMAGE_CELEB_ATTRACTIVENESS_4","0.9194263765531968","4","ft","","TabM Ⓜ️","2026-03-30T10:45:14.000Z","BIN_IMAGE_CELEB_ATTRACTIVENESS","209"
"tabm_BIN_IMAGE_CELEB_ATTRACTIVENESS_4","0.8811131088345734","4","non","","TabM Ⓜ️","2026-03-30T10:44:52.000Z","BIN_IMAGE_CELEB_ATTRACTIVENESS","18"
"tabm_BIN_IMAGE_CELEB_ATTRACTIVENESS_4","0.9134382088124618","4","all","","TabM Ⓜ️","2026-03-30T10:43:49.000Z","BIN_IMAGE_CELEB_ATTRACTIVENESS","60"
"cat_BIN_IMAGE_CELEB_ATTRACTIVENESS_4","0.8942900794520301","4","img","","CatBoost 😸","2026-03-30T10:42:46.000Z","BIN_IMAGE_CELEB_ATTRACTIVENESS","56"
"cat_BIN_IMAGE_CELEB_ATTRACTIVENESS_4","0.9184238462146476","4","ft","","CatBoost 😸","2026-03-30T10:39:12.000Z","BIN_IMAGE_CELEB_ATTRACTIVENESS","207"
"cat_BIN_IMAGE_CELEB_ATTRACTIVENESS_4","0.8806968886540979","4","non","","CatBoost 😸","2026-03-30T10:38:51.000Z","BIN_IMAGE_CELEB_ATTRACTIVENESS","18"
