"Name","test_score","fold","multimodal_state","parameters.dino_models","model","Created","dataset","Runtime"
"tabpfnv2_BIN_IMAGE_MAMMOGRAPHY_CMMD_4","0.6663545296167248","4","img","","TabPFN-v2 🤯","2026-03-30T14:44:19.000Z","BIN_IMAGE_MAMMOGRAPHY_CMMD","122"
"tabpfnv2_BIN_IMAGE_MAMMOGRAPHY_CMMD_4","0.7911367595818815","4","ft","","TabPFN-v2 🤯","2026-03-30T14:43:48.000Z","BIN_IMAGE_MAMMOGRAPHY_CMMD","221"
"tabpfnv2_BIN_IMAGE_MAMMOGRAPHY_CMMD_4","0.7775043554006968","4","non","","TabPFN-v2 🤯","2026-03-30T14:43:26.000Z","BIN_IMAGE_MAMMOGRAPHY_CMMD","18"
"tabpfnv2_BIN_IMAGE_MAMMOGRAPHY_CMMD_4","0.7991398083623694","4","all","","TabPFN-v2 🤯","2026-03-30T14:42:16.000Z","BIN_IMAGE_MAMMOGRAPHY_CMMD","116"
"tabpfnv2p5_BIN_IMAGE_MAMMOGRAPHY_CMMD_4","0.6655487804878049","4","img","","TabPFN-v2p5 🇩🇪","2026-03-30T14:41:39.000Z","BIN_IMAGE_MAMMOGRAPHY_CMMD","101"
"tabpfnv2p5_BIN_IMAGE_MAMMOGRAPHY_CMMD_4","0.8078941637630661","4","ft","","TabPFN-v2p5 🇩🇪","2026-03-30T14:40:56.000Z","BIN_IMAGE_MAMMOGRAPHY_CMMD","338"
"tabpfnv2p5_BIN_IMAGE_MAMMOGRAPHY_CMMD_4","0.7805422473867596","4","non","","TabPFN-v2p5 🇩🇪","2026-03-30T14:40:34.000Z","BIN_IMAGE_MAMMOGRAPHY_CMMD","19"
"tabpfnv2p5_BIN_IMAGE_MAMMOGRAPHY_CMMD_4","0.8054769163763065","4","all","","TabPFN-v2p5 🇩🇪","2026-03-30T14:40:18.000Z","BIN_IMAGE_MAMMOGRAPHY_CMMD","112"
"tabm_BIN_IMAGE_MAMMOGRAPHY_CMMD_4","0.645862369337979","4","img","","TabM Ⓜ️","2026-03-30T14:38:21.000Z","BIN_IMAGE_MAMMOGRAPHY_CMMD","108"
"tabm_BIN_IMAGE_MAMMOGRAPHY_CMMD_4","0.7617160278745645","4","ft","","TabM Ⓜ️","2026-03-30T14:37:56.000Z","BIN_IMAGE_MAMMOGRAPHY_CMMD","215"
"tabm_BIN_IMAGE_MAMMOGRAPHY_CMMD_4","0.7490635888501742","4","non","","TabM Ⓜ️","2026-03-30T14:37:33.000Z","BIN_IMAGE_MAMMOGRAPHY_CMMD","16"
