"Name","test_score","fold","multimodal_state","model","Created","dataset","Runtime"
"tabpfnv2p5_MUL_IMAGE_CBIS_DDSM_3","0.8853921616690601","3","img","TabPFN-v2p5 🇩🇪","2026-04-02T12:55:17.000Z","MUL_IMAGE_CBIS_DDSM","259"
"tabpfnv2p5_MUL_IMAGE_CBIS_DDSM_3","0.9202447060575164","3","ft","TabPFN-v2p5 🇩🇪","2026-04-02T12:49:13.000Z","MUL_IMAGE_CBIS_DDSM","433"
"tabpfnv2p5_MUL_IMAGE_CBIS_DDSM_3","0.7885439806282393","3","non","TabPFN-v2p5 🇩🇪","2026-04-02T12:48:52.000Z","MUL_IMAGE_CBIS_DDSM","16"
"tabpfnv2p5_MUL_IMAGE_CBIS_DDSM_3","0.8983440814676432","3","all","TabPFN-v2p5 🇩🇪","2026-04-02T12:44:28.000Z","MUL_IMAGE_CBIS_DDSM","257"
"tabpfnv2_MUL_IMAGE_CBIS_DDSM_4","0.8525788076924578","4","img","TabPFN-v2 🤯","2026-04-02T12:41:00.000Z","MUL_IMAGE_CBIS_DDSM","230"
"tabpfnv2_MUL_IMAGE_CBIS_DDSM_3","0.8712567814436079","3","img","TabPFN-v2 🤯","2026-04-02T12:40:05.000Z","MUL_IMAGE_CBIS_DDSM","260"
"tabpfnv2_MUL_IMAGE_CBIS_DDSM_4","0.8901348385003358","4","ft","TabPFN-v2 🤯","2026-04-02T12:37:56.000Z","MUL_IMAGE_CBIS_DDSM","436"
"tabpfnv2_MUL_IMAGE_CBIS_DDSM_4","0.7744002133586392","4","non","TabPFN-v2 🤯","2026-04-02T12:37:40.000Z","MUL_IMAGE_CBIS_DDSM","13"
"tabpfnv2_MUL_IMAGE_CBIS_DDSM_4","0.8712746089887881","4","all","TabPFN-v2 🤯","2026-04-02T12:37:22.000Z","MUL_IMAGE_CBIS_DDSM","253"
"tabpfnv2p5_MUL_IMAGE_CBIS_DDSM_4","0.8588597618910712","4","img","TabPFN-v2p5 🇩🇪","2026-04-02T12:37:04.000Z","MUL_IMAGE_CBIS_DDSM","229"
"tabpfnv2p5_MUL_IMAGE_CBIS_DDSM_4","0.8980414058609585","4","ft","TabPFN-v2p5 🇩🇪","2026-04-02T12:36:04.000Z","MUL_IMAGE_CBIS_DDSM","434"
"tabpfnv2p5_MUL_IMAGE_CBIS_DDSM_4","0.7645201686915624","4","non","TabPFN-v2p5 🇩🇪","2026-04-02T12:35:42.000Z","MUL_IMAGE_CBIS_DDSM","16"
"tabpfnv2p5_MUL_IMAGE_CBIS_DDSM_4","0.8812596190629216","4","all","TabPFN-v2p5 🇩🇪","2026-04-02T12:33:17.000Z","MUL_IMAGE_CBIS_DDSM","256"
"tabm_MUL_IMAGE_CBIS_DDSM_4","0.8565289528732744","4","img","TabM Ⓜ️","2026-04-02T12:33:10.000Z","MUL_IMAGE_CBIS_DDSM","246"
"tabpfnv2_MUL_IMAGE_CBIS_DDSM_3","0.9129217111371216","3","ft","TabPFN-v2 🤯","2026-04-02T12:32:54.000Z","MUL_IMAGE_CBIS_DDSM","426"
"tabpfnv2_MUL_IMAGE_CBIS_DDSM_3","0.7934057386256708","3","non","TabPFN-v2 🤯","2026-04-02T12:32:32.000Z","MUL_IMAGE_CBIS_DDSM","15"
"tabm_MUL_IMAGE_CBIS_DDSM_4","0.8967490273911607","4","ft","TabM Ⓜ️","2026-04-02T12:30:56.000Z","MUL_IMAGE_CBIS_DDSM","364"
"tabm_MUL_IMAGE_CBIS_DDSM_4","0.6965441527477239","4","non","TabM Ⓜ️","2026-04-02T12:30:40.000Z","MUL_IMAGE_CBIS_DDSM","14"
"tabm_MUL_IMAGE_CBIS_DDSM_4","0.8678696075741779","4","all","TabM Ⓜ️","2026-04-02T12:29:00.000Z","MUL_IMAGE_CBIS_DDSM","250"
"cat_MUL_IMAGE_CBIS_DDSM_4","0.8456319722761646","4","img","CatBoost 😸","2026-04-02T12:28:58.000Z","MUL_IMAGE_CBIS_DDSM","247"
"cat_MUL_IMAGE_CBIS_DDSM_4","0.8830444099050018","4","ft","CatBoost 😸","2026-04-02T12:28:47.000Z","MUL_IMAGE_CBIS_DDSM","411"
"cat_MUL_IMAGE_CBIS_DDSM_4","0.7193711601547507","4","non","CatBoost 😸","2026-04-02T12:28:41.000Z","MUL_IMAGE_CBIS_DDSM","13"
"tabpfnv2_MUL_IMAGE_CBIS_DDSM_3","0.894346080729665","3","all","TabPFN-v2 🤯","2026-04-02T12:28:09.000Z","MUL_IMAGE_CBIS_DDSM","256"
"cat_MUL_IMAGE_CBIS_DDSM_4","0.8518441440274175","4","all","CatBoost 😸","2026-04-02T12:24:47.000Z","MUL_IMAGE_CBIS_DDSM","249"
"light_MUL_IMAGE_CBIS_DDSM_4","0.8166691479389812","4","img","LightGBM 💡","2026-04-02T12:24:34.000Z","MUL_IMAGE_CBIS_DDSM","249"
"light_MUL_IMAGE_CBIS_DDSM_4","0.8917596367734646","4","ft","LightGBM 💡","2026-04-02T12:24:32.000Z","MUL_IMAGE_CBIS_DDSM","360"
"light_MUL_IMAGE_CBIS_DDSM_4","0.6760345463899805","4","non","LightGBM 💡","2026-04-02T12:24:30.000Z","MUL_IMAGE_CBIS_DDSM","13"
"light_MUL_IMAGE_CBIS_DDSM_4","0.8394095395761794","4","all","LightGBM 💡","2026-04-02T12:24:29.000Z","MUL_IMAGE_CBIS_DDSM","245"
"tabm_MUL_IMAGE_CBIS_DDSM_3","0.8655196133000043","3","img","TabM Ⓜ️","2026-04-02T12:03:20.000Z","MUL_IMAGE_CBIS_DDSM","251"
"tabm_MUL_IMAGE_CBIS_DDSM_3","0.9117237623403596","3","ft","TabM Ⓜ️","2026-04-02T12:02:50.000Z","MUL_IMAGE_CBIS_DDSM","357"
"tabm_MUL_IMAGE_CBIS_DDSM_3","0.744856193886635","3","non","TabM Ⓜ️","2026-04-02T12:02:34.000Z","MUL_IMAGE_CBIS_DDSM","13"
"tabm_MUL_IMAGE_CBIS_DDSM_3","0.8875360115830058","3","all","TabM Ⓜ️","2026-04-02T12:02:26.000Z","MUL_IMAGE_CBIS_DDSM","252"
