"Name","test_score","fold","multimodal_state","parameters.dino_models","model","Created","dataset","Runtime"
"tabpfnv2_MUL_IMAGE_CHEXPERT_4","0.7148271322429808","4","img","","TabPFN-v2 🤯","2026-03-30T16:15:01.000Z","MUL_IMAGE_CHEXPERT","68"
"tabpfnv2_MUL_IMAGE_CHEXPERT_4","0.8155834092979203","4","ft","","TabPFN-v2 🤯","2026-03-30T16:11:02.000Z","MUL_IMAGE_CHEXPERT","234"
"tabpfnv2_MUL_IMAGE_CHEXPERT_4","0.7537348951270987","4","non","","TabPFN-v2 🤯","2026-03-30T16:10:40.000Z","MUL_IMAGE_CHEXPERT","17"
"tabpfnv2_MUL_IMAGE_CHEXPERT_4","0.7878107427506","4","all","","TabPFN-v2 🤯","2026-03-30T16:09:25.000Z","MUL_IMAGE_CHEXPERT","72"
"tabpfnv2p5_MUL_IMAGE_CHEXPERT_4","0.7174434586544866","4","img","","TabPFN-v2p5 🇩🇪","2026-03-30T16:08:10.000Z","MUL_IMAGE_CHEXPERT","69"
"tabpfnv2p5_MUL_IMAGE_CHEXPERT_4","0.8186543378736326","4","ft","","TabPFN-v2p5 🇩🇪","2026-03-30T16:04:12.000Z","MUL_IMAGE_CHEXPERT","232"
"tabpfnv2p5_MUL_IMAGE_CHEXPERT_4","0.7834673023371835","4","non","","TabPFN-v2p5 🇩🇪","2026-03-30T16:03:49.000Z","MUL_IMAGE_CHEXPERT","18"
"tabpfnv2p5_MUL_IMAGE_CHEXPERT_4","0.7964832199900393","4","all","","TabPFN-v2p5 🇩🇪","2026-03-30T16:02:29.000Z","MUL_IMAGE_CHEXPERT","72"
"tabm_MUL_IMAGE_CHEXPERT_4","0.7106510671125109","4","img","","TabM Ⓜ️","2026-03-30T16:01:20.000Z","MUL_IMAGE_CHEXPERT","63"
"tabm_MUL_IMAGE_CHEXPERT_4","0.7957322480773539","4","ft","","TabM Ⓜ️","2026-03-30T15:58:09.000Z","MUL_IMAGE_CHEXPERT","185"
"tabm_MUL_IMAGE_CHEXPERT_4","0.7145007967491469","4","non","","TabM Ⓜ️","2026-03-30T15:57:47.000Z","MUL_IMAGE_CHEXPERT","17"
"tabm_MUL_IMAGE_CHEXPERT_4","0.7557470016692355","4","all","","TabM Ⓜ️","2026-03-30T15:56:37.000Z","MUL_IMAGE_CHEXPERT","64"
"cat_MUL_IMAGE_CHEXPERT_4","0.7027351567329382","4","img","","CatBoost 😸","2026-03-30T15:55:27.000Z","MUL_IMAGE_CHEXPERT","62"
"cat_MUL_IMAGE_CHEXPERT_4","0.8054333779163177","4","ft","","CatBoost 😸","2026-03-30T15:52:16.000Z","MUL_IMAGE_CHEXPERT","185"
"cat_MUL_IMAGE_CHEXPERT_4","0.7776071570353813","4","non","","CatBoost 😸","2026-03-30T15:51:54.000Z","MUL_IMAGE_CHEXPERT","16"
"cat_MUL_IMAGE_CHEXPERT_4","0.7765652226146557","4","all","","CatBoost 😸","2026-03-30T15:50:44.000Z","MUL_IMAGE_CHEXPERT","64"
"light_MUL_IMAGE_CHEXPERT_4","0.6884721677692788","4","img","","LightGBM 💡","2026-03-30T15:49:40.000Z","MUL_IMAGE_CHEXPERT","61"
"light_MUL_IMAGE_CHEXPERT_4","0.802114209269459","4","ft","","LightGBM 💡","2026-03-30T15:46:34.000Z","MUL_IMAGE_CHEXPERT","181"
"light_MUL_IMAGE_CHEXPERT_4","0.767515095414374","4","non","","LightGBM 💡","2026-03-30T15:46:16.000Z","MUL_IMAGE_CHEXPERT","15"
"light_MUL_IMAGE_CHEXPERT_4","0.7793228375831972","4","all","","LightGBM 💡","2026-03-30T15:45:12.000Z","MUL_IMAGE_CHEXPERT","61"
"tabpfnv2_MUL_IMAGE_CHEXPERT_3","0.7203602197771359","3","img","","TabPFN-v2 🤯","2026-03-30T15:43:56.000Z","MUL_IMAGE_CHEXPERT","69"
"tabpfnv2_MUL_IMAGE_CHEXPERT_3","0.8218215041423241","3","ft","","TabPFN-v2 🤯","2026-03-30T15:40:24.000Z","MUL_IMAGE_CHEXPERT","204"
"tabpfnv2_MUL_IMAGE_CHEXPERT_3","0.7594279599033286","3","non","","TabPFN-v2 🤯","2026-03-30T15:40:01.000Z","MUL_IMAGE_CHEXPERT","18"
"tabpfnv2_MUL_IMAGE_CHEXPERT_3","0.7923872713085606","3","all","","TabPFN-v2 🤯","2026-03-30T15:38:46.000Z","MUL_IMAGE_CHEXPERT","72"
"tabpfnv2p5_MUL_IMAGE_CHEXPERT_3","0.723463380263134","3","img","","TabPFN-v2p5 🇩🇪","2026-03-30T15:37:31.000Z","MUL_IMAGE_CHEXPERT","67"
"tabpfnv2p5_MUL_IMAGE_CHEXPERT_3","0.8234210186410323","3","ft","","TabPFN-v2p5 🇩🇪","2026-03-30T15:33:59.000Z","MUL_IMAGE_CHEXPERT","204"
"tabpfnv2p5_MUL_IMAGE_CHEXPERT_3","0.7774195710991819","3","non","","TabPFN-v2p5 🇩🇪","2026-03-30T15:33:37.000Z","MUL_IMAGE_CHEXPERT","18"
"tabpfnv2p5_MUL_IMAGE_CHEXPERT_3","0.791945155748417","3","all","","TabPFN-v2p5 🇩🇪","2026-03-30T15:32:22.000Z","MUL_IMAGE_CHEXPERT","69"
"tabm_MUL_IMAGE_CHEXPERT_3","0.7147597813631567","3","img","","TabM Ⓜ️","2026-03-30T15:31:12.000Z","MUL_IMAGE_CHEXPERT","62"
"tabm_MUL_IMAGE_CHEXPERT_3","0.7895109160865399","3","ft","","TabM Ⓜ️","2026-03-30T15:28:17.000Z","MUL_IMAGE_CHEXPERT","169"
"tabm_MUL_IMAGE_CHEXPERT_3","0.7030885307481002","3","non","","TabM Ⓜ️","2026-03-30T15:27:54.000Z","MUL_IMAGE_CHEXPERT","16"
"tabm_MUL_IMAGE_CHEXPERT_3","0.7464487457203083","3","all","","TabM Ⓜ️","2026-03-30T15:26:45.000Z","MUL_IMAGE_CHEXPERT","64"
"cat_MUL_IMAGE_CHEXPERT_3","0.7039392891262498","3","img","","CatBoost 😸","2026-03-30T15:25:35.000Z","MUL_IMAGE_CHEXPERT","63"
"cat_MUL_IMAGE_CHEXPERT_3","0.8060033281125151","3","ft","","CatBoost 😸","2026-03-30T15:22:40.000Z","MUL_IMAGE_CHEXPERT","170"
"cat_MUL_IMAGE_CHEXPERT_3","0.7686395772599767","3","non","","CatBoost 😸","2026-03-30T15:22:18.000Z","MUL_IMAGE_CHEXPERT","16"
"cat_MUL_IMAGE_CHEXPERT_3","0.7745719162936776","3","all","","CatBoost 😸","2026-03-30T15:21:08.000Z","MUL_IMAGE_CHEXPERT","66"
"light_MUL_IMAGE_CHEXPERT_3","0.6940589533641418","3","img","","LightGBM 💡","2026-03-30T15:19:58.000Z","MUL_IMAGE_CHEXPERT","64"
"light_MUL_IMAGE_CHEXPERT_3","0.8027211928247406","3","ft","","LightGBM 💡","2026-03-30T15:17:08.000Z","MUL_IMAGE_CHEXPERT","166"
"light_MUL_IMAGE_CHEXPERT_3","0.7696665664154146","3","non","","LightGBM 💡","2026-03-30T15:16:51.000Z","MUL_IMAGE_CHEXPERT","15"
