"Name","test_score","fold","multimodal_state","model","Created","dataset","Runtime"
"tabpfnv2_MUL_IMAGE_CSGO_SKIN_PRICE_4","0.8590329837361301","4","img","TabPFN-v2 🤯","2026-03-28T23:56:48.000Z","MUL_IMAGE_CSGO_SKIN_PRICE","50"
"tabpfnv2_MUL_IMAGE_CSGO_SKIN_PRICE_4","0.8702684298525611","4","ft","TabPFN-v2 🤯","2026-03-28T23:53:59.000Z","MUL_IMAGE_CSGO_SKIN_PRICE","162"
"tabpfnv2_MUL_IMAGE_CSGO_SKIN_PRICE_4","0.8878227694178447","4","non","TabPFN-v2 🤯","2026-03-28T23:53:27.000Z","MUL_IMAGE_CSGO_SKIN_PRICE","28"
"tabpfnv2_MUL_IMAGE_CSGO_SKIN_PRICE_4","0.8940285757713939","4","all","TabPFN-v2 🤯","2026-03-28T23:52:23.000Z","MUL_IMAGE_CSGO_SKIN_PRICE","57"
"tabpfnv2p5_MUL_IMAGE_CSGO_SKIN_PRICE_4","0.8604699802401582","4","img","TabPFN-v2p5 🇩🇪","2026-03-28T23:51:24.000Z","MUL_IMAGE_CSGO_SKIN_PRICE","51"
"tabpfnv2p5_MUL_IMAGE_CSGO_SKIN_PRICE_4","0.8722945736434108","4","ft","TabPFN-v2p5 🇩🇪","2026-03-28T23:48:30.000Z","MUL_IMAGE_CSGO_SKIN_PRICE","167"
"tabpfnv2p5_MUL_IMAGE_CSGO_SKIN_PRICE_4","0.8998784009727923","4","non","TabPFN-v2p5 🇩🇪","2026-03-28T23:47:57.000Z","MUL_IMAGE_CSGO_SKIN_PRICE","29"
"tabpfnv2p5_MUL_IMAGE_CSGO_SKIN_PRICE_4","0.9009423924608604","4","all","TabPFN-v2p5 🇩🇪","2026-03-28T23:46:54.000Z","MUL_IMAGE_CSGO_SKIN_PRICE","57"
"tabm_MUL_IMAGE_CSGO_SKIN_PRICE_4","0.8321352789177686","4","img","TabM Ⓜ️","2026-03-28T23:46:00.000Z","MUL_IMAGE_CSGO_SKIN_PRICE","47"
"tabm_MUL_IMAGE_CSGO_SKIN_PRICE_4","0.8499230886152912","4","ft","TabM Ⓜ️","2026-03-28T23:42:55.000Z","MUL_IMAGE_CSGO_SKIN_PRICE","181"
"tabm_MUL_IMAGE_CSGO_SKIN_PRICE_4","0.8523851649186807","4","non","TabM Ⓜ️","2026-03-28T23:42:22.000Z","MUL_IMAGE_CSGO_SKIN_PRICE","27"
