"Name","test_score","fold","multimodal_state","parameters.dino_models","model","Created","dataset","Runtime"
"tabpfnv2_MUL_IMAGE_FLOWER_BOUQUETS_4","0.6442345148141209","4","img","","TabPFN-v2 🤯","2026-03-30T00:23:38.000Z","MUL_IMAGE_FLOWER_BOUQUETS","23"
"tabpfnv2_MUL_IMAGE_FLOWER_BOUQUETS_4","0.6773010166140021","4","ft","","TabPFN-v2 🤯","2026-03-30T00:22:08.000Z","MUL_IMAGE_FLOWER_BOUQUETS","82"
"tabpfnv2_MUL_IMAGE_FLOWER_BOUQUETS_4","0.5536150407275546","4","non","","TabPFN-v2 🤯","2026-03-30T00:21:41.000Z","MUL_IMAGE_FLOWER_BOUQUETS","20"
"tabpfnv2_MUL_IMAGE_FLOWER_BOUQUETS_4","0.6525517039882467","4","all","","TabPFN-v2 🤯","2026-03-30T00:21:09.000Z","MUL_IMAGE_FLOWER_BOUQUETS","27"
"tabpfnv2p5_MUL_IMAGE_FLOWER_BOUQUETS_4","0.6369413509600524","4","img","","TabPFN-v2p5 🇩🇪","2026-03-30T00:20:42.000Z","MUL_IMAGE_FLOWER_BOUQUETS","22"
"tabpfnv2p5_MUL_IMAGE_FLOWER_BOUQUETS_4","0.675330425349099","4","ft","","TabPFN-v2p5 🇩🇪","2026-03-30T00:19:13.000Z","MUL_IMAGE_FLOWER_BOUQUETS","83"
"tabpfnv2p5_MUL_IMAGE_FLOWER_BOUQUETS_4","0.5681505555662325","4","non","","TabPFN-v2p5 🇩🇪","2026-03-30T00:18:46.000Z","MUL_IMAGE_FLOWER_BOUQUETS","20"
"tabpfnv2p5_MUL_IMAGE_FLOWER_BOUQUETS_4","0.6410967258735016","4","all","","TabPFN-v2p5 🇩🇪","2026-03-30T00:18:14.000Z","MUL_IMAGE_FLOWER_BOUQUETS","29"
"tabm_MUL_IMAGE_FLOWER_BOUQUETS_4","0.6139757711489399","4","img","","TabM Ⓜ️","2026-03-30T00:17:47.000Z","MUL_IMAGE_FLOWER_BOUQUETS","20"
"tabm_MUL_IMAGE_FLOWER_BOUQUETS_4","0.6248214496185363","4","ft","","TabM Ⓜ️","2026-03-30T00:16:54.000Z","MUL_IMAGE_FLOWER_BOUQUETS","50"
"tabm_MUL_IMAGE_FLOWER_BOUQUETS_4","0.5764266673927052","4","non","","TabM Ⓜ️","2026-03-30T00:16:27.000Z","MUL_IMAGE_FLOWER_BOUQUETS","20"
"tabm_MUL_IMAGE_FLOWER_BOUQUETS_4","0.6005416572174895","4","all","","TabM Ⓜ️","2026-03-30T00:15:55.000Z","MUL_IMAGE_FLOWER_BOUQUETS","29"
"cat_MUL_IMAGE_FLOWER_BOUQUETS_4","0.6050792269051704","4","img","","CatBoost 😸","2026-03-30T00:15:29.000Z","MUL_IMAGE_FLOWER_BOUQUETS","21"
"cat_MUL_IMAGE_FLOWER_BOUQUETS_4","0.5724562600797894","4","ft","","CatBoost 😸","2026-03-30T00:14:30.000Z","MUL_IMAGE_FLOWER_BOUQUETS","53"
"cat_MUL_IMAGE_FLOWER_BOUQUETS_4","0.5604202071585257","4","non","","CatBoost 😸","2026-03-30T00:14:04.000Z","MUL_IMAGE_FLOWER_BOUQUETS","20"
"cat_MUL_IMAGE_FLOWER_BOUQUETS_4","0.5746808397649129","4","all","","CatBoost 😸","2026-03-30T00:13:32.000Z","MUL_IMAGE_FLOWER_BOUQUETS","29"
"light_MUL_IMAGE_FLOWER_BOUQUETS_4","0.5638543214636723","4","img","","LightGBM 💡","2026-03-30T00:13:05.000Z","MUL_IMAGE_FLOWER_BOUQUETS","20"
"light_MUL_IMAGE_FLOWER_BOUQUETS_4","0.604959468982943","4","ft","","LightGBM 💡","2026-03-30T00:12:07.000Z","MUL_IMAGE_FLOWER_BOUQUETS","52"
"light_MUL_IMAGE_FLOWER_BOUQUETS_4","0.5306570220464781","4","non","","LightGBM 💡","2026-03-30T00:11:41.000Z","MUL_IMAGE_FLOWER_BOUQUETS","19"
"light_MUL_IMAGE_FLOWER_BOUQUETS_4","0.5652171557950415","4","all","","LightGBM 💡","2026-03-30T00:11:09.000Z","MUL_IMAGE_FLOWER_BOUQUETS","26"
"tabpfnv2_MUL_IMAGE_FLOWER_BOUQUETS_3","0.6498304552648199","3","img","","TabPFN-v2 🤯","2026-03-30T00:10:41.000Z","MUL_IMAGE_FLOWER_BOUQUETS","22"
"tabpfnv2_MUL_IMAGE_FLOWER_BOUQUETS_3","0.6611649670693512","3","ft","","TabPFN-v2 🤯","2026-03-30T00:09:23.000Z","MUL_IMAGE_FLOWER_BOUQUETS","74"
"tabpfnv2_MUL_IMAGE_FLOWER_BOUQUETS_3","0.5995136044526445","3","non","","TabPFN-v2 🤯","2026-03-30T00:08:56.000Z","MUL_IMAGE_FLOWER_BOUQUETS","19"
"tabpfnv2_MUL_IMAGE_FLOWER_BOUQUETS_3","0.65325316734279","3","all","","TabPFN-v2 🤯","2026-03-30T00:08:24.000Z","MUL_IMAGE_FLOWER_BOUQUETS","27"
"tabpfnv2p5_MUL_IMAGE_FLOWER_BOUQUETS_3","0.6446865845842815","3","img","","TabPFN-v2p5 🇩🇪","2026-03-30T00:07:57.000Z","MUL_IMAGE_FLOWER_BOUQUETS","21"
"tabpfnv2p5_MUL_IMAGE_FLOWER_BOUQUETS_3","0.6599312820077526","3","ft","","TabPFN-v2p5 🇩🇪","2026-03-30T00:06:33.000Z","MUL_IMAGE_FLOWER_BOUQUETS","78"
"tabpfnv2p5_MUL_IMAGE_FLOWER_BOUQUETS_3","0.6063303855904855","3","non","","TabPFN-v2p5 🇩🇪","2026-03-30T00:06:07.000Z","MUL_IMAGE_FLOWER_BOUQUETS","21"
"tabpfnv2p5_MUL_IMAGE_FLOWER_BOUQUETS_3","0.661002538532089","3","all","","TabPFN-v2p5 🇩🇪","2026-03-30T00:05:29.000Z","MUL_IMAGE_FLOWER_BOUQUETS","30"
"tabm_MUL_IMAGE_FLOWER_BOUQUETS_3","0.617912585209422","3","img","","TabM Ⓜ️","2026-03-30T00:05:03.000Z","MUL_IMAGE_FLOWER_BOUQUETS","22"
"tabm_MUL_IMAGE_FLOWER_BOUQUETS_3","0.6068666617018448","3","ft","","TabM Ⓜ️","2026-03-30T00:03:39.000Z","MUL_IMAGE_FLOWER_BOUQUETS","77"
"tabm_MUL_IMAGE_FLOWER_BOUQUETS_3","0.557175770748551","3","non","","TabM Ⓜ️","2026-03-30T00:03:11.000Z","MUL_IMAGE_FLOWER_BOUQUETS","21"
"tabm_MUL_IMAGE_FLOWER_BOUQUETS_3","0.6293788930075556","3","all","","TabM Ⓜ️","2026-03-30T00:02:40.000Z","MUL_IMAGE_FLOWER_BOUQUETS","26"
"cat_MUL_IMAGE_FLOWER_BOUQUETS_3","0.6286341070447619","3","img","","CatBoost 😸","2026-03-30T00:02:13.000Z","MUL_IMAGE_FLOWER_BOUQUETS","20"
"cat_MUL_IMAGE_FLOWER_BOUQUETS_3","0.635048973536432","3","ft","","CatBoost 😸","2026-03-30T00:00:48.000Z","MUL_IMAGE_FLOWER_BOUQUETS","81"
"cat_MUL_IMAGE_FLOWER_BOUQUETS_3","0.5847861599452054","3","non","","CatBoost 😸","2026-03-30T00:00:22.000Z","MUL_IMAGE_FLOWER_BOUQUETS","21"
"cat_MUL_IMAGE_FLOWER_BOUQUETS_3","0.652593621605303","3","all","","CatBoost 😸","2026-03-29T23:59:50.000Z","MUL_IMAGE_FLOWER_BOUQUETS","28"
"light_MUL_IMAGE_FLOWER_BOUQUETS_3","0.6316272110006571","3","img","","LightGBM 💡","2026-03-29T23:59:23.000Z","MUL_IMAGE_FLOWER_BOUQUETS","20"
"light_MUL_IMAGE_FLOWER_BOUQUETS_3","0.6231429946363909","3","ft","","LightGBM 💡","2026-03-29T23:58:04.000Z","MUL_IMAGE_FLOWER_BOUQUETS","77"
