"Name","test_score","fold","multimodal_state","model","Created","dataset","Runtime"
"cat_MUL_IMAGE_GLAUCOMA_SMDG_2","0.9220976737860122","2","all","CatBoost 😸","2026-04-02T11:36:39.000Z","MUL_IMAGE_GLAUCOMA_SMDG","176"
"cat_MUL_IMAGE_GLAUCOMA_SMDG_2","0.8144674638961926","2","non","CatBoost 😸","2026-04-02T11:36:38.000Z","MUL_IMAGE_GLAUCOMA_SMDG","17"
"tabpfnv2_MUL_IMAGE_GLAUCOMA_SMDG_4","0.8704068365971299","4","img","TabPFN-v2 🤯","2026-04-02T10:43:28.000Z","MUL_IMAGE_GLAUCOMA_SMDG","179"
"tabpfnv2_MUL_IMAGE_GLAUCOMA_SMDG_4","0.9142879857889926","4","ft","TabPFN-v2 🤯","2026-04-02T10:42:21.000Z","MUL_IMAGE_GLAUCOMA_SMDG","355"
"tabpfnv2_MUL_IMAGE_GLAUCOMA_SMDG_4","0.7289135446302378","4","non","TabPFN-v2 🤯","2026-04-02T10:41:20.000Z","MUL_IMAGE_GLAUCOMA_SMDG","554"
"tabpfnv2_MUL_IMAGE_GLAUCOMA_SMDG_4","0.9172872180106512","4","all","TabPFN-v2 🤯","2026-04-02T10:40:19.000Z","MUL_IMAGE_GLAUCOMA_SMDG","181"
"tabpfnv2p5_MUL_IMAGE_GLAUCOMA_SMDG_4","0.8840202916606855","4","img","TabPFN-v2p5 🇩🇪","2026-04-02T10:39:59.000Z","MUL_IMAGE_GLAUCOMA_SMDG","139"
"tabpfnv2p5_MUL_IMAGE_GLAUCOMA_SMDG_4","0.9300364291895364","4","ft","TabPFN-v2p5 🇩🇪","2026-04-02T10:39:41.000Z","MUL_IMAGE_GLAUCOMA_SMDG","491"
"tabpfnv2p5_MUL_IMAGE_GLAUCOMA_SMDG_4","0.7985596655067191","4","non","TabPFN-v2p5 🇩🇪","2026-04-02T10:38:27.000Z","MUL_IMAGE_GLAUCOMA_SMDG","605"
"tabpfnv2p5_MUL_IMAGE_GLAUCOMA_SMDG_4","0.9329051778817218","4","all","TabPFN-v2p5 🇩🇪","2026-04-02T10:38:27.000Z","MUL_IMAGE_GLAUCOMA_SMDG","170"
"tabm_MUL_IMAGE_GLAUCOMA_SMDG_4","0.8912014754334369","4","img","TabM Ⓜ️","2026-04-02T10:37:37.000Z","MUL_IMAGE_GLAUCOMA_SMDG","136"
"tabm_MUL_IMAGE_GLAUCOMA_SMDG_4","0.9144066019895454","4","ft","TabM Ⓜ️","2026-04-02T10:37:08.000Z","MUL_IMAGE_GLAUCOMA_SMDG","401"
"tabm_MUL_IMAGE_GLAUCOMA_SMDG_4","0.7901450196389422","4","non","TabM Ⓜ️","2026-04-02T10:36:47.000Z","MUL_IMAGE_GLAUCOMA_SMDG","20"
"tabm_MUL_IMAGE_GLAUCOMA_SMDG_4","0.922737835253018","4","all","TabM Ⓜ️","2026-04-02T10:35:54.000Z","MUL_IMAGE_GLAUCOMA_SMDG","134"
"cat_MUL_IMAGE_GLAUCOMA_SMDG_4","0.8501371094823402","4","img","CatBoost 😸","2026-04-02T10:35:39.000Z","MUL_IMAGE_GLAUCOMA_SMDG","162"
"cat_MUL_IMAGE_GLAUCOMA_SMDG_4","0.9162195227272684","4","ft","CatBoost 😸","2026-04-02T10:34:17.000Z","MUL_IMAGE_GLAUCOMA_SMDG","354"
"cat_MUL_IMAGE_GLAUCOMA_SMDG_4","0.8045126654520347","4","non","CatBoost 😸","2026-04-02T10:33:55.000Z","MUL_IMAGE_GLAUCOMA_SMDG","16"
"cat_MUL_IMAGE_GLAUCOMA_SMDG_4","0.9077262975849202","4","all","CatBoost 😸","2026-04-02T10:33:32.000Z","MUL_IMAGE_GLAUCOMA_SMDG","138"
"light_MUL_IMAGE_GLAUCOMA_SMDG_4","0.8293204886778823","4","img","LightGBM 💡","2026-04-02T10:32:57.000Z","MUL_IMAGE_GLAUCOMA_SMDG","157"
"light_MUL_IMAGE_GLAUCOMA_SMDG_4","0.9008261799648808","4","ft","LightGBM 💡","2026-04-02T10:31:33.000Z","MUL_IMAGE_GLAUCOMA_SMDG","482"
"light_MUL_IMAGE_GLAUCOMA_SMDG_4","0.785670900455235","4","non","LightGBM 💡","2026-04-02T10:31:12.000Z","MUL_IMAGE_GLAUCOMA_SMDG","14"
"light_MUL_IMAGE_GLAUCOMA_SMDG_4","0.9187510792659218","4","all","LightGBM 💡","2026-04-02T10:31:10.000Z","MUL_IMAGE_GLAUCOMA_SMDG","128"
"tabpfnv2_MUL_IMAGE_GLAUCOMA_SMDG_3","0.9079631488859966","3","img","TabPFN-v2 🤯","2026-04-02T10:30:03.000Z","MUL_IMAGE_GLAUCOMA_SMDG","169"
"tabpfnv2_MUL_IMAGE_GLAUCOMA_SMDG_3","0.9544028337308996","3","ft","TabPFN-v2 🤯","2026-04-02T10:29:42.000Z","MUL_IMAGE_GLAUCOMA_SMDG","418"
"tabpfnv2_MUL_IMAGE_GLAUCOMA_SMDG_3","0.8025921563616877","3","non","TabPFN-v2 🤯","2026-04-02T10:27:40.000Z","MUL_IMAGE_GLAUCOMA_SMDG","594"
"tabpfnv2_MUL_IMAGE_GLAUCOMA_SMDG_3","0.952152822683346","3","all","TabPFN-v2 🤯","2026-04-02T10:26:59.000Z","MUL_IMAGE_GLAUCOMA_SMDG","179"
"tabpfnv2p5_MUL_IMAGE_GLAUCOMA_SMDG_3","0.9050374632366626","3","img","TabPFN-v2p5 🇩🇪","2026-04-02T10:26:38.000Z","MUL_IMAGE_GLAUCOMA_SMDG","177"
"tabpfnv2p5_MUL_IMAGE_GLAUCOMA_SMDG_3","0.9553314897843428","3","ft","TabPFN-v2p5 🇩🇪","2026-04-02T10:24:52.000Z","MUL_IMAGE_GLAUCOMA_SMDG","369"
"tabpfnv2p5_MUL_IMAGE_GLAUCOMA_SMDG_3","0.8349683101726636","3","non","TabPFN-v2p5 🇩🇪","2026-04-02T10:24:44.000Z","MUL_IMAGE_GLAUCOMA_SMDG","547"
"tabpfnv2p5_MUL_IMAGE_GLAUCOMA_SMDG_3","0.957374600437002","3","all","TabPFN-v2p5 🇩🇪","2026-04-02T10:23:54.000Z","MUL_IMAGE_GLAUCOMA_SMDG","169"
"tabm_MUL_IMAGE_GLAUCOMA_SMDG_3","0.913728582544202","3","img","TabM Ⓜ️","2026-04-02T10:23:49.000Z","MUL_IMAGE_GLAUCOMA_SMDG","162"
"tabm_MUL_IMAGE_GLAUCOMA_SMDG_3","0.9472389258088088","3","ft","TabM Ⓜ️","2026-04-02T10:23:24.000Z","MUL_IMAGE_GLAUCOMA_SMDG","461"
"tabm_MUL_IMAGE_GLAUCOMA_SMDG_3","0.833129860426058","3","non","TabM Ⓜ️","2026-04-02T10:22:57.000Z","MUL_IMAGE_GLAUCOMA_SMDG","20"
"tabm_MUL_IMAGE_GLAUCOMA_SMDG_3","0.9543740077087642","3","all","TabM Ⓜ️","2026-04-02T10:22:30.000Z","MUL_IMAGE_GLAUCOMA_SMDG","137"
"cat_MUL_IMAGE_GLAUCOMA_SMDG_3","0.8999744907992341","3","img","CatBoost 😸","2026-04-02T10:22:07.000Z","MUL_IMAGE_GLAUCOMA_SMDG","150"
"cat_MUL_IMAGE_GLAUCOMA_SMDG_3","0.9523136652979044","3","ft","CatBoost 😸","2026-04-02T10:22:04.000Z","MUL_IMAGE_GLAUCOMA_SMDG","330"
"cat_MUL_IMAGE_GLAUCOMA_SMDG_3","0.8343281490620106","3","non","CatBoost 😸","2026-04-02T10:21:51.000Z","MUL_IMAGE_GLAUCOMA_SMDG","20"
"cat_MUL_IMAGE_GLAUCOMA_SMDG_3","0.9522268223813845","3","all","CatBoost 😸","2026-04-02T10:19:42.000Z","MUL_IMAGE_GLAUCOMA_SMDG","134"
"light_MUL_IMAGE_GLAUCOMA_SMDG_3","0.8657909403374208","3","img","LightGBM 💡","2026-04-02T10:19:23.000Z","MUL_IMAGE_GLAUCOMA_SMDG","159"
"light_MUL_IMAGE_GLAUCOMA_SMDG_3","0.943758484107358","3","ft","LightGBM 💡","2026-04-02T10:17:46.000Z","MUL_IMAGE_GLAUCOMA_SMDG","363"
"light_MUL_IMAGE_GLAUCOMA_SMDG_3","0.768734271403502","3","non","LightGBM 💡","2026-04-02T10:17:30.000Z","MUL_IMAGE_GLAUCOMA_SMDG","14"
"light_MUL_IMAGE_GLAUCOMA_SMDG_3","0.9421840501801124","3","all","LightGBM 💡","2026-04-02T10:17:25.000Z","MUL_IMAGE_GLAUCOMA_SMDG","130"
"tabpfnv2_MUL_IMAGE_GLAUCOMA_SMDG_2","0.8930504547980588","2","img","TabPFN-v2 🤯","2026-04-02T10:16:30.000Z","MUL_IMAGE_GLAUCOMA_SMDG","170"
"tabpfnv2_MUL_IMAGE_GLAUCOMA_SMDG_2","0.9508115685618446","2","ft","TabPFN-v2 🤯","2026-04-02T10:15:30.000Z","MUL_IMAGE_GLAUCOMA_SMDG","442"
"tabpfnv2_MUL_IMAGE_GLAUCOMA_SMDG_2","0.7181004846216356","2","non","TabPFN-v2 🤯","2026-04-02T10:14:32.000Z","MUL_IMAGE_GLAUCOMA_SMDG","550"
"tabpfnv2_MUL_IMAGE_GLAUCOMA_SMDG_2","0.9242074301657798","2","all","TabPFN-v2 🤯","2026-04-02T10:13:26.000Z","MUL_IMAGE_GLAUCOMA_SMDG","177"
"tabpfnv2p5_MUL_IMAGE_GLAUCOMA_SMDG_2","0.9021789047349368","2","img","TabPFN-v2p5 🇩🇪","2026-04-02T10:12:21.000Z","MUL_IMAGE_GLAUCOMA_SMDG","182"
"tabpfnv2p5_MUL_IMAGE_GLAUCOMA_SMDG_2","0.9532160632619844","2","ft","TabPFN-v2p5 🇩🇪","2026-04-02T10:11:59.000Z","MUL_IMAGE_GLAUCOMA_SMDG","314"
"tabpfnv2p5_MUL_IMAGE_GLAUCOMA_SMDG_2","0.8067270885532833","2","non","TabPFN-v2p5 🇩🇪","2026-04-02T10:11:54.000Z","MUL_IMAGE_GLAUCOMA_SMDG","593"
"tabpfnv2p5_MUL_IMAGE_GLAUCOMA_SMDG_2","0.9409993939381454","2","all","TabPFN-v2p5 🇩🇪","2026-04-02T10:11:28.000Z","MUL_IMAGE_GLAUCOMA_SMDG","177"
