"Name","test_score","fold","multimodal_state","parameters.dino_models","model","Created","dataset","Runtime"
"tabpfnv2_MUL_IMAGE_JUSTIN_INSTAGRAM_4","0.8979196648342345","4","img","","TabPFN-v2 🤯","2026-03-30T05:14:14.000Z","MUL_IMAGE_JUSTIN_INSTAGRAM","256"
"tabpfnv2_MUL_IMAGE_JUSTIN_INSTAGRAM_4","0.9828871931630936","4","ft","","TabPFN-v2 🤯","2026-03-30T05:02:49.000Z","MUL_IMAGE_JUSTIN_INSTAGRAM","677"
"tabpfnv2_MUL_IMAGE_JUSTIN_INSTAGRAM_4","0.9545875198101031","4","non","","TabPFN-v2 🤯","2026-03-30T05:02:24.000Z","MUL_IMAGE_JUSTIN_INSTAGRAM","15"
"tabpfnv2_MUL_IMAGE_JUSTIN_INSTAGRAM_4","0.989076055640826","4","all","","TabPFN-v2 🤯","2026-03-30T04:58:02.000Z","MUL_IMAGE_JUSTIN_INSTAGRAM","255"
"tabpfnv2p5_MUL_IMAGE_JUSTIN_INSTAGRAM_4","0.8985503325890919","4","img","","TabPFN-v2p5 🇩🇪","2026-03-30T04:53:45.000Z","MUL_IMAGE_JUSTIN_INSTAGRAM","249"
"tabpfnv2p5_MUL_IMAGE_JUSTIN_INSTAGRAM_4","0.9880635918564996","4","ft","","TabPFN-v2p5 🇩🇪","2026-03-30T04:42:16.000Z","MUL_IMAGE_JUSTIN_INSTAGRAM","683"
"tabpfnv2p5_MUL_IMAGE_JUSTIN_INSTAGRAM_4","0.9559191963090286","4","non","","TabPFN-v2p5 🇩🇪","2026-03-30T04:41:55.000Z","MUL_IMAGE_JUSTIN_INSTAGRAM","16"
"tabpfnv2p5_MUL_IMAGE_JUSTIN_INSTAGRAM_4","0.9899980466613938","4","all","","TabPFN-v2p5 🇩🇪","2026-03-30T04:37:28.000Z","MUL_IMAGE_JUSTIN_INSTAGRAM","261"
"tabm_MUL_IMAGE_JUSTIN_INSTAGRAM_4","0.8990324243522396","4","img","","TabM Ⓜ️","2026-03-30T04:33:11.000Z","MUL_IMAGE_JUSTIN_INSTAGRAM","250"
"tabm_MUL_IMAGE_JUSTIN_INSTAGRAM_4","0.987631344616442","4","ft","","TabM Ⓜ️","2026-03-30T04:23:36.000Z","MUL_IMAGE_JUSTIN_INSTAGRAM","569"
"tabm_MUL_IMAGE_JUSTIN_INSTAGRAM_4","0.956212686568229","4","non","","TabM Ⓜ️","2026-03-30T04:23:09.000Z","MUL_IMAGE_JUSTIN_INSTAGRAM","22"
"tabm_MUL_IMAGE_JUSTIN_INSTAGRAM_4","0.9881227530939464","4","all","","TabM Ⓜ️","2026-03-30T04:18:57.000Z","MUL_IMAGE_JUSTIN_INSTAGRAM","247"
"cat_MUL_IMAGE_JUSTIN_INSTAGRAM_4","0.8863685971882808","4","img","","CatBoost 😸","2026-03-30T04:14:45.000Z","MUL_IMAGE_JUSTIN_INSTAGRAM","245"
"cat_MUL_IMAGE_JUSTIN_INSTAGRAM_4","0.9872372684959456","4","ft","","CatBoost 😸","2026-03-30T04:05:15.000Z","MUL_IMAGE_JUSTIN_INSTAGRAM","566"
"cat_MUL_IMAGE_JUSTIN_INSTAGRAM_4","0.9590047527089128","4","non","","CatBoost 😸","2026-03-30T04:04:48.000Z","MUL_IMAGE_JUSTIN_INSTAGRAM","20"
"cat_MUL_IMAGE_JUSTIN_INSTAGRAM_4","0.988199756267675","4","all","","CatBoost 😸","2026-03-30T04:00:29.000Z","MUL_IMAGE_JUSTIN_INSTAGRAM","252"
"light_MUL_IMAGE_JUSTIN_INSTAGRAM_4","0.8653676259947259","4","img","","LightGBM 💡","2026-03-30T03:56:28.000Z","MUL_IMAGE_JUSTIN_INSTAGRAM","235"
"light_MUL_IMAGE_JUSTIN_INSTAGRAM_4","0.9881014705456034","4","ft","","LightGBM 💡","2026-03-30T03:47:02.000Z","MUL_IMAGE_JUSTIN_INSTAGRAM","561"
"light_MUL_IMAGE_JUSTIN_INSTAGRAM_4","0.9519340527900332","4","non","","LightGBM 💡","2026-03-30T03:46:41.000Z","MUL_IMAGE_JUSTIN_INSTAGRAM","14"
"light_MUL_IMAGE_JUSTIN_INSTAGRAM_4","0.9845667707459128","4","all","","LightGBM 💡","2026-03-30T03:42:40.000Z","MUL_IMAGE_JUSTIN_INSTAGRAM","237"
"tabpfnv2_MUL_IMAGE_JUSTIN_INSTAGRAM_3","0.8914165259497754","3","img","","TabPFN-v2 🤯","2026-03-30T03:38:17.000Z","MUL_IMAGE_JUSTIN_INSTAGRAM","256"
"tabpfnv2_MUL_IMAGE_JUSTIN_INSTAGRAM_3","0.9895195100343888","3","ft","","TabPFN-v2 🤯","2026-03-30T03:27:59.000Z","MUL_IMAGE_JUSTIN_INSTAGRAM","612"
"tabpfnv2_MUL_IMAGE_JUSTIN_INSTAGRAM_3","0.9571247310542444","3","non","","TabPFN-v2 🤯","2026-03-30T03:27:38.000Z","MUL_IMAGE_JUSTIN_INSTAGRAM","16"
"tabpfnv2_MUL_IMAGE_JUSTIN_INSTAGRAM_3","0.9718965229582824","3","all","","TabPFN-v2 🤯","2026-03-30T03:23:15.000Z","MUL_IMAGE_JUSTIN_INSTAGRAM","258"
"tabpfnv2p5_MUL_IMAGE_JUSTIN_INSTAGRAM_3","0.8907275865795828","3","img","","TabPFN-v2p5 🇩🇪","2026-03-30T03:18:57.000Z","MUL_IMAGE_JUSTIN_INSTAGRAM","253"
"tabpfnv2p5_MUL_IMAGE_JUSTIN_INSTAGRAM_3","0.9904991796389846","3","ft","","TabPFN-v2p5 🇩🇪","2026-03-30T03:08:39.000Z","MUL_IMAGE_JUSTIN_INSTAGRAM","610"
"tabpfnv2p5_MUL_IMAGE_JUSTIN_INSTAGRAM_3","0.9602026893287804","3","non","","TabPFN-v2p5 🇩🇪","2026-03-30T03:08:17.000Z","MUL_IMAGE_JUSTIN_INSTAGRAM","17"
"tabpfnv2p5_MUL_IMAGE_JUSTIN_INSTAGRAM_3","0.9769687561295928","3","all","","TabPFN-v2p5 🇩🇪","2026-03-30T03:03:55.000Z","MUL_IMAGE_JUSTIN_INSTAGRAM","257"
"tabm_MUL_IMAGE_JUSTIN_INSTAGRAM_3","0.9004072062271369","3","img","","TabM Ⓜ️","2026-03-30T02:59:38.000Z","MUL_IMAGE_JUSTIN_INSTAGRAM","252"
"tabm_MUL_IMAGE_JUSTIN_INSTAGRAM_3","0.9848782774116752","3","ft","","TabM Ⓜ️","2026-03-30T02:50:02.000Z","MUL_IMAGE_JUSTIN_INSTAGRAM","572"
"tabm_MUL_IMAGE_JUSTIN_INSTAGRAM_3","0.954478410185346","3","non","","TabM Ⓜ️","2026-03-30T02:49:29.000Z","MUL_IMAGE_JUSTIN_INSTAGRAM","25"
"tabm_MUL_IMAGE_JUSTIN_INSTAGRAM_3","0.9589187676211904","3","all","","TabM Ⓜ️","2026-03-30T02:45:12.000Z","MUL_IMAGE_JUSTIN_INSTAGRAM","250"
"cat_MUL_IMAGE_JUSTIN_INSTAGRAM_3","0.8918315782899633","3","img","","CatBoost 😸","2026-03-30T02:41:00.000Z","MUL_IMAGE_JUSTIN_INSTAGRAM","247"
"cat_MUL_IMAGE_JUSTIN_INSTAGRAM_3","0.9877344467138526","3","ft","","CatBoost 😸","2026-03-30T02:31:32.000Z","MUL_IMAGE_JUSTIN_INSTAGRAM","560"
"cat_MUL_IMAGE_JUSTIN_INSTAGRAM_3","0.9534236451661028","3","non","","CatBoost 😸","2026-03-30T02:31:10.000Z","MUL_IMAGE_JUSTIN_INSTAGRAM","19"
"cat_MUL_IMAGE_JUSTIN_INSTAGRAM_3","0.9614260424190636","3","all","","CatBoost 😸","2026-03-30T02:27:04.000Z","MUL_IMAGE_JUSTIN_INSTAGRAM","242"
"light_MUL_IMAGE_JUSTIN_INSTAGRAM_3","0.8825392326756057","3","img","","LightGBM 💡","2026-03-30T02:23:02.000Z","MUL_IMAGE_JUSTIN_INSTAGRAM","238"
"light_MUL_IMAGE_JUSTIN_INSTAGRAM_3","0.984220007260114","3","ft","","LightGBM 💡","2026-03-30T02:13:37.000Z","MUL_IMAGE_JUSTIN_INSTAGRAM","561"
"light_MUL_IMAGE_JUSTIN_INSTAGRAM_3","0.9552670071263544","3","non","","LightGBM 💡","2026-03-30T02:13:16.000Z","MUL_IMAGE_JUSTIN_INSTAGRAM","14"
"light_MUL_IMAGE_JUSTIN_INSTAGRAM_3","0.9684415062188844","3","all","","LightGBM 💡","2026-03-30T02:09:09.000Z","MUL_IMAGE_JUSTIN_INSTAGRAM","240"
"tabpfnv2_MUL_IMAGE_JUSTIN_INSTAGRAM_2","0.9228101464876692","2","img","","TabPFN-v2 🤯","2026-03-30T02:04:47.000Z","MUL_IMAGE_JUSTIN_INSTAGRAM","258"
"tabpfnv2_MUL_IMAGE_JUSTIN_INSTAGRAM_2","0.9820743345296516","2","ft","","TabPFN-v2 🤯","2026-03-30T01:54:22.000Z","MUL_IMAGE_JUSTIN_INSTAGRAM","619"
"tabpfnv2_MUL_IMAGE_JUSTIN_INSTAGRAM_2","0.9670581919202668","2","non","","TabPFN-v2 🤯","2026-03-30T01:54:00.000Z","MUL_IMAGE_JUSTIN_INSTAGRAM","17"
"tabpfnv2_MUL_IMAGE_JUSTIN_INSTAGRAM_2","0.9827819086135764","2","all","","TabPFN-v2 🤯","2026-03-30T01:49:38.000Z","MUL_IMAGE_JUSTIN_INSTAGRAM","258"
"tabpfnv2p5_MUL_IMAGE_JUSTIN_INSTAGRAM_2","0.928555733958066","2","img","","TabPFN-v2p5 🇩🇪","2026-03-30T01:45:16.000Z","MUL_IMAGE_JUSTIN_INSTAGRAM","254"
"tabpfnv2p5_MUL_IMAGE_JUSTIN_INSTAGRAM_2","0.9881545988919462","2","ft","","TabPFN-v2p5 🇩🇪","2026-03-30T01:34:59.000Z","MUL_IMAGE_JUSTIN_INSTAGRAM","611"
"tabpfnv2p5_MUL_IMAGE_JUSTIN_INSTAGRAM_2","0.9704461433848396","2","non","","TabPFN-v2p5 🇩🇪","2026-03-30T01:34:37.000Z","MUL_IMAGE_JUSTIN_INSTAGRAM","17"
