"Name","test_score","fold","multimodal_state","parameters.dino_models","model","Created","dataset","Runtime"
"tabpfnv2_MUL_IMAGE_PETFINDER_4","0.810858972073192","4","img","","TabPFN-v2 🤯","2026-03-30T22:44:12.000Z","MUL_IMAGE_PETFINDER","89"
"tabpfnv2_MUL_IMAGE_PETFINDER_4","0.8443062310319462","4","ft","","TabPFN-v2 🤯","2026-03-30T22:35:28.000Z","MUL_IMAGE_PETFINDER","517"
"tabpfnv2_MUL_IMAGE_PETFINDER_4","0.7923327219790777","4","non","","TabPFN-v2 🤯","2026-03-30T22:30:14.000Z","MUL_IMAGE_PETFINDER","310"
"tabpfnv2_MUL_IMAGE_PETFINDER_4","0.8416544279332676","4","all","","TabPFN-v2 🤯","2026-03-30T22:23:43.000Z","MUL_IMAGE_PETFINDER","385"
"tabpfnv2p5_MUL_IMAGE_PETFINDER_4","0.8148247165111545","4","img","","TabPFN-v2p5 🇩🇪","2026-03-30T22:22:08.000Z","MUL_IMAGE_PETFINDER","91"
"tabpfnv2p5_MUL_IMAGE_PETFINDER_4","0.8523061496043538","4","ft","","TabPFN-v2p5 🇩🇪","2026-03-30T22:13:24.000Z","MUL_IMAGE_PETFINDER","518"
"tabpfnv2p5_MUL_IMAGE_PETFINDER_4","0.8068464097941799","4","non","","TabPFN-v2p5 🇩🇪","2026-03-30T22:08:14.000Z","MUL_IMAGE_PETFINDER","307"
"tabpfnv2p5_MUL_IMAGE_PETFINDER_4","0.8496407809489671","4","all","","TabPFN-v2p5 🇩🇪","2026-03-30T22:01:50.000Z","MUL_IMAGE_PETFINDER","377"
"tabm_MUL_IMAGE_PETFINDER_4","0.8056179862444175","4","img","","TabM Ⓜ️","2026-03-30T22:00:20.000Z","MUL_IMAGE_PETFINDER","85"
"tabm_MUL_IMAGE_PETFINDER_4","0.8512961077588032","4","ft","","TabM Ⓜ️","2026-03-30T21:52:18.000Z","MUL_IMAGE_PETFINDER","478"
"tabm_MUL_IMAGE_PETFINDER_4","0.8023692374633098","4","non","","TabM Ⓜ️","2026-03-30T21:47:19.000Z","MUL_IMAGE_PETFINDER","294"
"tabm_MUL_IMAGE_PETFINDER_4","0.8450966661177568","4","all","","TabM Ⓜ️","2026-03-30T21:41:27.000Z","MUL_IMAGE_PETFINDER","344"
"cat_MUL_IMAGE_PETFINDER_4","0.7903290013407085","4","img","","CatBoost 😸","2026-03-30T21:39:57.000Z","MUL_IMAGE_PETFINDER","82"
