"Name","test_score","fold","multimodal_state","model","Created","dataset","Runtime"
"tabpfnv2_MUL_IMAGE_ZOOSCAN_ZOOPLANKTON_4","0.972210850691917","4","img","TabPFN-v2 🤯","2026-03-29T18:46:48.000Z","MUL_IMAGE_ZOOSCAN_ZOOPLANKTON","70"
"tabpfnv2_MUL_IMAGE_ZOOSCAN_ZOOPLANKTON_4","0.9852010845357412","4","ft","TabPFN-v2 🤯","2026-03-29T18:42:25.000Z","MUL_IMAGE_ZOOSCAN_ZOOPLANKTON","259"
"tabpfnv2_MUL_IMAGE_ZOOSCAN_ZOOPLANKTON_4","0.9691675539077338","4","non","TabPFN-v2 🤯","2026-03-29T18:41:58.000Z","MUL_IMAGE_ZOOSCAN_ZOOPLANKTON","22"
"tabpfnv2_MUL_IMAGE_ZOOSCAN_ZOOPLANKTON_4","0.981380629649552","4","all","TabPFN-v2 🤯","2026-03-29T18:40:39.000Z","MUL_IMAGE_ZOOSCAN_ZOOPLANKTON","76"
"tabpfnv2p5_MUL_IMAGE_ZOOSCAN_ZOOPLANKTON_4","0.9757438080233348","4","img","TabPFN-v2p5 🇩🇪","2026-03-29T18:39:26.000Z","MUL_IMAGE_ZOOSCAN_ZOOPLANKTON","69"
"tabpfnv2p5_MUL_IMAGE_ZOOSCAN_ZOOPLANKTON_4","0.9869533068609851","4","ft","TabPFN-v2p5 🇩🇪","2026-03-29T18:35:04.000Z","MUL_IMAGE_ZOOSCAN_ZOOPLANKTON","254"
"tabpfnv2p5_MUL_IMAGE_ZOOSCAN_ZOOPLANKTON_4","0.9734902335252468","4","non","TabPFN-v2p5 🇩🇪","2026-03-29T18:34:42.000Z","MUL_IMAGE_ZOOSCAN_ZOOPLANKTON","19"
"tabpfnv2p5_MUL_IMAGE_ZOOSCAN_ZOOPLANKTON_4","0.9864538878660166","4","all","TabPFN-v2p5 🇩🇪","2026-03-29T18:33:23.000Z","MUL_IMAGE_ZOOSCAN_ZOOPLANKTON","75"
"tabm_MUL_IMAGE_ZOOSCAN_ZOOPLANKTON_4","0.9765679035540308","4","img","TabM Ⓜ️","2026-03-29T18:32:10.000Z","MUL_IMAGE_ZOOSCAN_ZOOPLANKTON","71"
"tabm_MUL_IMAGE_ZOOSCAN_ZOOPLANKTON_4","0.9857169067092184","4","ft","TabM Ⓜ️","2026-03-29T18:28:08.000Z","MUL_IMAGE_ZOOSCAN_ZOOPLANKTON","236"
"tabm_MUL_IMAGE_ZOOSCAN_ZOOPLANKTON_4","0.9653130067699164","4","non","TabM Ⓜ️","2026-03-29T18:27:41.000Z","MUL_IMAGE_ZOOSCAN_ZOOPLANKTON","22"
"tabm_MUL_IMAGE_ZOOSCAN_ZOOPLANKTON_4","0.9837309343995564","4","all","TabM Ⓜ️","2026-03-29T18:26:27.000Z","MUL_IMAGE_ZOOSCAN_ZOOPLANKTON","71"
"cat_MUL_IMAGE_ZOOSCAN_ZOOPLANKTON_4","0.9703022387607187","4","img","CatBoost 😸","2026-03-29T18:25:03.000Z","MUL_IMAGE_ZOOSCAN_ZOOPLANKTON","79"
"cat_MUL_IMAGE_ZOOSCAN_ZOOPLANKTON_4","0.9849743103083248","4","ft","CatBoost 😸","2026-03-29T18:21:02.000Z","MUL_IMAGE_ZOOSCAN_ZOOPLANKTON","236"
"cat_MUL_IMAGE_ZOOSCAN_ZOOPLANKTON_4","0.9635639807047698","4","non","CatBoost 😸","2026-03-29T18:20:30.000Z","MUL_IMAGE_ZOOSCAN_ZOOPLANKTON","26"
"cat_MUL_IMAGE_ZOOSCAN_ZOOPLANKTON_4","0.9805328426791886","4","all","CatBoost 😸","2026-03-29T18:19:00.000Z","MUL_IMAGE_ZOOSCAN_ZOOPLANKTON","87"
"light_MUL_IMAGE_ZOOSCAN_ZOOPLANKTON_4","0.9638399293040684","4","img","LightGBM 💡","2026-03-29T18:17:51.000Z","MUL_IMAGE_ZOOSCAN_ZOOPLANKTON","64"
"light_MUL_IMAGE_ZOOSCAN_ZOOPLANKTON_4","0.9804564129807084","4","ft","LightGBM 💡","2026-03-29T18:13:56.000Z","MUL_IMAGE_ZOOSCAN_ZOOPLANKTON","228"
"light_MUL_IMAGE_ZOOSCAN_ZOOPLANKTON_4","0.9574980327276612","4","non","LightGBM 💡","2026-03-29T18:13:34.000Z","MUL_IMAGE_ZOOSCAN_ZOOPLANKTON","16"
"light_MUL_IMAGE_ZOOSCAN_ZOOPLANKTON_4","0.9744424885285012","4","all","LightGBM 💡","2026-03-29T18:12:26.000Z","MUL_IMAGE_ZOOSCAN_ZOOPLANKTON","63"
"tabpfnv2_MUL_IMAGE_ZOOSCAN_ZOOPLANKTON_3","0.9756759786825716","3","img","TabPFN-v2 🤯","2026-03-29T18:11:07.000Z","MUL_IMAGE_ZOOSCAN_ZOOPLANKTON","73"
"tabpfnv2_MUL_IMAGE_ZOOSCAN_ZOOPLANKTON_3","0.9849880646187774","3","ft","TabPFN-v2 🤯","2026-03-29T18:06:45.000Z","MUL_IMAGE_ZOOSCAN_ZOOPLANKTON","255"
"tabpfnv2_MUL_IMAGE_ZOOSCAN_ZOOPLANKTON_3","0.969635098247884","3","non","TabPFN-v2 🤯","2026-03-29T18:06:24.000Z","MUL_IMAGE_ZOOSCAN_ZOOPLANKTON","19"
"tabpfnv2_MUL_IMAGE_ZOOSCAN_ZOOPLANKTON_3","0.9823589113769776","3","all","TabPFN-v2 🤯","2026-03-29T18:05:05.000Z","MUL_IMAGE_ZOOSCAN_ZOOPLANKTON","76"
"tabpfnv2p5_MUL_IMAGE_ZOOSCAN_ZOOPLANKTON_3","0.9787561422891772","3","img","TabPFN-v2p5 🇩🇪","2026-03-29T18:03:45.000Z","MUL_IMAGE_ZOOSCAN_ZOOPLANKTON","72"
"tabpfnv2p5_MUL_IMAGE_ZOOSCAN_ZOOPLANKTON_3","0.987837168663592","3","ft","TabPFN-v2p5 🇩🇪","2026-03-29T17:59:23.000Z","MUL_IMAGE_ZOOSCAN_ZOOPLANKTON","255"
"tabpfnv2p5_MUL_IMAGE_ZOOSCAN_ZOOPLANKTON_3","0.9742652298195013","3","non","TabPFN-v2p5 🇩🇪","2026-03-29T17:59:02.000Z","MUL_IMAGE_ZOOSCAN_ZOOPLANKTON","18"
"tabpfnv2p5_MUL_IMAGE_ZOOSCAN_ZOOPLANKTON_3","0.987381494701122","3","all","TabPFN-v2p5 🇩🇪","2026-03-29T17:57:43.000Z","MUL_IMAGE_ZOOSCAN_ZOOPLANKTON","75"
"tabm_MUL_IMAGE_ZOOSCAN_ZOOPLANKTON_3","0.976597916965902","3","img","TabM Ⓜ️","2026-03-29T17:56:25.000Z","MUL_IMAGE_ZOOSCAN_ZOOPLANKTON","75"
"tabm_MUL_IMAGE_ZOOSCAN_ZOOPLANKTON_3","0.9860959979287508","3","ft","TabM Ⓜ️","2026-03-29T17:52:39.000Z","MUL_IMAGE_ZOOSCAN_ZOOPLANKTON","221"
"tabm_MUL_IMAGE_ZOOSCAN_ZOOPLANKTON_3","0.962930875761844","3","non","TabM Ⓜ️","2026-03-29T17:52:12.000Z","MUL_IMAGE_ZOOSCAN_ZOOPLANKTON","21"
"tabm_MUL_IMAGE_ZOOSCAN_ZOOPLANKTON_3","0.9851976173837256","3","all","TabM Ⓜ️","2026-03-29T17:50:58.000Z","MUL_IMAGE_ZOOSCAN_ZOOPLANKTON","70"
"cat_MUL_IMAGE_ZOOSCAN_ZOOPLANKTON_3","0.972185506730528","3","img","CatBoost 😸","2026-03-29T17:49:40.000Z","MUL_IMAGE_ZOOSCAN_ZOOPLANKTON","75"
"cat_MUL_IMAGE_ZOOSCAN_ZOOPLANKTON_3","0.9839781849477108","3","ft","CatBoost 😸","2026-03-29T17:45:54.000Z","MUL_IMAGE_ZOOSCAN_ZOOPLANKTON","222"
"cat_MUL_IMAGE_ZOOSCAN_ZOOPLANKTON_3","0.963313851554458","3","non","CatBoost 😸","2026-03-29T17:45:22.000Z","MUL_IMAGE_ZOOSCAN_ZOOPLANKTON","27"
"cat_MUL_IMAGE_ZOOSCAN_ZOOPLANKTON_3","0.9809026069945338","3","all","CatBoost 😸","2026-03-29T17:43:53.000Z","MUL_IMAGE_ZOOSCAN_ZOOPLANKTON","84"
"light_MUL_IMAGE_ZOOSCAN_ZOOPLANKTON_3","0.963491233864147","3","img","LightGBM 💡","2026-03-29T17:42:44.000Z","MUL_IMAGE_ZOOSCAN_ZOOPLANKTON","64"
"light_MUL_IMAGE_ZOOSCAN_ZOOPLANKTON_3","0.984593623963932","3","ft","LightGBM 💡","2026-03-29T17:39:09.000Z","MUL_IMAGE_ZOOSCAN_ZOOPLANKTON","211"
"light_MUL_IMAGE_ZOOSCAN_ZOOPLANKTON_3","0.9589039049811668","3","non","LightGBM 💡","2026-03-29T17:38:48.000Z","MUL_IMAGE_ZOOSCAN_ZOOPLANKTON","15"
"light_MUL_IMAGE_ZOOSCAN_ZOOPLANKTON_3","0.9757772559587056","3","all","LightGBM 💡","2026-03-29T17:37:39.000Z","MUL_IMAGE_ZOOSCAN_ZOOPLANKTON","63"
"tabpfnv2_MUL_IMAGE_ZOOSCAN_ZOOPLANKTON_2","0.9791165834628104","2","img","TabPFN-v2 🤯","2026-03-29T17:36:20.000Z","MUL_IMAGE_ZOOSCAN_ZOOPLANKTON","72"
"tabpfnv2_MUL_IMAGE_ZOOSCAN_ZOOPLANKTON_2","0.9874898408977336","2","ft","TabPFN-v2 🤯","2026-03-29T17:31:06.000Z","MUL_IMAGE_ZOOSCAN_ZOOPLANKTON","307"
"tabpfnv2_MUL_IMAGE_ZOOSCAN_ZOOPLANKTON_2","0.968320555007656","2","non","TabPFN-v2 🤯","2026-03-29T17:30:39.000Z","MUL_IMAGE_ZOOSCAN_ZOOPLANKTON","20"
"tabpfnv2_MUL_IMAGE_ZOOSCAN_ZOOPLANKTON_2","0.9858259680867294","2","all","TabPFN-v2 🤯","2026-03-29T17:29:15.000Z","MUL_IMAGE_ZOOSCAN_ZOOPLANKTON","77"
"tabpfnv2p5_MUL_IMAGE_ZOOSCAN_ZOOPLANKTON_2","0.9828167276158296","2","img","TabPFN-v2p5 🇩🇪","2026-03-29T17:28:01.000Z","MUL_IMAGE_ZOOSCAN_ZOOPLANKTON","70"
"tabpfnv2p5_MUL_IMAGE_ZOOSCAN_ZOOPLANKTON_2","0.989053356483782","2","ft","TabPFN-v2p5 🇩🇪","2026-03-29T17:22:46.000Z","MUL_IMAGE_ZOOSCAN_ZOOPLANKTON","311"
"tabpfnv2p5_MUL_IMAGE_ZOOSCAN_ZOOPLANKTON_2","0.9734412149510868","2","non","TabPFN-v2p5 🇩🇪","2026-03-29T17:22:25.000Z","MUL_IMAGE_ZOOSCAN_ZOOPLANKTON","18"
"tabpfnv2p5_MUL_IMAGE_ZOOSCAN_ZOOPLANKTON_2","0.9904345779614546","2","all","TabPFN-v2p5 🇩🇪","2026-03-29T17:21:06.000Z","MUL_IMAGE_ZOOSCAN_ZOOPLANKTON","75"
"tabm_MUL_IMAGE_ZOOSCAN_ZOOPLANKTON_2","0.98233873408644","2","img","TabM Ⓜ️","2026-03-29T17:19:52.000Z","MUL_IMAGE_ZOOSCAN_ZOOPLANKTON","70"
"tabm_MUL_IMAGE_ZOOSCAN_ZOOPLANKTON_2","0.987074205041312","2","ft","TabM Ⓜ️","2026-03-29T17:15:09.000Z","MUL_IMAGE_ZOOSCAN_ZOOPLANKTON","277"
"tabm_MUL_IMAGE_ZOOSCAN_ZOOPLANKTON_2","0.9648676820753104","2","non","TabM Ⓜ️","2026-03-29T17:14:42.000Z","MUL_IMAGE_ZOOSCAN_ZOOPLANKTON","22"
"tabm_MUL_IMAGE_ZOOSCAN_ZOOPLANKTON_2","0.98865138999795","2","all","TabM Ⓜ️","2026-03-29T17:13:28.000Z","MUL_IMAGE_ZOOSCAN_ZOOPLANKTON","69"
"cat_MUL_IMAGE_ZOOSCAN_ZOOPLANKTON_2","0.9766882235211676","2","img","CatBoost 😸","2026-03-29T17:12:04.000Z","MUL_IMAGE_ZOOSCAN_ZOOPLANKTON","80"
"cat_MUL_IMAGE_ZOOSCAN_ZOOPLANKTON_2","0.9829044112896456","2","ft","CatBoost 😸","2026-03-29T17:07:21.000Z","MUL_IMAGE_ZOOSCAN_ZOOPLANKTON","278"
"cat_MUL_IMAGE_ZOOSCAN_ZOOPLANKTON_2","0.9615329095812746","2","non","CatBoost 😸","2026-03-29T17:06:48.000Z","MUL_IMAGE_ZOOSCAN_ZOOPLANKTON","29"
"cat_MUL_IMAGE_ZOOSCAN_ZOOPLANKTON_2","0.9847346522574012","2","all","CatBoost 😸","2026-03-29T17:05:19.000Z","MUL_IMAGE_ZOOSCAN_ZOOPLANKTON","85"
"light_MUL_IMAGE_ZOOSCAN_ZOOPLANKTON_2","0.97089063894253","2","img","LightGBM 💡","2026-03-29T17:04:10.000Z","MUL_IMAGE_ZOOSCAN_ZOOPLANKTON","63"
"light_MUL_IMAGE_ZOOSCAN_ZOOPLANKTON_2","0.9818682279517784","2","ft","LightGBM 💡","2026-03-29T16:59:27.000Z","MUL_IMAGE_ZOOSCAN_ZOOPLANKTON","276"
"light_MUL_IMAGE_ZOOSCAN_ZOOPLANKTON_2","0.9567124675035384","2","non","LightGBM 💡","2026-03-29T16:59:05.000Z","MUL_IMAGE_ZOOSCAN_ZOOPLANKTON","15"
"light_MUL_IMAGE_ZOOSCAN_ZOOPLANKTON_2","0.981476014267758","2","all","LightGBM 💡","2026-03-29T16:57:57.000Z","MUL_IMAGE_ZOOSCAN_ZOOPLANKTON","62"
"tabpfnv2_MUL_IMAGE_ZOOSCAN_ZOOPLANKTON_1","0.9742025767813832","1","img","TabPFN-v2 🤯","2026-03-29T16:56:42.000Z","MUL_IMAGE_ZOOSCAN_ZOOPLANKTON","71"
"tabpfnv2_MUL_IMAGE_ZOOSCAN_ZOOPLANKTON_1","0.9838545410747076","1","ft","TabPFN-v2 🤯","2026-03-29T16:52:21.000Z","MUL_IMAGE_ZOOSCAN_ZOOPLANKTON","256"
"tabpfnv2_MUL_IMAGE_ZOOSCAN_ZOOPLANKTON_1","0.9711658714736512","1","non","TabPFN-v2 🤯","2026-03-29T16:51:54.000Z","MUL_IMAGE_ZOOSCAN_ZOOPLANKTON","19"
"tabpfnv2_MUL_IMAGE_ZOOSCAN_ZOOPLANKTON_1","0.9833151900423271","1","all","TabPFN-v2 🤯","2026-03-29T16:50:35.000Z","MUL_IMAGE_ZOOSCAN_ZOOPLANKTON","73"
"tabpfnv2p5_MUL_IMAGE_ZOOSCAN_ZOOPLANKTON_1","0.9790012074608514","1","img","TabPFN-v2p5 🇩🇪","2026-03-29T16:49:21.000Z","MUL_IMAGE_ZOOSCAN_ZOOPLANKTON","71"
"tabpfnv2p5_MUL_IMAGE_ZOOSCAN_ZOOPLANKTON_1","0.987115053867456","1","ft","TabPFN-v2p5 🇩🇪","2026-03-29T16:44:59.000Z","MUL_IMAGE_ZOOSCAN_ZOOPLANKTON","256"
"tabpfnv2p5_MUL_IMAGE_ZOOSCAN_ZOOPLANKTON_1","0.9749936906486628","1","non","TabPFN-v2p5 🇩🇪","2026-03-29T16:44:32.000Z","MUL_IMAGE_ZOOSCAN_ZOOPLANKTON","19"
"tabpfnv2p5_MUL_IMAGE_ZOOSCAN_ZOOPLANKTON_1","0.9871153718012726","1","all","TabPFN-v2p5 🇩🇪","2026-03-29T16:43:13.000Z","MUL_IMAGE_ZOOSCAN_ZOOPLANKTON","74"
"tabm_MUL_IMAGE_ZOOSCAN_ZOOPLANKTON_1","0.9792872774433312","1","img","TabM Ⓜ️","2026-03-29T16:41:54.000Z","MUL_IMAGE_ZOOSCAN_ZOOPLANKTON","75"
