"Name","test_score","fold","multimodal_state","model","Created","dataset","Runtime"
"tabpfnv2_REG_IMAGE_AMAZON_PACKAGES_4","0.4467271809401344","4","img","TabPFN-v2 🤯","2026-03-29T20:17:23.000Z","REG_IMAGE_AMAZON_PACKAGES","95"
"tabpfnv2_REG_IMAGE_AMAZON_PACKAGES_4","0.587991760962177","4","ft","TabPFN-v2 🤯","2026-03-29T20:11:59.000Z","REG_IMAGE_AMAZON_PACKAGES","315"
"tabpfnv2_REG_IMAGE_AMAZON_PACKAGES_4","0.25804226408418296","4","non","TabPFN-v2 🤯","2026-03-29T20:10:14.000Z","REG_IMAGE_AMAZON_PACKAGES","98"
"tabpfnv2_REG_IMAGE_AMAZON_PACKAGES_4","0.5453476629733998","4","all","TabPFN-v2 🤯","2026-03-29T20:07:15.000Z","REG_IMAGE_AMAZON_PACKAGES","176"
"tabpfnv2p5_REG_IMAGE_AMAZON_PACKAGES_4","0.4506351086824002","4","img","TabPFN-v2p5 🇩🇪","2026-03-29T20:05:41.000Z","REG_IMAGE_AMAZON_PACKAGES","87"
"tabpfnv2p5_REG_IMAGE_AMAZON_PACKAGES_4","0.5950099074846682","4","ft","TabPFN-v2p5 🇩🇪","2026-03-29T20:00:26.000Z","REG_IMAGE_AMAZON_PACKAGES","306"
"tabpfnv2p5_REG_IMAGE_AMAZON_PACKAGES_4","0.26188558663878614","4","non","TabPFN-v2p5 🇩🇪","2026-03-29T19:58:51.000Z","REG_IMAGE_AMAZON_PACKAGES","91"
"tabpfnv2p5_REG_IMAGE_AMAZON_PACKAGES_4","0.5553033064922601","4","all","TabPFN-v2p5 🇩🇪","2026-03-29T19:55:54.000Z","REG_IMAGE_AMAZON_PACKAGES","174"
"tabm_REG_IMAGE_AMAZON_PACKAGES_4","0.4448581140993513","4","img","TabM Ⓜ️","2026-03-29T19:54:24.000Z","REG_IMAGE_AMAZON_PACKAGES","84"
"tabm_REG_IMAGE_AMAZON_PACKAGES_4","0.5872250009138524","4","ft","TabM Ⓜ️","2026-03-29T19:49:31.000Z","REG_IMAGE_AMAZON_PACKAGES","287"
"tabm_REG_IMAGE_AMAZON_PACKAGES_4","0.26306431456186674","4","non","TabM Ⓜ️","2026-03-29T19:48:01.000Z","REG_IMAGE_AMAZON_PACKAGES","83"
"tabm_REG_IMAGE_AMAZON_PACKAGES_4","0.5485778250304015","4","all","TabM Ⓜ️","2026-03-29T19:45:23.000Z","REG_IMAGE_AMAZON_PACKAGES","154"
"cat_REG_IMAGE_AMAZON_PACKAGES_4","0.4184905115170856","4","img","CatBoost 😸","2026-03-29T19:43:54.000Z","REG_IMAGE_AMAZON_PACKAGES","83"
"cat_REG_IMAGE_AMAZON_PACKAGES_4","0.54992237139092","4","ft","CatBoost 😸","2026-03-29T19:39:01.000Z","REG_IMAGE_AMAZON_PACKAGES","288"
"cat_REG_IMAGE_AMAZON_PACKAGES_4","0.24996735764506584","4","non","CatBoost 😸","2026-03-29T19:37:32.000Z","REG_IMAGE_AMAZON_PACKAGES","84"
"cat_REG_IMAGE_AMAZON_PACKAGES_4","0.5244940035641712","4","all","CatBoost 😸","2026-03-29T19:34:49.000Z","REG_IMAGE_AMAZON_PACKAGES","155"
"light_REG_IMAGE_AMAZON_PACKAGES_4","0.39202957713751097","4","img","LightGBM 💡","2026-03-29T19:33:19.000Z","REG_IMAGE_AMAZON_PACKAGES","83"
"light_REG_IMAGE_AMAZON_PACKAGES_4","0.5506222402366902","4","ft","LightGBM 💡","2026-03-29T19:28:31.000Z","REG_IMAGE_AMAZON_PACKAGES","283"
"light_REG_IMAGE_AMAZON_PACKAGES_4","0.2185290688332331","4","non","LightGBM 💡","2026-03-29T19:27:07.000Z","REG_IMAGE_AMAZON_PACKAGES","82"
"light_REG_IMAGE_AMAZON_PACKAGES_4","0.4983635995430133","4","all","LightGBM 💡","2026-03-29T19:24:35.000Z","REG_IMAGE_AMAZON_PACKAGES","149"
"tabpfnv2_REG_IMAGE_AMAZON_PACKAGES_3","0.476494648267361","3","img","TabPFN-v2 🤯","2026-03-29T19:22:49.000Z","REG_IMAGE_AMAZON_PACKAGES","103"
"tabpfnv2_REG_IMAGE_AMAZON_PACKAGES_3","0.6346821444019326","3","ft","TabPFN-v2 🤯","2026-03-29T19:17:24.000Z","REG_IMAGE_AMAZON_PACKAGES","319"
"tabpfnv2_REG_IMAGE_AMAZON_PACKAGES_3","0.2570421591195724","3","non","TabPFN-v2 🤯","2026-03-29T19:15:39.000Z","REG_IMAGE_AMAZON_PACKAGES","101"
"tabpfnv2_REG_IMAGE_AMAZON_PACKAGES_3","0.571979077217065","3","all","TabPFN-v2 🤯","2026-03-29T19:12:29.000Z","REG_IMAGE_AMAZON_PACKAGES","185"
"tabpfnv2p5_REG_IMAGE_AMAZON_PACKAGES_3","0.4952719370386842","3","img","TabPFN-v2p5 🇩🇪","2026-03-29T19:10:55.000Z","REG_IMAGE_AMAZON_PACKAGES","91"
"tabpfnv2p5_REG_IMAGE_AMAZON_PACKAGES_3","0.6527347086846497","3","ft","TabPFN-v2p5 🇩🇪","2026-03-29T19:05:29.000Z","REG_IMAGE_AMAZON_PACKAGES","320"
