"Name","test_score","fold","multimodal_state","parameters.dino_models","model","Created","dataset","Runtime"
"tabpfnv2_REG_IMAGE_HNM_FASHION_4","0.30588147473896365","4","img","","TabPFN-v2 🤯","2026-03-30T10:25:36.000Z","REG_IMAGE_HNM_FASHION","155"
"tabpfnv2_REG_IMAGE_HNM_FASHION_4","0.6640192442787585","4","ft","","TabPFN-v2 🤯","2026-03-30T10:13:02.000Z","REG_IMAGE_HNM_FASHION","747"
"tabpfnv2_REG_IMAGE_HNM_FASHION_4","0.5453844741584254","4","non","","TabPFN-v2 🤯","2026-03-30T10:03:41.000Z","REG_IMAGE_HNM_FASHION","559"
"tabpfnv2_REG_IMAGE_HNM_FASHION_4","0.6207992396251576","4","all","","TabPFN-v2 🤯","2026-03-30T09:51:39.000Z","REG_IMAGE_HNM_FASHION","719"
"tabpfnv2p5_REG_IMAGE_HNM_FASHION_4","0.3412594439495462","4","img","","TabPFN-v2p5 🇩🇪","2026-03-30T09:48:24.000Z","REG_IMAGE_HNM_FASHION","190"
"tabpfnv2p5_REG_IMAGE_HNM_FASHION_4","0.6776469535915082","4","ft","","TabPFN-v2p5 🇩🇪","2026-03-30T09:35:37.000Z","REG_IMAGE_HNM_FASHION","759"
"tabpfnv2p5_REG_IMAGE_HNM_FASHION_4","0.565569676209132","4","non","","TabPFN-v2p5 🇩🇪","2026-03-30T09:26:50.000Z","REG_IMAGE_HNM_FASHION","524"
"tabpfnv2p5_REG_IMAGE_HNM_FASHION_4","0.6435263728834657","4","all","","TabPFN-v2p5 🇩🇪","2026-03-30T09:15:51.000Z","REG_IMAGE_HNM_FASHION","654"
"tabm_REG_IMAGE_HNM_FASHION_4","0.3200409044771878","4","img","","TabM Ⓜ️","2026-03-30T09:12:45.000Z","REG_IMAGE_HNM_FASHION","180"
"tabm_REG_IMAGE_HNM_FASHION_4","0.6623529862043864","4","ft","","TabM Ⓜ️","2026-03-30T09:00:47.000Z","REG_IMAGE_HNM_FASHION","706"
"tabm_REG_IMAGE_HNM_FASHION_4","0.5612479315604502","4","non","","TabM Ⓜ️","2026-03-30T08:52:54.000Z","REG_IMAGE_HNM_FASHION","467"
"tabm_REG_IMAGE_HNM_FASHION_4","0.6367856074867579","4","all","","TabM Ⓜ️","2026-03-30T08:43:17.000Z","REG_IMAGE_HNM_FASHION","574"
"cat_REG_IMAGE_HNM_FASHION_4","0.2914965887026981","4","img","","CatBoost 😸","2026-03-30T08:39:42.000Z","REG_IMAGE_HNM_FASHION","211"
"cat_REG_IMAGE_HNM_FASHION_4","0.6570731528028049","4","ft","","CatBoost 😸","2026-03-30T08:27:13.000Z","REG_IMAGE_HNM_FASHION","743"
"cat_REG_IMAGE_HNM_FASHION_4","0.5544927702322753","4","non","","CatBoost 😸","2026-03-30T08:18:57.000Z","REG_IMAGE_HNM_FASHION","493"
"cat_REG_IMAGE_HNM_FASHION_4","0.616372267164678","4","all","","CatBoost 😸","2026-03-30T08:08:42.000Z","REG_IMAGE_HNM_FASHION","609"
"light_REG_IMAGE_HNM_FASHION_4","0.25980718573379635","4","img","","LightGBM 💡","2026-03-30T08:05:33.000Z","REG_IMAGE_HNM_FASHION","186"
"light_REG_IMAGE_HNM_FASHION_4","0.6486430165342132","4","ft","","LightGBM 💡","2026-03-30T07:53:39.000Z","REG_IMAGE_HNM_FASHION","705"
"light_REG_IMAGE_HNM_FASHION_4","0.5458212414285055","4","non","","LightGBM 💡","2026-03-30T07:45:47.000Z","REG_IMAGE_HNM_FASHION","470"
"light_REG_IMAGE_HNM_FASHION_4","0.5973322085617477","4","all","","LightGBM 💡","2026-03-30T07:36:43.000Z","REG_IMAGE_HNM_FASHION","540"
"tabpfnv2_REG_IMAGE_HNM_FASHION_3","0.2901105100873672","3","img","","TabPFN-v2 🤯","2026-03-30T07:33:28.000Z","REG_IMAGE_HNM_FASHION","190"
"tabpfnv2_REG_IMAGE_HNM_FASHION_3","0.6342445564235522","3","ft","","TabPFN-v2 🤯","2026-03-30T07:21:23.000Z","REG_IMAGE_HNM_FASHION","720"
"tabpfnv2_REG_IMAGE_HNM_FASHION_3","0.5221183798891051","3","non","","TabPFN-v2 🤯","2026-03-30T07:14:02.000Z","REG_IMAGE_HNM_FASHION","435"
"tabpfnv2_REG_IMAGE_HNM_FASHION_3","0.5994900357107511","3","all","","TabPFN-v2 🤯","2026-03-30T07:05:23.000Z","REG_IMAGE_HNM_FASHION","516"
"tabpfnv2p5_REG_IMAGE_HNM_FASHION_3","0.3339041660169244","3","img","","TabPFN-v2p5 🇩🇪","2026-03-30T07:02:45.000Z","REG_IMAGE_HNM_FASHION","153"
"tabpfnv2p5_REG_IMAGE_HNM_FASHION_3","0.6542815161010391","3","ft","","TabPFN-v2p5 🇩🇪","2026-03-30T06:50:48.000Z","REG_IMAGE_HNM_FASHION","713"
"tabpfnv2p5_REG_IMAGE_HNM_FASHION_3","0.5465410681315241","3","non","","TabPFN-v2p5 🇩🇪","2026-03-30T06:43:27.000Z","REG_IMAGE_HNM_FASHION","433"
"tabpfnv2p5_REG_IMAGE_HNM_FASHION_3","0.6149711649585174","3","all","","TabPFN-v2p5 🇩🇪","2026-03-30T06:35:04.000Z","REG_IMAGE_HNM_FASHION","497"
"tabm_REG_IMAGE_HNM_FASHION_3","0.3088956062715337","3","img","","TabM Ⓜ️","2026-03-30T06:32:32.000Z","REG_IMAGE_HNM_FASHION","150"
"tabm_REG_IMAGE_HNM_FASHION_3","0.6474718661313215","3","ft","","TabM Ⓜ️","2026-03-30T06:22:51.000Z","REG_IMAGE_HNM_FASHION","577"
"tabm_REG_IMAGE_HNM_FASHION_3","0.530571214929801","3","non","","TabM Ⓜ️","2026-03-30T06:16:13.000Z","REG_IMAGE_HNM_FASHION","393"
"tabm_REG_IMAGE_HNM_FASHION_3","0.6108179304625697","3","all","","TabM Ⓜ️","2026-03-30T06:08:00.000Z","REG_IMAGE_HNM_FASHION","489"
"cat_REG_IMAGE_HNM_FASHION_3","0.276459122964673","3","img","","CatBoost 😸","2026-03-30T06:05:18.000Z","REG_IMAGE_HNM_FASHION","158"
"cat_REG_IMAGE_HNM_FASHION_3","0.6427726993416562","3","ft","","CatBoost 😸","2026-03-30T05:54:59.000Z","REG_IMAGE_HNM_FASHION","611"
"cat_REG_IMAGE_HNM_FASHION_3","0.5534840782160148","3","non","","CatBoost 😸","2026-03-30T05:48:10.000Z","REG_IMAGE_HNM_FASHION","403"
"cat_REG_IMAGE_HNM_FASHION_3","0.5961128203962751","3","all","","CatBoost 😸","2026-03-30T05:40:04.000Z","REG_IMAGE_HNM_FASHION","482"
