"Name","test_score","fold","multimodal_state","parameters.dino_models","model","Created","dataset","Runtime"
"tabpfnv2_REG_IMAGE_KHAADI_CLOTHES_4","0.9070470929145812","4","img","","TabPFN-v2 🤯","2026-03-29T23:19:32.000Z","REG_IMAGE_KHAADI_CLOTHES","23"
"tabpfnv2_REG_IMAGE_KHAADI_CLOTHES_4","0.9219822287559508","4","ft","","TabPFN-v2 🤯","2026-03-29T23:15:47.000Z","REG_IMAGE_KHAADI_CLOTHES","223"
"tabpfnv2_REG_IMAGE_KHAADI_CLOTHES_4","0.9003475308418274","4","non","","TabPFN-v2 🤯","2026-03-29T23:15:26.000Z","REG_IMAGE_KHAADI_CLOTHES","16"
"tabpfnv2_REG_IMAGE_KHAADI_CLOTHES_4","0.6886069774627686","4","all","","TabPFN-v2 🤯","2026-03-29T23:14:54.000Z","REG_IMAGE_KHAADI_CLOTHES","27"
"tabpfnv2p5_REG_IMAGE_KHAADI_CLOTHES_4","0.6251599788665771","4","img","","TabPFN-v2p5 🇩🇪","2026-03-29T23:14:27.000Z","REG_IMAGE_KHAADI_CLOTHES","23"
"tabpfnv2p5_REG_IMAGE_KHAADI_CLOTHES_4","0.9384321570396424","4","ft","","TabPFN-v2p5 🇩🇪","2026-03-29T23:10:42.000Z","REG_IMAGE_KHAADI_CLOTHES","223"
"tabpfnv2p5_REG_IMAGE_KHAADI_CLOTHES_4","0.8247253894805908","4","non","","TabPFN-v2p5 🇩🇪","2026-03-29T23:10:21.000Z","REG_IMAGE_KHAADI_CLOTHES","15"
"tabpfnv2p5_REG_IMAGE_KHAADI_CLOTHES_4","-1.634943962097168","4","all","","TabPFN-v2p5 🇩🇪","2026-03-29T23:09:49.000Z","REG_IMAGE_KHAADI_CLOTHES","26"
"tabm_REG_IMAGE_KHAADI_CLOTHES_4","0.7190303802490234","4","img","","TabM Ⓜ️","2026-03-29T23:09:22.000Z","REG_IMAGE_KHAADI_CLOTHES","21"
"tabm_REG_IMAGE_KHAADI_CLOTHES_4","0.9474869966506958","4","ft","","TabM Ⓜ️","2026-03-29T23:06:24.000Z","REG_IMAGE_KHAADI_CLOTHES","174"
"tabm_REG_IMAGE_KHAADI_CLOTHES_4","0.7633732557296753","4","non","","TabM Ⓜ️","2026-03-29T23:06:02.000Z","REG_IMAGE_KHAADI_CLOTHES","15"
"tabm_REG_IMAGE_KHAADI_CLOTHES_4","0.8939542770385742","4","all","","TabM Ⓜ️","2026-03-29T23:05:30.000Z","REG_IMAGE_KHAADI_CLOTHES","26"
"cat_REG_IMAGE_KHAADI_CLOTHES_4","0.5245041033468614","4","img","","CatBoost 😸","2026-03-29T23:05:03.000Z","REG_IMAGE_KHAADI_CLOTHES","23"
"cat_REG_IMAGE_KHAADI_CLOTHES_4","0.8929407116017766","4","ft","","CatBoost 😸","2026-03-29T23:01:59.000Z","REG_IMAGE_KHAADI_CLOTHES","177"
"cat_REG_IMAGE_KHAADI_CLOTHES_4","0.8870845740061073","4","non","","CatBoost 😸","2026-03-29T23:01:38.000Z","REG_IMAGE_KHAADI_CLOTHES","16"
"cat_REG_IMAGE_KHAADI_CLOTHES_4","0.6397374300046387","4","all","","CatBoost 😸","2026-03-29T23:01:06.000Z","REG_IMAGE_KHAADI_CLOTHES","28"
"light_REG_IMAGE_KHAADI_CLOTHES_4","0.6137913698089088","4","img","","LightGBM 💡","2026-03-29T23:00:40.000Z","REG_IMAGE_KHAADI_CLOTHES","20"
"light_REG_IMAGE_KHAADI_CLOTHES_4","0.8882697824930116","4","ft","","LightGBM 💡","2026-03-29T22:57:41.000Z","REG_IMAGE_KHAADI_CLOTHES","174"
"light_REG_IMAGE_KHAADI_CLOTHES_4","0.5760238682451908","4","non","","LightGBM 💡","2026-03-29T22:57:20.000Z","REG_IMAGE_KHAADI_CLOTHES","15"
"light_REG_IMAGE_KHAADI_CLOTHES_4","0.7028086582552255","4","all","","LightGBM 💡","2026-03-29T22:56:48.000Z","REG_IMAGE_KHAADI_CLOTHES","25"
"tabpfnv2_REG_IMAGE_KHAADI_CLOTHES_3","-1.4103448390960691","3","img","","TabPFN-v2 🤯","2026-03-29T22:56:21.000Z","REG_IMAGE_KHAADI_CLOTHES","23"
"tabpfnv2_REG_IMAGE_KHAADI_CLOTHES_3","0.4581458568572998","3","ft","","TabPFN-v2 🤯","2026-03-29T22:53:28.000Z","REG_IMAGE_KHAADI_CLOTHES","170"
"tabpfnv2_REG_IMAGE_KHAADI_CLOTHES_3","-0.1070176362991333","3","non","","TabPFN-v2 🤯","2026-03-29T22:53:07.000Z","REG_IMAGE_KHAADI_CLOTHES","16"
"tabpfnv2_REG_IMAGE_KHAADI_CLOTHES_3","0.7601202726364136","3","all","","TabPFN-v2 🤯","2026-03-29T22:52:35.000Z","REG_IMAGE_KHAADI_CLOTHES","26"
"tabpfnv2p5_REG_IMAGE_KHAADI_CLOTHES_3","-2.2885048389434814","3","img","","TabPFN-v2p5 🇩🇪","2026-03-29T22:52:09.000Z","REG_IMAGE_KHAADI_CLOTHES","22"
"tabpfnv2p5_REG_IMAGE_KHAADI_CLOTHES_3","0.7164120078086853","3","ft","","TabPFN-v2p5 🇩🇪","2026-03-29T22:49:10.000Z","REG_IMAGE_KHAADI_CLOTHES","174"
"tabpfnv2p5_REG_IMAGE_KHAADI_CLOTHES_3","-0.4271618127822876","3","non","","TabPFN-v2p5 🇩🇪","2026-03-29T22:48:49.000Z","REG_IMAGE_KHAADI_CLOTHES","16"
"tabpfnv2p5_REG_IMAGE_KHAADI_CLOTHES_3","0.6328285336494446","3","all","","TabPFN-v2p5 🇩🇪","2026-03-29T22:48:17.000Z","REG_IMAGE_KHAADI_CLOTHES","26"
"tabm_REG_IMAGE_KHAADI_CLOTHES_3","-0.7582070827484131","3","img","","TabM Ⓜ️","2026-03-29T22:47:50.000Z","REG_IMAGE_KHAADI_CLOTHES","22"
