"Name","test_score","fold","multimodal_state","parameters.dino_models","model","Created","dataset","Runtime"
"tabpfnv2_REG_IMAGE_LETTERBOXD_MOVIES_4","0.2285881946655783","4","img","","TabPFN-v2 🤯","2026-03-29T22:53:25.000Z","REG_IMAGE_LETTERBOXD_MOVIES","94"
"tabpfnv2_REG_IMAGE_LETTERBOXD_MOVIES_4","0.4837315268544733","4","ft","","TabPFN-v2 🤯","2026-03-29T22:44:10.000Z","REG_IMAGE_LETTERBOXD_MOVIES","547"
"tabpfnv2_REG_IMAGE_LETTERBOXD_MOVIES_4","0.4437992352099091","4","non","","TabPFN-v2 🤯","2026-03-29T22:39:49.000Z","REG_IMAGE_LETTERBOXD_MOVIES","254"
"tabpfnv2_REG_IMAGE_LETTERBOXD_MOVIES_4","0.47016722730149385","4","all","","TabPFN-v2 🤯","2026-03-29T22:34:03.000Z","REG_IMAGE_LETTERBOXD_MOVIES","340"
"tabpfnv2p5_REG_IMAGE_LETTERBOXD_MOVIES_4","0.2337995797991468","4","img","","TabPFN-v2p5 🇩🇪","2026-03-29T22:32:33.000Z","REG_IMAGE_LETTERBOXD_MOVIES","85"
"tabpfnv2p5_REG_IMAGE_LETTERBOXD_MOVIES_4","0.497965861717506","4","ft","","TabPFN-v2p5 🇩🇪","2026-03-29T22:23:34.000Z","REG_IMAGE_LETTERBOXD_MOVIES","535"
"tabpfnv2p5_REG_IMAGE_LETTERBOXD_MOVIES_4","0.4484335518614879","4","non","","TabPFN-v2p5 🇩🇪","2026-03-29T22:19:06.000Z","REG_IMAGE_LETTERBOXD_MOVIES","262"
"tabpfnv2p5_REG_IMAGE_LETTERBOXD_MOVIES_4","0.4876410052798703","4","all","","TabPFN-v2p5 🇩🇪","2026-03-29T22:13:26.000Z","REG_IMAGE_LETTERBOXD_MOVIES","335"
"tabm_REG_IMAGE_LETTERBOXD_MOVIES_4","0.23805840525050692","4","img","","TabM Ⓜ️","2026-03-29T22:11:52.000Z","REG_IMAGE_LETTERBOXD_MOVIES","91"
"tabm_REG_IMAGE_LETTERBOXD_MOVIES_4","0.4841195703917319","4","ft","","TabM Ⓜ️","2026-03-29T22:03:44.000Z","REG_IMAGE_LETTERBOXD_MOVIES","481"
"tabm_REG_IMAGE_LETTERBOXD_MOVIES_4","0.42916277820657345","4","non","","TabM Ⓜ️","2026-03-29T21:59:23.000Z","REG_IMAGE_LETTERBOXD_MOVIES","255"
"tabm_REG_IMAGE_LETTERBOXD_MOVIES_4","0.4690253991040399","4","all","","TabM Ⓜ️","2026-03-29T21:54:24.000Z","REG_IMAGE_LETTERBOXD_MOVIES","294"
"cat_REG_IMAGE_LETTERBOXD_MOVIES_4","0.22596058040344236","4","img","","CatBoost 😸","2026-03-29T21:53:00.000Z","REG_IMAGE_LETTERBOXD_MOVIES","80"
"cat_REG_IMAGE_LETTERBOXD_MOVIES_4","0.4634436288146119","4","ft","","CatBoost 😸","2026-03-29T21:45:09.000Z","REG_IMAGE_LETTERBOXD_MOVIES","468"
"cat_REG_IMAGE_LETTERBOXD_MOVIES_4","0.40230088247638873","4","non","","CatBoost 😸","2026-03-29T21:41:03.000Z","REG_IMAGE_LETTERBOXD_MOVIES","240"
"cat_REG_IMAGE_LETTERBOXD_MOVIES_4","0.4640373520967429","4","all","","CatBoost 😸","2026-03-29T21:35:54.000Z","REG_IMAGE_LETTERBOXD_MOVIES","305"
"light_REG_IMAGE_LETTERBOXD_MOVIES_4","0.20611007633110545","4","img","","LightGBM 💡","2026-03-29T21:34:24.000Z","REG_IMAGE_LETTERBOXD_MOVIES","82"
"light_REG_IMAGE_LETTERBOXD_MOVIES_4","0.4410467800560687","4","ft","","LightGBM 💡","2026-03-29T21:27:10.000Z","REG_IMAGE_LETTERBOXD_MOVIES","429"
"light_REG_IMAGE_LETTERBOXD_MOVIES_4","0.4104913988688465","4","non","","LightGBM 💡","2026-03-29T21:22:53.000Z","REG_IMAGE_LETTERBOXD_MOVIES","254"
"light_REG_IMAGE_LETTERBOXD_MOVIES_4","0.4420476488523022","4","all","","LightGBM 💡","2026-03-29T21:17:59.000Z","REG_IMAGE_LETTERBOXD_MOVIES","288"
"tabpfnv2_REG_IMAGE_LETTERBOXD_MOVIES_3","0.23027184161664915","3","img","","TabPFN-v2 🤯","2026-03-29T21:16:24.000Z","REG_IMAGE_LETTERBOXD_MOVIES","88"
"tabpfnv2_REG_IMAGE_LETTERBOXD_MOVIES_3","0.5057137585136982","3","ft","","TabPFN-v2 🤯","2026-03-29T21:09:14.000Z","REG_IMAGE_LETTERBOXD_MOVIES","422"
"tabpfnv2_REG_IMAGE_LETTERBOXD_MOVIES_3","0.4698463050482722","3","non","","TabPFN-v2 🤯","2026-03-29T21:05:13.000Z","REG_IMAGE_LETTERBOXD_MOVIES","236"
"tabpfnv2_REG_IMAGE_LETTERBOXD_MOVIES_3","0.5076222750619857","3","all","","TabPFN-v2 🤯","2026-03-29T20:59:58.000Z","REG_IMAGE_LETTERBOXD_MOVIES","309"
"tabpfnv2p5_REG_IMAGE_LETTERBOXD_MOVIES_3","0.2480533500163078","3","img","","TabPFN-v2p5 🇩🇪","2026-03-29T20:58:24.000Z","REG_IMAGE_LETTERBOXD_MOVIES","87"
"tabpfnv2p5_REG_IMAGE_LETTERBOXD_MOVIES_3","0.5193953835709729","3","ft","","TabPFN-v2p5 🇩🇪","2026-03-29T20:51:24.000Z","REG_IMAGE_LETTERBOXD_MOVIES","416"
"tabpfnv2p5_REG_IMAGE_LETTERBOXD_MOVIES_3","0.4723263259796836","3","non","","TabPFN-v2p5 🇩🇪","2026-03-29T20:47:28.000Z","REG_IMAGE_LETTERBOXD_MOVIES","234"
"tabpfnv2p5_REG_IMAGE_LETTERBOXD_MOVIES_3","0.5178718129038267","3","all","","TabPFN-v2p5 🇩🇪","2026-03-29T20:42:18.000Z","REG_IMAGE_LETTERBOXD_MOVIES","304"
"tabm_REG_IMAGE_LETTERBOXD_MOVIES_3","0.23979790116827027","3","img","","TabM Ⓜ️","2026-03-29T20:40:48.000Z","REG_IMAGE_LETTERBOXD_MOVIES","83"
"tabm_REG_IMAGE_LETTERBOXD_MOVIES_3","0.49592679125443817","3","ft","","TabM Ⓜ️","2026-03-29T20:34:26.000Z","REG_IMAGE_LETTERBOXD_MOVIES","379"
"tabm_REG_IMAGE_LETTERBOXD_MOVIES_3","0.4610249682826977","3","non","","TabM Ⓜ️","2026-03-29T20:30:50.000Z","REG_IMAGE_LETTERBOXD_MOVIES","210"
