"Name","test_score","fold","multimodal_state","parameters.dino_models","model","Created","dataset","Runtime"
"tabpfnv2_REG_IMAGE_MKPHOTO_BOTS_4","0.0669557460518242","4","img","","TabPFN-v2 🤯","2026-03-30T17:30:07.000Z","REG_IMAGE_MKPHOTO_BOTS","103"
"tabpfnv2_REG_IMAGE_MKPHOTO_BOTS_4","0.37278905845865895","4","ft","","TabPFN-v2 🤯","2026-03-30T17:25:28.000Z","REG_IMAGE_MKPHOTO_BOTS","273"
"tabpfnv2_REG_IMAGE_MKPHOTO_BOTS_4","0.25364629353153123","4","non","","TabPFN-v2 🤯","2026-03-30T17:23:03.000Z","REG_IMAGE_MKPHOTO_BOTS","136"
"tabpfnv2_REG_IMAGE_MKPHOTO_BOTS_4","0.3704566445170277","4","all","","TabPFN-v2 🤯","2026-03-30T17:20:58.000Z","REG_IMAGE_MKPHOTO_BOTS","121"
"tabpfnv2p5_REG_IMAGE_MKPHOTO_BOTS_4","0.11054586484843144","4","img","","TabPFN-v2p5 🇩🇪","2026-03-30T17:18:53.000Z","REG_IMAGE_MKPHOTO_BOTS","117"
"tabpfnv2p5_REG_IMAGE_MKPHOTO_BOTS_4","0.37873359092243464","4","ft","","TabPFN-v2p5 🇩🇪","2026-03-30T17:14:23.000Z","REG_IMAGE_MKPHOTO_BOTS","264"
"tabpfnv2p5_REG_IMAGE_MKPHOTO_BOTS_4","0.2593492445290153","4","non","","TabPFN-v2p5 🇩🇪","2026-03-30T17:12:13.000Z","REG_IMAGE_MKPHOTO_BOTS","126"
"tabpfnv2p5_REG_IMAGE_MKPHOTO_BOTS_4","0.420255352217485","4","all","","TabPFN-v2p5 🇩🇪","2026-03-30T17:10:05.000Z","REG_IMAGE_MKPHOTO_BOTS","120"
"tabm_REG_IMAGE_MKPHOTO_BOTS_4","0.12316132564983018","4","img","","TabM Ⓜ️","2026-03-30T17:07:58.000Z","REG_IMAGE_MKPHOTO_BOTS","120"
"tabm_REG_IMAGE_MKPHOTO_BOTS_4","0.40193117574150394","4","ft","","TabM Ⓜ️","2026-03-30T17:03:23.000Z","REG_IMAGE_MKPHOTO_BOTS","268"
"tabm_REG_IMAGE_MKPHOTO_BOTS_4","0.2637113237767603","4","non","","TabM Ⓜ️","2026-03-30T17:02:55.000Z","REG_IMAGE_MKPHOTO_BOTS","22"
"tabm_REG_IMAGE_MKPHOTO_BOTS_4","0.39476165076278014","4","all","","TabM Ⓜ️","2026-03-30T17:01:08.000Z","REG_IMAGE_MKPHOTO_BOTS","99"
"cat_REG_IMAGE_MKPHOTO_BOTS_4","0.08860009311794803","4","img","","CatBoost 😸","2026-03-30T16:59:12.000Z","REG_IMAGE_MKPHOTO_BOTS","111"
"cat_REG_IMAGE_MKPHOTO_BOTS_4","0.39102773937375057","4","ft","","CatBoost 😸","2026-03-30T16:54:37.000Z","REG_IMAGE_MKPHOTO_BOTS","266"
"cat_REG_IMAGE_MKPHOTO_BOTS_4","0.2770406175076775","4","non","","CatBoost 😸","2026-03-30T16:54:10.000Z","REG_IMAGE_MKPHOTO_BOTS","16"
"cat_REG_IMAGE_MKPHOTO_BOTS_4","0.36809103695482537","4","all","","CatBoost 😸","2026-03-30T16:52:09.000Z","REG_IMAGE_MKPHOTO_BOTS","118"
"light_REG_IMAGE_MKPHOTO_BOTS_4","0.08162786103432729","4","img","","LightGBM 💡","2026-03-30T16:50:23.000Z","REG_IMAGE_MKPHOTO_BOTS","100"
"light_REG_IMAGE_MKPHOTO_BOTS_4","0.33458399351428225","4","ft","","LightGBM 💡","2026-03-30T16:45:59.000Z","REG_IMAGE_MKPHOTO_BOTS","257"
"light_REG_IMAGE_MKPHOTO_BOTS_4","0.2638638277925789","4","non","","LightGBM 💡","2026-03-30T16:45:42.000Z","REG_IMAGE_MKPHOTO_BOTS","13"
