"Name","test_score","fold","Created","dataset","model","multimodal_state","dino_model","Runtime"
"tabpfnv2_BIN_IMAGE_MAMMOGRAPHY_CMMD_4","0.7940004355400698","4","2026-04-01T21:24:04.000Z","BIN_IMAGE_MAMMOGRAPHY_CMMD","TabPFN-v2 🤯","ft","dino-large","907"
"tabpfnv2_BIN_IMAGE_MAMMOGRAPHY_CMMD_4","0.7810757839721255","4","2026-04-01T21:23:18.000Z","BIN_IMAGE_MAMMOGRAPHY_CMMD","TabPFN-v2 🤯","all","dino-large","308"
"tabpfnv2p5_BIN_IMAGE_MAMMOGRAPHY_CMMD_4","0.7966790069686411","4","2026-04-01T21:21:14.000Z","BIN_IMAGE_MAMMOGRAPHY_CMMD","TabPFN-v2p5 🇩🇪","ft","dino-large","876"
"tabpfnv2p5_BIN_IMAGE_MAMMOGRAPHY_CMMD_4","0.778266550522648","4","2026-04-01T21:21:04.000Z","BIN_IMAGE_MAMMOGRAPHY_CMMD","TabPFN-v2p5 🇩🇪","all","dino-large","321"
"tabm_BIN_IMAGE_MAMMOGRAPHY_CMMD_4","0.7650696864111498","4","2026-04-01T21:20:45.000Z","BIN_IMAGE_MAMMOGRAPHY_CMMD","TabM Ⓜ️","ft","dino-large","970"
"tabm_BIN_IMAGE_MAMMOGRAPHY_CMMD_4","0.7358231707317073","4","2026-04-01T21:19:04.000Z","BIN_IMAGE_MAMMOGRAPHY_CMMD","TabM Ⓜ️","all","dino-large","295"
"cat_BIN_IMAGE_MAMMOGRAPHY_CMMD_4","0.7637195121951219","4","2026-04-01T21:18:56.000Z","BIN_IMAGE_MAMMOGRAPHY_CMMD","CatBoost 😸","ft","dino-large","922"
"cat_BIN_IMAGE_MAMMOGRAPHY_CMMD_4","0.7427047038327527","4","2026-04-01T21:18:50.000Z","BIN_IMAGE_MAMMOGRAPHY_CMMD","CatBoost 😸","all","dino-large","315"
"light_BIN_IMAGE_MAMMOGRAPHY_CMMD_4","0.7576655052264809","4","2026-04-01T21:18:47.000Z","BIN_IMAGE_MAMMOGRAPHY_CMMD","LightGBM 💡","ft","dino-large","967"
"light_BIN_IMAGE_MAMMOGRAPHY_CMMD_4","0.7238893728222997","4","2026-04-01T21:18:18.000Z","BIN_IMAGE_MAMMOGRAPHY_CMMD","LightGBM 💡","all","dino-large","292"
"tabpfnv2_BIN_IMAGE_MAMMOGRAPHY_CMMD_3","0.7913327526132404","3","2026-04-01T21:17:15.000Z","BIN_IMAGE_MAMMOGRAPHY_CMMD","TabPFN-v2 🤯","ft","dino-large","1098"
"tabpfnv2_BIN_IMAGE_MAMMOGRAPHY_CMMD_3","0.7947517421602788","3","2026-04-01T21:15:59.000Z","BIN_IMAGE_MAMMOGRAPHY_CMMD","TabPFN-v2 🤯","all","dino-large","308"
"tabpfnv2p5_BIN_IMAGE_MAMMOGRAPHY_CMMD_3","0.8207970383275263","3","2026-04-01T21:15:03.000Z","BIN_IMAGE_MAMMOGRAPHY_CMMD","TabPFN-v2p5 🇩🇪","ft","dino-large","1080"
"tabpfnv2p5_BIN_IMAGE_MAMMOGRAPHY_CMMD_3","0.7918445121951219","3","2026-04-01T21:14:56.000Z","BIN_IMAGE_MAMMOGRAPHY_CMMD","TabPFN-v2p5 🇩🇪","all","dino-large","359"
"tabm_BIN_IMAGE_MAMMOGRAPHY_CMMD_3","0.7510235191637631","3","2026-04-01T21:13:54.000Z","BIN_IMAGE_MAMMOGRAPHY_CMMD","TabM Ⓜ️","ft","dino-large","736"
"tabm_BIN_IMAGE_MAMMOGRAPHY_CMMD_3","0.7292682926829268","3","2026-04-01T21:13:50.000Z","BIN_IMAGE_MAMMOGRAPHY_CMMD","TabM Ⓜ️","all","dino-large","294"
"cat_BIN_IMAGE_MAMMOGRAPHY_CMMD_3","0.7514590592334495","3","2026-04-01T21:13:33.000Z","BIN_IMAGE_MAMMOGRAPHY_CMMD","CatBoost 😸","ft","dino-large","720"
