"Name","test_score","fold","Created","dataset","model","multimodal_state","dino_model","Runtime"
"tabpfnv2_MUL_IMAGE_CBIS_DDSM_4","0.9060691817404845","4","2026-04-02T20:53:35.000Z","MUL_IMAGE_CBIS_DDSM","TabPFN-v2 🤯","ft","dino-large","1186"
"tabpfnv2_MUL_IMAGE_CBIS_DDSM_4","0.8696267644832383","4","2026-04-02T20:52:52.000Z","MUL_IMAGE_CBIS_DDSM","TabPFN-v2 🤯","all","dino-large","669"
"tabpfnv2p5_MUL_IMAGE_CBIS_DDSM_4","0.9125713448444484","4","2026-04-02T20:51:32.000Z","MUL_IMAGE_CBIS_DDSM","TabPFN-v2p5 🇩🇪","ft","dino-large","1144"
"tabpfnv2p5_MUL_IMAGE_CBIS_DDSM_4","0.8780628941676015","4","2026-04-02T20:51:01.000Z","MUL_IMAGE_CBIS_DDSM","TabPFN-v2p5 🇩🇪","all","dino-large","647"
"tabm_MUL_IMAGE_CBIS_DDSM_4","0.9069113629659068","4","2026-04-02T20:48:32.000Z","MUL_IMAGE_CBIS_DDSM","TabM Ⓜ️","ft","dino-large","1091"
"tabm_MUL_IMAGE_CBIS_DDSM_4","0.8457485238155633","4","2026-04-02T20:48:02.000Z","MUL_IMAGE_CBIS_DDSM","TabM Ⓜ️","all","dino-large","687"
"cat_MUL_IMAGE_CBIS_DDSM_4","0.8976722577510861","4","2026-04-02T20:46:45.000Z","MUL_IMAGE_CBIS_DDSM","CatBoost 😸","ft","dino-large","1127"
"cat_MUL_IMAGE_CBIS_DDSM_4","0.8325890497072216","4","2026-04-02T20:45:17.000Z","MUL_IMAGE_CBIS_DDSM","CatBoost 😸","all","dino-large","629"
"light_MUL_IMAGE_CBIS_DDSM_4","0.9033537721155308","4","2026-04-02T20:44:18.000Z","MUL_IMAGE_CBIS_DDSM","LightGBM 💡","ft","dino-large","1081"
"light_MUL_IMAGE_CBIS_DDSM_4","0.8262167646465559","4","2026-04-02T20:43:43.000Z","MUL_IMAGE_CBIS_DDSM","LightGBM 💡","all","dino-large","584"
"tabpfnv2_MUL_IMAGE_CBIS_DDSM_3","0.9336833996439752","3","2026-04-02T20:43:13.000Z","MUL_IMAGE_CBIS_DDSM","TabPFN-v2 🤯","ft","dino-large","1185"
"tabpfnv2_MUL_IMAGE_CBIS_DDSM_3","0.9041871554054122","3","2026-04-02T20:42:23.000Z","MUL_IMAGE_CBIS_DDSM","TabPFN-v2 🤯","all","dino-large","625"
"tabpfnv2p5_MUL_IMAGE_CBIS_DDSM_3","0.940873059663887","3","2026-04-02T20:40:01.000Z","MUL_IMAGE_CBIS_DDSM","TabPFN-v2p5 🇩🇪","ft","dino-large","1239"
"tabpfnv2p5_MUL_IMAGE_CBIS_DDSM_3","0.9096323317982448","3","2026-04-02T20:39:56.000Z","MUL_IMAGE_CBIS_DDSM","TabPFN-v2p5 🇩🇪","all","dino-large","657"
"tabm_MUL_IMAGE_CBIS_DDSM_3","0.9053649843359765","3","2026-04-02T20:39:32.000Z","MUL_IMAGE_CBIS_DDSM","TabM Ⓜ️","ft","dino-large","1125"
"tabm_MUL_IMAGE_CBIS_DDSM_3","0.8980236980852669","3","2026-04-02T20:36:53.000Z","MUL_IMAGE_CBIS_DDSM","TabM Ⓜ️","all","dino-large","589"
"cat_MUL_IMAGE_CBIS_DDSM_3","0.9151448719016042","3","2026-04-02T20:36:33.000Z","MUL_IMAGE_CBIS_DDSM","CatBoost 😸","ft","dino-large","1095"
"cat_MUL_IMAGE_CBIS_DDSM_3","0.8666888349455268","3","2026-04-02T20:34:01.000Z","MUL_IMAGE_CBIS_DDSM","CatBoost 😸","all","dino-large","609"
"light_MUL_IMAGE_CBIS_DDSM_3","0.9093703549998716","3","2026-04-02T20:33:34.000Z","MUL_IMAGE_CBIS_DDSM","LightGBM 💡","ft","dino-large","1073"
"light_MUL_IMAGE_CBIS_DDSM_3","0.8363542923530206","3","2026-04-02T20:32:19.000Z","MUL_IMAGE_CBIS_DDSM","LightGBM 💡","all","dino-large","649"
"tabpfnv2_MUL_IMAGE_CBIS_DDSM_2","0.8959363082948008","2","2026-04-02T20:30:33.000Z","MUL_IMAGE_CBIS_DDSM","TabPFN-v2 🤯","ft","dino-large","1075"
"tabpfnv2_MUL_IMAGE_CBIS_DDSM_2","0.889729401643286","2","2026-04-02T20:29:12.000Z","MUL_IMAGE_CBIS_DDSM","TabPFN-v2 🤯","all","dino-large","639"
"tabpfnv2p5_MUL_IMAGE_CBIS_DDSM_2","0.9042895203532492","2","2026-04-02T20:29:11.000Z","MUL_IMAGE_CBIS_DDSM","TabPFN-v2p5 🇩🇪","ft","dino-large","1126"
"tabpfnv2p5_MUL_IMAGE_CBIS_DDSM_2","0.8985488668058614","2","2026-04-02T20:26:41.000Z","MUL_IMAGE_CBIS_DDSM","TabPFN-v2p5 🇩🇪","all","dino-large","606"
"tabm_MUL_IMAGE_CBIS_DDSM_2","0.8908134844656304","2","2026-04-02T20:26:26.000Z","MUL_IMAGE_CBIS_DDSM","TabM Ⓜ️","ft","dino-large","1124"
"tabm_MUL_IMAGE_CBIS_DDSM_2","0.8796859953260092","2","2026-04-02T20:26:05.000Z","MUL_IMAGE_CBIS_DDSM","TabM Ⓜ️","all","dino-large","623"
"cat_MUL_IMAGE_CBIS_DDSM_2","0.8870905132641578","2","2026-04-02T20:24:43.000Z","MUL_IMAGE_CBIS_DDSM","CatBoost 😸","ft","dino-large","1135"
"cat_MUL_IMAGE_CBIS_DDSM_2","0.8599284370265234","2","2026-04-02T20:23:11.000Z","MUL_IMAGE_CBIS_DDSM","CatBoost 😸","all","dino-large","620"
"light_MUL_IMAGE_CBIS_DDSM_2","0.8884552546433325","2","2026-04-02T20:21:20.000Z","MUL_IMAGE_CBIS_DDSM","LightGBM 💡","ft","dino-large","1116"
"light_MUL_IMAGE_CBIS_DDSM_2","0.8454155765312856","2","2026-04-02T20:20:47.000Z","MUL_IMAGE_CBIS_DDSM","LightGBM 💡","all","dino-large","579"
"tabpfnv2_MUL_IMAGE_CBIS_DDSM_1","0.9329304240639982","1","2026-04-02T20:18:50.000Z","MUL_IMAGE_CBIS_DDSM","TabPFN-v2 🤯","ft","dino-large","1404"
"tabpfnv2_MUL_IMAGE_CBIS_DDSM_1","0.8818416483847062","1","2026-04-02T20:18:02.000Z","MUL_IMAGE_CBIS_DDSM","TabPFN-v2 🤯","all","dino-large","664"
"tabpfnv2p5_MUL_IMAGE_CBIS_DDSM_1","0.9382572372279264","1","2026-04-02T20:17:55.000Z","MUL_IMAGE_CBIS_DDSM","TabPFN-v2p5 🇩🇪","ft","dino-large","1288"
"tabpfnv2p5_MUL_IMAGE_CBIS_DDSM_1","0.8921682090957194","1","2026-04-02T20:16:08.000Z","MUL_IMAGE_CBIS_DDSM","TabPFN-v2p5 🇩🇪","all","dino-large","613"
"tabm_MUL_IMAGE_CBIS_DDSM_1","0.925814518308866","1","2026-04-02T20:16:02.000Z","MUL_IMAGE_CBIS_DDSM","TabM Ⓜ️","ft","dino-large","1075"
"tabm_MUL_IMAGE_CBIS_DDSM_1","0.8794170293686827","1","2026-04-02T20:14:20.000Z","MUL_IMAGE_CBIS_DDSM","TabM Ⓜ️","all","dino-large","616"
"cat_MUL_IMAGE_CBIS_DDSM_1","0.9192785252520204","1","2026-04-02T20:14:04.000Z","MUL_IMAGE_CBIS_DDSM","CatBoost 😸","ft","dino-large","1087"
"cat_MUL_IMAGE_CBIS_DDSM_1","0.8700225485603377","1","2026-04-02T20:06:33.000Z","MUL_IMAGE_CBIS_DDSM","CatBoost 😸","all","dino-large","676"
"light_MUL_IMAGE_CBIS_DDSM_1","0.9099393851812198","1","2026-04-02T20:06:32.000Z","MUL_IMAGE_CBIS_DDSM","LightGBM 💡","ft","dino-large","1167"
"tabpfnv2_MUL_IMAGE_CBIS_DDSM_0","0.9200069947905952","0","2026-04-02T20:06:32.000Z","MUL_IMAGE_CBIS_DDSM","TabPFN-v2 🤯","ft","dino-large","1351"
"light_MUL_IMAGE_CBIS_DDSM_1","0.8541822610230702","1","2026-04-02T20:06:32.000Z","MUL_IMAGE_CBIS_DDSM","LightGBM 💡","all","dino-large","730"
"tabpfnv2_MUL_IMAGE_CBIS_DDSM_0","0.8837124529935101","0","2026-04-02T20:06:31.000Z","MUL_IMAGE_CBIS_DDSM","TabPFN-v2 🤯","all","dino-large","684"
"tabpfnv2p5_MUL_IMAGE_CBIS_DDSM_0","0.884093226511572","0","2026-04-02T20:05:30.000Z","MUL_IMAGE_CBIS_DDSM","TabPFN-v2p5 🇩🇪","all","dino-large","626"
"tabpfnv2p5_MUL_IMAGE_CBIS_DDSM_0","0.9237963815962524","0","2026-04-02T20:05:30.000Z","MUL_IMAGE_CBIS_DDSM","TabPFN-v2p5 🇩🇪","ft","dino-large","1267"
"tabm_MUL_IMAGE_CBIS_DDSM_0","0.9040464848543496","0","2026-04-02T20:05:29.000Z","MUL_IMAGE_CBIS_DDSM","TabM Ⓜ️","ft","dino-large","1057"
"tabm_MUL_IMAGE_CBIS_DDSM_0","0.8718856547145941","0","2026-04-02T20:05:29.000Z","MUL_IMAGE_CBIS_DDSM","TabM Ⓜ️","all","dino-large","635"
"cat_MUL_IMAGE_CBIS_DDSM_0","0.8919883415398979","0","2026-04-02T20:02:54.000Z","MUL_IMAGE_CBIS_DDSM","CatBoost 😸","ft","dino-large","1066"
"cat_MUL_IMAGE_CBIS_DDSM_0","0.8627811270511824","0","2026-04-02T20:02:54.000Z","MUL_IMAGE_CBIS_DDSM","CatBoost 😸","all","dino-large","665"
"light_MUL_IMAGE_CBIS_DDSM_0","0.8441734921681628","0","2026-04-02T20:02:50.000Z","MUL_IMAGE_CBIS_DDSM","LightGBM 💡","all","dino-large","682"
"light_MUL_IMAGE_CBIS_DDSM_0","0.8871980473310764","0","2026-04-02T20:02:50.000Z","MUL_IMAGE_CBIS_DDSM","LightGBM 💡","ft","dino-large","1104"
