"Name","test_score","fold","Created","dataset","model","multimodal_state","dino_model","Runtime"
"tabpfnv2_MUL_IMAGE_CHEXPERT_4","0.8184905722604393","4","2026-04-01T22:00:54.000Z","MUL_IMAGE_CHEXPERT","TabPFN-v2 🤯","ft","dino-large","1009"
"tabpfnv2_MUL_IMAGE_CHEXPERT_4","0.7905126500201308","4","2026-04-01T22:00:41.000Z","MUL_IMAGE_CHEXPERT","TabPFN-v2 🤯","all","dino-large","324"
"tabpfnv2p5_MUL_IMAGE_CHEXPERT_4","0.8212899633690903","4","2026-04-01T21:59:15.000Z","MUL_IMAGE_CHEXPERT","TabPFN-v2p5 🇩🇪","ft","dino-large","993"
"tabpfnv2p5_MUL_IMAGE_CHEXPERT_4","0.7941793006987666","4","2026-04-01T21:57:22.000Z","MUL_IMAGE_CHEXPERT","TabPFN-v2p5 🇩🇪","all","dino-large","335"
"tabm_MUL_IMAGE_CHEXPERT_4","0.7940691588813215","4","2026-04-01T21:57:21.000Z","MUL_IMAGE_CHEXPERT","TabM Ⓜ️","ft","dino-large","992"
"tabm_MUL_IMAGE_CHEXPERT_4","0.7530395752993658","4","2026-04-01T21:57:00.000Z","MUL_IMAGE_CHEXPERT","TabM Ⓜ️","all","dino-large","344"
"cat_MUL_IMAGE_CHEXPERT_4","0.8108498684194237","4","2026-04-01T21:56:12.000Z","MUL_IMAGE_CHEXPERT","CatBoost 😸","ft","dino-large","998"
"cat_MUL_IMAGE_CHEXPERT_4","0.7803743303141508","4","2026-04-01T21:55:21.000Z","MUL_IMAGE_CHEXPERT","CatBoost 😸","all","dino-large","312"
"light_MUL_IMAGE_CHEXPERT_4","0.8134385120257842","4","2026-04-01T21:55:00.000Z","MUL_IMAGE_CHEXPERT","LightGBM 💡","ft","dino-large","964"
"light_MUL_IMAGE_CHEXPERT_4","0.7706062577074334","4","2026-04-01T21:54:11.000Z","MUL_IMAGE_CHEXPERT","LightGBM 💡","all","dino-large","297"
"tabpfnv2_MUL_IMAGE_CHEXPERT_3","0.8210715254045322","3","2026-04-01T21:53:32.000Z","MUL_IMAGE_CHEXPERT","TabPFN-v2 🤯","ft","dino-large","1053"
