"Name","test_score","fold","Created","dataset","model","multimodal_state","dino_model","Runtime"
"tabpfnv2_MUL_IMAGE_CSGO_SKIN_PRICE_4","0.8919361605107159","4","2026-03-29T01:14:56.000Z","MUL_IMAGE_CSGO_SKIN_PRICE","TabPFN-v2 🤯","ft","dino-large","217"
"tabpfnv2_MUL_IMAGE_CSGO_SKIN_PRICE_4","0.8874090287277703","4","2026-03-29T01:13:10.000Z","MUL_IMAGE_CSGO_SKIN_PRICE","TabPFN-v2 🤯","all","dino-large","69"
"tabpfnv2p5_MUL_IMAGE_CSGO_SKIN_PRICE_4","0.8935695394436844","4","2026-03-29T01:08:14.000Z","MUL_IMAGE_CSGO_SKIN_PRICE","TabPFN-v2p5 🇩🇪","ft","dino-large","219"
"tabpfnv2p5_MUL_IMAGE_CSGO_SKIN_PRICE_4","0.8910129198966409","4","2026-03-29T01:06:27.000Z","MUL_IMAGE_CSGO_SKIN_PRICE","TabPFN-v2p5 🇩🇪","all","dino-large","69"
"tabm_MUL_IMAGE_CSGO_SKIN_PRICE_4","0.8676087551299589","4","2026-03-29T01:00:39.000Z","MUL_IMAGE_CSGO_SKIN_PRICE","TabM Ⓜ️","ft","dino-large","278"
"tabm_MUL_IMAGE_CSGO_SKIN_PRICE_4","0.8493768049855601","4","2026-03-29T00:58:57.000Z","MUL_IMAGE_CSGO_SKIN_PRICE","TabM Ⓜ️","all","dino-large","67"
"cat_MUL_IMAGE_CSGO_SKIN_PRICE_4","0.8680425596595228","4","2026-03-29T00:52:37.000Z","MUL_IMAGE_CSGO_SKIN_PRICE","CatBoost 😸","ft","dino-large","299"
"cat_MUL_IMAGE_CSGO_SKIN_PRICE_4","0.8375555555555556","4","2026-03-29T00:50:02.000Z","MUL_IMAGE_CSGO_SKIN_PRICE","CatBoost 😸","all","dino-large","96"
"light_MUL_IMAGE_CSGO_SKIN_PRICE_4","0.8080702234382124","4","2026-03-29T00:44:13.000Z","MUL_IMAGE_CSGO_SKIN_PRICE","LightGBM 💡","ft","dino-large","279"
"light_MUL_IMAGE_CSGO_SKIN_PRICE_4","0.7912849977200184","4","2026-03-29T00:42:26.000Z","MUL_IMAGE_CSGO_SKIN_PRICE","LightGBM 💡","all","dino-large","68"
"tabpfnv2_MUL_IMAGE_CSGO_SKIN_PRICE_3","0.90321568627451","3","2026-03-29T00:36:42.000Z","MUL_IMAGE_CSGO_SKIN_PRICE","TabPFN-v2 🤯","ft","dino-large","267"
"tabpfnv2_MUL_IMAGE_CSGO_SKIN_PRICE_3","0.8908943608451132","3","2026-03-29T00:34:56.000Z","MUL_IMAGE_CSGO_SKIN_PRICE","TabPFN-v2 🤯","all","dino-large","69"
"tabpfnv2p5_MUL_IMAGE_CSGO_SKIN_PRICE_3","0.8985256117951057","3","2026-03-29T00:29:12.000Z","MUL_IMAGE_CSGO_SKIN_PRICE","TabPFN-v2p5 🇩🇪","ft","dino-large","267"
"tabpfnv2p5_MUL_IMAGE_CSGO_SKIN_PRICE_3","0.8873272533819729","3","2026-03-29T00:27:20.000Z","MUL_IMAGE_CSGO_SKIN_PRICE","TabPFN-v2p5 🇩🇪","all","dino-large","69"
"tabm_MUL_IMAGE_CSGO_SKIN_PRICE_3","0.8489472564219487","3","2026-03-29T00:21:21.000Z","MUL_IMAGE_CSGO_SKIN_PRICE","TabM Ⓜ️","ft","dino-large","286"
"tabm_MUL_IMAGE_CSGO_SKIN_PRICE_3","0.8589755281957745","3","2026-03-29T00:19:38.000Z","MUL_IMAGE_CSGO_SKIN_PRICE","TabM Ⓜ️","all","dino-large","67"
"cat_MUL_IMAGE_CSGO_SKIN_PRICE_3","0.869094087247302","3","2026-03-29T00:13:03.000Z","MUL_IMAGE_CSGO_SKIN_PRICE","CatBoost 😸","ft","dino-large","315"
"cat_MUL_IMAGE_CSGO_SKIN_PRICE_3","0.8520501595987232","3","2026-03-29T00:10:23.000Z","MUL_IMAGE_CSGO_SKIN_PRICE","CatBoost 😸","all","dino-large","107"
"light_MUL_IMAGE_CSGO_SKIN_PRICE_3","0.8480437756497947","3","2026-03-29T00:04:20.000Z","MUL_IMAGE_CSGO_SKIN_PRICE","LightGBM 💡","ft","dino-large","295"
"light_MUL_IMAGE_CSGO_SKIN_PRICE_3","0.8117197142422861","3","2026-03-29T00:02:33.000Z","MUL_IMAGE_CSGO_SKIN_PRICE","LightGBM 💡","all","dino-large","68"
"tabpfnv2_MUL_IMAGE_CSGO_SKIN_PRICE_2","0.9000781273749808","2","2026-03-28T23:56:17.000Z","MUL_IMAGE_CSGO_SKIN_PRICE","TabPFN-v2 🤯","ft","dino-large","301"
"tabpfnv2_MUL_IMAGE_CSGO_SKIN_PRICE_2","0.9013102295181638","2","2026-03-28T23:54:30.000Z","MUL_IMAGE_CSGO_SKIN_PRICE","TabPFN-v2 🤯","all","dino-large","70"
"tabpfnv2p5_MUL_IMAGE_CSGO_SKIN_PRICE_2","0.905529715762274","2","2026-03-28T23:47:38.000Z","MUL_IMAGE_CSGO_SKIN_PRICE","TabPFN-v2p5 🇩🇪","ft","dino-large","335"
"tabpfnv2p5_MUL_IMAGE_CSGO_SKIN_PRICE_2","0.9024246846025232","2","2026-03-28T23:45:51.000Z","MUL_IMAGE_CSGO_SKIN_PRICE","TabPFN-v2p5 🇩🇪","all","dino-large","69"
"tabm_MUL_IMAGE_CSGO_SKIN_PRICE_2","0.8579872321021431","2","2026-03-28T23:40:13.000Z","MUL_IMAGE_CSGO_SKIN_PRICE","TabM Ⓜ️","ft","dino-large","265"
"tabm_MUL_IMAGE_CSGO_SKIN_PRICE_2","0.8572980696154431","2","2026-03-28T23:38:25.000Z","MUL_IMAGE_CSGO_SKIN_PRICE","TabM Ⓜ️","all","dino-large","68"
"cat_MUL_IMAGE_CSGO_SKIN_PRICE_2","0.8680741754065968","2","2026-03-28T23:32:04.000Z","MUL_IMAGE_CSGO_SKIN_PRICE","CatBoost 😸","ft","dino-large","297"
"cat_MUL_IMAGE_CSGO_SKIN_PRICE_2","0.863873537011704","2","2026-03-28T23:29:29.000Z","MUL_IMAGE_CSGO_SKIN_PRICE","CatBoost 😸","all","dino-large","96"
"light_MUL_IMAGE_CSGO_SKIN_PRICE_2","0.8436124031007752","2","2026-03-28T23:23:50.000Z","MUL_IMAGE_CSGO_SKIN_PRICE","LightGBM 💡","ft","dino-large","268"
"light_MUL_IMAGE_CSGO_SKIN_PRICE_2","0.8101063991488069","2","2026-03-28T23:22:02.000Z","MUL_IMAGE_CSGO_SKIN_PRICE","LightGBM 💡","all","dino-large","68"
"tabpfnv2_MUL_IMAGE_CSGO_SKIN_PRICE_1","0.8797735218118256","1","2026-03-28T23:15:08.000Z","MUL_IMAGE_CSGO_SKIN_PRICE","TabPFN-v2 🤯","ft","dino-large","337"
"tabpfnv2_MUL_IMAGE_CSGO_SKIN_PRICE_1","0.9010421036631708","1","2026-03-28T23:13:21.000Z","MUL_IMAGE_CSGO_SKIN_PRICE","TabPFN-v2 🤯","all","dino-large","70"
"tabpfnv2p5_MUL_IMAGE_CSGO_SKIN_PRICE_1","0.8771737346101232","1","2026-03-28T23:06:29.000Z","MUL_IMAGE_CSGO_SKIN_PRICE","TabPFN-v2p5 🇩🇪","ft","dino-large","335"
"tabpfnv2p5_MUL_IMAGE_CSGO_SKIN_PRICE_1","0.9064444444444444","1","2026-03-28T23:04:43.000Z","MUL_IMAGE_CSGO_SKIN_PRICE","TabPFN-v2p5 🇩🇪","all","dino-large","69"
"tabm_MUL_IMAGE_CSGO_SKIN_PRICE_1","0.8665709074327406","1","2026-03-28T22:58:42.000Z","MUL_IMAGE_CSGO_SKIN_PRICE","TabM Ⓜ️","ft","dino-large","290"
"tabm_MUL_IMAGE_CSGO_SKIN_PRICE_1","0.837799057607539","1","2026-03-28T22:56:55.000Z","MUL_IMAGE_CSGO_SKIN_PRICE","TabM Ⓜ️","all","dino-large","67"
"cat_MUL_IMAGE_CSGO_SKIN_PRICE_1","0.8847344581243348","1","2026-03-28T22:50:20.000Z","MUL_IMAGE_CSGO_SKIN_PRICE","CatBoost 😸","ft","dino-large","314"
"cat_MUL_IMAGE_CSGO_SKIN_PRICE_1","0.8661538227694179","1","2026-03-28T22:47:46.000Z","MUL_IMAGE_CSGO_SKIN_PRICE","CatBoost 😸","all","dino-large","102"
"light_MUL_IMAGE_CSGO_SKIN_PRICE_1","0.8458777929776561","1","2026-03-28T22:41:48.000Z","MUL_IMAGE_CSGO_SKIN_PRICE","LightGBM 💡","ft","dino-large","289"
"light_MUL_IMAGE_CSGO_SKIN_PRICE_1","0.8269430004559963","1","2026-03-28T22:40:01.000Z","MUL_IMAGE_CSGO_SKIN_PRICE","LightGBM 💡","all","dino-large","69"
"tabpfnv2_MUL_IMAGE_CSGO_SKIN_PRICE_0","0.913389572883417","0","2026-03-28T22:33:49.000Z","MUL_IMAGE_CSGO_SKIN_PRICE","TabPFN-v2 🤯","ft","dino-large","298"
"tabpfnv2_MUL_IMAGE_CSGO_SKIN_PRICE_0","0.9096625626994984","0","2026-03-28T22:32:02.000Z","MUL_IMAGE_CSGO_SKIN_PRICE","TabPFN-v2 🤯","all","dino-large","70"
"tabpfnv2p5_MUL_IMAGE_CSGO_SKIN_PRICE_0","0.911156406748746","0","2026-03-28T22:25:50.000Z","MUL_IMAGE_CSGO_SKIN_PRICE","TabPFN-v2p5 🇩🇪","ft","dino-large","295"
"tabpfnv2p5_MUL_IMAGE_CSGO_SKIN_PRICE_0","0.9085481076151392","0","2026-03-28T22:24:03.000Z","MUL_IMAGE_CSGO_SKIN_PRICE","TabPFN-v2p5 🇩🇪","all","dino-large","71"
"tabm_MUL_IMAGE_CSGO_SKIN_PRICE_0","0.884325885392917","0","2026-03-28T22:18:29.000Z","MUL_IMAGE_CSGO_SKIN_PRICE","TabM Ⓜ️","ft","dino-large","264"
"tabm_MUL_IMAGE_CSGO_SKIN_PRICE_0","0.8883781729746161","0","2026-03-28T22:16:41.000Z","MUL_IMAGE_CSGO_SKIN_PRICE","TabM Ⓜ️","all","dino-large","70"
"cat_MUL_IMAGE_CSGO_SKIN_PRICE_0","0.8894044687642498","0","2026-03-28T22:10:32.000Z","MUL_IMAGE_CSGO_SKIN_PRICE","CatBoost 😸","ft","dino-large","292"
"cat_MUL_IMAGE_CSGO_SKIN_PRICE_0","0.8827751937984496","0","2026-03-28T22:08:03.000Z","MUL_IMAGE_CSGO_SKIN_PRICE","CatBoost 😸","all","dino-large","97"
"light_MUL_IMAGE_CSGO_SKIN_PRICE_0","0.8768071135430915","0","2026-03-28T22:02:28.000Z","MUL_IMAGE_CSGO_SKIN_PRICE","LightGBM 💡","ft","dino-large","265"
"light_MUL_IMAGE_CSGO_SKIN_PRICE_0","0.8492545979632162","0","2026-03-28T22:00:24.000Z","MUL_IMAGE_CSGO_SKIN_PRICE","LightGBM 💡","all","dino-large","85"
