"Name","test_score","fold","Created","dataset","model","multimodal_state","dino_model","Runtime"
"tabpfnv2_MUL_IMAGE_FLOWER_BOUQUETS_4","0.6631530402460203","4","2026-03-30T08:53:09.000Z","MUL_IMAGE_FLOWER_BOUQUETS","TabPFN-v2 🤯","ft","dino-large","186"
"tabpfnv2_MUL_IMAGE_FLOWER_BOUQUETS_4","0.668754864564465","4","2026-03-30T08:52:43.000Z","MUL_IMAGE_FLOWER_BOUQUETS","TabPFN-v2 🤯","all","dino-large","61"
"tabpfnv2p5_MUL_IMAGE_FLOWER_BOUQUETS_4","0.6645053437498498","4","2026-03-30T08:52:31.000Z","MUL_IMAGE_FLOWER_BOUQUETS","TabPFN-v2p5 🇩🇪","ft","dino-large","189"
"tabpfnv2p5_MUL_IMAGE_FLOWER_BOUQUETS_4","0.6566696478419841","4","2026-03-30T08:52:15.000Z","MUL_IMAGE_FLOWER_BOUQUETS","TabPFN-v2p5 🇩🇪","all","dino-large","86"
"tabm_MUL_IMAGE_FLOWER_BOUQUETS_4","0.6155187027641246","4","2026-03-30T08:52:05.000Z","MUL_IMAGE_FLOWER_BOUQUETS","TabM Ⓜ️","ft","dino-large","112"
"tabm_MUL_IMAGE_FLOWER_BOUQUETS_4","0.6221328275354358","4","2026-03-30T08:51:58.000Z","MUL_IMAGE_FLOWER_BOUQUETS","TabM Ⓜ️","all","dino-large","53"
"cat_MUL_IMAGE_FLOWER_BOUQUETS_4","0.6061884393189332","4","2026-03-30T08:51:54.000Z","MUL_IMAGE_FLOWER_BOUQUETS","CatBoost 😸","ft","dino-large","149"
"cat_MUL_IMAGE_FLOWER_BOUQUETS_4","0.6266068110682428","4","2026-03-30T08:51:50.000Z","MUL_IMAGE_FLOWER_BOUQUETS","CatBoost 😸","all","dino-large","77"
"light_MUL_IMAGE_FLOWER_BOUQUETS_4","0.6585846806284932","4","2026-03-30T08:51:46.000Z","MUL_IMAGE_FLOWER_BOUQUETS","LightGBM 💡","all","dino-large","48"
"light_MUL_IMAGE_FLOWER_BOUQUETS_4","0.623621768061141","4","2026-03-30T08:51:46.000Z","MUL_IMAGE_FLOWER_BOUQUETS","LightGBM 💡","ft","dino-large","112"
"tabpfnv2_MUL_IMAGE_FLOWER_BOUQUETS_3","0.694917323971708","3","2026-03-30T08:50:56.000Z","MUL_IMAGE_FLOWER_BOUQUETS","TabPFN-v2 🤯","ft","dino-large","165"
"tabpfnv2_MUL_IMAGE_FLOWER_BOUQUETS_3","0.6765894397705718","3","2026-03-30T08:50:55.000Z","MUL_IMAGE_FLOWER_BOUQUETS","TabPFN-v2 🤯","all","dino-large","75"
"tabpfnv2p5_MUL_IMAGE_FLOWER_BOUQUETS_3","0.68917696378723","3","2026-03-30T08:50:54.000Z","MUL_IMAGE_FLOWER_BOUQUETS","TabPFN-v2p5 🇩🇪","ft","dino-large","165"
"tabpfnv2p5_MUL_IMAGE_FLOWER_BOUQUETS_3","0.6760722172440541","3","2026-03-30T08:50:53.000Z","MUL_IMAGE_FLOWER_BOUQUETS","TabPFN-v2p5 🇩🇪","all","dino-large","58"
"tabm_MUL_IMAGE_FLOWER_BOUQUETS_3","0.6754791492163857","3","2026-03-30T08:50:47.000Z","MUL_IMAGE_FLOWER_BOUQUETS","TabM Ⓜ️","ft","dino-large","135"
"cat_MUL_IMAGE_FLOWER_BOUQUETS_3","0.6512287540859683","3","2026-03-30T08:50:45.000Z","MUL_IMAGE_FLOWER_BOUQUETS","CatBoost 😸","ft","dino-large","147"
"tabm_MUL_IMAGE_FLOWER_BOUQUETS_3","0.651300832768785","3","2026-03-30T08:50:45.000Z","MUL_IMAGE_FLOWER_BOUQUETS","TabM Ⓜ️","all","dino-large","53"
"cat_MUL_IMAGE_FLOWER_BOUQUETS_3","0.6368057029653867","3","2026-03-30T08:50:44.000Z","MUL_IMAGE_FLOWER_BOUQUETS","CatBoost 😸","all","dino-large","74"
"light_MUL_IMAGE_FLOWER_BOUQUETS_3","0.6001804904656736","3","2026-03-30T08:50:19.000Z","MUL_IMAGE_FLOWER_BOUQUETS","LightGBM 💡","ft","dino-large","133"
"light_MUL_IMAGE_FLOWER_BOUQUETS_3","0.5947143926181107","3","2026-03-30T08:49:53.000Z","MUL_IMAGE_FLOWER_BOUQUETS","LightGBM 💡","all","dino-large","54"
"tabpfnv2_MUL_IMAGE_FLOWER_BOUQUETS_2","0.6827783536570717","2","2026-03-30T08:49:49.000Z","MUL_IMAGE_FLOWER_BOUQUETS","TabPFN-v2 🤯","ft","dino-large","156"
"tabpfnv2_MUL_IMAGE_FLOWER_BOUQUETS_2","0.7146961569342812","2","2026-03-30T08:49:48.000Z","MUL_IMAGE_FLOWER_BOUQUETS","TabPFN-v2 🤯","all","dino-large","56"
"tabpfnv2p5_MUL_IMAGE_FLOWER_BOUQUETS_2","0.68199392667492","2","2026-03-30T08:49:39.000Z","MUL_IMAGE_FLOWER_BOUQUETS","TabPFN-v2p5 🇩🇪","ft","dino-large","148"
"tabpfnv2p5_MUL_IMAGE_FLOWER_BOUQUETS_2","0.715579524273975","2","2026-03-30T08:49:38.000Z","MUL_IMAGE_FLOWER_BOUQUETS","TabPFN-v2p5 🇩🇪","all","dino-large","69"
"tabm_MUL_IMAGE_FLOWER_BOUQUETS_2","0.6714392388020579","2","2026-03-30T08:49:30.000Z","MUL_IMAGE_FLOWER_BOUQUETS","TabM Ⓜ️","ft","dino-large","137"
