"Name","test_score","fold","Created","dataset","model","multimodal_state","dino_model","Runtime"
"tabpfnv2_MUL_IMAGE_GLAUCOMA_SMDG_4","0.9329939065433058","4","2026-04-02T22:02:12.000Z","MUL_IMAGE_GLAUCOMA_SMDG","TabPFN-v2 🤯","ft","dino-large","1612"
"tabpfnv2_MUL_IMAGE_GLAUCOMA_SMDG_4","0.9176000981837188","4","2026-04-02T22:00:27.000Z","MUL_IMAGE_GLAUCOMA_SMDG","TabPFN-v2 🤯","all","dino-large","524"
"tabpfnv2p5_MUL_IMAGE_GLAUCOMA_SMDG_4","0.928854944027892","4","2026-04-02T21:54:33.000Z","MUL_IMAGE_GLAUCOMA_SMDG","TabPFN-v2p5 🇩🇪","ft","dino-large","1628"
"tabpfnv2p5_MUL_IMAGE_GLAUCOMA_SMDG_4","0.9410396740528292","4","2026-04-02T21:52:58.000Z","MUL_IMAGE_GLAUCOMA_SMDG","TabPFN-v2p5 🇩🇪","all","dino-large","546"
"tabm_MUL_IMAGE_GLAUCOMA_SMDG_4","0.9274403433296348","4","2026-04-02T21:52:50.000Z","MUL_IMAGE_GLAUCOMA_SMDG","TabM Ⓜ️","ft","dino-large","1412"
"tabm_MUL_IMAGE_GLAUCOMA_SMDG_4","0.925102184520216","4","2026-04-02T21:51:56.000Z","MUL_IMAGE_GLAUCOMA_SMDG","TabM Ⓜ️","all","dino-large","510"
"cat_MUL_IMAGE_GLAUCOMA_SMDG_4","0.9227229174131188","4","2026-04-02T21:51:16.000Z","MUL_IMAGE_GLAUCOMA_SMDG","CatBoost 😸","ft","dino-large","1470"
"cat_MUL_IMAGE_GLAUCOMA_SMDG_4","0.9269246517477994","4","2026-04-02T21:50:12.000Z","MUL_IMAGE_GLAUCOMA_SMDG","CatBoost 😸","all","dino-large","524"
"light_MUL_IMAGE_GLAUCOMA_SMDG_4","0.9128391477343204","4","2026-04-02T21:47:22.000Z","MUL_IMAGE_GLAUCOMA_SMDG","LightGBM 💡","ft","dino-large","1491"
"light_MUL_IMAGE_GLAUCOMA_SMDG_4","0.9328399409587766","4","2026-04-02T21:43:34.000Z","MUL_IMAGE_GLAUCOMA_SMDG","LightGBM 💡","all","dino-large","495"
"tabpfnv2_MUL_IMAGE_GLAUCOMA_SMDG_3","0.9605887467744983","3","2026-04-02T21:42:36.000Z","MUL_IMAGE_GLAUCOMA_SMDG","TabPFN-v2 🤯","ft","dino-large","1810"
"tabpfnv2_MUL_IMAGE_GLAUCOMA_SMDG_3","0.9500015775371802","3","2026-04-02T21:42:27.000Z","MUL_IMAGE_GLAUCOMA_SMDG","TabPFN-v2 🤯","all","dino-large","522"
"tabpfnv2p5_MUL_IMAGE_GLAUCOMA_SMDG_3","0.9620495414051552","3","2026-04-02T21:40:01.000Z","MUL_IMAGE_GLAUCOMA_SMDG","TabPFN-v2p5 🇩🇪","ft","dino-large","1796"
"tabpfnv2p5_MUL_IMAGE_GLAUCOMA_SMDG_3","0.952502791921181","3","2026-04-02T21:38:28.000Z","MUL_IMAGE_GLAUCOMA_SMDG","TabPFN-v2p5 🇩🇪","all","dino-large","529"
"tabm_MUL_IMAGE_GLAUCOMA_SMDG_3","0.9647864360256758","3","2026-04-02T21:37:47.000Z","MUL_IMAGE_GLAUCOMA_SMDG","TabM Ⓜ️","ft","dino-large","1355"
"tabm_MUL_IMAGE_GLAUCOMA_SMDG_3","0.9471404503077214","3","2026-04-02T21:35:54.000Z","MUL_IMAGE_GLAUCOMA_SMDG","TabM Ⓜ️","all","dino-large","500"
"cat_MUL_IMAGE_GLAUCOMA_SMDG_3","0.9581859396041986","3","2026-04-02T21:34:57.000Z","MUL_IMAGE_GLAUCOMA_SMDG","CatBoost 😸","ft","dino-large","1639"
"cat_MUL_IMAGE_GLAUCOMA_SMDG_3","0.9447925574672236","3","2026-04-02T21:33:39.000Z","MUL_IMAGE_GLAUCOMA_SMDG","CatBoost 😸","all","dino-large","523"
"light_MUL_IMAGE_GLAUCOMA_SMDG_3","0.9553223239663724","3","2026-04-02T21:33:14.000Z","MUL_IMAGE_GLAUCOMA_SMDG","LightGBM 💡","ft","dino-large","1168"
"light_MUL_IMAGE_GLAUCOMA_SMDG_3","0.9387123556744208","3","2026-04-02T21:31:34.000Z","MUL_IMAGE_GLAUCOMA_SMDG","LightGBM 💡","all","dino-large","500"
"tabpfnv2_MUL_IMAGE_GLAUCOMA_SMDG_2","0.9597400904065342","2","2026-04-02T21:29:39.000Z","MUL_IMAGE_GLAUCOMA_SMDG","TabPFN-v2 🤯","ft","dino-large","1619"
"tabpfnv2_MUL_IMAGE_GLAUCOMA_SMDG_2","0.9336925217434487","2","2026-04-02T21:29:09.000Z","MUL_IMAGE_GLAUCOMA_SMDG","TabPFN-v2 🤯","all","dino-large","511"
"tabpfnv2p5_MUL_IMAGE_GLAUCOMA_SMDG_2","0.9612230652793312","2","2026-04-02T21:27:24.000Z","MUL_IMAGE_GLAUCOMA_SMDG","TabPFN-v2p5 🇩🇪","ft","dino-large","1527"
"tabpfnv2p5_MUL_IMAGE_GLAUCOMA_SMDG_2","0.9495641258178424","2","2026-04-02T21:27:11.000Z","MUL_IMAGE_GLAUCOMA_SMDG","TabPFN-v2p5 🇩🇪","all","dino-large","515"
"tabm_MUL_IMAGE_GLAUCOMA_SMDG_2","0.955065035945777","2","2026-04-02T21:26:50.000Z","MUL_IMAGE_GLAUCOMA_SMDG","TabM Ⓜ️","ft","dino-large","1656"
"tabm_MUL_IMAGE_GLAUCOMA_SMDG_2","0.9447229436498592","2","2026-04-02T21:24:30.000Z","MUL_IMAGE_GLAUCOMA_SMDG","TabM Ⓜ️","all","dino-large","515"
"cat_MUL_IMAGE_GLAUCOMA_SMDG_2","0.9539984942104964","2","2026-04-02T21:22:45.000Z","MUL_IMAGE_GLAUCOMA_SMDG","CatBoost 😸","ft","dino-large","1640"
"cat_MUL_IMAGE_GLAUCOMA_SMDG_2","0.9348497274751908","2","2026-04-02T21:20:45.000Z","MUL_IMAGE_GLAUCOMA_SMDG","CatBoost 😸","all","dino-large","529"
"light_MUL_IMAGE_GLAUCOMA_SMDG_2","0.9531219364588148","2","2026-04-02T21:19:04.000Z","MUL_IMAGE_GLAUCOMA_SMDG","LightGBM 💡","ft","dino-large","1461"
"light_MUL_IMAGE_GLAUCOMA_SMDG_2","0.9276684297087644","2","2026-04-02T21:18:59.000Z","MUL_IMAGE_GLAUCOMA_SMDG","LightGBM 💡","all","dino-large","487"
"tabpfnv2_MUL_IMAGE_GLAUCOMA_SMDG_1","0.9390659576573328","1","2026-04-02T21:15:56.000Z","MUL_IMAGE_GLAUCOMA_SMDG","TabPFN-v2 🤯","ft","dino-large","1593"
"tabpfnv2_MUL_IMAGE_GLAUCOMA_SMDG_1","0.9048828113422082","1","2026-04-02T21:13:57.000Z","MUL_IMAGE_GLAUCOMA_SMDG","TabPFN-v2 🤯","all","dino-large","519"
"tabpfnv2p5_MUL_IMAGE_GLAUCOMA_SMDG_1","0.9537132929685987","1","2026-04-02T21:13:27.000Z","MUL_IMAGE_GLAUCOMA_SMDG","TabPFN-v2p5 🇩🇪","ft","dino-large","1494"
"tabpfnv2p5_MUL_IMAGE_GLAUCOMA_SMDG_1","0.9231501270973712","1","2026-04-02T21:11:51.000Z","MUL_IMAGE_GLAUCOMA_SMDG","TabPFN-v2p5 🇩🇪","all","dino-large","525"
"tabm_MUL_IMAGE_GLAUCOMA_SMDG_1","0.9466771555365704","1","2026-04-02T21:10:58.000Z","MUL_IMAGE_GLAUCOMA_SMDG","TabM Ⓜ️","ft","dino-large","1434"
"tabm_MUL_IMAGE_GLAUCOMA_SMDG_1","0.9007999398000708","1","2026-04-02T21:10:42.000Z","MUL_IMAGE_GLAUCOMA_SMDG","TabM Ⓜ️","all","dino-large","494"
"cat_MUL_IMAGE_GLAUCOMA_SMDG_1","0.9452837018509838","1","2026-04-02T21:09:30.000Z","MUL_IMAGE_GLAUCOMA_SMDG","CatBoost 😸","ft","dino-large","1318"
"cat_MUL_IMAGE_GLAUCOMA_SMDG_1","0.9037719242752876","1","2026-04-02T21:07:01.000Z","MUL_IMAGE_GLAUCOMA_SMDG","CatBoost 😸","all","dino-large","528"
"light_MUL_IMAGE_GLAUCOMA_SMDG_1","0.9390401404996416","1","2026-04-02T21:06:48.000Z","MUL_IMAGE_GLAUCOMA_SMDG","LightGBM 💡","ft","dino-large","1605"
"light_MUL_IMAGE_GLAUCOMA_SMDG_1","0.905930136319804","1","2026-04-02T21:05:40.000Z","MUL_IMAGE_GLAUCOMA_SMDG","LightGBM 💡","all","dino-large","491"
"tabpfnv2_MUL_IMAGE_GLAUCOMA_SMDG_0","0.9373442644496536","0","2026-04-02T21:04:06.000Z","MUL_IMAGE_GLAUCOMA_SMDG","TabPFN-v2 🤯","ft","dino-large","1214"
"tabpfnv2_MUL_IMAGE_GLAUCOMA_SMDG_0","0.9196614655294948","0","2026-04-02T21:03:08.000Z","MUL_IMAGE_GLAUCOMA_SMDG","TabPFN-v2 🤯","all","dino-large","515"
"tabpfnv2p5_MUL_IMAGE_GLAUCOMA_SMDG_0","0.9532253581918284","0","2026-04-02T21:03:06.000Z","MUL_IMAGE_GLAUCOMA_SMDG","TabPFN-v2p5 🇩🇪","ft","dino-large","1556"
"tabpfnv2p5_MUL_IMAGE_GLAUCOMA_SMDG_0","0.9398318394676064","0","2026-04-02T21:02:25.000Z","MUL_IMAGE_GLAUCOMA_SMDG","TabPFN-v2p5 🇩🇪","all","dino-large","507"
"tabm_MUL_IMAGE_GLAUCOMA_SMDG_0","0.9434144449894996","0","2026-04-02T21:01:54.000Z","MUL_IMAGE_GLAUCOMA_SMDG","TabM Ⓜ️","ft","dino-large","1489"
"tabm_MUL_IMAGE_GLAUCOMA_SMDG_0","0.9271096281560216","0","2026-04-02T21:00:46.000Z","MUL_IMAGE_GLAUCOMA_SMDG","TabM Ⓜ️","all","dino-large","517"
"cat_MUL_IMAGE_GLAUCOMA_SMDG_0","0.9426830455504576","0","2026-04-02T20:59:36.000Z","MUL_IMAGE_GLAUCOMA_SMDG","CatBoost 😸","ft","dino-large","1661"
"cat_MUL_IMAGE_GLAUCOMA_SMDG_0","0.9148342900671552","0","2026-04-02T20:58:22.000Z","MUL_IMAGE_GLAUCOMA_SMDG","CatBoost 😸","all","dino-large","510"
"light_MUL_IMAGE_GLAUCOMA_SMDG_0","0.94076467916965","0","2026-04-02T20:55:50.000Z","MUL_IMAGE_GLAUCOMA_SMDG","LightGBM 💡","ft","dino-large","1389"
"light_MUL_IMAGE_GLAUCOMA_SMDG_0","0.9073123886294584","0","2026-04-02T20:54:57.000Z","MUL_IMAGE_GLAUCOMA_SMDG","LightGBM 💡","all","dino-large","485"
