"Name","test_score","fold","Created","dataset","model","multimodal_state","dino_model","Runtime"
"tabpfnv2_MUL_IMAGE_HUBMAP_HPA_4","0.9814232860889138","4","2026-04-01T23:10:02.000Z","MUL_IMAGE_HUBMAP_HPA","TabPFN-v2 🤯","ft","dino-large","1734"
"tabpfnv2_MUL_IMAGE_HUBMAP_HPA_4","0.9564448688641456","4","2026-04-01T23:05:14.000Z","MUL_IMAGE_HUBMAP_HPA","TabPFN-v2 🤯","all","dino-large","724"
"tabpfnv2p5_MUL_IMAGE_HUBMAP_HPA_4","0.98453973514135","4","2026-04-01T23:01:45.000Z","MUL_IMAGE_HUBMAP_HPA","TabPFN-v2p5 🇩🇪","ft","dino-large","1753"
"tabpfnv2p5_MUL_IMAGE_HUBMAP_HPA_4","0.9699534060472336","4","2026-04-01T23:01:22.000Z","MUL_IMAGE_HUBMAP_HPA","TabPFN-v2p5 🇩🇪","all","dino-large","673"
"tabm_MUL_IMAGE_HUBMAP_HPA_4","0.9779807369158476","4","2026-04-01T23:00:28.000Z","MUL_IMAGE_HUBMAP_HPA","TabM Ⓜ️","ft","dino-large","1543"
"tabm_MUL_IMAGE_HUBMAP_HPA_4","0.9704623695963324","4","2026-04-01T22:59:27.000Z","MUL_IMAGE_HUBMAP_HPA","TabM Ⓜ️","all","dino-large","629"
"cat_MUL_IMAGE_HUBMAP_HPA_4","0.9710978041761128","4","2026-04-01T22:58:26.000Z","MUL_IMAGE_HUBMAP_HPA","CatBoost 😸","ft","dino-large","1736"
"cat_MUL_IMAGE_HUBMAP_HPA_4","0.954982048411104","4","2026-04-01T22:55:55.000Z","MUL_IMAGE_HUBMAP_HPA","CatBoost 😸","all","dino-large","879"
"light_MUL_IMAGE_HUBMAP_HPA_4","0.9619430725678274","4","2026-04-01T22:55:51.000Z","MUL_IMAGE_HUBMAP_HPA","LightGBM 💡","ft","dino-large","1575"
"light_MUL_IMAGE_HUBMAP_HPA_4","0.9428387497987114","4","2026-04-01T22:54:46.000Z","MUL_IMAGE_HUBMAP_HPA","LightGBM 💡","all","dino-large","622"
"tabpfnv2_MUL_IMAGE_HUBMAP_HPA_3","0.9781452242875224","3","2026-04-01T22:51:07.000Z","MUL_IMAGE_HUBMAP_HPA","TabPFN-v2 🤯","ft","dino-large","1848"
"tabpfnv2_MUL_IMAGE_HUBMAP_HPA_3","0.9526130199638588","3","2026-04-01T22:50:24.000Z","MUL_IMAGE_HUBMAP_HPA","TabPFN-v2 🤯","all","dino-large","672"
"tabpfnv2p5_MUL_IMAGE_HUBMAP_HPA_3","0.9812754827232648","3","2026-04-01T22:50:00.000Z","MUL_IMAGE_HUBMAP_HPA","TabPFN-v2p5 🇩🇪","ft","dino-large","1843"
"tabpfnv2p5_MUL_IMAGE_HUBMAP_HPA_3","0.9672878062755424","3","2026-04-01T22:49:09.000Z","MUL_IMAGE_HUBMAP_HPA","TabPFN-v2p5 🇩🇪","all","dino-large","654"
"tabm_MUL_IMAGE_HUBMAP_HPA_3","0.9747385053065374","3","2026-04-01T22:46:51.000Z","MUL_IMAGE_HUBMAP_HPA","TabM Ⓜ️","ft","dino-large","1741"
"tabm_MUL_IMAGE_HUBMAP_HPA_3","0.967279919509731","3","2026-04-01T22:45:23.000Z","MUL_IMAGE_HUBMAP_HPA","TabM Ⓜ️","all","dino-large","624"
"cat_MUL_IMAGE_HUBMAP_HPA_3","0.9689518699257018","3","2026-04-01T22:44:02.000Z","MUL_IMAGE_HUBMAP_HPA","CatBoost 😸","ft","dino-large","1796"
"cat_MUL_IMAGE_HUBMAP_HPA_3","0.9527753468106812","3","2026-04-01T22:44:01.000Z","MUL_IMAGE_HUBMAP_HPA","CatBoost 😸","all","dino-large","860"
"light_MUL_IMAGE_HUBMAP_HPA_3","0.960793498350496","3","2026-04-01T22:43:56.000Z","MUL_IMAGE_HUBMAP_HPA","LightGBM 💡","ft","dino-large","1647"
"light_MUL_IMAGE_HUBMAP_HPA_3","0.942787956738336","3","2026-04-01T22:43:37.000Z","MUL_IMAGE_HUBMAP_HPA","LightGBM 💡","all","dino-large","660"
"tabpfnv2_MUL_IMAGE_HUBMAP_HPA_2","0.9772812065153176","2","2026-04-01T22:43:22.000Z","MUL_IMAGE_HUBMAP_HPA","TabPFN-v2 🤯","ft","dino-large","2220"
"tabpfnv2_MUL_IMAGE_HUBMAP_HPA_2","0.9605479590636194","2","2026-04-01T22:39:13.000Z","MUL_IMAGE_HUBMAP_HPA","TabPFN-v2 🤯","all","dino-large","663"
"tabpfnv2p5_MUL_IMAGE_HUBMAP_HPA_2","0.979152288248952","2","2026-04-01T22:39:01.000Z","MUL_IMAGE_HUBMAP_HPA","TabPFN-v2p5 🇩🇪","ft","dino-large","2235"
"tabpfnv2p5_MUL_IMAGE_HUBMAP_HPA_2","0.9702320022953742","2","2026-04-01T22:33:05.000Z","MUL_IMAGE_HUBMAP_HPA","TabPFN-v2p5 🇩🇪","all","dino-large","645"
"tabm_MUL_IMAGE_HUBMAP_HPA_2","0.9754636279601938","2","2026-04-01T22:32:58.000Z","MUL_IMAGE_HUBMAP_HPA","TabM Ⓜ️","ft","dino-large","1643"
"tabm_MUL_IMAGE_HUBMAP_HPA_2","0.9692324509494104","2","2026-04-01T22:32:42.000Z","MUL_IMAGE_HUBMAP_HPA","TabM Ⓜ️","all","dino-large","634"
"cat_MUL_IMAGE_HUBMAP_HPA_2","0.9725282260735042","2","2026-04-01T22:30:24.000Z","MUL_IMAGE_HUBMAP_HPA","CatBoost 😸","ft","dino-large","1737"
"cat_MUL_IMAGE_HUBMAP_HPA_2","0.9543207828165594","2","2026-04-01T22:29:21.000Z","MUL_IMAGE_HUBMAP_HPA","CatBoost 😸","all","dino-large","872"
"light_MUL_IMAGE_HUBMAP_HPA_2","0.9660927327105312","2","2026-04-01T22:27:41.000Z","MUL_IMAGE_HUBMAP_HPA","LightGBM 💡","ft","dino-large","1615"
"light_MUL_IMAGE_HUBMAP_HPA_2","0.9445850507345712","2","2026-04-01T22:22:37.000Z","MUL_IMAGE_HUBMAP_HPA","LightGBM 💡","all","dino-large","620"
"tabpfnv2_MUL_IMAGE_HUBMAP_HPA_1","0.9810484875375206","1","2026-04-01T22:21:47.000Z","MUL_IMAGE_HUBMAP_HPA","TabPFN-v2 🤯","ft","dino-large","1752"
"tabpfnv2_MUL_IMAGE_HUBMAP_HPA_1","0.9574010943728244","1","2026-04-01T22:20:31.000Z","MUL_IMAGE_HUBMAP_HPA","TabPFN-v2 🤯","all","dino-large","668"
"tabpfnv2p5_MUL_IMAGE_HUBMAP_HPA_1","0.983990163034424","1","2026-04-01T22:20:10.000Z","MUL_IMAGE_HUBMAP_HPA","TabPFN-v2p5 🇩🇪","ft","dino-large","1732"
"tabpfnv2p5_MUL_IMAGE_HUBMAP_HPA_1","0.9699304160968554","1","2026-04-01T22:19:03.000Z","MUL_IMAGE_HUBMAP_HPA","TabPFN-v2p5 🇩🇪","all","dino-large","674"
"tabm_MUL_IMAGE_HUBMAP_HPA_1","0.9749940326533976","1","2026-04-01T22:18:34.000Z","MUL_IMAGE_HUBMAP_HPA","TabM Ⓜ️","ft","dino-large","1876"
"tabm_MUL_IMAGE_HUBMAP_HPA_1","0.9702386190204466","1","2026-04-01T22:15:56.000Z","MUL_IMAGE_HUBMAP_HPA","TabM Ⓜ️","all","dino-large","624"
"cat_MUL_IMAGE_HUBMAP_HPA_1","0.970521879445576","1","2026-04-01T22:14:00.000Z","MUL_IMAGE_HUBMAP_HPA","CatBoost 😸","ft","dino-large","1883"
"cat_MUL_IMAGE_HUBMAP_HPA_1","0.954376271527378","1","2026-04-01T22:13:36.000Z","MUL_IMAGE_HUBMAP_HPA","CatBoost 😸","all","dino-large","858"
"light_MUL_IMAGE_HUBMAP_HPA_1","0.96157543082499","1","2026-04-01T22:12:59.000Z","MUL_IMAGE_HUBMAP_HPA","LightGBM 💡","ft","dino-large","1829"
"light_MUL_IMAGE_HUBMAP_HPA_1","0.9432772354184084","1","2026-04-01T22:11:13.000Z","MUL_IMAGE_HUBMAP_HPA","LightGBM 💡","all","dino-large","609"
"tabpfnv2_MUL_IMAGE_HUBMAP_HPA_0","0.9807229044903688","0","2026-04-01T22:11:09.000Z","MUL_IMAGE_HUBMAP_HPA","TabPFN-v2 🤯","ft","dino-large","1978"
"tabpfnv2_MUL_IMAGE_HUBMAP_HPA_0","0.9565926427415846","0","2026-04-01T22:10:26.000Z","MUL_IMAGE_HUBMAP_HPA","TabPFN-v2 🤯","all","dino-large","677"
"tabpfnv2p5_MUL_IMAGE_HUBMAP_HPA_0","0.9834583703825434","0","2026-04-01T22:09:48.000Z","MUL_IMAGE_HUBMAP_HPA","TabPFN-v2p5 🇩🇪","ft","dino-large","2046"
