"Name","test_score","fold","Created","dataset","model","multimodal_state","dino_model","Runtime"
"tabpfnv2p5_MUL_IMAGE_JUSTIN_INSTAGRAM_4","0.9894911168539784","4","2026-04-02T22:32:49.000Z","MUL_IMAGE_JUSTIN_INSTAGRAM","TabPFN-v2p5 🇩🇪","ft","dino-large","2175"
"tabpfnv2_MUL_IMAGE_JUSTIN_INSTAGRAM_4","0.988654358508712","4","2026-04-02T22:32:32.000Z","MUL_IMAGE_JUSTIN_INSTAGRAM","TabPFN-v2 🤯","ft","dino-large","2170"
"tabpfnv2p5_MUL_IMAGE_JUSTIN_INSTAGRAM_3","0.9926805844961706","3","2026-04-02T21:56:06.000Z","MUL_IMAGE_JUSTIN_INSTAGRAM","TabPFN-v2p5 🇩🇪","ft","dino-large","2194"
"tabpfnv2_MUL_IMAGE_JUSTIN_INSTAGRAM_3","0.9930012644890708","3","2026-04-02T21:55:44.000Z","MUL_IMAGE_JUSTIN_INSTAGRAM","TabPFN-v2 🤯","ft","dino-large","2199"
"tabpfnv2p5_MUL_IMAGE_JUSTIN_INSTAGRAM_2","0.9851908788934016","2","2026-04-02T21:19:35.000Z","MUL_IMAGE_JUSTIN_INSTAGRAM","TabPFN-v2p5 🇩🇪","ft","dino-large","2182"
"tabpfnv2_MUL_IMAGE_JUSTIN_INSTAGRAM_2","0.98293054002696","2","2026-04-02T21:19:17.000Z","MUL_IMAGE_JUSTIN_INSTAGRAM","TabPFN-v2 🤯","ft","dino-large","2180"
"tabpfnv2p5_MUL_IMAGE_JUSTIN_INSTAGRAM_1","0.985903835327658","1","2026-04-02T20:43:25.000Z","MUL_IMAGE_JUSTIN_INSTAGRAM","TabPFN-v2p5 🇩🇪","ft","dino-large","2146"
"tabpfnv2_MUL_IMAGE_JUSTIN_INSTAGRAM_1","0.9850299563210044","1","2026-04-02T20:43:24.000Z","MUL_IMAGE_JUSTIN_INSTAGRAM","TabPFN-v2 🤯","ft","dino-large","2161"
"tabpfnv2p5_MUL_IMAGE_JUSTIN_INSTAGRAM_0","0.9910062061870526","0","2026-04-02T20:06:32.000Z","MUL_IMAGE_JUSTIN_INSTAGRAM","TabPFN-v2p5 🇩🇪","ft","dino-large","2202"
"tabpfnv2_MUL_IMAGE_JUSTIN_INSTAGRAM_0","0.9882896020886152","0","2026-04-02T20:06:32.000Z","MUL_IMAGE_JUSTIN_INSTAGRAM","TabPFN-v2 🤯","ft","dino-large","2204"
