"Name","test_score","fold","Created","dataset","model","multimodal_state","dino_model","Runtime"
"tabpfnv2_MUL_IMAGE_PETFINDER_4","0.8755038958174524","4","2026-04-02T02:16:42.000Z","MUL_IMAGE_PETFINDER","TabPFN-v2 🤯","ft","dino-large","1143"
"tabpfnv2_MUL_IMAGE_PETFINDER_4","0.8702315037029178","4","2026-04-02T02:16:29.000Z","MUL_IMAGE_PETFINDER","TabPFN-v2 🤯","all","dino-large","574"
"tabpfnv2p5_MUL_IMAGE_PETFINDER_4","0.8806479578175483","4","2026-04-02T02:16:25.000Z","MUL_IMAGE_PETFINDER","TabPFN-v2p5 🇩🇪","ft","dino-large","1061"
"tabpfnv2p5_MUL_IMAGE_PETFINDER_4","0.8746391061641334","4","2026-04-02T02:15:42.000Z","MUL_IMAGE_PETFINDER","TabPFN-v2p5 🇩🇪","all","dino-large","576"
"tabm_MUL_IMAGE_PETFINDER_4","0.8782577244687012","4","2026-04-02T02:14:57.000Z","MUL_IMAGE_PETFINDER","TabM Ⓜ️","ft","dino-large","975"
"tabm_MUL_IMAGE_PETFINDER_4","0.8709117239730768","4","2026-04-02T02:14:10.000Z","MUL_IMAGE_PETFINDER","TabM Ⓜ️","all","dino-large","548"
"cat_MUL_IMAGE_PETFINDER_4","0.8707695905198602","4","2026-04-02T02:13:41.000Z","MUL_IMAGE_PETFINDER","CatBoost 😸","ft","dino-large","1204"
"cat_MUL_IMAGE_PETFINDER_4","0.8624290486210399","4","2026-04-02T02:11:47.000Z","MUL_IMAGE_PETFINDER","CatBoost 😸","all","dino-large","759"
"light_MUL_IMAGE_PETFINDER_4","0.8613786925550712","4","2026-04-02T02:11:28.000Z","MUL_IMAGE_PETFINDER","LightGBM 💡","ft","dino-large","983"
"light_MUL_IMAGE_PETFINDER_4","0.8501100116324531","4","2026-04-02T02:07:34.000Z","MUL_IMAGE_PETFINDER","LightGBM 💡","all","dino-large","530"
"tabpfnv2_MUL_IMAGE_PETFINDER_3","0.8763342193332515","3","2026-04-02T02:06:02.000Z","MUL_IMAGE_PETFINDER","TabPFN-v2 🤯","ft","dino-large","1080"
"tabpfnv2_MUL_IMAGE_PETFINDER_3","0.8726089803123518","3","2026-04-02T02:05:54.000Z","MUL_IMAGE_PETFINDER","TabPFN-v2 🤯","all","dino-large","580"
"tabpfnv2p5_MUL_IMAGE_PETFINDER_3","0.8815074073395626","3","2026-04-02T02:05:31.000Z","MUL_IMAGE_PETFINDER","TabPFN-v2p5 🇩🇪","ft","dino-large","1077"
"tabpfnv2p5_MUL_IMAGE_PETFINDER_3","0.8786529536595439","3","2026-04-02T02:05:25.000Z","MUL_IMAGE_PETFINDER","TabPFN-v2p5 🇩🇪","all","dino-large","566"
"tabm_MUL_IMAGE_PETFINDER_3","0.8792538549199056","3","2026-04-02T02:04:53.000Z","MUL_IMAGE_PETFINDER","TabM Ⓜ️","ft","dino-large","985"
"tabm_MUL_IMAGE_PETFINDER_3","0.8771227343755965","3","2026-04-02T02:04:38.000Z","MUL_IMAGE_PETFINDER","TabM Ⓜ️","all","dino-large","565"
"cat_MUL_IMAGE_PETFINDER_3","0.8724640527151553","3","2026-04-02T02:04:23.000Z","MUL_IMAGE_PETFINDER","CatBoost 😸","ft","dino-large","1318"
"cat_MUL_IMAGE_PETFINDER_3","0.8654068995214497","3","2026-04-02T02:03:18.000Z","MUL_IMAGE_PETFINDER","CatBoost 😸","all","dino-large","796"
"light_MUL_IMAGE_PETFINDER_3","0.8633107338590571","3","2026-04-02T01:57:10.000Z","MUL_IMAGE_PETFINDER","LightGBM 💡","ft","dino-large","983"
"light_MUL_IMAGE_PETFINDER_3","0.8496631601283573","3","2026-04-02T01:56:54.000Z","MUL_IMAGE_PETFINDER","LightGBM 💡","all","dino-large","535"
"tabpfnv2_MUL_IMAGE_PETFINDER_2","0.8685653489898658","2","2026-04-02T01:55:59.000Z","MUL_IMAGE_PETFINDER","TabPFN-v2 🤯","ft","dino-large","1260"
"tabpfnv2_MUL_IMAGE_PETFINDER_2","0.8648884615072551","2","2026-04-02T01:55:38.000Z","MUL_IMAGE_PETFINDER","TabPFN-v2 🤯","all","dino-large","587"
"tabpfnv2p5_MUL_IMAGE_PETFINDER_2","0.8730753208208213","2","2026-04-02T01:55:22.000Z","MUL_IMAGE_PETFINDER","TabPFN-v2p5 🇩🇪","ft","dino-large","1254"
"tabpfnv2p5_MUL_IMAGE_PETFINDER_2","0.8731796437957158","2","2026-04-02T01:54:36.000Z","MUL_IMAGE_PETFINDER","TabPFN-v2p5 🇩🇪","all","dino-large","583"
"tabm_MUL_IMAGE_PETFINDER_2","0.8755117258126669","2","2026-04-02T01:54:05.000Z","MUL_IMAGE_PETFINDER","TabM Ⓜ️","ft","dino-large","1035"
"tabm_MUL_IMAGE_PETFINDER_2","0.8692062951758184","2","2026-04-02T01:53:54.000Z","MUL_IMAGE_PETFINDER","TabM Ⓜ️","all","dino-large","570"
"cat_MUL_IMAGE_PETFINDER_2","0.8671761826446739","2","2026-04-02T01:51:47.000Z","MUL_IMAGE_PETFINDER","CatBoost 😸","ft","dino-large","1195"
"cat_MUL_IMAGE_PETFINDER_2","0.8620719710900678","2","2026-04-02T01:51:41.000Z","MUL_IMAGE_PETFINDER","CatBoost 😸","all","dino-large","783"
"light_MUL_IMAGE_PETFINDER_2","0.8633035292221134","2","2026-04-02T01:51:02.000Z","MUL_IMAGE_PETFINDER","LightGBM 💡","ft","dino-large","983"
"light_MUL_IMAGE_PETFINDER_2","0.8476719971965587","2","2026-04-02T01:48:10.000Z","MUL_IMAGE_PETFINDER","LightGBM 💡","all","dino-large","533"
"tabpfnv2_MUL_IMAGE_PETFINDER_1","0.8709147380455962","1","2026-04-02T01:47:51.000Z","MUL_IMAGE_PETFINDER","TabPFN-v2 🤯","ft","dino-large","1081"
"tabpfnv2_MUL_IMAGE_PETFINDER_1","0.8644704113881869","1","2026-04-02T01:46:56.000Z","MUL_IMAGE_PETFINDER","TabPFN-v2 🤯","all","dino-large","592"
"tabpfnv2p5_MUL_IMAGE_PETFINDER_1","0.8777357927571225","1","2026-04-02T01:46:40.000Z","MUL_IMAGE_PETFINDER","TabPFN-v2p5 🇩🇪","ft","dino-large","3340"
"tabpfnv2p5_MUL_IMAGE_PETFINDER_1","0.8719066798913527","1","2026-04-02T01:46:16.000Z","MUL_IMAGE_PETFINDER","TabPFN-v2p5 🇩🇪","all","dino-large","576"
"tabm_MUL_IMAGE_PETFINDER_1","0.8731477136458154","1","2026-04-02T01:45:35.000Z","MUL_IMAGE_PETFINDER","TabM Ⓜ️","ft","dino-large","1184"
"tabm_MUL_IMAGE_PETFINDER_1","0.8706533313001146","1","2026-04-02T01:42:31.000Z","MUL_IMAGE_PETFINDER","TabM Ⓜ️","all","dino-large","551"
"cat_MUL_IMAGE_PETFINDER_1","0.8688737183227186","1","2026-04-02T01:40:55.000Z","MUL_IMAGE_PETFINDER","CatBoost 😸","ft","dino-large","1337"
"cat_MUL_IMAGE_PETFINDER_1","0.8633130077687778","1","2026-04-02T01:39:29.000Z","MUL_IMAGE_PETFINDER","CatBoost 😸","all","dino-large","900"
"light_MUL_IMAGE_PETFINDER_1","0.8595268480963103","1","2026-04-02T01:37:18.000Z","MUL_IMAGE_PETFINDER","LightGBM 💡","ft","dino-large","1094"
"light_MUL_IMAGE_PETFINDER_1","0.8536500885558336","1","2026-04-02T01:37:05.000Z","MUL_IMAGE_PETFINDER","LightGBM 💡","all","dino-large","543"
"tabpfnv2_MUL_IMAGE_PETFINDER_0","0.8653116503817543","0","2026-04-02T01:36:46.000Z","MUL_IMAGE_PETFINDER","TabPFN-v2 🤯","ft","dino-large","1105"
"tabpfnv2_MUL_IMAGE_PETFINDER_0","0.8621773651278644","0","2026-04-02T01:36:32.000Z","MUL_IMAGE_PETFINDER","TabPFN-v2 🤯","all","dino-large","616"
"tabpfnv2p5_MUL_IMAGE_PETFINDER_0","0.8702531941047158","0","2026-04-02T01:36:06.000Z","MUL_IMAGE_PETFINDER","TabPFN-v2p5 🇩🇪","ft","dino-large","1069"
