"Name","test_score","fold","Created","dataset","model","multimodal_state","dino_model","Runtime"
"tabpfnv2_MUL_IMAGE_ZOOSCAN_ZOOPLANKTON_4","0.990141111894115","4","2026-03-30T09:51:13.000Z","MUL_IMAGE_ZOOSCAN_ZOOPLANKTON","TabPFN-v2 🤯","ft","dino-large","1326"
"tabpfnv2_MUL_IMAGE_ZOOSCAN_ZOOPLANKTON_4","0.9854889347478034","4","2026-03-30T09:50:38.000Z","MUL_IMAGE_ZOOSCAN_ZOOPLANKTON","TabPFN-v2 🤯","all","dino-large","281"
"tabpfnv2p5_MUL_IMAGE_ZOOSCAN_ZOOPLANKTON_4","0.9925507273259492","4","2026-03-30T09:49:50.000Z","MUL_IMAGE_ZOOSCAN_ZOOPLANKTON","TabPFN-v2p5 🇩🇪","ft","dino-large","982"
"tabpfnv2p5_MUL_IMAGE_ZOOSCAN_ZOOPLANKTON_4","0.9889044236074956","4","2026-03-30T09:48:01.000Z","MUL_IMAGE_ZOOSCAN_ZOOPLANKTON","TabPFN-v2p5 🇩🇪","all","dino-large","299"
"tabm_MUL_IMAGE_ZOOSCAN_ZOOPLANKTON_4","0.9887326408070956","4","2026-03-30T09:47:50.000Z","MUL_IMAGE_ZOOSCAN_ZOOPLANKTON","TabM Ⓜ️","ft","dino-large","921"
"tabm_MUL_IMAGE_ZOOSCAN_ZOOPLANKTON_4","0.988518734427404","4","2026-03-30T09:46:53.000Z","MUL_IMAGE_ZOOSCAN_ZOOPLANKTON","TabM Ⓜ️","all","dino-large","274"
"cat_MUL_IMAGE_ZOOSCAN_ZOOPLANKTON_4","0.9893286004006414","4","2026-03-30T09:46:28.000Z","MUL_IMAGE_ZOOSCAN_ZOOPLANKTON","CatBoost 😸","ft","dino-large","997"
"cat_MUL_IMAGE_ZOOSCAN_ZOOPLANKTON_4","0.9847891489557276","4","2026-03-30T09:46:10.000Z","MUL_IMAGE_ZOOSCAN_ZOOPLANKTON","CatBoost 😸","all","dino-large","353"
"light_MUL_IMAGE_ZOOSCAN_ZOOPLANKTON_4","0.9859504921549236","4","2026-03-30T09:45:09.000Z","MUL_IMAGE_ZOOSCAN_ZOOPLANKTON","LightGBM 💡","ft","dino-large","964"
"light_MUL_IMAGE_ZOOSCAN_ZOOPLANKTON_4","0.9808587375903776","4","2026-03-30T09:44:37.000Z","MUL_IMAGE_ZOOSCAN_ZOOPLANKTON","LightGBM 💡","all","dino-large","304"
"tabpfnv2_MUL_IMAGE_ZOOSCAN_ZOOPLANKTON_3","0.9921234315995888","3","2026-03-30T09:44:25.000Z","MUL_IMAGE_ZOOSCAN_ZOOPLANKTON","TabPFN-v2 🤯","ft","dino-large","903"
"tabpfnv2_MUL_IMAGE_ZOOSCAN_ZOOPLANKTON_3","0.9853215306585668","3","2026-03-30T09:43:27.000Z","MUL_IMAGE_ZOOSCAN_ZOOPLANKTON","TabPFN-v2 🤯","all","dino-large","269"
"tabpfnv2p5_MUL_IMAGE_ZOOSCAN_ZOOPLANKTON_3","0.9931546736670408","3","2026-03-30T09:40:37.000Z","MUL_IMAGE_ZOOSCAN_ZOOPLANKTON","TabPFN-v2p5 🇩🇪","ft","dino-large","937"
"tabpfnv2p5_MUL_IMAGE_ZOOSCAN_ZOOPLANKTON_3","0.9893777504293402","3","2026-03-30T09:40:02.000Z","MUL_IMAGE_ZOOSCAN_ZOOPLANKTON","TabPFN-v2p5 🇩🇪","all","dino-large","377"
"tabm_MUL_IMAGE_ZOOSCAN_ZOOPLANKTON_3","0.991691080308365","3","2026-03-30T09:39:35.000Z","MUL_IMAGE_ZOOSCAN_ZOOPLANKTON","TabM Ⓜ️","ft","dino-large","935"
"tabm_MUL_IMAGE_ZOOSCAN_ZOOPLANKTON_3","0.9876934763848332","3","2026-03-30T09:39:26.000Z","MUL_IMAGE_ZOOSCAN_ZOOPLANKTON","TabM Ⓜ️","all","dino-large","303"
"cat_MUL_IMAGE_ZOOSCAN_ZOOPLANKTON_3","0.9901535000557412","3","2026-03-30T09:38:48.000Z","MUL_IMAGE_ZOOSCAN_ZOOPLANKTON","CatBoost 😸","ft","dino-large","1080"
"cat_MUL_IMAGE_ZOOSCAN_ZOOPLANKTON_3","0.9835495861879188","3","2026-03-30T09:37:38.000Z","MUL_IMAGE_ZOOSCAN_ZOOPLANKTON","CatBoost 😸","all","dino-large","445"
"light_MUL_IMAGE_ZOOSCAN_ZOOPLANKTON_3","0.9890777945013476","3","2026-03-30T09:35:19.000Z","MUL_IMAGE_ZOOSCAN_ZOOPLANKTON","LightGBM 💡","ft","dino-large","968"
"light_MUL_IMAGE_ZOOSCAN_ZOOPLANKTON_3","0.9803966791980784","3","2026-03-30T09:33:45.000Z","MUL_IMAGE_ZOOSCAN_ZOOPLANKTON","LightGBM 💡","all","dino-large","347"
"tabpfnv2_MUL_IMAGE_ZOOSCAN_ZOOPLANKTON_2","0.9923582238274432","2","2026-03-30T09:33:31.000Z","MUL_IMAGE_ZOOSCAN_ZOOPLANKTON","TabPFN-v2 🤯","ft","dino-large","943"
"tabpfnv2_MUL_IMAGE_ZOOSCAN_ZOOPLANKTON_2","0.988384131151345","2","2026-03-30T09:33:08.000Z","MUL_IMAGE_ZOOSCAN_ZOOPLANKTON","TabPFN-v2 🤯","all","dino-large","369"
"tabpfnv2p5_MUL_IMAGE_ZOOSCAN_ZOOPLANKTON_2","0.9944615144314352","2","2026-03-30T09:32:04.000Z","MUL_IMAGE_ZOOSCAN_ZOOPLANKTON","TabPFN-v2p5 🇩🇪","ft","dino-large","935"
"tabpfnv2p5_MUL_IMAGE_ZOOSCAN_ZOOPLANKTON_2","0.9921934750642568","2","2026-03-30T09:30:50.000Z","MUL_IMAGE_ZOOSCAN_ZOOPLANKTON","TabPFN-v2p5 🇩🇪","all","dino-large","264"
"tabm_MUL_IMAGE_ZOOSCAN_ZOOPLANKTON_2","0.9907510703458132","2","2026-03-30T09:30:11.000Z","MUL_IMAGE_ZOOSCAN_ZOOPLANKTON","TabM Ⓜ️","ft","dino-large","994"
"tabm_MUL_IMAGE_ZOOSCAN_ZOOPLANKTON_2","0.9907271143122844","2","2026-03-30T09:29:06.000Z","MUL_IMAGE_ZOOSCAN_ZOOPLANKTON","TabM Ⓜ️","all","dino-large","261"
"cat_MUL_IMAGE_ZOOSCAN_ZOOPLANKTON_2","0.9908076445217144","2","2026-03-30T09:28:47.000Z","MUL_IMAGE_ZOOSCAN_ZOOPLANKTON","CatBoost 😸","ft","dino-large","1036"
"cat_MUL_IMAGE_ZOOSCAN_ZOOPLANKTON_2","0.9869854103175284","2","2026-03-30T09:27:41.000Z","MUL_IMAGE_ZOOSCAN_ZOOPLANKTON","CatBoost 😸","all","dino-large","357"
"light_MUL_IMAGE_ZOOSCAN_ZOOPLANKTON_2","0.9885689179658532","2","2026-03-30T09:27:23.000Z","MUL_IMAGE_ZOOSCAN_ZOOPLANKTON","LightGBM 💡","ft","dino-large","1017"
"light_MUL_IMAGE_ZOOSCAN_ZOOPLANKTON_2","0.9835763440613948","2","2026-03-30T09:25:49.000Z","MUL_IMAGE_ZOOSCAN_ZOOPLANKTON","LightGBM 💡","all","dino-large","296"
"tabpfnv2_MUL_IMAGE_ZOOSCAN_ZOOPLANKTON_1","0.9916215115202264","1","2026-03-30T09:25:45.000Z","MUL_IMAGE_ZOOSCAN_ZOOPLANKTON","TabPFN-v2 🤯","ft","dino-large","1520"
"tabpfnv2_MUL_IMAGE_ZOOSCAN_ZOOPLANKTON_1","0.9870735746843704","1","2026-03-30T09:25:41.000Z","MUL_IMAGE_ZOOSCAN_ZOOPLANKTON","TabPFN-v2 🤯","all","dino-large","263"
"tabpfnv2p5_MUL_IMAGE_ZOOSCAN_ZOOPLANKTON_1","0.9924632515516796","1","2026-03-30T09:24:41.000Z","MUL_IMAGE_ZOOSCAN_ZOOPLANKTON","TabPFN-v2p5 🇩🇪","ft","dino-large","1118"
"tabpfnv2p5_MUL_IMAGE_ZOOSCAN_ZOOPLANKTON_1","0.9900544949313252","1","2026-03-30T09:24:19.000Z","MUL_IMAGE_ZOOSCAN_ZOOPLANKTON","TabPFN-v2p5 🇩🇪","all","dino-large","279"
"tabm_MUL_IMAGE_ZOOSCAN_ZOOPLANKTON_1","0.9915646194346764","1","2026-03-30T09:22:17.000Z","MUL_IMAGE_ZOOSCAN_ZOOPLANKTON","TabM Ⓜ️","ft","dino-large","984"
"tabm_MUL_IMAGE_ZOOSCAN_ZOOPLANKTON_1","0.9886345997826418","1","2026-03-30T09:21:48.000Z","MUL_IMAGE_ZOOSCAN_ZOOPLANKTON","TabM Ⓜ️","all","dino-large","258"
"cat_MUL_IMAGE_ZOOSCAN_ZOOPLANKTON_1","0.9901801444390416","1","2026-03-30T09:21:28.000Z","MUL_IMAGE_ZOOSCAN_ZOOPLANKTON","CatBoost 😸","ft","dino-large","1006"
"cat_MUL_IMAGE_ZOOSCAN_ZOOPLANKTON_1","0.9850167942876048","1","2026-03-30T09:21:15.000Z","MUL_IMAGE_ZOOSCAN_ZOOPLANKTON","CatBoost 😸","all","dino-large","378"
"light_MUL_IMAGE_ZOOSCAN_ZOOPLANKTON_1","0.9876634602643324","1","2026-03-30T09:20:38.000Z","MUL_IMAGE_ZOOSCAN_ZOOPLANKTON","LightGBM 💡","ft","dino-large","1013"
"light_MUL_IMAGE_ZOOSCAN_ZOOPLANKTON_1","0.9829694973605144","1","2026-03-30T09:20:22.000Z","MUL_IMAGE_ZOOSCAN_ZOOPLANKTON","LightGBM 💡","all","dino-large","313"
"tabpfnv2_MUL_IMAGE_ZOOSCAN_ZOOPLANKTON_0","0.9922952409091608","0","2026-03-30T09:18:56.000Z","MUL_IMAGE_ZOOSCAN_ZOOPLANKTON","TabPFN-v2 🤯","ft","dino-large","1297"
"tabpfnv2_MUL_IMAGE_ZOOSCAN_ZOOPLANKTON_0","0.9877829836880924","0","2026-03-30T09:18:54.000Z","MUL_IMAGE_ZOOSCAN_ZOOPLANKTON","TabPFN-v2 🤯","all","dino-large","339"
"tabpfnv2p5_MUL_IMAGE_ZOOSCAN_ZOOPLANKTON_0","0.9942709906234116","0","2026-03-30T09:18:20.000Z","MUL_IMAGE_ZOOSCAN_ZOOPLANKTON","TabPFN-v2p5 🇩🇪","ft","dino-large","2616"
"tabpfnv2p5_MUL_IMAGE_ZOOSCAN_ZOOPLANKTON_0","0.9906316665132252","0","2026-03-30T09:18:08.000Z","MUL_IMAGE_ZOOSCAN_ZOOPLANKTON","TabPFN-v2p5 🇩🇪","all","dino-large","367"
"tabm_MUL_IMAGE_ZOOSCAN_ZOOPLANKTON_0","0.9930866020987956","0","2026-03-30T09:17:01.000Z","MUL_IMAGE_ZOOSCAN_ZOOPLANKTON","TabM Ⓜ️","ft","dino-large","896"
"tabm_MUL_IMAGE_ZOOSCAN_ZOOPLANKTON_0","0.9905830057050228","0","2026-03-30T09:16:58.000Z","MUL_IMAGE_ZOOSCAN_ZOOPLANKTON","TabM Ⓜ️","all","dino-large","283"
