"Name","test_score","fold","Created","dataset","model","multimodal_state","dino_model","Runtime"
"tabm_REG_IMAGE_AMAZON_BEST_SELLER_2","0.5884311706439457","2","2026-04-08T06:33:22.000Z","REG_IMAGE_AMAZON_BEST_SELLER","TabM Ⓜ️","ft","dino-large","358"
"tabm_REG_IMAGE_AMAZON_BEST_SELLER_2","0.5884582227717862","2","2026-04-08T06:31:47.000Z","REG_IMAGE_AMAZON_BEST_SELLER","TabM Ⓜ️","all","dino-large","93"
"cat_REG_IMAGE_AMAZON_BEST_SELLER_2","0.5986500172556102","2","2026-04-08T06:25:46.000Z","REG_IMAGE_AMAZON_BEST_SELLER","CatBoost 😸","ft","dino-large","356"
"tabpfnv2_REG_IMAGE_AMAZON_BEST_SELLER_4","0.6933831389128832","4","2026-04-08T06:02:22.000Z","REG_IMAGE_AMAZON_BEST_SELLER","TabPFN-v2 🤯","all","dino-large","92"
"tabm_REG_IMAGE_AMAZON_BEST_SELLER_4","0.6358895612207727","4","2026-04-08T06:00:47.000Z","REG_IMAGE_AMAZON_BEST_SELLER","TabM Ⓜ️","all","dino-large","91"
"cat_REG_IMAGE_AMAZON_BEST_SELLER_4","0.6852691431427077","4","2026-04-08T05:55:13.000Z","REG_IMAGE_AMAZON_BEST_SELLER","CatBoost 😸","ft","dino-large","327"
"light_REG_IMAGE_AMAZON_BEST_SELLER_4","0.6584437579926039","4","2026-04-08T05:49:43.000Z","REG_IMAGE_AMAZON_BEST_SELLER","LightGBM 💡","ft","dino-large","322"
"tabpfnv2_REG_IMAGE_AMAZON_BEST_SELLER_3","0.6633543284642072","3","2026-04-08T05:43:10.000Z","REG_IMAGE_AMAZON_BEST_SELLER","TabPFN-v2 🤯","ft","dino-large","387"
"tabpfnv2_REG_IMAGE_AMAZON_BEST_SELLER_3","0.6624258681552291","3","2026-04-08T05:41:36.000Z","REG_IMAGE_AMAZON_BEST_SELLER","TabPFN-v2 🤯","all","dino-large","92"
"light_REG_IMAGE_AMAZON_BEST_SELLER_3","0.5623582814721626","3","2026-04-08T05:40:06.000Z","REG_IMAGE_AMAZON_BEST_SELLER","LightGBM 💡","all","dino-large","86"
"tabpfnv2_REG_IMAGE_AMAZON_BEST_SELLER_2","0.5805383044689659","2","2026-04-08T05:33:34.000Z","REG_IMAGE_AMAZON_BEST_SELLER","TabPFN-v2 🤯","ft","dino-large","387"
"tabpfnv2p5_REG_IMAGE_AMAZON_BEST_SELLER_2","0.603754631653043","2","2026-04-08T05:27:02.000Z","REG_IMAGE_AMAZON_BEST_SELLER","TabPFN-v2p5 🇩🇪","ft","dino-large","385"
