"Name","test_score","fold","Created","dataset","model","multimodal_state","dino_model","Runtime"
"tabpfnv2_REG_IMAGE_AMAZON_PACKAGES_4","0.6301820799853635","4","2026-03-30T10:37:24.000Z","REG_IMAGE_AMAZON_PACKAGES","TabPFN-v2 🤯","ft","dino-large","1150"
"tabpfnv2_REG_IMAGE_AMAZON_PACKAGES_4","0.5742351513412856","4","2026-03-30T10:34:21.000Z","REG_IMAGE_AMAZON_PACKAGES","TabPFN-v2 🤯","all","dino-large","459"
"tabpfnv2p5_REG_IMAGE_AMAZON_PACKAGES_4","0.6260640440798884","4","2026-03-30T10:33:10.000Z","REG_IMAGE_AMAZON_PACKAGES","TabPFN-v2p5 🇩🇪","ft","dino-large","1173"
"tabpfnv2p5_REG_IMAGE_AMAZON_PACKAGES_4","0.5869785505650859","4","2026-03-30T10:33:07.000Z","REG_IMAGE_AMAZON_PACKAGES","TabPFN-v2p5 🇩🇪","all","dino-large","463"
"tabm_REG_IMAGE_AMAZON_PACKAGES_4","0.6261837254323737","4","2026-03-30T10:32:36.000Z","REG_IMAGE_AMAZON_PACKAGES","TabM Ⓜ️","ft","dino-large","1123"
"tabm_REG_IMAGE_AMAZON_PACKAGES_4","0.566004723579007","4","2026-03-30T10:31:46.000Z","REG_IMAGE_AMAZON_PACKAGES","TabM Ⓜ️","all","dino-large","419"
"cat_REG_IMAGE_AMAZON_PACKAGES_4","0.6066090685192289","4","2026-03-30T10:30:39.000Z","REG_IMAGE_AMAZON_PACKAGES","CatBoost 😸","ft","dino-large","1104"
"cat_REG_IMAGE_AMAZON_PACKAGES_4","0.5512330218677858","4","2026-03-30T10:29:51.000Z","REG_IMAGE_AMAZON_PACKAGES","CatBoost 😸","all","dino-large","446"
"light_REG_IMAGE_AMAZON_PACKAGES_4","0.6062767127268305","4","2026-03-30T10:27:05.000Z","REG_IMAGE_AMAZON_PACKAGES","LightGBM 💡","ft","dino-large","1072"
"light_REG_IMAGE_AMAZON_PACKAGES_4","0.5363299545908744","4","2026-03-30T10:26:10.000Z","REG_IMAGE_AMAZON_PACKAGES","LightGBM 💡","all","dino-large","413"
"tabpfnv2_REG_IMAGE_AMAZON_PACKAGES_3","0.6559886376606774","3","2026-03-30T10:25:27.000Z","REG_IMAGE_AMAZON_PACKAGES","TabPFN-v2 🤯","ft","dino-large","1051"
"tabpfnv2_REG_IMAGE_AMAZON_PACKAGES_3","0.5977607037223802","3","2026-03-30T10:24:50.000Z","REG_IMAGE_AMAZON_PACKAGES","TabPFN-v2 🤯","all","dino-large","428"
"tabpfnv2p5_REG_IMAGE_AMAZON_PACKAGES_3","0.6783401789000465","3","2026-03-30T10:24:29.000Z","REG_IMAGE_AMAZON_PACKAGES","TabPFN-v2p5 🇩🇪","ft","dino-large","1075"
"tabpfnv2p5_REG_IMAGE_AMAZON_PACKAGES_3","0.6239841321649257","3","2026-03-30T10:23:35.000Z","REG_IMAGE_AMAZON_PACKAGES","TabPFN-v2p5 🇩🇪","all","dino-large","433"
"tabm_REG_IMAGE_AMAZON_PACKAGES_3","0.6571724129561128","3","2026-03-30T10:22:08.000Z","REG_IMAGE_AMAZON_PACKAGES","TabM Ⓜ️","ft","dino-large","1059"
"tabm_REG_IMAGE_AMAZON_PACKAGES_3","0.5911372187400417","3","2026-03-30T10:22:03.000Z","REG_IMAGE_AMAZON_PACKAGES","TabM Ⓜ️","all","dino-large","434"
"cat_REG_IMAGE_AMAZON_PACKAGES_3","0.637334202549878","3","2026-03-30T10:21:36.000Z","REG_IMAGE_AMAZON_PACKAGES","CatBoost 😸","ft","dino-large","1087"
"cat_REG_IMAGE_AMAZON_PACKAGES_3","0.5632918938508203","3","2026-03-30T10:19:40.000Z","REG_IMAGE_AMAZON_PACKAGES","CatBoost 😸","all","dino-large","438"
