"Name","test_score","fold","Created","dataset","model","multimodal_state","dino_model","Runtime"
"tabpfnv2_REG_IMAGE_HNM_FASHION_4","0.30854999937371996","4","2026-04-01T20:48:34.000Z","REG_IMAGE_HNM_FASHION","TabPFN-v2 🤯","ft","dino-large","1042"
"tabpfnv2_REG_IMAGE_HNM_FASHION_4","0.29189503083263757","4","2026-04-01T19:19:57.000Z","REG_IMAGE_HNM_FASHION","TabPFN-v2 🤯","all","dino-large","1233"
"tabpfnv2p5_REG_IMAGE_HNM_FASHION_4","0.670873200048757","4","2026-03-30T14:07:32.000Z","REG_IMAGE_HNM_FASHION","TabPFN-v2p5 🇩🇪","ft","dino-large","1325"
"tabpfnv2p5_REG_IMAGE_HNM_FASHION_4","0.654749848255749","4","2026-03-30T14:00:46.000Z","REG_IMAGE_HNM_FASHION","TabPFN-v2p5 🇩🇪","all","dino-large","853"
"tabm_REG_IMAGE_HNM_FASHION_4","0.6657431821312698","4","2026-03-30T13:57:51.000Z","REG_IMAGE_HNM_FASHION","TabM Ⓜ️","ft","dino-large","1254"
"tabm_REG_IMAGE_HNM_FASHION_4","0.6513152613519604","4","2026-03-30T13:50:28.000Z","REG_IMAGE_HNM_FASHION","TabM Ⓜ️","all","dino-large","770"
"cat_REG_IMAGE_HNM_FASHION_4","0.6606385608845957","4","2026-03-30T13:46:23.000Z","REG_IMAGE_HNM_FASHION","CatBoost 😸","ft","dino-large","1261"
"cat_REG_IMAGE_HNM_FASHION_4","0.6315062654885493","4","2026-03-30T13:43:10.000Z","REG_IMAGE_HNM_FASHION","CatBoost 😸","all","dino-large","875"
"light_REG_IMAGE_HNM_FASHION_4","0.6435181805720838","4","2026-03-30T13:40:22.000Z","REG_IMAGE_HNM_FASHION","LightGBM 💡","ft","dino-large","1196"
"light_REG_IMAGE_HNM_FASHION_4","0.6049413366491871","4","2026-03-30T13:39:33.000Z","REG_IMAGE_HNM_FASHION","LightGBM 💡","all","dino-large","783"
"tabpfnv2_REG_IMAGE_HNM_FASHION_3","0.6433776757288234","3","2026-03-30T13:38:02.000Z","REG_IMAGE_HNM_FASHION","TabPFN-v2 🤯","ft","dino-large","1356"
"tabpfnv2_REG_IMAGE_HNM_FASHION_3","0.6153063170616899","3","2026-03-30T13:33:07.000Z","REG_IMAGE_HNM_FASHION","TabPFN-v2 🤯","all","dino-large","792"
"tabpfnv2p5_REG_IMAGE_HNM_FASHION_3","0.6599199958521913","3","2026-03-30T13:28:05.000Z","REG_IMAGE_HNM_FASHION","TabPFN-v2p5 🇩🇪","ft","dino-large","1338"
"tabpfnv2p5_REG_IMAGE_HNM_FASHION_3","0.639332566695424","3","2026-03-30T13:25:43.000Z","REG_IMAGE_HNM_FASHION","TabPFN-v2p5 🇩🇪","all","dino-large","776"
"tabm_REG_IMAGE_HNM_FASHION_3","0.6428500607125422","3","2026-03-30T13:21:16.000Z","REG_IMAGE_HNM_FASHION","TabM Ⓜ️","ft","dino-large","1307"
"tabm_REG_IMAGE_HNM_FASHION_3","0.6202341702586757","3","2026-03-30T13:19:51.000Z","REG_IMAGE_HNM_FASHION","TabM Ⓜ️","all","dino-large","834"
"cat_REG_IMAGE_HNM_FASHION_3","0.6427080644436176","3","2026-03-30T13:18:39.000Z","REG_IMAGE_HNM_FASHION","CatBoost 😸","ft","dino-large","1296"
"cat_REG_IMAGE_HNM_FASHION_3","0.616330252415062","3","2026-03-30T13:16:01.000Z","REG_IMAGE_HNM_FASHION","CatBoost 😸","all","dino-large","830"
"light_REG_IMAGE_HNM_FASHION_3","0.6240770055611778","3","2026-03-30T13:15:48.000Z","REG_IMAGE_HNM_FASHION","LightGBM 💡","ft","dino-large","1330"
"light_REG_IMAGE_HNM_FASHION_3","0.5982757067585576","3","2026-03-30T13:13:18.000Z","REG_IMAGE_HNM_FASHION","LightGBM 💡","all","dino-large","883"
"tabpfnv2_REG_IMAGE_HNM_FASHION_2","0.6360716068129111","2","2026-03-30T13:12:54.000Z","REG_IMAGE_HNM_FASHION","TabPFN-v2 🤯","ft","dino-large","1590"
"tabpfnv2_REG_IMAGE_HNM_FASHION_2","0.6143038427516929","2","2026-03-30T13:10:18.000Z","REG_IMAGE_HNM_FASHION","TabPFN-v2 🤯","all","dino-large","950"
"tabpfnv2p5_REG_IMAGE_HNM_FASHION_2","0.6450682304222812","2","2026-03-30T13:09:48.000Z","REG_IMAGE_HNM_FASHION","TabPFN-v2p5 🇩🇪","ft","dino-large","1388"
"tabpfnv2p5_REG_IMAGE_HNM_FASHION_2","0.6286690356771201","2","2026-03-30T13:06:10.000Z","REG_IMAGE_HNM_FASHION","TabPFN-v2p5 🇩🇪","all","dino-large","746"
"tabm_REG_IMAGE_HNM_FASHION_2","0.6355661129172524","2","2026-03-30T13:06:01.000Z","REG_IMAGE_HNM_FASHION","TabM Ⓜ️","ft","dino-large","1171"
"tabm_REG_IMAGE_HNM_FASHION_2","0.6207824039028926","2","2026-03-30T13:05:32.000Z","REG_IMAGE_HNM_FASHION","TabM Ⓜ️","all","dino-large","620"
"cat_REG_IMAGE_HNM_FASHION_2","0.6244689597616503","2","2026-03-30T13:04:54.000Z","REG_IMAGE_HNM_FASHION","CatBoost 😸","ft","dino-large","1192"
"cat_REG_IMAGE_HNM_FASHION_2","0.5998014284932374","2","2026-03-30T13:04:25.000Z","REG_IMAGE_HNM_FASHION","CatBoost 😸","all","dino-large","694"
"light_REG_IMAGE_HNM_FASHION_2","0.6076995940569525","2","2026-03-30T13:01:51.000Z","REG_IMAGE_HNM_FASHION","LightGBM 💡","ft","dino-large","1157"
"light_REG_IMAGE_HNM_FASHION_2","0.5790111603010382","2","2026-03-30T13:00:49.000Z","REG_IMAGE_HNM_FASHION","LightGBM 💡","all","dino-large","565"
"tabpfnv2_REG_IMAGE_HNM_FASHION_1","0.6280939429969177","1","2026-03-30T12:57:50.000Z","REG_IMAGE_HNM_FASHION","TabPFN-v2 🤯","ft","dino-large","1315"
"tabpfnv2_REG_IMAGE_HNM_FASHION_1","0.5936587616816233","1","2026-03-30T12:57:46.000Z","REG_IMAGE_HNM_FASHION","TabPFN-v2 🤯","all","dino-large","927"
"tabpfnv2p5_REG_IMAGE_HNM_FASHION_1","0.6332329272384136","1","2026-03-30T12:56:53.000Z","REG_IMAGE_HNM_FASHION","TabPFN-v2p5 🇩🇪","ft","dino-large","1242"
"tabpfnv2p5_REG_IMAGE_HNM_FASHION_1","0.601700736096139","1","2026-03-30T12:56:43.000Z","REG_IMAGE_HNM_FASHION","TabPFN-v2p5 🇩🇪","all","dino-large","712"
