"Name","test_score","fold","Created","dataset","model","multimodal_state","dino_model","Runtime"
"tabpfnv2_REG_IMAGE_LETTERBOXD_MOVIES_4","0.4848106738373187","4","2026-03-30T11:31:26.000Z","REG_IMAGE_LETTERBOXD_MOVIES","TabPFN-v2 🤯","ft","dino-large","1020"
"tabpfnv2_REG_IMAGE_LETTERBOXD_MOVIES_4","0.4809044760446025","4","2026-03-30T11:31:07.000Z","REG_IMAGE_LETTERBOXD_MOVIES","TabPFN-v2 🤯","all","dino-large","538"
"tabpfnv2p5_REG_IMAGE_LETTERBOXD_MOVIES_4","0.4969423451266064","4","2026-03-30T11:31:06.000Z","REG_IMAGE_LETTERBOXD_MOVIES","TabPFN-v2p5 🇩🇪","ft","dino-large","1002"
"tabpfnv2p5_REG_IMAGE_LETTERBOXD_MOVIES_4","0.5042113939565187","4","2026-03-30T11:29:27.000Z","REG_IMAGE_LETTERBOXD_MOVIES","TabPFN-v2p5 🇩🇪","all","dino-large","506"
"tabm_REG_IMAGE_LETTERBOXD_MOVIES_4","0.4832442419160162","4","2026-03-30T11:28:32.000Z","REG_IMAGE_LETTERBOXD_MOVIES","TabM Ⓜ️","ft","dino-large","946"
"tabm_REG_IMAGE_LETTERBOXD_MOVIES_4","0.4840399247633097","4","2026-03-30T11:28:26.000Z","REG_IMAGE_LETTERBOXD_MOVIES","TabM Ⓜ️","all","dino-large","489"
"cat_REG_IMAGE_LETTERBOXD_MOVIES_4","0.4705106621256604","4","2026-03-30T11:27:35.000Z","REG_IMAGE_LETTERBOXD_MOVIES","CatBoost 😸","ft","dino-large","960"
"cat_REG_IMAGE_LETTERBOXD_MOVIES_4","0.4597735988791089","4","2026-03-30T11:26:05.000Z","REG_IMAGE_LETTERBOXD_MOVIES","CatBoost 😸","all","dino-large","513"
"light_REG_IMAGE_LETTERBOXD_MOVIES_4","0.4468711252387987","4","2026-03-30T11:24:43.000Z","REG_IMAGE_LETTERBOXD_MOVIES","LightGBM 💡","ft","dino-large","903"
"light_REG_IMAGE_LETTERBOXD_MOVIES_4","0.4362111535628288","4","2026-03-30T11:23:26.000Z","REG_IMAGE_LETTERBOXD_MOVIES","LightGBM 💡","all","dino-large","473"
"tabpfnv2_REG_IMAGE_LETTERBOXD_MOVIES_3","0.5241147279136265","3","2026-03-30T11:22:44.000Z","REG_IMAGE_LETTERBOXD_MOVIES","TabPFN-v2 🤯","ft","dino-large","924"
"tabpfnv2_REG_IMAGE_LETTERBOXD_MOVIES_3","0.5170954257605914","3","2026-03-30T11:22:17.000Z","REG_IMAGE_LETTERBOXD_MOVIES","TabPFN-v2 🤯","all","dino-large","523"
"tabpfnv2p5_REG_IMAGE_LETTERBOXD_MOVIES_3","0.5347459341600304","3","2026-03-30T11:20:27.000Z","REG_IMAGE_LETTERBOXD_MOVIES","TabPFN-v2p5 🇩🇪","ft","dino-large","936"
"tabpfnv2p5_REG_IMAGE_LETTERBOXD_MOVIES_3","0.5320115064708224","3","2026-03-30T11:19:51.000Z","REG_IMAGE_LETTERBOXD_MOVIES","TabPFN-v2p5 🇩🇪","all","dino-large","516"
"tabm_REG_IMAGE_LETTERBOXD_MOVIES_3","0.5207147872170658","3","2026-03-30T11:19:10.000Z","REG_IMAGE_LETTERBOXD_MOVIES","TabM Ⓜ️","ft","dino-large","911"
"tabm_REG_IMAGE_LETTERBOXD_MOVIES_3","0.5147447174230364","3","2026-03-30T11:18:37.000Z","REG_IMAGE_LETTERBOXD_MOVIES","TabM Ⓜ️","all","dino-large","463"
"cat_REG_IMAGE_LETTERBOXD_MOVIES_3","0.49854564842189775","3","2026-03-30T11:16:44.000Z","REG_IMAGE_LETTERBOXD_MOVIES","CatBoost 😸","ft","dino-large","994"
"cat_REG_IMAGE_LETTERBOXD_MOVIES_3","0.486817417146015","3","2026-03-30T11:16:41.000Z","REG_IMAGE_LETTERBOXD_MOVIES","CatBoost 😸","all","dino-large","2151"
"light_REG_IMAGE_LETTERBOXD_MOVIES_3","0.4789615636431932","3","2026-03-30T11:16:35.000Z","REG_IMAGE_LETTERBOXD_MOVIES","LightGBM 💡","ft","dino-large","909"
"light_REG_IMAGE_LETTERBOXD_MOVIES_3","0.4721091813222449","3","2026-03-30T11:16:33.000Z","REG_IMAGE_LETTERBOXD_MOVIES","LightGBM 💡","all","dino-large","483"
"tabpfnv2_REG_IMAGE_LETTERBOXD_MOVIES_2","0.4624958468382128","2","2026-03-30T11:15:54.000Z","REG_IMAGE_LETTERBOXD_MOVIES","TabPFN-v2 🤯","ft","dino-large","1011"
