"Name","test_score","fold","Created","dataset","model","multimodal_state","dino_model","Runtime"
"tabpfnv2_REG_IMAGE_MANGO_MASS_4","0.5964545688946689","4","2026-03-30T11:46:15.000Z","REG_IMAGE_MANGO_MASS","TabPFN-v2 🤯","ft","dino-large","249"
"tabpfnv2_REG_IMAGE_MANGO_MASS_4","0.5557902911029291","4","2026-03-30T11:46:15.000Z","REG_IMAGE_MANGO_MASS","TabPFN-v2 🤯","all","dino-large","88"
"tabpfnv2p5_REG_IMAGE_MANGO_MASS_4","0.5756217759399114","4","2026-03-30T11:46:12.000Z","REG_IMAGE_MANGO_MASS","TabPFN-v2p5 🇩🇪","ft","dino-large","192"
"tabpfnv2p5_REG_IMAGE_MANGO_MASS_4","0.5543815261104114","4","2026-03-30T11:45:52.000Z","REG_IMAGE_MANGO_MASS","TabPFN-v2p5 🇩🇪","all","dino-large","53"
"tabm_REG_IMAGE_MANGO_MASS_4","0.62199537666333","4","2026-03-30T11:45:24.000Z","REG_IMAGE_MANGO_MASS","TabM Ⓜ️","ft","dino-large","158"
"tabm_REG_IMAGE_MANGO_MASS_4","0.5628564841149754","4","2026-03-30T11:45:09.000Z","REG_IMAGE_MANGO_MASS","TabM Ⓜ️","all","dino-large","33"
"cat_REG_IMAGE_MANGO_MASS_4","0.5393782293939662","4","2026-03-30T11:45:01.000Z","REG_IMAGE_MANGO_MASS","CatBoost 😸","all","dino-large","77"
"cat_REG_IMAGE_MANGO_MASS_4","0.512405133997575","4","2026-03-30T11:45:01.000Z","REG_IMAGE_MANGO_MASS","CatBoost 😸","ft","dino-large","148"
"light_REG_IMAGE_MANGO_MASS_4","0.5121862536077129","4","2026-03-30T11:44:23.000Z","REG_IMAGE_MANGO_MASS","LightGBM 💡","ft","dino-large","147"
"light_REG_IMAGE_MANGO_MASS_4","0.5654025566775018","4","2026-03-30T11:44:13.000Z","REG_IMAGE_MANGO_MASS","LightGBM 💡","all","dino-large","43"
"tabpfnv2_REG_IMAGE_MANGO_MASS_3","0.5752355965021718","3","2026-03-30T11:43:42.000Z","REG_IMAGE_MANGO_MASS","TabPFN-v2 🤯","ft","dino-large","200"
"tabpfnv2_REG_IMAGE_MANGO_MASS_3","0.510098379328479","3","2026-03-30T11:43:38.000Z","REG_IMAGE_MANGO_MASS","TabPFN-v2 🤯","all","dino-large","98"
"tabpfnv2p5_REG_IMAGE_MANGO_MASS_3","0.5876788635447241","3","2026-03-30T11:43:21.000Z","REG_IMAGE_MANGO_MASS","TabPFN-v2p5 🇩🇪","ft","dino-large","238"
"tabpfnv2p5_REG_IMAGE_MANGO_MASS_3","0.4862990906125126","3","2026-03-30T11:43:15.000Z","REG_IMAGE_MANGO_MASS","TabPFN-v2p5 🇩🇪","all","dino-large","54"
