"Name","test_score","fold","Created","dataset","model","multimodal_state","dino_model","Runtime"
"tabpfnv2_REG_IMAGE_PAINTING_PRICE_4","0.2849537305018911","4","2026-04-02T01:23:11.000Z","REG_IMAGE_PAINTING_PRICE","TabPFN-v2 🤯","ft","dino-large","1833"
"tabpfnv2_REG_IMAGE_PAINTING_PRICE_4","0.2845560972100184","4","2026-04-02T01:22:38.000Z","REG_IMAGE_PAINTING_PRICE","TabPFN-v2 🤯","all","dino-large","872"
"tabpfnv2p5_REG_IMAGE_PAINTING_PRICE_4","0.3879368217228082","4","2026-04-02T01:21:06.000Z","REG_IMAGE_PAINTING_PRICE","TabPFN-v2p5 🇩🇪","ft","dino-large","1756"
"tabpfnv2p5_REG_IMAGE_PAINTING_PRICE_4","0.39919830915966126","4","2026-04-02T01:21:03.000Z","REG_IMAGE_PAINTING_PRICE","TabPFN-v2p5 🇩🇪","all","dino-large","853"
"tabm_REG_IMAGE_PAINTING_PRICE_4","0.3890194629768835","4","2026-04-02T01:19:46.000Z","REG_IMAGE_PAINTING_PRICE","TabM Ⓜ️","ft","dino-large","1695"
"tabm_REG_IMAGE_PAINTING_PRICE_4","0.29399963378479754","4","2026-04-02T01:14:04.000Z","REG_IMAGE_PAINTING_PRICE","TabM Ⓜ️","all","dino-large","800"
"cat_REG_IMAGE_PAINTING_PRICE_4","0.312690545192589","4","2026-04-02T01:10:29.000Z","REG_IMAGE_PAINTING_PRICE","CatBoost 😸","ft","dino-large","1728"
"cat_REG_IMAGE_PAINTING_PRICE_4","0.3308393892527546","4","2026-04-02T01:10:24.000Z","REG_IMAGE_PAINTING_PRICE","CatBoost 😸","all","dino-large","914"
"light_REG_IMAGE_PAINTING_PRICE_4","0.3035588390655587","4","2026-04-02T01:09:17.000Z","REG_IMAGE_PAINTING_PRICE","LightGBM 💡","ft","dino-large","1597"
"light_REG_IMAGE_PAINTING_PRICE_4","0.30793390675390186","4","2026-04-02T01:09:12.000Z","REG_IMAGE_PAINTING_PRICE","LightGBM 💡","all","dino-large","839"
"tabpfnv2_REG_IMAGE_PAINTING_PRICE_3","0.19265771865943537","3","2026-04-02T01:08:23.000Z","REG_IMAGE_PAINTING_PRICE","TabPFN-v2 🤯","ft","dino-large","1710"
