"Name","test_score","fold","multimodal_state","model","Created","dataset","Runtime","Hostname","State","pca_components"
"agmm_MUL_IMAGE_HUBMAP_HPA_2","0.99588704794281","2","all","AutoGluon-MM 🧴","2026-04-13T21:10:42.000Z","MUL_IMAGE_HUBMAP_HPA","3239","nlp-srv2.iem.technion.ac.il","finished","30"
"agmm_MUL_IMAGE_HUBMAP_HPA_4","0.9956326332746672","4","all","AutoGluon-MM 🧴","2026-04-13T21:34:18.000Z","MUL_IMAGE_HUBMAP_HPA","3201","nlp-srv2.iem.technion.ac.il","finished","30"
"agmm_MUL_IMAGE_HUBMAP_HPA_3","0.9955253716499172","3","all","AutoGluon-MM 🧴","2026-04-13T21:34:11.000Z","MUL_IMAGE_HUBMAP_HPA","3729","nlp19.iem.technion.ac.il","finished","30"
"agmm_MUL_IMAGE_HUBMAP_HPA_0","0.9953465059158876","0","all","AutoGluon-MM 🧴","2026-04-13T21:07:40.000Z","MUL_IMAGE_HUBMAP_HPA","3219","nlp-srv2.iem.technion.ac.il","finished","30"
"agmm_MUL_IMAGE_ZOOSCAN_ZOOPLANKTON_0","0.9952891918765896","0","all","AutoGluon-MM 🧴","2026-04-13T23:16:43.000Z","MUL_IMAGE_ZOOSCAN_ZOOPLANKTON","2665","nlp19.iem.technion.ac.il","finished","30"
"agmm_MUL_IMAGE_HUBMAP_HPA_1","0.994961867557718","1","all","AutoGluon-MM 🧴","2026-04-13T21:10:32.000Z","MUL_IMAGE_HUBMAP_HPA","3215","nlp-srv2.iem.technion.ac.il","finished","30"
"agmm_MUL_IMAGE_ZOOSCAN_ZOOPLANKTON_2","0.994164196695512","2","all","AutoGluon-MM 🧴","2026-04-13T23:38:03.000Z","MUL_IMAGE_ZOOSCAN_ZOOPLANKTON","2141","nlp-srv2.iem.technion.ac.il","finished","30"
"agmm_MUL_IMAGE_ZOOSCAN_ZOOPLANKTON_1","0.9921766987613588","1","all","AutoGluon-MM 🧴","2026-04-13T23:35:52.000Z","MUL_IMAGE_ZOOSCAN_ZOOPLANKTON","2099","nlp-srv2.iem.technion.ac.il","finished","30"
"agmm_MUL_IMAGE_ZOOSCAN_ZOOPLANKTON_4","0.991951263075693","4","all","AutoGluon-MM 🧴","2026-04-13T23:55:43.000Z","MUL_IMAGE_ZOOSCAN_ZOOPLANKTON","2116","nlp-srv2.iem.technion.ac.il","finished","30"
"agmm_MUL_IMAGE_ZOOSCAN_ZOOPLANKTON_3","0.990693988581023","3","all","AutoGluon-MM 🧴","2026-04-13T23:45:59.000Z","MUL_IMAGE_ZOOSCAN_ZOOPLANKTON","2116","nlp-srv2.iem.technion.ac.il","finished","30"
"agmm_MUL_TEXT_US_ACCIDENTS_4","0.9845859243591704","4","all","AutoGluon-MM 🧴","2026-04-14T04:54:13.000Z","MUL_TEXT_US_ACCIDENTS","901","nlp-srv2.iem.technion.ac.il","finished","30"
"agmm_MUL_TEXT_WINE_REVIEW_2","0.98429587722768","2","all","AutoGluon-MM 🧴","2026-04-14T05:03:07.000Z","MUL_TEXT_WINE_REVIEW","989","nlp-srv2.iem.technion.ac.il","finished","30"
"agmm_REG_TEXT_MONTGOMERY_SALARIES_0","0.9829324142881776","0","all","AutoGluon-MM 🧴","2026-04-14T06:05:39.000Z","REG_TEXT_MONTGOMERY_SALARIES","748","nlp19.iem.technion.ac.il","finished","30"
"agmm_MUL_TEXT_WINE_REVIEW_4","0.982821357935618","4","all","AutoGluon-MM 🧴","2026-04-14T05:05:41.000Z","MUL_TEXT_WINE_REVIEW","1307","nlp-srv2.iem.technion.ac.il","finished","30"
"agmm_MUL_TEXT_WINE_REVIEW_1","0.9820312045993408","1","all","AutoGluon-MM 🧴","2026-04-14T04:56:56.000Z","MUL_TEXT_WINE_REVIEW","459","nlp19.iem.technion.ac.il","finished","30"
"agmm_MUL_TEXT_WINE_REVIEW_0","0.9801503061852964","0","all","AutoGluon-MM 🧴","2026-04-14T04:54:18.000Z","MUL_TEXT_WINE_REVIEW","1258","nlp-srv2.iem.technion.ac.il","finished","30"
