"Name","test_score","fold","multimodal_state","model","Created","dataset","Runtime","pca_components","State","Hostname"
"ctx_REG_TEXT_VANCOUVER_SALARIES_4","0.759266347431728","4","all","ConTextTab 🏢","2026-04-08T23:28:15.000Z","REG_TEXT_VANCOUVER_SALARIES","36","30","finished","nlp-srv2.iem.technion.ac.il"
"ctx_REG_TEXT_VANCOUVER_SALARIES_0","0.7899675735430496","0","all","ConTextTab 🏢","2026-04-08T23:27:33.000Z","REG_TEXT_VANCOUVER_SALARIES","36","30","finished","nlp-srv2.iem.technion.ac.il"
"ctx_REG_TEXT_ZOMATO_RESTAURANTS_4","0.8357938908106647","4","all","ConTextTab 🏢","2026-04-08T19:13:04.000Z","REG_TEXT_ZOMATO_RESTAURANTS","165","30","finished","nlp-srv2.iem.technion.ac.il"
"ctx_REG_TEXT_ZOMATO_RESTAURANTS_3","0.858181208962679","3","all","ConTextTab 🏢","2026-04-08T17:39:18.000Z","REG_TEXT_ZOMATO_RESTAURANTS","172","","finished","nlp19.iem.technion.ac.il"
"ctx_REG_TEXT_ZOMATO_RESTAURANTS_2","0.8311486344057122","2","all","ConTextTab 🏢","2026-04-08T15:38:21.000Z","REG_TEXT_ZOMATO_RESTAURANTS","172","","finished","nlp19.iem.technion.ac.il"
"ctx_REG_TEXT_ZOMATO_RESTAURANTS_1","0.8656303686822078","1","all","ConTextTab 🏢","2026-04-08T14:34:11.000Z","REG_TEXT_ZOMATO_RESTAURANTS","170","","finished","nlp19.iem.technion.ac.il"
"ctx_REG_TEXT_ZOMATO_RESTAURANTS_0","0.840829556125612","0","all","ConTextTab 🏢","2026-04-08T14:11:16.000Z","REG_TEXT_ZOMATO_RESTAURANTS","187","","finished","nlp19.iem.technion.ac.il"
"ctx_REG_TEXT_VIDEO_GAMES_SALES_4","0.2614638142086899","4","all","ConTextTab 🏢","2026-04-08T14:08:16.000Z","REG_TEXT_VIDEO_GAMES_SALES","39","","finished","nlp19.iem.technion.ac.il"
"ctx_REG_TEXT_VIDEO_GAMES_SALES_3","0.4232131445432735","3","all","ConTextTab 🏢","2026-04-08T14:01:09.000Z","REG_TEXT_VIDEO_GAMES_SALES","39","","finished","nlp19.iem.technion.ac.il"
"ctx_REG_TEXT_VIDEO_GAMES_SALES_2","0.30118453788478927","2","all","ConTextTab 🏢","2026-04-08T13:54:01.000Z","REG_TEXT_VIDEO_GAMES_SALES","39","","finished","nlp19.iem.technion.ac.il"
"ctx_REG_TEXT_VIDEO_GAMES_SALES_1","0.37408763057823113","1","all","ConTextTab 🏢","2026-04-08T13:38:00.000Z","REG_TEXT_VIDEO_GAMES_SALES","36","30","finished","nlp-srv2.iem.technion.ac.il"
"ctx_REG_TEXT_VIDEO_GAMES_SALES_0","0.4018560002856154","0","all","ConTextTab 🏢","2026-04-08T13:32:06.000Z","REG_TEXT_VIDEO_GAMES_SALES","38","30","finished","nlp-srv2.iem.technion.ac.il"
"ctx_REG_TEXT_VANCOUVER_SALARIES_3","0.7826250023037419","3","all","ConTextTab 🏢","2026-04-08T13:18:04.000Z","REG_TEXT_VANCOUVER_SALARIES","57","30","finished","nlp-srv2.iem.technion.ac.il"
"ctx_REG_TEXT_VANCOUVER_SALARIES_2","0.7572418633091383","2","all","ConTextTab 🏢","2026-04-08T12:51:53.000Z","REG_TEXT_VANCOUVER_SALARIES","36","30","finished","nlp-srv2.iem.technion.ac.il"
"ctx_REG_TEXT_VANCOUVER_SALARIES_1","0.723969328667753","1","all","ConTextTab 🏢","2026-04-08T12:33:24.000Z","REG_TEXT_VANCOUVER_SALARIES","39","30","finished","nlp-srv2.iem.technion.ac.il"
"ctx_REG_TEXT_ROTTEN_TOMATOES_4","0.5242231615269505","4","all","ConTextTab 🏢","2026-04-08T12:10:03.000Z","REG_TEXT_ROTTEN_TOMATOES","22","","finished","nlp19.iem.technion.ac.il"
"ctx_REG_TEXT_ROTTEN_TOMATOES_3","0.5883094703696055","3","all","ConTextTab 🏢","2026-04-08T12:04:34.000Z","REG_TEXT_ROTTEN_TOMATOES","26","30","finished","nlp-srv2.iem.technion.ac.il"
"ctx_REG_TEXT_ROTTEN_TOMATOES_2","0.5561687629458764","2","all","ConTextTab 🏢","2026-04-08T11:47:09.000Z","REG_TEXT_ROTTEN_TOMATOES","24","30","finished","nlp-srv2.iem.technion.ac.il"
"ctx_REG_TEXT_ROTTEN_TOMATOES_1","0.6196725024505785","1","all","ConTextTab 🏢","2026-04-08T11:11:42.000Z","REG_TEXT_ROTTEN_TOMATOES","24","30","finished","nlp-srv2.iem.technion.ac.il"
"ctx_REG_TEXT_ROTTEN_TOMATOES_0","0.5547782198759426","0","all","ConTextTab 🏢","2026-04-08T10:37:18.000Z","REG_TEXT_ROTTEN_TOMATOES","23","","finished","nlp-srv2.iem.technion.ac.il"
"ctx_REG_TEXT_SCIMAGOJR_IMPACT_4","0.8558254241943359","4","all","ConTextTab 🏢","2026-04-08T09:59:59.000Z","REG_TEXT_SCIMAGOJR_IMPACT","94","","finished","nlp-srv2.iem.technion.ac.il"
"ctx_REG_TEXT_SCIMAGOJR_IMPACT_3","0.8651042580604553","3","all","ConTextTab 🏢","2026-04-08T09:40:03.000Z","REG_TEXT_SCIMAGOJR_IMPACT","93","","finished","nlp-srv2.iem.technion.ac.il"
"ctx_REG_TEXT_SCIMAGOJR_IMPACT_2","0.8552888631820679","2","all","ConTextTab 🏢","2026-04-08T09:33:54.000Z","REG_TEXT_SCIMAGOJR_IMPACT","99","","finished","nlp19.iem.technion.ac.il"
"ctx_REG_TEXT_SCIMAGOJR_IMPACT_1","0.8492319583892822","1","all","ConTextTab 🏢","2026-04-08T09:15:10.000Z","REG_TEXT_SCIMAGOJR_IMPACT","99","","finished","nlp19.iem.technion.ac.il"
"ctx_REG_TEXT_SCIMAGOJR_IMPACT_0","0.8888298869132996","0","all","ConTextTab 🏢","2026-04-08T08:52:46.000Z","REG_TEXT_SCIMAGOJR_IMPACT","94","","finished","nlp-srv2.iem.technion.ac.il"
"ctx_REG_TEXT_MONTGOMERY_SALARIES_4","0.9720250807360752","4","all","ConTextTab 🏢","2026-04-08T08:21:44.000Z","REG_TEXT_MONTGOMERY_SALARIES","35","","finished","nlp-srv2.iem.technion.ac.il"
"ctx_REG_TEXT_MONTGOMERY_SALARIES_3","0.982615996397004","3","all","ConTextTab 🏢","2026-04-08T07:44:47.000Z","REG_TEXT_MONTGOMERY_SALARIES","34","","finished","nlp-srv2.iem.technion.ac.il"
"ctx_REG_TEXT_MONTGOMERY_SALARIES_2","0.9606545118451906","2","all","ConTextTab 🏢","2026-04-08T07:18:41.000Z","REG_TEXT_MONTGOMERY_SALARIES","33","","finished","nlp-srv2.iem.technion.ac.il"
"ctx_REG_TEXT_MONTGOMERY_SALARIES_1","0.9590581940253562","1","all","ConTextTab 🏢","2026-04-08T07:01:44.000Z","REG_TEXT_MONTGOMERY_SALARIES","45","","finished","nlp-srv2.iem.technion.ac.il"
"ctx_REG_TEXT_MONTGOMERY_SALARIES_0","0.9741809562366136","0","all","ConTextTab 🏢","2026-04-08T06:18:54.000Z","REG_TEXT_MONTGOMERY_SALARIES","34","","finished","nlp-srv2.iem.technion.ac.il"
"ctx_REG_TEXT_MERCARI_MARKETPLACE_4","0.4498592049780761","4","all","ConTextTab 🏢","2026-04-08T05:49:43.000Z","REG_TEXT_MERCARI_MARKETPLACE","57","","finished","nlp-srv2.iem.technion.ac.il"
"ctx_REG_TEXT_MERCARI_MARKETPLACE_3","0.402160094572808","3","all","ConTextTab 🏢","2026-04-08T05:29:44.000Z","REG_TEXT_MERCARI_MARKETPLACE","57","","finished","nlp-srv2.iem.technion.ac.il"
"ctx_REG_TEXT_MERCARI_MARKETPLACE_2","0.44539010762835973","2","all","ConTextTab 🏢","2026-04-08T05:02:37.000Z","REG_TEXT_MERCARI_MARKETPLACE","57","","finished","nlp-srv2.iem.technion.ac.il"
"ctx_REG_TEXT_MERCARI_MARKETPLACE_1","0.39122418189302177","1","all","ConTextTab 🏢","2026-04-08T04:33:26.000Z","REG_TEXT_MERCARI_MARKETPLACE","57","","finished","nlp-srv2.iem.technion.ac.il"
"ctx_REG_TEXT_MERCARI_MARKETPLACE_0","0.424567940254632","0","all","ConTextTab 🏢","2026-04-08T04:09:01.000Z","REG_TEXT_MERCARI_MARKETPLACE","57","","finished","nlp-srv2.iem.technion.ac.il"
"ctx_REG_TEXT_BOOK_READABILITY_4","0.8461907267226516","4","all","ConTextTab 🏢","2026-04-08T03:43:46.000Z","REG_TEXT_BOOK_READABILITY","22","","finished","nlp-srv2.iem.technion.ac.il"
"ctx_REG_TEXT_BOOK_READABILITY_3","0.8259210177854756","3","all","ConTextTab 🏢","2026-04-08T03:37:48.000Z","REG_TEXT_BOOK_READABILITY","23","","finished","nlp-srv2.iem.technion.ac.il"
"ctx_REG_TEXT_BOOK_READABILITY_2","0.8328022176636344","2","all","ConTextTab 🏢","2026-04-08T03:33:38.000Z","REG_TEXT_BOOK_READABILITY","23","","finished","nlp-srv2.iem.technion.ac.il"
"ctx_REG_TEXT_BOOK_READABILITY_1","0.8243246021086964","1","all","ConTextTab 🏢","2026-04-08T02:54:57.000Z","REG_TEXT_BOOK_READABILITY","23","","finished","nlp-srv2.iem.technion.ac.il"
"ctx_REG_TEXT_BOOK_READABILITY_0","0.7891277659846794","0","all","ConTextTab 🏢","2026-04-08T02:46:53.000Z","REG_TEXT_BOOK_READABILITY","23","","finished","nlp-srv2.iem.technion.ac.il"
"ctx_REG_TEXT_BOOK_PRICE_4","0.5325970339772303","4","all","ConTextTab 🏢","2026-04-08T02:38:33.000Z","REG_TEXT_BOOK_PRICE","22","","finished","nlp-srv2.iem.technion.ac.il"
"ctx_REG_TEXT_BOOK_PRICE_3","0.522047694908528","3","all","ConTextTab 🏢","2026-04-08T02:24:31.000Z","REG_TEXT_BOOK_PRICE","23","","finished","sweep-yah2axmd-1775574316-1"
"ctx_REG_TEXT_BOOK_PRICE_2","0.5640555464730087","2","all","ConTextTab 🏢","2026-04-08T02:18:03.000Z","REG_TEXT_BOOK_PRICE","23","","finished","sweep-yah2axmd-1775574316-1"
"ctx_REG_TEXT_BOOK_PRICE_1","0.5625919349299042","1","all","ConTextTab 🏢","2026-04-08T02:10:24.000Z","REG_TEXT_BOOK_PRICE","22","","finished","nlp-srv2.iem.technion.ac.il"
"ctx_REG_TEXT_BOOK_PRICE_0","0.5424822096867048","0","all","ConTextTab 🏢","2026-04-08T01:51:06.000Z","REG_TEXT_BOOK_PRICE","22","","finished","nlp-srv2.iem.technion.ac.il"
"ctx_REG_TEXT_BABIES_PRICES_4","0.8392723404488955","4","all","ConTextTab 🏢","2026-04-08T01:46:32.000Z","REG_TEXT_BABIES_PRICES","17","","finished","nlp-srv2.iem.technion.ac.il"
"ctx_REG_TEXT_BABIES_PRICES_3","0.8585377477269134","3","all","ConTextTab 🏢","2026-04-08T01:46:11.000Z","REG_TEXT_BABIES_PRICES","16","","finished","nlp-srv2.iem.technion.ac.il"
"ctx_REG_TEXT_BABIES_PRICES_2","0.8622308427959218","2","all","ConTextTab 🏢","2026-04-08T01:02:11.000Z","REG_TEXT_BABIES_PRICES","26","","finished","nlp-srv2.iem.technion.ac.il"
"ctx_REG_TEXT_BABIES_PRICES_1","0.9287830302927124","1","all","ConTextTab 🏢","2026-04-08T00:46:17.000Z","REG_TEXT_BABIES_PRICES","17","","finished","sweep-yah2axmd-1775574316-1"
"ctx_REG_TEXT_BABIES_PRICES_0","0.8893778218480195","0","all","ConTextTab 🏢","2026-04-08T00:41:56.000Z","REG_TEXT_BABIES_PRICES","16","","finished","nlp-srv2.iem.technion.ac.il"
"ctx_MUL_TEXT_WOMEN_CLOTHING_REVIEW_4","0.8368080938943623","4","all","ConTextTab 🏢","2026-04-08T00:37:36.000Z","MUL_TEXT_WOMEN_CLOTHING_REVIEW","41","","finished","sweep-yah2axmd-1775574316-1"
"ctx_MUL_TEXT_WOMEN_CLOTHING_REVIEW_3","0.8316267980747609","3","all","ConTextTab 🏢","2026-04-08T00:25:48.000Z","MUL_TEXT_WOMEN_CLOTHING_REVIEW","56","","finished","nlp-srv2.iem.technion.ac.il"
"ctx_MUL_TEXT_WOMEN_CLOTHING_REVIEW_2","0.840490427722609","2","all","ConTextTab 🏢","2026-04-08T00:11:42.000Z","MUL_TEXT_WOMEN_CLOTHING_REVIEW","41","","finished","sweep-yah2axmd-1775574316-1"
"ctx_MUL_TEXT_WOMEN_CLOTHING_REVIEW_1","0.8353393116741188","1","all","ConTextTab 🏢","2026-04-08T00:05:34.000Z","MUL_TEXT_WOMEN_CLOTHING_REVIEW","40","","finished","sweep-yah2axmd-1775574316-1"
"ctx_MUL_TEXT_WOMEN_CLOTHING_REVIEW_0","0.8368266624870184","0","all","ConTextTab 🏢","2026-04-07T23:50:01.000Z","MUL_TEXT_WOMEN_CLOTHING_REVIEW","55","","finished","nlp-srv2.iem.technion.ac.il"
"ctx_MUL_TEXT_WINE_REVIEW_4","0.946327095173965","4","all","ConTextTab 🏢","2026-04-07T23:33:11.000Z","MUL_TEXT_WINE_REVIEW","153","","finished","sweep-yah2axmd-1775574316-1"
"ctx_MUL_TEXT_WINE_REVIEW_3","0.9485557597865336","3","all","ConTextTab 🏢","2026-04-07T23:18:30.000Z","MUL_TEXT_WINE_REVIEW","40","","finished","nlp-srv2.iem.technion.ac.il"
