"Name","test_score","fold","multimodal_state","model","Created","dataset","Runtime","Hostname","State"
"rf_REG_IMAGE_AMAZON_BEST_SELLER_4","0.5454096698990167","4","ft","RandomForest 🌳","2026-04-08T00:34:00.000Z","REG_IMAGE_AMAZON_BEST_SELLER","122","nlp19.iem.technion.ac.il","finished"
"rf_REG_IMAGE_AMAZON_BEST_SELLER_4","0.4809971851608864","4","all","RandomForest 🌳","2026-04-07T22:33:22.000Z","REG_IMAGE_AMAZON_BEST_SELLER","41","nlp19.iem.technion.ac.il","finished"
"rf_REG_IMAGE_AMAZON_BEST_SELLER_3","0.5177000173649814","3","ft","RandomForest 🌳","2026-04-07T22:25:43.000Z","REG_IMAGE_AMAZON_BEST_SELLER","108","nlp19.iem.technion.ac.il","finished"
"rf_REG_IMAGE_AMAZON_BEST_SELLER_3","0.4750358420538298","3","all","RandomForest 🌳","2026-04-07T22:25:01.000Z","REG_IMAGE_AMAZON_BEST_SELLER","40","nlp19.iem.technion.ac.il","finished"
"rf_REG_IMAGE_AMAZON_BEST_SELLER_2","0.4885895258456866","2","ft","RandomForest 🌳","2026-04-07T22:15:51.000Z","REG_IMAGE_AMAZON_BEST_SELLER","117","nlp19.iem.technion.ac.il","finished"
"rf_REG_IMAGE_AMAZON_BEST_SELLER_2","0.4303919311496015","2","all","RandomForest 🌳","2026-04-07T22:15:04.000Z","REG_IMAGE_AMAZON_BEST_SELLER","40","nlp19.iem.technion.ac.il","finished"
"rf_REG_IMAGE_AMAZON_BEST_SELLER_1","0.5656974449884661","1","ft","RandomForest 🌳","2026-04-07T22:06:09.000Z","REG_IMAGE_AMAZON_BEST_SELLER","146","nlp19.iem.technion.ac.il","finished"
"rf_REG_IMAGE_AMAZON_BEST_SELLER_1","0.4758785169035198","1","all","RandomForest 🌳","2026-04-07T22:05:22.000Z","REG_IMAGE_AMAZON_BEST_SELLER","41","nlp19.iem.technion.ac.il","finished"
"rf_REG_IMAGE_AMAZON_BEST_SELLER_0","0.5727486403846906","0","ft","RandomForest 🌳","2026-04-07T21:56:08.000Z","REG_IMAGE_AMAZON_BEST_SELLER","136","nlp19.iem.technion.ac.il","finished"
"rf_REG_IMAGE_AMAZON_BEST_SELLER_0","0.5062844094821561","0","all","RandomForest 🌳","2026-04-07T21:55:21.000Z","REG_IMAGE_AMAZON_BEST_SELLER","40","nlp19.iem.technion.ac.il","finished"
