"Name","test_score","fold","multimodal_state","model","Created","dataset","Runtime","Hostname","State"
"dpt_REG_IMAGE_AMAZON_BEST_SELLER_4","0.6392067789465135","4","ft","TabDPT 6️⃣","2026-04-08T09:30:16.000Z","REG_IMAGE_AMAZON_BEST_SELLER","314","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_IMAGE_AMAZON_BEST_SELLER_3","0.578491440245142","3","ft","TabDPT 6️⃣","2026-04-08T09:23:54.000Z","REG_IMAGE_AMAZON_BEST_SELLER","378","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_IMAGE_AMAZON_BEST_SELLER_2","0.5831599142395255","2","ft","TabDPT 6️⃣","2026-04-08T09:17:26.000Z","REG_IMAGE_AMAZON_BEST_SELLER","379","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_IMAGE_AMAZON_BEST_SELLER_1","0.6049875626107115","1","ft","TabDPT 6️⃣","2026-04-08T09:11:29.000Z","REG_IMAGE_AMAZON_BEST_SELLER","352","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_IMAGE_AMAZON_BEST_SELLER_4","0.6428944049154626","4","all","TabDPT 6️⃣","2026-04-08T09:09:21.000Z","REG_IMAGE_AMAZON_BEST_SELLER","148","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_IMAGE_AMAZON_BEST_SELLER_0","0.6066998199031297","0","ft","TabDPT 6️⃣","2026-04-08T09:04:25.000Z","REG_IMAGE_AMAZON_BEST_SELLER","413","nlp-srv2.iem.technion.ac.il","finished"
"dpt_REG_IMAGE_AMAZON_BEST_SELLER_3","0.6161878576392248","3","all","TabDPT 6️⃣","2026-04-07T22:27:38.000Z","REG_IMAGE_AMAZON_BEST_SELLER","202","nlp19.iem.technion.ac.il","finished"
"dpt_REG_IMAGE_AMAZON_BEST_SELLER_2","0.5678204628894128","2","all","TabDPT 6️⃣","2026-04-07T22:17:51.000Z","REG_IMAGE_AMAZON_BEST_SELLER","242","nlp19.iem.technion.ac.il","finished"
"dpt_REG_IMAGE_AMAZON_BEST_SELLER_0","0.6733039411554118","0","all","TabDPT 6️⃣","2026-04-07T22:10:11.000Z","REG_IMAGE_AMAZON_BEST_SELLER","3800","nlp19.iem.technion.ac.il","finished"
"dpt_REG_IMAGE_AMAZON_BEST_SELLER_1","0.6303699238481866","1","all","TabDPT 6️⃣","2026-04-07T22:06:15.000Z","REG_IMAGE_AMAZON_BEST_SELLER","3798","nlp19.iem.technion.ac.il","finished"
"dpt_REG_TEXT_SCIMAGOJR_IMPACT_0","0.8467787504196167","0","ft","TabDPT 6️⃣","2026-04-07T01:46:12.000Z","REG_TEXT_SCIMAGOJR_IMPACT","6387","sweep-a100-1775517507-f10","finished"
"dpt_REG_TEXT_ZOMATO_RESTAURANTS_3","0.8337051028457549","3","all","TabDPT 6️⃣","2026-04-07T01:11:00.000Z","REG_TEXT_ZOMATO_RESTAURANTS","1136","sweep-a100-1775511692-m2","finished"
"dpt_REG_TEXT_VIDEO_GAMES_SALES_4","0.27773293263663246","4","ft","TabDPT 6️⃣","2026-04-07T01:09:24.000Z","REG_TEXT_VIDEO_GAMES_SALES","1417","sweep-a100-1775517506-f9","finished"
"dpt_REG_TEXT_SCIMAGOJR_IMPACT_3","0.8141937851905823","3","ft","TabDPT 6️⃣","2026-04-07T01:07:31.000Z","REG_TEXT_SCIMAGOJR_IMPACT","8349","sweep-a100-1775517499-f2","finished"
"dpt_REG_TEXT_ZOMATO_RESTAURANTS_4","0.8300667098340406","4","ft","TabDPT 6️⃣","2026-04-07T00:09:01.000Z","REG_TEXT_ZOMATO_RESTAURANTS","9216","sweep-a100-1775503792-y6","finished"
"dpt_REG_TEXT_ROTTEN_TOMATOES_0","0.4154526217945721","0","ft","TabDPT 6️⃣","2026-04-07T00:08:46.000Z","REG_TEXT_ROTTEN_TOMATOES","3726","sweep-a100-1775511692-m2","finished"
"dpt_REG_TEXT_MONTGOMERY_SALARIES_4","0.9303723433582372","4","ft","TabDPT 6️⃣","2026-04-07T00:04:01.000Z","REG_TEXT_MONTGOMERY_SALARIES","3806","sweep-a100-1775517499-f2","finished"
"dpt_REG_TEXT_MONTGOMERY_SALARIES_1","0.940595133306262","1","ft","TabDPT 6️⃣","2026-04-07T00:02:52.000Z","REG_TEXT_MONTGOMERY_SALARIES","3241","sweep-a100-1775511538-m4","finished"
"dpt_REG_TEXT_ZOMATO_RESTAURANTS_4","0.8254212956275794","4","all","TabDPT 6️⃣","2026-04-07T00:01:50.000Z","REG_TEXT_ZOMATO_RESTAURANTS","1101","sweep-a100-1775517301-m4","finished"
"dpt_REG_TEXT_ZOMATO_RESTAURANTS_3","0.8411095725151607","3","ft","TabDPT 6️⃣","2026-04-06T23:59:27.000Z","REG_TEXT_ZOMATO_RESTAURANTS","11002","sweep-a100-1775517501-f4","finished"
"dpt_REG_TEXT_ZOMATO_RESTAURANTS_2","0.8277601590865928","2","ft","TabDPT 6️⃣","2026-04-06T23:54:42.000Z","REG_TEXT_ZOMATO_RESTAURANTS","11012","sweep-a100-1775496435-18","finished"
"dpt_REG_TEXT_ZOMATO_RESTAURANTS_2","0.8354021078347194","2","all","TabDPT 6️⃣","2026-04-06T23:54:32.000Z","REG_TEXT_ZOMATO_RESTAURANTS","1234","sweep-a100-1775510335-m3","finished"
"dpt_REG_TEXT_ZOMATO_RESTAURANTS_1","0.833967822211636","1","ft","TabDPT 6️⃣","2026-04-06T23:52:06.000Z","REG_TEXT_ZOMATO_RESTAURANTS","11000","sweep-a100-1775517504-f7","finished"
"dpt_REG_TEXT_ZOMATO_RESTAURANTS_1","0.8301519166241313","1","all","TabDPT 6️⃣","2026-04-06T23:51:46.000Z","REG_TEXT_ZOMATO_RESTAURANTS","1096","sweep-a100-1775503772-y5","finished"
"dpt_REG_TEXT_ZOMATO_RESTAURANTS_0","0.8314727735130998","0","ft","TabDPT 6️⃣","2026-04-06T23:49:32.000Z","REG_TEXT_ZOMATO_RESTAURANTS","8271","sweep-a100-1775511672-m1","finished"
"dpt_REG_TEXT_ZOMATO_RESTAURANTS_0","0.8150014243481933","0","all","TabDPT 6️⃣","2026-04-06T23:49:31.000Z","REG_TEXT_ZOMATO_RESTAURANTS","1085","sweep-a100-1775511623-m8","finished"
"dpt_REG_TEXT_VIDEO_GAMES_SALES_4","0.24895454490740665","4","all","TabDPT 6️⃣","2026-04-06T23:47:51.000Z","REG_TEXT_VIDEO_GAMES_SALES","600","sweep-a100-1775511644-m9","finished"
"dpt_REG_TEXT_VIDEO_GAMES_SALES_3","0.34656821554820094","3","ft","TabDPT 6️⃣","2026-04-06T23:44:58.000Z","REG_TEXT_VIDEO_GAMES_SALES","1421","sweep-a100-1775511692-m2","finished"
"dpt_REG_TEXT_VIDEO_GAMES_SALES_3","0.3414757772580469","3","all","TabDPT 6️⃣","2026-04-06T23:43:46.000Z","REG_TEXT_VIDEO_GAMES_SALES","497","sweep-a100-1775517504-f7","finished"
"dpt_REG_TEXT_VIDEO_GAMES_SALES_2","0.31960072999790623","2","ft","TabDPT 6️⃣","2026-04-06T23:40:47.000Z","REG_TEXT_VIDEO_GAMES_SALES","1643","sweep-a100-1775517507-f10","finished"
"dpt_REG_TEXT_VIDEO_GAMES_SALES_2","0.288267070423615","2","all","TabDPT 6️⃣","2026-04-06T23:39:09.000Z","REG_TEXT_VIDEO_GAMES_SALES","526","sweep-a100-1775517299-m2","finished"
"dpt_REG_TEXT_VIDEO_GAMES_SALES_1","0.4245311332304287","1","ft","TabDPT 6️⃣","2026-04-06T23:37:27.000Z","REG_TEXT_VIDEO_GAMES_SALES","2274","sweep-a100-1775511498-m2","finished"
"dpt_REG_TEXT_VIDEO_GAMES_SALES_1","0.394143551569327","1","all","TabDPT 6️⃣","2026-04-06T23:35:26.000Z","REG_TEXT_VIDEO_GAMES_SALES","497","sweep-a100-1775517504-f7","finished"
"dpt_REG_TEXT_VIDEO_GAMES_SALES_0","0.43265648043667304","0","ft","TabDPT 6️⃣","2026-04-06T23:33:28.000Z","REG_TEXT_VIDEO_GAMES_SALES","1761","sweep-a100-1775511538-m4","finished"
"dpt_REG_TEXT_VIDEO_GAMES_SALES_0","0.4096293438509493","0","all","TabDPT 6️⃣","2026-04-06T23:33:16.000Z","REG_TEXT_VIDEO_GAMES_SALES","502","sweep-a100-1775511692-m2","finished"
"dpt_REG_TEXT_VANCOUVER_SALARIES_4","0.8037640620718928","4","ft","TabDPT 6️⃣","2026-04-06T23:31:38.000Z","REG_TEXT_VANCOUVER_SALARIES","1957","sweep-a100-1775494421-9","finished"
"dpt_REG_TEXT_VANCOUVER_SALARIES_4","0.7764133547531942","4","all","TabDPT 6️⃣","2026-04-06T23:30:27.000Z","REG_TEXT_VANCOUVER_SALARIES","710","sweep-a100-1775517506-f9","finished"
