"Name","test_score","fold","multimodal_state","model","Created","dataset","Runtime","pca_components","State","Hostname"
"real_REG_TEXT_ZOMATO_RESTAURANTS_4","0.8508315833734159","4","ft","RealMLP 🕸","2026-04-11T03:44:52.000Z","REG_TEXT_ZOMATO_RESTAURANTS","4544","30","finished","n307"
"real_REG_TEXT_ZOMATO_RESTAURANTS_4","0.8456873425025548","4","all","RealMLP 🕸","2026-04-11T03:43:10.000Z","REG_TEXT_ZOMATO_RESTAURANTS","932","30","finished","n305"
"iclv2_REG_TEXT_ZOMATO_RESTAURANTS_4","0.8774744613289951","4","ft","TabICLv2 🗼","2026-04-11T03:38:50.000Z","REG_TEXT_ZOMATO_RESTAURANTS","9075","30","finished","n309"
"iclv2_REG_TEXT_ZOMATO_RESTAURANTS_4","0.872353215295699","4","all","TabICLv2 🗼","2026-04-11T03:37:40.000Z","REG_TEXT_ZOMATO_RESTAURANTS","666","30","finished","nlp-srv2.iem.technion.ac.il"
"real_REG_TEXT_ZOMATO_RESTAURANTS_3","0.8492689810911488","3","ft","RealMLP 🕸","2026-04-11T03:34:23.000Z","REG_TEXT_ZOMATO_RESTAURANTS","8320","30","finished","n306"
"real_REG_TEXT_ZOMATO_RESTAURANTS_3","0.8415494056801758","3","all","RealMLP 🕸","2026-04-11T03:34:15.000Z","REG_TEXT_ZOMATO_RESTAURANTS","945","30","finished","n306"
"iclv2_REG_TEXT_ZOMATO_RESTAURANTS_3","0.8739525073088099","3","ft","TabICLv2 🗼","2026-04-11T03:33:38.000Z","REG_TEXT_ZOMATO_RESTAURANTS","16038","30","finished","nlp-srv2.iem.technion.ac.il"
"iclv2_REG_TEXT_ZOMATO_RESTAURANTS_3","0.873131785024706","3","all","TabICLv2 🗼","2026-04-11T03:33:34.000Z","REG_TEXT_ZOMATO_RESTAURANTS","861","30","finished","n309"
"real_REG_TEXT_ZOMATO_RESTAURANTS_2","0.8395415008030453","2","ft","RealMLP 🕸","2026-04-11T03:32:19.000Z","REG_TEXT_ZOMATO_RESTAURANTS","9935","30","finished","n305"
"real_REG_TEXT_ZOMATO_RESTAURANTS_2","0.8344271904193834","2","all","RealMLP 🕸","2026-04-11T03:30:57.000Z","REG_TEXT_ZOMATO_RESTAURANTS","991","30","finished","n306"
"iclv2_REG_TEXT_ZOMATO_RESTAURANTS_2","0.8647072507762016","2","ft","TabICLv2 🗼","2026-04-11T03:30:48.000Z","REG_TEXT_ZOMATO_RESTAURANTS","10844","30","finished","n305"
"iclv2_REG_TEXT_ZOMATO_RESTAURANTS_2","0.8726675996236005","2","all","TabICLv2 🗼","2026-04-11T03:30:28.000Z","REG_TEXT_ZOMATO_RESTAURANTS","857","30","finished","n307"
"real_REG_TEXT_ZOMATO_RESTAURANTS_1","0.8413414336740465","1","ft","RealMLP 🕸","2026-04-11T03:29:01.000Z","REG_TEXT_ZOMATO_RESTAURANTS","8703","30","finished","n309"
"real_REG_TEXT_ZOMATO_RESTAURANTS_1","0.8508417200317321","1","all","RealMLP 🕸","2026-04-11T03:27:34.000Z","REG_TEXT_ZOMATO_RESTAURANTS","929","30","finished","n305"
"iclv2_REG_TEXT_ZOMATO_RESTAURANTS_1","0.8749599300320128","1","ft","TabICLv2 🗼","2026-04-11T03:27:21.000Z","REG_TEXT_ZOMATO_RESTAURANTS","10856","30","finished","n309"
"iclv2_REG_TEXT_ZOMATO_RESTAURANTS_1","0.8722339058579986","1","all","TabICLv2 🗼","2026-04-11T03:24:10.000Z","REG_TEXT_ZOMATO_RESTAURANTS","848","30","finished","n305"
"real_REG_TEXT_ZOMATO_RESTAURANTS_0","0.858541784551418","0","ft","RealMLP 🕸","2026-04-11T03:22:01.000Z","REG_TEXT_ZOMATO_RESTAURANTS","9573","30","finished","n309"
"real_REG_TEXT_ZOMATO_RESTAURANTS_0","0.8355419953021154","0","all","RealMLP 🕸","2026-04-11T03:21:14.000Z","REG_TEXT_ZOMATO_RESTAURANTS","963","30","finished","n309"
"iclv2_REG_TEXT_ZOMATO_RESTAURANTS_0","0.8785193267125275","0","ft","TabICLv2 🗼","2026-04-11T03:20:31.000Z","REG_TEXT_ZOMATO_RESTAURANTS","8106","30","finished","n306"
"iclv2_REG_TEXT_ZOMATO_RESTAURANTS_0","0.8710301041782205","0","all","TabICLv2 🗼","2026-04-11T03:19:32.000Z","REG_TEXT_ZOMATO_RESTAURANTS","879","30","finished","n306"
"real_REG_TEXT_VIDEO_GAMES_SALES_4","0.2730488622750401","4","ft","RealMLP 🕸","2026-04-11T03:16:51.000Z","REG_TEXT_VIDEO_GAMES_SALES","1933","30","finished","n306"
"real_REG_TEXT_VIDEO_GAMES_SALES_4","0.17178850188247718","4","all","RealMLP 🕸","2026-04-11T03:16:09.000Z","REG_TEXT_VIDEO_GAMES_SALES","258","30","finished","n306"
"iclv2_REG_TEXT_VIDEO_GAMES_SALES_4","0.36526836607097735","4","ft","TabICLv2 🗼","2026-04-11T03:14:07.000Z","REG_TEXT_VIDEO_GAMES_SALES","1084","30","finished","n305"
"iclv2_REG_TEXT_VIDEO_GAMES_SALES_4","0.34939607882790824","4","all","TabICLv2 🗼","2026-04-11T03:13:32.000Z","REG_TEXT_VIDEO_GAMES_SALES","153","30","finished","n306"
"real_REG_TEXT_VIDEO_GAMES_SALES_3","0.329932870245663","3","ft","RealMLP 🕸","2026-04-11T03:13:28.000Z","REG_TEXT_VIDEO_GAMES_SALES","1250","30","finished","n306"
"real_REG_TEXT_VIDEO_GAMES_SALES_3","0.4994242049143409","3","all","RealMLP 🕸","2026-04-11T03:12:24.000Z","REG_TEXT_VIDEO_GAMES_SALES","263","30","finished","n306"
"iclv2_REG_TEXT_VIDEO_GAMES_SALES_3","0.442078863188096","3","ft","TabICLv2 🗼","2026-04-11T03:10:59.000Z","REG_TEXT_VIDEO_GAMES_SALES","1076","30","finished","n309"
"iclv2_REG_TEXT_VIDEO_GAMES_SALES_3","0.42326828813922024","3","all","TabICLv2 🗼","2026-04-11T03:10:50.000Z","REG_TEXT_VIDEO_GAMES_SALES","151","30","finished","n306"
"real_REG_TEXT_VIDEO_GAMES_SALES_2","0.6769161372797871","2","ft","RealMLP 🕸","2026-04-11T03:09:54.000Z","REG_TEXT_VIDEO_GAMES_SALES","1053","30","finished","n305"
"real_REG_TEXT_VIDEO_GAMES_SALES_2","0.2930583247457462","2","all","RealMLP 🕸","2026-04-11T03:09:05.000Z","REG_TEXT_VIDEO_GAMES_SALES","260","30","finished","n306"
"iclv2_REG_TEXT_VIDEO_GAMES_SALES_2","0.34330795809355363","2","ft","TabICLv2 🗼","2026-04-11T03:08:55.000Z","REG_TEXT_VIDEO_GAMES_SALES","1317","30","finished","n306"
"iclv2_REG_TEXT_VIDEO_GAMES_SALES_2","0.367066924605101","2","all","TabICLv2 🗼","2026-04-11T03:06:28.000Z","REG_TEXT_VIDEO_GAMES_SALES","150","30","finished","n306"
