"Name","test_score","fold","multimodal_state","model","Created","dataset","Runtime","Hostname","State"
"tabpfnv3_BIN_IMAGE_CELEB_ATTRACTIVENESS_0","0.9115211947120027","0","all","TabPFN-v3 🆕","","BIN_IMAGE_CELEB_ATTRACTIVENESS","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv3_BIN_IMAGE_CELEB_ATTRACTIVENESS_0","0.9147188862908477","0","ft","TabPFN-v3 🆕","","BIN_IMAGE_CELEB_ATTRACTIVENESS","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv3_BIN_IMAGE_CELEB_ATTRACTIVENESS_1","0.9031727783997735","1","all","TabPFN-v3 🆕","","BIN_IMAGE_CELEB_ATTRACTIVENESS","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv3_BIN_IMAGE_CELEB_ATTRACTIVENESS_1","0.911205027459526","1","ft","TabPFN-v3 🆕","","BIN_IMAGE_CELEB_ATTRACTIVENESS","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv3_BIN_IMAGE_CELEB_ATTRACTIVENESS_2","0.9160886108751529","2","all","TabPFN-v3 🆕","","BIN_IMAGE_CELEB_ATTRACTIVENESS","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv3_BIN_IMAGE_CELEB_ATTRACTIVENESS_2","0.9195484411253553","2","ft","TabPFN-v3 🆕","","BIN_IMAGE_CELEB_ATTRACTIVENESS","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv3_BIN_IMAGE_CELEB_ATTRACTIVENESS_3","0.9038771510128858","3","all","TabPFN-v3 🆕","","BIN_IMAGE_CELEB_ATTRACTIVENESS","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv3_BIN_IMAGE_CELEB_ATTRACTIVENESS_3","0.9034579292445704","3","ft","TabPFN-v3 🆕","","BIN_IMAGE_CELEB_ATTRACTIVENESS","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv3_BIN_IMAGE_CELEB_ATTRACTIVENESS_4","0.9159305272489147","4","all","TabPFN-v3 🆕","","BIN_IMAGE_CELEB_ATTRACTIVENESS","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv3_BIN_IMAGE_CELEB_ATTRACTIVENESS_4","0.9224099548661242","4","ft","TabPFN-v3 🆕","","BIN_IMAGE_CELEB_ATTRACTIVENESS","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv3_BIN_IMAGE_HATEFUL_MEME_0","0.778969423442204","0","all","TabPFN-v3 🆕","","BIN_IMAGE_HATEFUL_MEME","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv3_BIN_IMAGE_HATEFUL_MEME_0","0.7998211649673811","0","ft","TabPFN-v3 🆕","","BIN_IMAGE_HATEFUL_MEME","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv3_BIN_IMAGE_HATEFUL_MEME_1","0.7715673462045175","1","all","TabPFN-v3 🆕","","BIN_IMAGE_HATEFUL_MEME","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv3_BIN_IMAGE_HATEFUL_MEME_1","0.7879587938688155","1","ft","TabPFN-v3 🆕","","BIN_IMAGE_HATEFUL_MEME","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv3_BIN_IMAGE_HATEFUL_MEME_2","0.7922921042745805","2","all","TabPFN-v3 🆕","","BIN_IMAGE_HATEFUL_MEME","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv3_BIN_IMAGE_HATEFUL_MEME_2","0.8036200866662081","2","ft","TabPFN-v3 🆕","","BIN_IMAGE_HATEFUL_MEME","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv3_BIN_IMAGE_HATEFUL_MEME_3","0.7768900693647124","3","all","TabPFN-v3 🆕","","BIN_IMAGE_HATEFUL_MEME","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv3_BIN_IMAGE_HATEFUL_MEME_3","0.8036994513256543","3","ft","TabPFN-v3 🆕","","BIN_IMAGE_HATEFUL_MEME","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv3_BIN_IMAGE_HATEFUL_MEME_4","0.7591970412854959","4","all","TabPFN-v3 🆕","","BIN_IMAGE_HATEFUL_MEME","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv3_BIN_IMAGE_HATEFUL_MEME_4","0.7678954079608045","4","ft","TabPFN-v3 🆕","","BIN_IMAGE_HATEFUL_MEME","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv3_BIN_IMAGE_MAMMOGRAPHY_CMMD_0","0.8503048780487804","0","all","TabPFN-v3 🆕","","BIN_IMAGE_MAMMOGRAPHY_CMMD","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv3_BIN_IMAGE_MAMMOGRAPHY_CMMD_0","0.8551829268292684","0","ft","TabPFN-v3 🆕","","BIN_IMAGE_MAMMOGRAPHY_CMMD","","nlp-srv2.iem.technion.ac.il","finished"
"tabpfnv3_BIN_IMAGE_MAMMOGRAPHY_CMMD_1","0.8358231707317073","1","all","TabPFN-v3 🆕","","BIN_IMAGE_MAMMOGRAPHY_CMMD","","nlp-srv2.iem.technion.ac.il","finished"
