"Name","test_score","fold","multimodal_state","model","Created","dataset","Runtime","Hostname","State","pca_components"
"tabstar_REG_IMAGE_AMAZON_BEST_SELLER_2","0.41475829140827647","2","all","TabSTAR ⭐","2026-04-08T01:14:19.000Z","REG_IMAGE_AMAZON_BEST_SELLER","118","nlp19.iem.technion.ac.il","finished",""
"tabstar_REG_IMAGE_AMAZON_BEST_SELLER_3","0.48416176386407705","3","ft","TabSTAR ⭐","2026-04-08T00:24:10.000Z","REG_IMAGE_AMAZON_BEST_SELLER","203","nlp19.iem.technion.ac.il","finished",""
"tabstar_REG_IMAGE_AMAZON_BEST_SELLER_4","0.454787297490153","4","all","TabSTAR ⭐","2026-04-07T23:31:47.000Z","REG_IMAGE_AMAZON_BEST_SELLER","112","nlp19.iem.technion.ac.il","finished",""
"tabstar_REG_IMAGE_AMAZON_BEST_SELLER_4","0.5998656561464325","4","ft","TabSTAR ⭐","2026-04-07T22:33:18.000Z","REG_IMAGE_AMAZON_BEST_SELLER","384","nlp19.iem.technion.ac.il","finished",""
"tabstar_REG_IMAGE_AMAZON_BEST_SELLER_3","0.4943629513671207","3","all","TabSTAR ⭐","2026-04-07T22:23:31.000Z","REG_IMAGE_AMAZON_BEST_SELLER","286","nlp19.iem.technion.ac.il","finished",""
"tabstar_REG_IMAGE_AMAZON_BEST_SELLER_2","0.5054391933236149","2","ft","TabSTAR ⭐","2026-04-07T22:14:43.000Z","REG_IMAGE_AMAZON_BEST_SELLER","378","nlp19.iem.technion.ac.il","finished",""
"tabstar_REG_IMAGE_AMAZON_BEST_SELLER_0","0.5435732676144382","0","all","TabSTAR ⭐","2026-04-07T22:09:39.000Z","REG_IMAGE_AMAZON_BEST_SELLER","154","nlp19.iem.technion.ac.il","finished",""
"tabstar_REG_IMAGE_AMAZON_BEST_SELLER_1","0.5464505189017534","1","ft","TabSTAR ⭐","2026-04-07T22:04:24.000Z","REG_IMAGE_AMAZON_BEST_SELLER","266","nlp19.iem.technion.ac.il","finished",""
"tabstar_REG_IMAGE_AMAZON_BEST_SELLER_1","0.4877359694909909","1","all","TabSTAR ⭐","2026-04-07T22:03:43.000Z","REG_IMAGE_AMAZON_BEST_SELLER","3709","nlp19.iem.technion.ac.il","finished",""
"tabstar_REG_IMAGE_AMAZON_BEST_SELLER_0","0.5313002797645817","0","ft","TabSTAR ⭐","2026-04-07T21:53:11.000Z","REG_IMAGE_AMAZON_BEST_SELLER","398","nlp19.iem.technion.ac.il","finished",""
"tabstar_REG_IMAGE_PAINTING_PRICE_4","0.2460203556351331","4","ft","TabSTAR ⭐","2026-04-07T05:55:53.000Z","REG_IMAGE_PAINTING_PRICE","1103","nlp-srv2.iem.technion.ac.il","finished",""
"tabstar_REG_IMAGE_PAINTING_PRICE_4","0.2429672777997808","4","all","TabSTAR ⭐","2026-04-07T05:39:20.000Z","REG_IMAGE_PAINTING_PRICE","1062","nlp-srv2.iem.technion.ac.il","finished",""
"tabstar_REG_IMAGE_PAINTING_PRICE_3","0.15656361016219025","3","ft","TabSTAR ⭐","2026-04-07T05:16:21.000Z","REG_IMAGE_PAINTING_PRICE","1374","nlp-srv2.iem.technion.ac.il","finished",""
"tabstar_REG_IMAGE_PAINTING_PRICE_3","0.13639752679610218","3","all","TabSTAR ⭐","2026-04-07T05:06:35.000Z","REG_IMAGE_PAINTING_PRICE","1077","nlp-srv2.iem.technion.ac.il","finished",""
"tabstar_REG_IMAGE_PAINTING_PRICE_2","0.24548438429866148","2","ft","TabSTAR ⭐","2026-04-07T04:29:45.000Z","REG_IMAGE_PAINTING_PRICE","1385","nlp-srv2.iem.technion.ac.il","finished",""
"tabstar_REG_IMAGE_PAINTING_PRICE_2","0.24550491591927617","2","all","TabSTAR ⭐","2026-04-07T04:29:40.000Z","REG_IMAGE_PAINTING_PRICE","1012","nlp-srv2.iem.technion.ac.il","finished",""
"tabstar_REG_IMAGE_PAINTING_PRICE_1","0.22607842283305624","1","ft","TabSTAR ⭐","2026-04-07T04:09:23.000Z","REG_IMAGE_PAINTING_PRICE","1216","nlp-srv2.iem.technion.ac.il","finished",""
"tabstar_REG_IMAGE_PAINTING_PRICE_1","0.24646083800504592","1","all","TabSTAR ⭐","2026-04-07T03:55:46.000Z","REG_IMAGE_PAINTING_PRICE","1163","nlp-srv2.iem.technion.ac.il","finished",""
"tabstar_REG_IMAGE_PAINTING_PRICE_0","0.3696614669133106","0","ft","TabSTAR ⭐","2026-04-07T03:29:51.000Z","REG_IMAGE_PAINTING_PRICE","1276","nlp-srv2.iem.technion.ac.il","finished",""
