"Name","test_score","fold","multimodal_state","model","Created","dataset","Runtime","pca_components","State","Hostname"
"xgb_REG_TEXT_ZOMATO_RESTAURANTS_4","0.8363495711525779","4","ft","XGBoost 🌲","2026-04-08T19:01:09.000Z","REG_TEXT_ZOMATO_RESTAURANTS","15410","","finished","nlp19.iem.technion.ac.il"
"xgb_REG_TEXT_ZOMATO_RESTAURANTS_4","0.8014219638938329","4","all","XGBoost 🌲","2026-04-08T18:48:56.000Z","REG_TEXT_ZOMATO_RESTAURANTS","730","","finished","nlp19.iem.technion.ac.il"
"xgb_REG_TEXT_ROTTEN_TOMATOES_2","0.4774034524581104","2","ft","XGBoost 🌲","2026-04-08T18:43:06.000Z","REG_TEXT_ROTTEN_TOMATOES","5538","30","finished","nlp-srv2.iem.technion.ac.il"
"xgb_REG_TEXT_ZOMATO_RESTAURANTS_3","0.8414406282028243","3","ft","XGBoost 🌲","2026-04-08T16:34:12.000Z","REG_TEXT_ZOMATO_RESTAURANTS","15608","30","finished","nlp-srv2.iem.technion.ac.il"
"xgb_REG_TEXT_ZOMATO_RESTAURANTS_3","0.8115270513662718","3","all","XGBoost 🌲","2026-04-08T16:21:47.000Z","REG_TEXT_ZOMATO_RESTAURANTS","740","30","finished","nlp-srv2.iem.technion.ac.il"
"xgb_REG_TEXT_ZOMATO_RESTAURANTS_2","0.8284260845686459","2","ft","XGBoost 🌲","2026-04-08T15:31:44.000Z","REG_TEXT_ZOMATO_RESTAURANTS","19530","","finished","nlp19.iem.technion.ac.il"
"xgb_REG_TEXT_ZOMATO_RESTAURANTS_2","0.8086240112207473","2","all","XGBoost 🌲","2026-04-08T15:25:59.000Z","REG_TEXT_ZOMATO_RESTAURANTS","736","","finished","nlp19.iem.technion.ac.il"
"xgb_REG_TEXT_ZOMATO_RESTAURANTS_1","0.8312687036076363","1","ft","XGBoost 🌲","2026-04-08T14:31:44.000Z","REG_TEXT_ZOMATO_RESTAURANTS","16877","30","finished","nlp-srv2.iem.technion.ac.il"
"xgb_REG_TEXT_ZOMATO_RESTAURANTS_1","0.7960787621931812","1","all","XGBoost 🌲","2026-04-08T14:21:49.000Z","REG_TEXT_ZOMATO_RESTAURANTS","738","","finished","nlp19.iem.technion.ac.il"
"xgb_REG_TEXT_ZOMATO_RESTAURANTS_0","0.8278097969950265","0","ft","XGBoost 🌲","2026-04-08T14:10:42.000Z","REG_TEXT_ZOMATO_RESTAURANTS","16336","30","finished","nlp-srv2.iem.technion.ac.il"
"xgb_REG_TEXT_ZOMATO_RESTAURANTS_0","0.8169805899011873","0","all","XGBoost 🌲","2026-04-08T14:09:22.000Z","REG_TEXT_ZOMATO_RESTAURANTS","740","","finished","nlp19.iem.technion.ac.il"
"xgb_REG_TEXT_VIDEO_GAMES_SALES_4","0.1882792959704277","4","ft","XGBoost 🌲","2026-04-08T14:07:32.000Z","REG_TEXT_VIDEO_GAMES_SALES","2913","30","finished","nlp-srv2.iem.technion.ac.il"
"xgb_REG_TEXT_VIDEO_GAMES_SALES_4","0.0035634028596033263","4","all","XGBoost 🌲","2026-04-08T14:05:35.000Z","REG_TEXT_VIDEO_GAMES_SALES","170","","finished","nlp19.iem.technion.ac.il"
"xgb_REG_TEXT_VIDEO_GAMES_SALES_3","0.24600758844953777","3","ft","XGBoost 🌲","2026-04-08T13:58:43.000Z","REG_TEXT_VIDEO_GAMES_SALES","1977","30","finished","nlp-srv2.iem.technion.ac.il"
"xgb_REG_TEXT_VIDEO_GAMES_SALES_3","0.24927491912780053","3","all","XGBoost 🌲","2026-04-08T13:58:15.000Z","REG_TEXT_VIDEO_GAMES_SALES","170","","finished","nlp19.iem.technion.ac.il"
"xgb_REG_TEXT_VIDEO_GAMES_SALES_2","0.49310621769420093","2","ft","XGBoost 🌲","2026-04-08T13:45:08.000Z","REG_TEXT_VIDEO_GAMES_SALES","1340","30","finished","nlp-srv2.iem.technion.ac.il"
"xgb_REG_TEXT_VIDEO_GAMES_SALES_2","0.2778243381797355","2","all","XGBoost 🌲","2026-04-08T13:42:36.000Z","REG_TEXT_VIDEO_GAMES_SALES","145","30","finished","nlp-srv2.iem.technion.ac.il"
"xgb_REG_TEXT_VIDEO_GAMES_SALES_1","0.31353073966996325","1","ft","XGBoost 🌲","2026-04-08T13:37:50.000Z","REG_TEXT_VIDEO_GAMES_SALES","1847","30","finished","nlp-srv2.iem.technion.ac.il"
"xgb_REG_TEXT_VIDEO_GAMES_SALES_1","0.2118585181238598","1","all","XGBoost 🌲","2026-04-08T13:35:32.000Z","REG_TEXT_VIDEO_GAMES_SALES","145","30","finished","nlp-srv2.iem.technion.ac.il"
"xgb_REG_TEXT_VIDEO_GAMES_SALES_0","0.5223482862230817","0","ft","XGBoost 🌲","2026-04-08T13:31:08.000Z","REG_TEXT_VIDEO_GAMES_SALES","2224","","finished","nlp19.iem.technion.ac.il"
"xgb_REG_TEXT_VIDEO_GAMES_SALES_0","0.3741803196591263","0","all","XGBoost 🌲","2026-04-08T13:29:39.000Z","REG_TEXT_VIDEO_GAMES_SALES","144","30","finished","nlp-srv2.iem.technion.ac.il"
