"Name","test_score","fold","model","dataset","multimodal_state","Hostname","State","Runtime","Created","timestamp"
"dpt_REG_TEXT_ZOMATO_RESTAURANTS_0","0.677190714356366","0","TabDPT 6️⃣","REG_TEXT_ZOMATO_RESTAURANTS","no_text","nlp-srv3.dds.technion.ac.il","finished","206","2026-07-25T14:24:30.000Z","2026-07-25 17:27:34"
"dpt_REG_TEXT_VANCOUVER_SALARIES_0","0.38211612684927865","0","TabDPT 6️⃣","REG_TEXT_VANCOUVER_SALARIES","no_text","n306","finished","547","2026-07-25T14:20:51.000Z","2026-07-25 17:29:57"
"dpt_REG_TEXT_VANCOUVER_SALARIES_0","0.6154463710696276","0","TabDPT 6️⃣","REG_TEXT_VANCOUVER_SALARIES","text_only","nlp-srv3.dds.technion.ac.il","finished","278","2026-07-25T14:20:45.000Z","2026-07-25 17:25:01"
"iclv2_REG_TEXT_VANCOUVER_SALARIES_0","0.3779456980845185","0","TabICLv2 🗼","REG_TEXT_VANCOUVER_SALARIES","no_text","n306","finished","14","2026-07-25T14:20:35.000Z","2026-07-25 17:20:48"
"real_REG_TEXT_VANCOUVER_SALARIES_0","0.5033197905226898","0","RealMLP 🕸","REG_TEXT_VANCOUVER_SALARIES","text_only","n306","finished","159","2026-07-25T14:20:19.000Z","2026-07-25 17:22:57"
"real_REG_TEXT_TRANSPORTATION_USED_CAR_SAUDI_ARABIA_0","0.8397126197814941","0","RealMLP 🕸","REG_TEXT_TRANSPORTATION_USED_CAR_SAUDI_ARABIA","no_text","nlp-srv3.dds.technion.ac.il","finished","50","2026-07-25T14:17:57.000Z","2026-07-25 17:18:25"
"dpt_REG_TEXT_SOCIAL_MUSEUMS_US_REVENUES_0","0.06120057703597748","0","TabDPT 6️⃣","REG_TEXT_SOCIAL_MUSEUMS_US_REVENUES","no_text","nlp-srv3.dds.technion.ac.il","finished","201","2026-07-25T14:11:35.000Z","2026-07-25 17:14:34"
"dpt_REG_TEXT_MERCARI_MARKETPLACE_0","0.1061087647133898","0","TabDPT 6️⃣","REG_TEXT_MERCARI_MARKETPLACE","no_text","n305","finished","560","2026-07-25T14:06:19.000Z","2026-07-25 17:15:37"
"rf_REG_TEXT_SOCIAL_MUSEUMS_US_REVENUES_0","0.8421042556701941","0","RandomForest 🌳","REG_TEXT_SOCIAL_MUSEUMS_US_REVENUES","text_only","nlp-srv3.dds.technion.ac.il","finished","1231","2026-07-25T14:03:55.000Z","2026-07-25 17:24:04"
"iclv2_REG_TEXT_SOCIAL_MOVIES_DATASET_REVENUE_0","0.686450974899961","0","TabICLv2 🗼","REG_TEXT_SOCIAL_MOVIES_DATASET_REVENUE","no_text","nlp-srv3.dds.technion.ac.il","finished","19","2026-07-25T14:03:55.000Z","2026-07-25 17:03:52"
"real_REG_TEXT_SOCIAL_MOVIES_DATASET_REVENUE_0","0.4899668913753899","0","RealMLP 🕸","REG_TEXT_SOCIAL_MOVIES_DATASET_REVENUE","text_only","nlp-srv3.dds.technion.ac.il","finished","1037","2026-07-25T14:03:55.000Z","2026-07-25 17:20:50"
"dpt_REG_TEXT_ROTTEN_TOMATOES_0","0.20510327167753928","0","TabDPT 6️⃣","REG_TEXT_ROTTEN_TOMATOES","no_text","nlp-srv3.dds.technion.ac.il","finished","160","2026-07-25T14:03:54.000Z","2026-07-25 17:06:12"
"dpt_REG_TEXT_ZOMATO_RESTAURANTS_0","0.8094963118565364","0","TabDPT 6️⃣","REG_TEXT_ZOMATO_RESTAURANTS","text_only","nlp20.iem.technion.ac.il","finished","1183","2026-07-25T08:50:44.000Z","2026-07-25 12:10:25"
"xgb_REG_TEXT_ZOMATO_RESTAURANTS_0","0.6110839392950048","0","XGBoost 🌲","REG_TEXT_ZOMATO_RESTAURANTS","no_text","n306","finished","18","2026-07-25T08:50:43.000Z","2026-07-25 11:50:58"
"xgb_REG_TEXT_ZOMATO_RESTAURANTS_0","0.7853284042054688","0","XGBoost 🌲","REG_TEXT_ZOMATO_RESTAURANTS","text_only","nlp-srv3.dds.technion.ac.il","finished","654","2026-07-25T08:50:41.000Z","2026-07-25 12:01:14"
"rf_REG_TEXT_ZOMATO_RESTAURANTS_0","0.6475180418488815","0","RandomForest 🌳","REG_TEXT_ZOMATO_RESTAURANTS","no_text","n306","finished","28","2026-07-25T08:50:41.000Z","2026-07-25 11:51:07"
"rf_REG_TEXT_ZOMATO_RESTAURANTS_0","0.7454836724805072","0","RandomForest 🌳","REG_TEXT_ZOMATO_RESTAURANTS","text_only","n306","finished","666","2026-07-25T08:50:29.000Z","2026-07-25 12:01:34"
"iclv2_REG_TEXT_ZOMATO_RESTAURANTS_0","0.7561315898020814","0","TabICLv2 🗼","REG_TEXT_ZOMATO_RESTAURANTS","no_text","nlp20.iem.technion.ac.il","finished","19","2026-07-25T08:50:23.000Z","2026-07-25 11:50:40"
"iclv2_REG_TEXT_ZOMATO_RESTAURANTS_0","0.8515037655226443","0","TabICLv2 🗼","REG_TEXT_ZOMATO_RESTAURANTS","text_only","nlp-srv3.dds.technion.ac.il","finished","917","2026-07-25T08:50:01.000Z","2026-07-25 12:04:57"
"real_REG_TEXT_ZOMATO_RESTAURANTS_0","0.6128337205460297","0","RealMLP 🕸","REG_TEXT_ZOMATO_RESTAURANTS","no_text","nlp-srv3.dds.technion.ac.il","finished","59","2026-07-25T08:49:59.000Z","2026-07-25 11:50:36"
"real_REG_TEXT_ZOMATO_RESTAURANTS_0","0.8104410906195469","0","RealMLP 🕸","REG_TEXT_ZOMATO_RESTAURANTS","text_only","n306","finished","588","2026-07-25T08:49:58.000Z","2026-07-25 11:59:44"
"dpt_REG_TEXT_VIDEO_GAMES_SALES_0","0.05006574473047354","0","TabDPT 6️⃣","REG_TEXT_VIDEO_GAMES_SALES","no_text","n306","finished","385","2026-07-25T08:43:57.000Z","2026-07-25 11:50:21"
