"Name","dataset_name","test_score","model","multimodal_state","fold","Created","Runtime","State"
"tabpfnv2p5_MUL_IMAGE_CSGO_SKIN_PRICE_4","MUL_IMAGE_CSGO_SKIN_PRICE","0.8794069007447941","TabPFN-v2p5 🇩🇪","ft-img-ft-txt","4","2026-04-09T20:40:21.000Z","336","finished"
"tabpfnv2p5_MUL_IMAGE_CSGO_SKIN_PRICE_4","MUL_IMAGE_CSGO_SKIN_PRICE","0.9009749202006384","TabPFN-v2p5 🇩🇪","ft-txt","4","2026-04-09T20:39:59.000Z","241","finished"
"tabpfnv2_MUL_IMAGE_CSGO_SKIN_PRICE_4","MUL_IMAGE_CSGO_SKIN_PRICE","0.8815382276941784","TabPFN-v2 🤯","ft-img-ft-txt","4","2026-04-09T20:39:37.000Z","544","finished"
"cat_MUL_IMAGE_CSGO_SKIN_PRICE_4","MUL_IMAGE_CSGO_SKIN_PRICE","0.8593157014743882","CatBoost 😸","ft-img-ft-txt","4","2026-04-09T20:39:33.000Z","406","finished"
"light_MUL_IMAGE_CSGO_SKIN_PRICE_4","MUL_IMAGE_CSGO_SKIN_PRICE","0.8069475604195165","LightGBM 💡","ft-img-ft-txt","4","2026-04-09T20:39:31.000Z","367","finished"
"tabpfnv2p5_MUL_IMAGE_CSGO_SKIN_PRICE_4","MUL_IMAGE_CSGO_SKIN_PRICE","0.8906861225110199","TabPFN-v2p5 🇩🇪","non_txt","4","2026-04-09T20:20:19.000Z","72","finished"
"tabpfnv2p5_MUL_IMAGE_CSGO_SKIN_PRICE_4","MUL_IMAGE_CSGO_SKIN_PRICE","0.861062471500228","TabPFN-v2p5 🇩🇪","txt","4","2026-04-09T20:19:51.000Z","30","finished"
"tabpfnv2_MUL_IMAGE_CSGO_SKIN_PRICE_4","MUL_IMAGE_CSGO_SKIN_PRICE","0.8960264477884177","TabPFN-v2 🤯","ft-txt","4","2026-04-09T20:19:00.000Z","242","finished"
"tabpfnv2_MUL_IMAGE_CSGO_SKIN_PRICE_4","MUL_IMAGE_CSGO_SKIN_PRICE","0.8828353853169174","TabPFN-v2 🤯","non_txt","4","2026-04-09T20:18:48.000Z","56","finished"
"tabpfnv2_MUL_IMAGE_CSGO_SKIN_PRICE_4","MUL_IMAGE_CSGO_SKIN_PRICE","0.8481738866089072","TabPFN-v2 🤯","txt","4","2026-04-09T20:18:28.000Z","29","finished"
"tabm_MUL_IMAGE_CSGO_SKIN_PRICE_4","MUL_IMAGE_CSGO_SKIN_PRICE","0.856514363885089","TabM Ⓜ️","ft-img-ft-txt","4","2026-04-09T20:18:22.000Z","322","finished"
"tabm_MUL_IMAGE_CSGO_SKIN_PRICE_4","MUL_IMAGE_CSGO_SKIN_PRICE","0.854094239246086","TabM Ⓜ️","ft-txt","4","2026-04-09T20:18:09.000Z","410","finished"
"tabm_MUL_IMAGE_CSGO_SKIN_PRICE_4","MUL_IMAGE_CSGO_SKIN_PRICE","0.8378148654810762","TabM Ⓜ️","non_txt","4","2026-04-09T20:17:50.000Z","29","finished"
"tabm_MUL_IMAGE_CSGO_SKIN_PRICE_4","MUL_IMAGE_CSGO_SKIN_PRICE","0.781984800121599","TabM Ⓜ️","txt","4","2026-04-09T20:17:35.000Z","49","finished"
"cat_MUL_IMAGE_CSGO_SKIN_PRICE_4","MUL_IMAGE_CSGO_SKIN_PRICE","0.8505006839945279","CatBoost 😸","ft-txt","4","2026-04-09T20:17:35.000Z","290","finished"
"cat_MUL_IMAGE_CSGO_SKIN_PRICE_4","MUL_IMAGE_CSGO_SKIN_PRICE","0.8606517707858338","CatBoost 😸","non_txt","4","2026-04-09T20:17:35.000Z","99","finished"
"cat_MUL_IMAGE_CSGO_SKIN_PRICE_4","MUL_IMAGE_CSGO_SKIN_PRICE","0.7854625322997415","CatBoost 😸","txt","4","2026-04-09T20:17:34.000Z","66","finished"
"light_MUL_IMAGE_CSGO_SKIN_PRICE_4","MUL_IMAGE_CSGO_SKIN_PRICE","0.8060936312509499","LightGBM 💡","ft-txt","4","2026-04-09T20:17:34.000Z","262","finished"
"light_MUL_IMAGE_CSGO_SKIN_PRICE_4","MUL_IMAGE_CSGO_SKIN_PRICE","0.8104642042863658","LightGBM 💡","non_txt","4","2026-04-09T20:17:31.000Z","30","finished"
"light_MUL_IMAGE_CSGO_SKIN_PRICE_4","MUL_IMAGE_CSGO_SKIN_PRICE","0.7358717130262958","LightGBM 💡","txt","4","2026-04-09T20:16:59.000Z","27","finished"
"tabpfnv2p5_MUL_IMAGE_CSGO_SKIN_PRICE_3","MUL_IMAGE_CSGO_SKIN_PRICE","0.8879805441556468","TabPFN-v2p5 🇩🇪","ft-img-ft-txt","3","2026-04-09T20:16:03.000Z","622","finished"
"tabpfnv2p5_MUL_IMAGE_CSGO_SKIN_PRICE_3","MUL_IMAGE_CSGO_SKIN_PRICE","0.9071074631402948","TabPFN-v2p5 🇩🇪","ft-txt","3","2026-04-09T20:15:16.000Z","453","finished"
"tabpfnv2p5_MUL_IMAGE_CSGO_SKIN_PRICE_3","MUL_IMAGE_CSGO_SKIN_PRICE","0.8923082535339717","TabPFN-v2p5 🇩🇪","non_txt","3","2026-04-09T20:14:39.000Z","31","finished"
"tabpfnv2p5_MUL_IMAGE_CSGO_SKIN_PRICE_3","MUL_IMAGE_CSGO_SKIN_PRICE","0.8425468916248671","TabPFN-v2p5 🇩🇪","txt","3","2026-04-09T20:14:12.000Z","25","finished"
"tabpfnv2_MUL_IMAGE_CSGO_SKIN_PRICE_3","MUL_IMAGE_CSGO_SKIN_PRICE","0.8852998936008513","TabPFN-v2 🤯","ft-img-ft-txt","3","2026-04-09T20:11:55.000Z","350","finished"
"tabpfnv2_MUL_IMAGE_CSGO_SKIN_PRICE_3","MUL_IMAGE_CSGO_SKIN_PRICE","0.9001222070223438","TabPFN-v2 🤯","ft-txt","3","2026-04-09T20:09:30.000Z","446","finished"
"tabpfnv2_MUL_IMAGE_CSGO_SKIN_PRICE_3","MUL_IMAGE_CSGO_SKIN_PRICE","0.8955403556771545","TabPFN-v2 🤯","non_txt","3","2026-04-09T20:08:53.000Z","29","finished"
"tabpfnv2_MUL_IMAGE_CSGO_SKIN_PRICE_3","MUL_IMAGE_CSGO_SKIN_PRICE","0.8364455084359325","TabPFN-v2 🤯","txt","3","2026-04-09T20:08:20.000Z","28","finished"
"tabm_MUL_IMAGE_CSGO_SKIN_PRICE_3","MUL_IMAGE_CSGO_SKIN_PRICE","0.8742200942392462","TabM Ⓜ️","ft-img-ft-txt","3","2026-04-09T20:08:02.000Z","477","finished"
"tabm_MUL_IMAGE_CSGO_SKIN_PRICE_3","MUL_IMAGE_CSGO_SKIN_PRICE","0.8401890864873082","TabM Ⓜ️","non_txt","3","2026-04-09T20:07:43.000Z","30","finished"
"tabm_MUL_IMAGE_CSGO_SKIN_PRICE_3","MUL_IMAGE_CSGO_SKIN_PRICE","0.8290630794953641","TabM Ⓜ️","ft-txt","3","2026-04-09T20:07:43.000Z","244","finished"
"tabm_MUL_IMAGE_CSGO_SKIN_PRICE_3","MUL_IMAGE_CSGO_SKIN_PRICE","0.7696485788113695","TabM Ⓜ️","txt","3","2026-04-09T20:07:30.000Z","29","finished"
"cat_MUL_IMAGE_CSGO_SKIN_PRICE_3","MUL_IMAGE_CSGO_SKIN_PRICE","0.8738808329533363","CatBoost 😸","ft-img-ft-txt","3","2026-04-09T20:05:50.000Z","499","finished"
"cat_MUL_IMAGE_CSGO_SKIN_PRICE_3","MUL_IMAGE_CSGO_SKIN_PRICE","0.8583222374221006","CatBoost 😸","ft-txt","3","2026-04-09T20:03:26.000Z","252","finished"
"cat_MUL_IMAGE_CSGO_SKIN_PRICE_3","MUL_IMAGE_CSGO_SKIN_PRICE","0.8609430004559965","CatBoost 😸","non_txt","3","2026-04-09T20:02:48.000Z","33","finished"
"cat_MUL_IMAGE_CSGO_SKIN_PRICE_3","MUL_IMAGE_CSGO_SKIN_PRICE","0.789779297765618","CatBoost 😸","txt","3","2026-04-09T20:02:21.000Z","23","finished"
"light_MUL_IMAGE_CSGO_SKIN_PRICE_3","MUL_IMAGE_CSGO_SKIN_PRICE","0.8508715610275116","LightGBM 💡","ft-img-ft-txt","3","2026-04-09T19:59:21.000Z","497","finished"
"light_MUL_IMAGE_CSGO_SKIN_PRICE_3","MUL_IMAGE_CSGO_SKIN_PRICE","0.8226879464964281","LightGBM 💡","ft-txt","3","2026-04-09T19:58:57.000Z","410","finished"
"light_MUL_IMAGE_CSGO_SKIN_PRICE_3","MUL_IMAGE_CSGO_SKIN_PRICE","0.8302468460252317","LightGBM 💡","non_txt","3","2026-04-09T19:58:44.000Z","31","finished"
"light_MUL_IMAGE_CSGO_SKIN_PRICE_3","MUL_IMAGE_CSGO_SKIN_PRICE","0.7709630642954857","LightGBM 💡","txt","3","2026-04-09T19:58:25.000Z","27","finished"
