"Name","dataset_name","test_score","model","multimodal_state","fold","Created","Runtime","State","metrics_dict.metrics.auc","metrics_dict.metrics.logloss"
"tabpfnv2p5_MUL_IMAGE_PETFINDER_4","MUL_IMAGE_PETFINDER","0.8796003148087976","TabPFN-v2p5 🇩🇪","ft-img-ft-txt","4","2026-04-09T23:46:11.000Z","4576","finished","0.8796003148087976","1.2124266429145474"
"tabpfnv2p5_MUL_IMAGE_PETFINDER_4","MUL_IMAGE_PETFINDER","0.8740889771927203","TabPFN-v2p5 🇩🇪","ft-txt","4","2026-04-09T23:45:48.000Z","4374","finished","0.8740889771927203","1.2362616008208904"
"tabpfnv2p5_MUL_IMAGE_PETFINDER_4","MUL_IMAGE_PETFINDER","0.8365516314280301","TabPFN-v2p5 🇩🇪","non_txt","4","2026-04-09T23:44:48.000Z","209","finished","0.8365516314280301","1.369133666868947"
"tabpfnv2p5_MUL_IMAGE_PETFINDER_4","MUL_IMAGE_PETFINDER","0.7521156009464528","TabPFN-v2p5 🇩🇪","txt","4","2026-04-09T23:41:13.000Z","291","finished","0.7521156009464528","1.6602026588687009"
"tabpfnv2_MUL_IMAGE_PETFINDER_4","MUL_IMAGE_PETFINDER","0.8732616719547921","TabPFN-v2 🤯","ft-img-ft-txt","4","2026-04-09T23:36:42.000Z","10124","finished","0.8732616719547921","1.2373863924091082"
"tabpfnv2_MUL_IMAGE_PETFINDER_4","MUL_IMAGE_PETFINDER","0.865036408587369","TabPFN-v2 🤯","ft-txt","4","2026-04-09T23:36:06.000Z","4363","finished","0.865036408587369","1.2709146193819565"
"tabpfnv2_MUL_IMAGE_PETFINDER_4","MUL_IMAGE_PETFINDER","0.8349149884975334","TabPFN-v2 🤯","non_txt","4","2026-04-09T23:34:10.000Z","145","finished","0.8349149884975334","1.3802536579808478"
"tabpfnv2_MUL_IMAGE_PETFINDER_4","MUL_IMAGE_PETFINDER","0.7287636328423606","TabPFN-v2 🤯","txt","4","2026-04-09T23:31:02.000Z","296","finished","0.7287636328423606","1.7123365243947533"
"tabm_MUL_IMAGE_PETFINDER_4","MUL_IMAGE_PETFINDER","0.8713361728905884","TabM Ⓜ️","ft-img-ft-txt","4","2026-04-09T23:27:08.000Z","3630","finished","0.8713361728905884","1.2656807695381864"
"tabm_MUL_IMAGE_PETFINDER_4","MUL_IMAGE_PETFINDER","0.866953667025828","TabM Ⓜ️","ft-txt","4","2026-04-09T23:17:53.000Z","3440","finished","0.866953667025828","1.2981371511993027"
"tabm_MUL_IMAGE_PETFINDER_4","MUL_IMAGE_PETFINDER","0.8320651568265205","TabM Ⓜ️","non_txt","4","2026-04-09T23:14:29.000Z","200","finished","0.8320651568265205","1.390856455232244"
"tabm_MUL_IMAGE_PETFINDER_4","MUL_IMAGE_PETFINDER","0.7431638767007253","TabM Ⓜ️","txt","4","2026-04-09T23:09:51.000Z","274","finished","0.7431638767007253","1.689281454242595"
"cat_MUL_IMAGE_PETFINDER_4","MUL_IMAGE_PETFINDER","0.8637827059965422","CatBoost 😸","ft-img-ft-txt","4","2026-04-09T23:09:12.000Z","3815","finished","0.8637827059965422","1.2790889401725427"
"cat_MUL_IMAGE_PETFINDER_4","MUL_IMAGE_PETFINDER","0.8546751932367922","CatBoost 😸","ft-txt","4","2026-04-09T23:03:51.000Z","3749","finished","0.8546751932367922","1.320251733107784"
"cat_MUL_IMAGE_PETFINDER_4","MUL_IMAGE_PETFINDER","0.8197524975745469","CatBoost 😸","non_txt","4","2026-04-09T23:03:40.000Z","364","finished","0.8197524975745469","1.4399506419764827"
"cat_MUL_IMAGE_PETFINDER_4","MUL_IMAGE_PETFINDER","0.7285112919251191","CatBoost 😸","txt","4","2026-04-09T23:03:06.000Z","361","finished","0.7285112919251191","1.7111313116483045"
"light_MUL_IMAGE_PETFINDER_4","MUL_IMAGE_PETFINDER","0.8608873150659587","LightGBM 💡","ft-img-ft-txt","4","2026-04-09T23:01:45.000Z","3629","finished","0.8608873150659587","1.3594811943134737"
