"Name","dataset_name","test_score","model","multimodal_state","fold","Created","Runtime","State"
"tabpfnv2p5_REG_IMAGE_HNM_FASHION_4","REG_IMAGE_HNM_FASHION","0.3297337036204897","TabPFN-v2p5 🇩🇪","ft-img-ft-txt","4","2026-04-10T11:49:13.000Z","1877","finished"
"tabpfnv2p5_REG_IMAGE_HNM_FASHION_4","REG_IMAGE_HNM_FASHION","0.3096044447301012","TabPFN-v2p5 🇩🇪","ft-txt","4","2026-04-10T11:48:45.000Z","1752","finished"
"tabpfnv2p5_REG_IMAGE_HNM_FASHION_4","REG_IMAGE_HNM_FASHION","0.3122931698767074","TabPFN-v2p5 🇩🇪","non_txt","4","2026-04-10T11:46:43.000Z","115","finished"
"tabpfnv2p5_REG_IMAGE_HNM_FASHION_4","REG_IMAGE_HNM_FASHION","0.29302343099755657","TabPFN-v2p5 🇩🇪","txt","4","2026-04-10T11:46:26.000Z","297","finished"
"tabpfnv2_REG_IMAGE_HNM_FASHION_4","REG_IMAGE_HNM_FASHION","0.3126208134801941","TabPFN-v2 🤯","ft-img-ft-txt","4","2026-04-10T11:45:41.000Z","1932","finished"
"tabpfnv2_REG_IMAGE_HNM_FASHION_4","REG_IMAGE_HNM_FASHION","0.2909394796512944","TabPFN-v2 🤯","ft-txt","4","2026-04-10T11:44:51.000Z","1768","finished"
"tabpfnv2_REG_IMAGE_HNM_FASHION_4","REG_IMAGE_HNM_FASHION","0.29283866271514614","TabPFN-v2 🤯","non_txt","4","2026-04-10T11:44:00.000Z","95","finished"
"tabpfnv2_REG_IMAGE_HNM_FASHION_4","REG_IMAGE_HNM_FASHION","0.27268002402169234","TabPFN-v2 🤯","txt","4","2026-04-10T11:38:59.000Z","344","finished"
"tabm_REG_IMAGE_HNM_FASHION_4","REG_IMAGE_HNM_FASHION","0.3173836480136426","TabM Ⓜ️","ft-img-ft-txt","4","2026-04-10T11:36:24.000Z","1866","finished"
"tabm_REG_IMAGE_HNM_FASHION_4","REG_IMAGE_HNM_FASHION","0.31433582597399923","TabM Ⓜ️","ft-txt","4","2026-04-10T11:35:12.000Z","1805","finished"
"tabm_REG_IMAGE_HNM_FASHION_4","REG_IMAGE_HNM_FASHION","0.3021478287904219","TabM Ⓜ️","non_txt","4","2026-04-10T11:32:16.000Z","95","finished"
"tabm_REG_IMAGE_HNM_FASHION_4","REG_IMAGE_HNM_FASHION","0.27417668495200187","TabM Ⓜ️","txt","4","2026-04-10T11:31:25.000Z","293","finished"
"cat_REG_IMAGE_HNM_FASHION_4","REG_IMAGE_HNM_FASHION","0.30222889765575955","CatBoost 😸","ft-img-ft-txt","4","2026-04-10T11:29:27.000Z","1935","finished"
"cat_REG_IMAGE_HNM_FASHION_4","REG_IMAGE_HNM_FASHION","0.2925174375767595","CatBoost 😸","ft-txt","4","2026-04-10T11:29:16.000Z","1857","finished"
"cat_REG_IMAGE_HNM_FASHION_4","REG_IMAGE_HNM_FASHION","0.2630657650405829","CatBoost 😸","non_txt","4","2026-04-10T11:27:37.000Z","103","finished"
"cat_REG_IMAGE_HNM_FASHION_4","REG_IMAGE_HNM_FASHION","0.2568799756488991","CatBoost 😸","txt","4","2026-04-10T11:27:26.000Z","286","finished"
"light_REG_IMAGE_HNM_FASHION_4","REG_IMAGE_HNM_FASHION","0.2974430511423827","LightGBM 💡","ft-img-ft-txt","4","2026-04-10T11:26:17.000Z","1997","finished"
"light_REG_IMAGE_HNM_FASHION_4","REG_IMAGE_HNM_FASHION","0.2887419667807879","LightGBM 💡","ft-txt","4","2026-04-10T11:25:54.000Z","1800","finished"
"light_REG_IMAGE_HNM_FASHION_4","REG_IMAGE_HNM_FASHION","0.25919825550003495","LightGBM 💡","non_txt","4","2026-04-10T11:25:41.000Z","99","finished"
"light_REG_IMAGE_HNM_FASHION_4","REG_IMAGE_HNM_FASHION","0.2515895047201888","LightGBM 💡","txt","4","2026-04-10T11:25:34.000Z","269","finished"
"tabpfnv2p5_REG_IMAGE_HNM_FASHION_3","REG_IMAGE_HNM_FASHION","0.29221735135016724","TabPFN-v2p5 🇩🇪","ft-img-ft-txt","3","2026-04-10T11:25:11.000Z","2198","finished"
"tabpfnv2p5_REG_IMAGE_HNM_FASHION_3","REG_IMAGE_HNM_FASHION","0.2839448236224311","TabPFN-v2p5 🇩🇪","ft-txt","3","2026-04-10T11:25:00.000Z","2086","finished"
"tabpfnv2p5_REG_IMAGE_HNM_FASHION_3","REG_IMAGE_HNM_FASHION","0.28413448678991926","TabPFN-v2p5 🇩🇪","non_txt","3","2026-04-10T11:23:13.000Z","180","finished"
"tabpfnv2p5_REG_IMAGE_HNM_FASHION_3","REG_IMAGE_HNM_FASHION","0.24568393747886053","TabPFN-v2p5 🇩🇪","txt","3","2026-04-10T11:22:58.000Z","300","finished"
"tabpfnv2_REG_IMAGE_HNM_FASHION_3","REG_IMAGE_HNM_FASHION","0.2726896686834772","TabPFN-v2 🤯","ft-img-ft-txt","3","2026-04-10T11:22:45.000Z","2224","finished"
"tabpfnv2_REG_IMAGE_HNM_FASHION_3","REG_IMAGE_HNM_FASHION","0.2630495167046881","TabPFN-v2 🤯","ft-txt","3","2026-04-10T11:22:37.000Z","4994","finished"
"tabpfnv2_REG_IMAGE_HNM_FASHION_3","REG_IMAGE_HNM_FASHION","0.26832658536005916","TabPFN-v2 🤯","non_txt","3","2026-04-10T11:22:10.000Z","97","finished"
