"Name","dataset_name","test_score","model","multimodal_state","fold","Created","Runtime","State"
"tabpfnv2p5_REG_IMAGE_KHAADI_CLOTHES_4","REG_IMAGE_KHAADI_CLOTHES","0.9277241826057434","TabPFN-v2p5 🇩🇪","ft-img-ft-txt","4","2026-04-09T17:52:19.000Z","232","finished"
"tabpfnv2p5_REG_IMAGE_KHAADI_CLOTHES_4","REG_IMAGE_KHAADI_CLOTHES","-0.299186110496521","TabPFN-v2p5 🇩🇪","ft-txt","4","2026-04-09T17:49:42.000Z","151","finished"
"tabpfnv2p5_REG_IMAGE_KHAADI_CLOTHES_4","REG_IMAGE_KHAADI_CLOTHES","-0.28305792808532715","TabPFN-v2p5 🇩🇪","non_txt","4","2026-04-09T17:49:04.000Z","33","finished"
"tabpfnv2p5_REG_IMAGE_KHAADI_CLOTHES_4","REG_IMAGE_KHAADI_CLOTHES","0.5183526277542114","TabPFN-v2p5 🇩🇪","txt","4","2026-04-09T17:48:37.000Z","19","finished"
"tabpfnv2_REG_IMAGE_KHAADI_CLOTHES_4","REG_IMAGE_KHAADI_CLOTHES","0.946635901927948","TabPFN-v2 🤯","ft-img-ft-txt","4","2026-04-09T17:44:40.000Z","230","finished"
"tabpfnv2_REG_IMAGE_KHAADI_CLOTHES_4","REG_IMAGE_KHAADI_CLOTHES","0.5626121759414673","TabPFN-v2 🤯","ft-txt","4","2026-04-09T17:42:02.000Z","153","finished"
"tabpfnv2_REG_IMAGE_KHAADI_CLOTHES_4","REG_IMAGE_KHAADI_CLOTHES","0.9397382736206056","TabPFN-v2 🤯","non_txt","4","2026-04-09T17:41:24.000Z","33","finished"
"tabpfnv2_REG_IMAGE_KHAADI_CLOTHES_4","REG_IMAGE_KHAADI_CLOTHES","0.5167761445045471","TabPFN-v2 🤯","txt","4","2026-04-09T17:41:03.000Z","19","finished"
"tabm_REG_IMAGE_KHAADI_CLOTHES_4","REG_IMAGE_KHAADI_CLOTHES","0.941830039024353","TabM Ⓜ️","ft-img-ft-txt","4","2026-04-09T17:37:22.000Z","213","finished"
"tabm_REG_IMAGE_KHAADI_CLOTHES_4","REG_IMAGE_KHAADI_CLOTHES","0.9044771790504456","TabM Ⓜ️","ft-txt","4","2026-04-09T17:34:54.000Z","144","finished"
"tabm_REG_IMAGE_KHAADI_CLOTHES_4","REG_IMAGE_KHAADI_CLOTHES","0.8653830289840698","TabM Ⓜ️","non_txt","4","2026-04-09T17:34:16.000Z","32","finished"
