"Name","dataset_name","test_score","model","multimodal_state","fold","Created","Runtime","State","metrics_dict.metrics.auc","metrics_dict.metrics.logloss"
"tabpfnv2p5_REG_IMAGE_LETTERBOXD_MOVIES_4","REG_IMAGE_LETTERBOXD_MOVIES","0.4966049402509265","TabPFN-v2p5 🇩🇪","ft-img-ft-txt","4","2026-04-10T05:16:54.000Z","2520","finished","",""
"tabpfnv2p5_REG_IMAGE_LETTERBOXD_MOVIES_4","REG_IMAGE_LETTERBOXD_MOVIES","0.48757406936165504","TabPFN-v2p5 🇩🇪","ft-txt","4","2026-04-10T05:16:29.000Z","1785","finished","",""
"tabpfnv2p5_REG_IMAGE_LETTERBOXD_MOVIES_4","REG_IMAGE_LETTERBOXD_MOVIES","0.4491504100759345","TabPFN-v2p5 🇩🇪","non_txt","4","2026-04-10T05:14:59.000Z","107","finished","",""
"tabpfnv2p5_REG_IMAGE_LETTERBOXD_MOVIES_4","REG_IMAGE_LETTERBOXD_MOVIES","0.1857026572695335","TabPFN-v2p5 🇩🇪","txt","4","2026-04-10T05:12:33.000Z","233","finished","",""
"tabpfnv2_REG_IMAGE_LETTERBOXD_MOVIES_4","REG_IMAGE_LETTERBOXD_MOVIES","0.4898535207235872","TabPFN-v2 🤯","ft-img-ft-txt","4","2026-04-10T04:45:01.000Z","2714","finished","",""
"tabpfnv2_REG_IMAGE_LETTERBOXD_MOVIES_4","REG_IMAGE_LETTERBOXD_MOVIES","0.4799106860748956","TabPFN-v2 🤯","ft-txt","4","2026-04-10T04:42:42.000Z","1787","finished","",""
"tabpfnv2_REG_IMAGE_LETTERBOXD_MOVIES_4","REG_IMAGE_LETTERBOXD_MOVIES","0.4374759406334532","TabPFN-v2 🤯","non_txt","4","2026-04-10T04:41:02.000Z","92","finished","",""
"tabpfnv2_REG_IMAGE_LETTERBOXD_MOVIES_4","REG_IMAGE_LETTERBOXD_MOVIES","0.18136691524933868","TabPFN-v2 🤯","txt","4","2026-04-10T04:39:47.000Z","308","finished","",""
"tabm_REG_IMAGE_LETTERBOXD_MOVIES_4","REG_IMAGE_LETTERBOXD_MOVIES","0.4820746368776993","TabM Ⓜ️","ft-img-ft-txt","4","2026-04-10T04:37:20.000Z","3315","finished","",""
"tabm_REG_IMAGE_LETTERBOXD_MOVIES_4","REG_IMAGE_LETTERBOXD_MOVIES","0.468383218446626","TabM Ⓜ️","ft-txt","4","2026-04-10T04:21:43.000Z","3193","finished","",""
"tabm_REG_IMAGE_LETTERBOXD_MOVIES_4","REG_IMAGE_LETTERBOXD_MOVIES","0.42987687053616674","TabM Ⓜ️","non_txt","4","2026-04-10T04:19:58.000Z","99","finished","",""
"tabm_REG_IMAGE_LETTERBOXD_MOVIES_4","REG_IMAGE_LETTERBOXD_MOVIES","0.1868190694606433","TabM Ⓜ️","txt","4","2026-04-10T04:14:49.000Z","303","finished","",""
"cat_REG_IMAGE_LETTERBOXD_MOVIES_4","REG_IMAGE_LETTERBOXD_MOVIES","0.4630406505325523","CatBoost 😸","ft-img-ft-txt","4","2026-04-10T04:04:33.000Z","2186","finished","",""
"cat_REG_IMAGE_LETTERBOXD_MOVIES_4","REG_IMAGE_LETTERBOXD_MOVIES","0.4461906008500991","CatBoost 😸","ft-txt","4","2026-04-10T03:47:01.000Z","3160","finished","",""
"cat_REG_IMAGE_LETTERBOXD_MOVIES_4","REG_IMAGE_LETTERBOXD_MOVIES","0.4226841251513664","CatBoost 😸","non_txt","4","2026-04-10T03:45:16.000Z","101","finished","",""
"cat_REG_IMAGE_LETTERBOXD_MOVIES_4","REG_IMAGE_LETTERBOXD_MOVIES","0.16717580000883203","CatBoost 😸","txt","4","2026-04-10T03:40:47.000Z","208","finished","",""
"light_REG_IMAGE_LETTERBOXD_MOVIES_4","REG_IMAGE_LETTERBOXD_MOVIES","0.4513857260477251","LightGBM 💡","ft-img-ft-txt","4","2026-04-10T03:39:21.000Z","3475","finished","",""
"light_REG_IMAGE_LETTERBOXD_MOVIES_4","REG_IMAGE_LETTERBOXD_MOVIES","0.42872691583750366","LightGBM 💡","ft-txt","4","2026-04-10T03:29:54.000Z","2072","finished","",""
"light_REG_IMAGE_LETTERBOXD_MOVIES_4","REG_IMAGE_LETTERBOXD_MOVIES","0.41200830209633954","LightGBM 💡","non_txt","4","2026-04-10T03:28:30.000Z","78","finished","",""
"light_REG_IMAGE_LETTERBOXD_MOVIES_4","REG_IMAGE_LETTERBOXD_MOVIES","0.1434003815184779","LightGBM 💡","txt","4","2026-04-10T03:24:54.000Z","210","finished","",""
"tabpfnv2p5_REG_IMAGE_LETTERBOXD_MOVIES_3","REG_IMAGE_LETTERBOXD_MOVIES","0.5178254117709142","TabPFN-v2p5 🇩🇪","ft-img-ft-txt","3","2026-04-10T03:24:19.000Z","3022","finished","",""
"tabpfnv2p5_REG_IMAGE_LETTERBOXD_MOVIES_3","REG_IMAGE_LETTERBOXD_MOVIES","0.5199104863686113","TabPFN-v2p5 🇩🇪","ft-txt","3","2026-04-10T03:17:22.000Z","1401","finished","",""
