"Name","test_score","fold","multimodal_state","Hostname","model","Created","dataset","Runtime","State"
"tabpfnv2p5_BIN_TEXT_FAKE_JOB_POSTING_2","0.9616423872180452","2","all","n311","TabPFN-v2p5 🇩🇪","2026-04-02T23:41:27.000Z","BIN_TEXT_FAKE_JOB_POSTING","243","finished"
"tabm_BIN_TEXT_FAKE_JOB_POSTING_3","0.9519942434210528","3","all","n311","TabM Ⓜ️","2026-04-02T23:50:26.000Z","BIN_TEXT_FAKE_JOB_POSTING","231","finished"
"tabpfnv2p5_BIN_TEXT_FAKE_JOB_POSTING_0","0.950415589755639","0","all","n311","TabPFN-v2p5 🇩🇪","2026-04-02T23:27:21.000Z","BIN_TEXT_FAKE_JOB_POSTING","243","finished"
"tabpfnv2p5_BIN_TEXT_FAKE_JOB_POSTING_3","0.9500851738721804","3","all","n311","TabPFN-v2p5 🇩🇪","2026-04-02T23:55:05.000Z","BIN_TEXT_FAKE_JOB_POSTING","243","finished"
"tabpfnv2p5_BIN_TEXT_FAKE_JOB_POSTING_2","0.9447030662593986","2","text_only","nlp-srv2.iem.technion.ac.il","TabPFN-v2p5 🇩🇪","2026-04-05T08:56:47.000Z","BIN_TEXT_FAKE_JOB_POSTING","249","finished"
"tabm_BIN_TEXT_FAKE_JOB_POSTING_3","0.9444901315789472","3","ft","n311","TabM Ⓜ️","2026-04-02T23:53:29.000Z","BIN_TEXT_FAKE_JOB_POSTING","1091","finished"
"tabpfnv2p5_BIN_TEXT_FAKE_JOB_POSTING_2","0.9444313909774436","2","ft","n307","TabPFN-v2p5 🇩🇪","2026-04-02T23:41:39.000Z","BIN_TEXT_FAKE_JOB_POSTING","1620","finished"
"tabpfnv2p5_BIN_TEXT_FAKE_JOB_POSTING_3","0.9415604440789476","3","text_only","nlp20.iem.technion.ac.il","TabPFN-v2p5 🇩🇪","2026-04-05T09:12:10.000Z","BIN_TEXT_FAKE_JOB_POSTING","229","finished"
"tabpfnv2_BIN_TEXT_FAKE_JOB_POSTING_2","0.941420935150376","2","ft","n311","TabPFN-v2 🤯","2026-04-02T23:45:28.000Z","BIN_TEXT_FAKE_JOB_POSTING","1648","finished"
"tabpfnv2p5_BIN_TEXT_FAKE_JOB_POSTING_3","0.9407527608082707","3","ft","n311","TabPFN-v2p5 🇩🇪","2026-04-02T23:55:08.000Z","BIN_TEXT_FAKE_JOB_POSTING","1622","finished"
"tabm_BIN_TEXT_FAKE_JOB_POSTING_0","0.9402314379699248","0","all","n309","TabM Ⓜ️","2026-04-02T23:24:33.000Z","BIN_TEXT_FAKE_JOB_POSTING","233","finished"
"light_BIN_TEXT_FAKE_JOB_POSTING_2","0.9395118656015038","2","text_only","nlp18.iem.technion.ac.il","LightGBM 💡","2026-04-05T08:52:22.000Z","BIN_TEXT_FAKE_JOB_POSTING","930","finished"
"tabpfnv2_BIN_TEXT_FAKE_JOB_POSTING_2","0.9388069783834586","2","all","n307","TabPFN-v2 🤯","2026-04-02T23:45:04.000Z","BIN_TEXT_FAKE_JOB_POSTING","270","finished"
"tabpfnv2p5_BIN_TEXT_FAKE_JOB_POSTING_0","0.9371402138157894","0","text_only","nlp-srv2.iem.technion.ac.il","TabPFN-v2p5 🇩🇪","2026-04-05T08:38:24.000Z","BIN_TEXT_FAKE_JOB_POSTING","244","finished"
"tabpfnv2p5_BIN_TEXT_FAKE_JOB_POSTING_1","0.9367730850563912","1","all","n307","TabPFN-v2p5 🇩🇪","2026-04-02T23:34:35.000Z","BIN_TEXT_FAKE_JOB_POSTING","242","finished"
"tabm_BIN_TEXT_FAKE_JOB_POSTING_3","0.9359727443609024","3","text_only","nlp18.iem.technion.ac.il","TabM Ⓜ️","2026-04-05T09:11:27.000Z","BIN_TEXT_FAKE_JOB_POSTING","528","finished"
"tabm_BIN_TEXT_FAKE_JOB_POSTING_4","0.9351210056390976","4","ft","n311","TabM Ⓜ️","2026-04-03T00:02:25.000Z","BIN_TEXT_FAKE_JOB_POSTING","1477","finished"
"tabm_BIN_TEXT_FAKE_JOB_POSTING_0","0.933564379699248","0","ft","n309","TabM Ⓜ️","2026-04-02T23:24:49.000Z","BIN_TEXT_FAKE_JOB_POSTING","1322","finished"
"light_BIN_TEXT_FAKE_JOB_POSTING_0","0.9330210291353384","0","ft","n307","LightGBM 💡","2026-04-02T23:19:20.000Z","BIN_TEXT_FAKE_JOB_POSTING","1313","finished"
"tabpfnv2_BIN_TEXT_FAKE_JOB_POSTING_0","0.9308990249060152","0","all","n309","TabPFN-v2 🤯","2026-04-02T23:28:33.000Z","BIN_TEXT_FAKE_JOB_POSTING","248","finished"
"tabpfnv2_BIN_TEXT_FAKE_JOB_POSTING_2","0.9303630169172932","2","text_only","nlp19.iem.technion.ac.il","TabPFN-v2 🤯","2026-04-05T09:00:20.000Z","BIN_TEXT_FAKE_JOB_POSTING","298","finished"
"cat_BIN_TEXT_FAKE_JOB_POSTING_3","0.930201480263158","3","text_only","nlp-srv2.iem.technion.ac.il","CatBoost 😸","2026-04-05T09:10:19.000Z","BIN_TEXT_FAKE_JOB_POSTING","228","finished"
"cat_BIN_TEXT_FAKE_JOB_POSTING_3","0.9289385573308272","3","all","n311","CatBoost 😸","2026-04-02T23:48:12.000Z","BIN_TEXT_FAKE_JOB_POSTING","248","finished"
"light_BIN_TEXT_FAKE_JOB_POSTING_4","0.9288210761278196","4","ft","n309","LightGBM 💡","2026-04-02T23:59:01.000Z","BIN_TEXT_FAKE_JOB_POSTING","1491","finished"
"tabpfnv2_BIN_TEXT_FAKE_JOB_POSTING_0","0.9286007988721804","0","ft","n306","TabPFN-v2 🤯","2026-04-02T23:29:00.000Z","BIN_TEXT_FAKE_JOB_POSTING","1681","finished"
"light_BIN_TEXT_FAKE_JOB_POSTING_2","0.9273085056390976","2","all","n311","LightGBM 💡","2026-04-02T23:37:15.000Z","BIN_TEXT_FAKE_JOB_POSTING","224","finished"
"tabpfnv2p5_BIN_TEXT_FAKE_JOB_POSTING_4","0.9271836818609024","4","all","n306","TabPFN-v2p5 🇩🇪","2026-04-03T00:04:31.000Z","BIN_TEXT_FAKE_JOB_POSTING","244","finished"
"tabm_BIN_TEXT_FAKE_JOB_POSTING_1","0.9269707471804512","1","all","n311","TabM Ⓜ️","2026-04-02T23:32:57.000Z","BIN_TEXT_FAKE_JOB_POSTING","230","finished"
"cat_BIN_TEXT_FAKE_JOB_POSTING_0","0.9265008223684212","0","ft","n311","CatBoost 😸","2026-04-02T23:23:13.000Z","BIN_TEXT_FAKE_JOB_POSTING","1333","finished"
"tabpfnv2p5_BIN_TEXT_FAKE_JOB_POSTING_0","0.9264273966165412","0","ft","n311","TabPFN-v2p5 🇩🇪","2026-04-02T23:27:28.000Z","BIN_TEXT_FAKE_JOB_POSTING","1654","finished"
"tabm_BIN_TEXT_FAKE_JOB_POSTING_2","0.9259574718045112","2","all","n311","TabM Ⓜ️","2026-04-02T23:39:57.000Z","BIN_TEXT_FAKE_JOB_POSTING","229","finished"
"light_BIN_TEXT_FAKE_JOB_POSTING_0","0.9245917528195488","0","all","n311","LightGBM 💡","2026-04-02T23:19:04.000Z","BIN_TEXT_FAKE_JOB_POSTING","224","finished"
"light_BIN_TEXT_FAKE_JOB_POSTING_3","0.9230204417293232","3","ft","n309","LightGBM 💡","2026-04-02T23:46:54.000Z","BIN_TEXT_FAKE_JOB_POSTING","1089","finished"
"tabm_BIN_TEXT_FAKE_JOB_POSTING_4","0.9211847979323308","4","all","n311","TabM Ⓜ️","2026-04-03T00:02:19.000Z","BIN_TEXT_FAKE_JOB_POSTING","232","finished"
"tabm_BIN_TEXT_FAKE_JOB_POSTING_0","0.9201421522556392","0","text_only","nlp19.iem.technion.ac.il","TabM Ⓜ️","2026-04-05T08:37:39.000Z","BIN_TEXT_FAKE_JOB_POSTING","256","finished"
"cat_BIN_TEXT_FAKE_JOB_POSTING_3","0.9197897086466164","3","ft","n307","CatBoost 😸","2026-04-02T23:49:37.000Z","BIN_TEXT_FAKE_JOB_POSTING","1102","finished"
"cat_BIN_TEXT_FAKE_JOB_POSTING_2","0.9197162828947368","2","ft","n307","CatBoost 😸","2026-04-02T23:38:41.000Z","BIN_TEXT_FAKE_JOB_POSTING","1482","finished"
"tabpfnv2_BIN_TEXT_FAKE_JOB_POSTING_3","0.9195988016917294","3","ft","n306","TabPFN-v2 🤯","2026-04-02T23:57:09.000Z","BIN_TEXT_FAKE_JOB_POSTING","1630","finished"
"light_BIN_TEXT_FAKE_JOB_POSTING_3","0.9192023026315788","3","all","n311","LightGBM 💡","2026-04-02T23:45:53.000Z","BIN_TEXT_FAKE_JOB_POSTING","223","finished"
"tabpfnv2p5_BIN_TEXT_FAKE_JOB_POSTING_4","0.918952655075188","4","ft","n307","TabPFN-v2p5 🇩🇪","2026-04-03T00:05:06.000Z","BIN_TEXT_FAKE_JOB_POSTING","1644","finished"
"tabm_BIN_TEXT_FAKE_JOB_POSTING_2","0.9178365836466164","2","text_only","nlp19.iem.technion.ac.il","TabM Ⓜ️","2026-04-05T08:56:04.000Z","BIN_TEXT_FAKE_JOB_POSTING","250","finished"
"cat_BIN_TEXT_FAKE_JOB_POSTING_2","0.9176456766917294","2","all","n307","CatBoost 😸","2026-04-02T23:38:37.000Z","BIN_TEXT_FAKE_JOB_POSTING","246","finished"
"tabpfnv2p5_BIN_TEXT_FAKE_JOB_POSTING_1","0.9166984844924811","1","ft","n311","TabPFN-v2p5 🇩🇪","2026-04-02T23:34:47.000Z","BIN_TEXT_FAKE_JOB_POSTING","1626","finished"
"tabpfnv2_BIN_TEXT_FAKE_JOB_POSTING_0","0.9166837993421052","0","text_only","nlp18.iem.technion.ac.il","TabPFN-v2 🤯","2026-04-05T08:41:38.000Z","BIN_TEXT_FAKE_JOB_POSTING","631","finished"
"light_BIN_TEXT_FAKE_JOB_POSTING_3","0.9128730028195488","3","text_only","nlp-srv2.iem.technion.ac.il","LightGBM 💡","2026-04-05T09:06:28.000Z","BIN_TEXT_FAKE_JOB_POSTING","228","finished"
"tabm_BIN_TEXT_FAKE_JOB_POSTING_2","0.9126380404135338","2","ft","n311","TabM Ⓜ️","2026-04-02T23:40:36.000Z","BIN_TEXT_FAKE_JOB_POSTING","1480","finished"
"light_BIN_TEXT_FAKE_JOB_POSTING_2","0.910596804511278","2","ft","n306","LightGBM 💡","2026-04-02T23:37:44.000Z","BIN_TEXT_FAKE_JOB_POSTING","1560","finished"
"tabpfnv2p5_BIN_TEXT_FAKE_JOB_POSTING_1","0.910413240131579","1","text_only","nlp-srv2.iem.technion.ac.il","TabPFN-v2p5 🇩🇪","2026-04-05T08:47:10.000Z","BIN_TEXT_FAKE_JOB_POSTING","254","finished"
"tabpfnv2_BIN_TEXT_FAKE_JOB_POSTING_3","0.9094146499060152","3","all","n307","TabPFN-v2 🤯","2026-04-02T23:56:45.000Z","BIN_TEXT_FAKE_JOB_POSTING","249","finished"
"cat_BIN_TEXT_FAKE_JOB_POSTING_4","0.9092898261278196","4","ft","n307","CatBoost 😸","2026-04-03T00:01:01.000Z","BIN_TEXT_FAKE_JOB_POSTING","1490","finished"
"cat_BIN_TEXT_FAKE_JOB_POSTING_2","0.9084527725563908","2","text_only","nlp20.iem.technion.ac.il","CatBoost 😸","2026-04-05T08:55:39.000Z","BIN_TEXT_FAKE_JOB_POSTING","211","finished"
"light_BIN_TEXT_FAKE_JOB_POSTING_0","0.9080415883458648","0","text_only","nlp19.iem.technion.ac.il","LightGBM 💡","2026-04-05T08:33:06.000Z","BIN_TEXT_FAKE_JOB_POSTING","247","finished"
