"Name","test_score","fold","multimodal_state","Hostname","model","Created","dataset","Runtime","State"
"tabpfnv2_BIN_TEXT_JIGSAW_TOXICITY_4","0.9490236386808428","4","ft","n306","TabPFN-v2 🤯","2026-04-02T22:27:46.000Z","BIN_TEXT_JIGSAW_TOXICITY","995","finished"
"tabpfnv2p5_BIN_TEXT_JIGSAW_TOXICITY_4","0.9467976919988128","4","ft","n309","TabPFN-v2p5 🇩🇪","2026-04-02T22:25:15.000Z","BIN_TEXT_JIGSAW_TOXICITY","981","finished"
"tabm_BIN_TEXT_JIGSAW_TOXICITY_4","0.9454774000942754","4","ft","n307","TabM Ⓜ️","2026-04-02T22:24:00.000Z","BIN_TEXT_JIGSAW_TOXICITY","993","finished"
"tabm_BIN_TEXT_JIGSAW_TOXICITY_3","0.9431990781961976","3","ft","n311","TabM Ⓜ️","2026-04-02T22:17:48.000Z","BIN_TEXT_JIGSAW_TOXICITY","995","finished"
"cat_BIN_TEXT_JIGSAW_TOXICITY_4","0.9420075420311108","4","ft","n307","CatBoost 😸","2026-04-02T22:22:55.000Z","BIN_TEXT_JIGSAW_TOXICITY","995","finished"
"tabpfnv2p5_BIN_TEXT_JIGSAW_TOXICITY_3","0.9411040695542868","3","ft","n311","TabPFN-v2p5 🇩🇪","2026-04-02T22:19:05.000Z","BIN_TEXT_JIGSAW_TOXICITY","1041","finished"
"tabpfnv2_BIN_TEXT_JIGSAW_TOXICITY_3","0.9400456537299884","3","ft","n307","TabPFN-v2 🤯","2026-04-02T22:19:58.000Z","BIN_TEXT_JIGSAW_TOXICITY","1039","finished"
"tabpfnv2_BIN_TEXT_JIGSAW_TOXICITY_2","0.9370493549119224","2","ft","n306","TabPFN-v2 🤯","2026-04-02T22:14:09.000Z","BIN_TEXT_JIGSAW_TOXICITY","1157","finished"
"tabpfnv2p5_BIN_TEXT_JIGSAW_TOXICITY_2","0.9353886241030744","2","ft","n311","TabPFN-v2p5 🇩🇪","2026-04-02T22:11:29.000Z","BIN_TEXT_JIGSAW_TOXICITY","1154","finished"
"tabpfnv2p5_BIN_TEXT_JIGSAW_TOXICITY_1","0.9323857783830024","1","ft","n307","TabPFN-v2p5 🇩🇪","2026-04-02T22:02:13.000Z","BIN_TEXT_JIGSAW_TOXICITY","1037","finished"
"light_BIN_TEXT_JIGSAW_TOXICITY_4","0.9318205625098204","4","ft","n311","LightGBM 💡","2026-04-02T22:21:28.000Z","BIN_TEXT_JIGSAW_TOXICITY","1036","finished"
"tabm_BIN_TEXT_JIGSAW_TOXICITY_2","0.9317943749017964","2","ft","n309","TabM Ⓜ️","2026-04-02T22:10:24.000Z","BIN_TEXT_JIGSAW_TOXICITY","702","finished"
"cat_BIN_TEXT_JIGSAW_TOXICITY_3","0.9317419996857488","3","ft","n309","CatBoost 😸","2026-04-02T22:17:01.000Z","BIN_TEXT_JIGSAW_TOXICITY","1016","finished"
"light_BIN_TEXT_JIGSAW_TOXICITY_3","0.930786151992877","3","ft","n307","LightGBM 💡","2026-04-02T22:15:33.000Z","BIN_TEXT_JIGSAW_TOXICITY","991","finished"
"cat_BIN_TEXT_JIGSAW_TOXICITY_2","0.9289181026205066","2","ft","n311","CatBoost 😸","2026-04-02T22:07:28.000Z","BIN_TEXT_JIGSAW_TOXICITY","691","finished"
"tabpfnv2_BIN_TEXT_JIGSAW_TOXICITY_0","0.9288351751950976","0","ft","n311","TabPFN-v2 🤯","2026-04-02T21:23:16.000Z","BIN_TEXT_JIGSAW_TOXICITY","1221","finished"
"tabpfnv2_BIN_TEXT_JIGSAW_TOXICITY_1","0.9283878035580232","1","ft","n307","TabPFN-v2 🤯","2026-04-02T22:03:55.000Z","BIN_TEXT_JIGSAW_TOXICITY","1043","finished"
"tabpfnv2p5_BIN_TEXT_JIGSAW_TOXICITY_0","0.9268274585799332","0","ft","n311","TabPFN-v2p5 🇩🇪","2026-04-02T20:57:32.000Z","BIN_TEXT_JIGSAW_TOXICITY","1216","finished"
