"Name","test_score","fold","multimodal_state","Hostname","model","Created","dataset","Runtime","State"
"tabpfnv2p5_BIN_TEXT_KICKSTARTER_FUNDING_2","0.7720927159926472","2","ft","n311","TabPFN-v2p5 🇩🇪","2026-04-02T22:57:57.000Z","BIN_TEXT_KICKSTARTER_FUNDING","1757","finished"
"tabpfnv2_BIN_TEXT_KICKSTARTER_FUNDING_2","0.7615624999999999","2","ft","n306","TabPFN-v2 🤯","2026-04-02T22:59:42.000Z","BIN_TEXT_KICKSTARTER_FUNDING","1663","finished"
"tabm_BIN_TEXT_KICKSTARTER_FUNDING_2","0.7614326746323529","2","all","n309","TabM Ⓜ️","2026-04-02T22:55:36.000Z","BIN_TEXT_KICKSTARTER_FUNDING","337","finished"
"tabpfnv2p5_BIN_TEXT_KICKSTARTER_FUNDING_2","0.7607508042279412","2","all","n307","TabPFN-v2p5 🇩🇪","2026-04-02T22:57:46.000Z","BIN_TEXT_KICKSTARTER_FUNDING","367","finished"
"cat_BIN_TEXT_KICKSTARTER_FUNDING_2","0.7602286305147059","2","ft","n307","CatBoost 😸","2026-04-02T22:51:50.000Z","BIN_TEXT_KICKSTARTER_FUNDING","1260","finished"
"tabm_BIN_TEXT_KICKSTARTER_FUNDING_0","0.7598000919117647","0","ft","n306","TabM Ⓜ️","2026-04-02T22:34:14.000Z","BIN_TEXT_KICKSTARTER_FUNDING","1501","finished"
"tabm_BIN_TEXT_KICKSTARTER_FUNDING_2","0.7584524356617647","2","ft","n311","TabM Ⓜ️","2026-04-02T22:55:52.000Z","BIN_TEXT_KICKSTARTER_FUNDING","1249","finished"
"tabm_BIN_TEXT_KICKSTARTER_FUNDING_3","0.7558972886029413","3","ft","n311","TabM Ⓜ️","2026-04-02T23:06:48.000Z","BIN_TEXT_KICKSTARTER_FUNDING","1399","finished"
"tabpfnv2p5_BIN_TEXT_KICKSTARTER_FUNDING_3","0.753971737132353","3","ft","n307","TabPFN-v2p5 🇩🇪","2026-04-02T23:09:07.000Z","BIN_TEXT_KICKSTARTER_FUNDING","1229","finished"
"tabpfnv2p5_BIN_TEXT_KICKSTARTER_FUNDING_0","0.7539142922794119","0","ft","n311","TabPFN-v2p5 🇩🇪","2026-04-02T22:36:07.000Z","BIN_TEXT_KICKSTARTER_FUNDING","1232","finished"
"light_BIN_TEXT_KICKSTARTER_FUNDING_2","0.7526401654411765","2","ft","n307","LightGBM 💡","2026-04-02T22:48:06.000Z","BIN_TEXT_KICKSTARTER_FUNDING","1258","finished"
"tabm_BIN_TEXT_KICKSTARTER_FUNDING_0","0.7510529641544118","0","all","n309","TabM Ⓜ️","2026-04-02T22:34:02.000Z","BIN_TEXT_KICKSTARTER_FUNDING","336","finished"
"tabpfnv2p5_BIN_TEXT_KICKSTARTER_FUNDING_1","0.7508789062500001","1","ft","n306","TabPFN-v2p5 🇩🇪","2026-04-02T22:44:25.000Z","BIN_TEXT_KICKSTARTER_FUNDING","1660","finished"
"light_BIN_TEXT_KICKSTARTER_FUNDING_0","0.7470048253676471","0","ft","n311","LightGBM 💡","2026-04-02T22:30:50.000Z","BIN_TEXT_KICKSTARTER_FUNDING","1496","finished"
"cat_BIN_TEXT_KICKSTARTER_FUNDING_0","0.74677734375","0","ft","n307","CatBoost 😸","2026-04-02T22:32:07.000Z","BIN_TEXT_KICKSTARTER_FUNDING","1512","finished"
"light_BIN_TEXT_KICKSTARTER_FUNDING_3","0.7460857077205882","3","ft","n309","LightGBM 💡","2026-04-02T23:01:16.000Z","BIN_TEXT_KICKSTARTER_FUNDING","1371","finished"
"tabpfnv2_BIN_TEXT_KICKSTARTER_FUNDING_2","0.7452159926470588","2","all","n311","TabPFN-v2 🤯","2026-04-02T22:59:38.000Z","BIN_TEXT_KICKSTARTER_FUNDING","423","finished"
"tabpfnv2_BIN_TEXT_KICKSTARTER_FUNDING_0","0.745126953125","0","ft","n311","TabPFN-v2 🤯","2026-04-02T22:37:37.000Z","BIN_TEXT_KICKSTARTER_FUNDING","1371","finished"
"cat_BIN_TEXT_KICKSTARTER_FUNDING_2","0.7447150735294118","2","all","n311","CatBoost 😸","2026-04-02T22:51:19.000Z","BIN_TEXT_KICKSTARTER_FUNDING","366","finished"
"tabpfnv2p5_BIN_TEXT_KICKSTARTER_FUNDING_1","0.74447265625","1","all","n311","TabPFN-v2p5 🇩🇪","2026-04-02T22:44:24.000Z","BIN_TEXT_KICKSTARTER_FUNDING","364","finished"
"cat_BIN_TEXT_KICKSTARTER_FUNDING_3","0.7444554227941177","3","ft","n307","CatBoost 😸","2026-04-02T23:03:58.000Z","BIN_TEXT_KICKSTARTER_FUNDING","1393","finished"
"tabpfnv2p5_BIN_TEXT_KICKSTARTER_FUNDING_0","0.7441986443014705","0","all","n311","TabPFN-v2p5 🇩🇪","2026-04-02T22:35:12.000Z","BIN_TEXT_KICKSTARTER_FUNDING","364","finished"
"tabm_BIN_TEXT_KICKSTARTER_FUNDING_4","0.7413258272058822","4","all","n307","TabM Ⓜ️","2026-04-02T23:13:18.000Z","BIN_TEXT_KICKSTARTER_FUNDING","335","finished"
