"Name","test_score","fold","multimodal_state","Hostname","model","Created","dataset","Runtime","State"
"tabpfnv2p5_MUL_TEXT_DATA_SCIENTIST_SALARY_4","0.8429840842197778","4","all","n307","TabPFN-v2p5 🇩🇪","2026-04-03T05:05:24.000Z","MUL_TEXT_DATA_SCIENTIST_SALARY","350","finished"
"tabpfnv2p5_MUL_TEXT_DATA_SCIENTIST_SALARY_2","0.8424210827240194","2","ft","n311","TabPFN-v2p5 🇩🇪","2026-04-03T04:34:21.000Z","MUL_TEXT_DATA_SCIENTIST_SALARY","3198","finished"
"tabm_MUL_TEXT_DATA_SCIENTIST_SALARY_2","0.8423657084485551","2","ft","n312","TabM Ⓜ️","2026-04-03T04:33:15.000Z","MUL_TEXT_DATA_SCIENTIST_SALARY","2637","finished"
"tabpfnv2p5_MUL_TEXT_DATA_SCIENTIST_SALARY_4","0.8416724188559352","4","ft","n311","TabPFN-v2p5 🇩🇪","2026-04-03T05:07:17.000Z","MUL_TEXT_DATA_SCIENTIST_SALARY","3487","finished"
"tabm_MUL_TEXT_DATA_SCIENTIST_SALARY_4","0.8415018458292077","4","all","n307","TabM Ⓜ️","2026-04-03T04:59:12.000Z","MUL_TEXT_DATA_SCIENTIST_SALARY","323","finished"
"tabpfnv2p5_MUL_TEXT_DATA_SCIENTIST_SALARY_4","0.8405494073620737","4","text_only","nlp-srv2.iem.technion.ac.il","TabPFN-v2p5 🇩🇪","2026-04-05T13:40:13.000Z","MUL_TEXT_DATA_SCIENTIST_SALARY","380","finished"
"tabpfnv2p5_MUL_TEXT_DATA_SCIENTIST_SALARY_2","0.840503376203987","2","all","n311","TabPFN-v2p5 🇩🇪","2026-04-03T04:34:11.000Z","MUL_TEXT_DATA_SCIENTIST_SALARY","352","finished"
"tabpfnv2p5_MUL_TEXT_DATA_SCIENTIST_SALARY_3","0.8394180866157406","3","ft","n311","TabPFN-v2p5 🇩🇪","2026-04-03T04:46:07.000Z","MUL_TEXT_DATA_SCIENTIST_SALARY","3343","finished"
"tabm_MUL_TEXT_DATA_SCIENTIST_SALARY_2","0.8383923648241111","2","all","n311","TabM Ⓜ️","2026-04-03T04:31:34.000Z","MUL_TEXT_DATA_SCIENTIST_SALARY","328","finished"
"tabm_MUL_TEXT_DATA_SCIENTIST_SALARY_3","0.8376299153630358","3","ft","n306","TabM Ⓜ️","2026-04-03T04:44:52.000Z","MUL_TEXT_DATA_SCIENTIST_SALARY","2789","finished"
