"Name","test_score","fold","multimodal_state","Hostname","model","Created","dataset","Runtime","State"
"cat_MUL_TEXT_SPOTIFY_GENRES_4","0.9655702304607424","4","ft","n307","CatBoost 😸","2026-04-03T07:38:55.000Z","MUL_TEXT_SPOTIFY_GENRES","5605","finished"
"cat_MUL_TEXT_SPOTIFY_GENRES_0","0.9649895490937046","0","ft","n311","CatBoost 😸","2026-04-03T06:11:05.000Z","MUL_TEXT_SPOTIFY_GENRES","6509","finished"
"cat_MUL_TEXT_SPOTIFY_GENRES_3","0.9644800267370816","3","ft","n306","CatBoost 😸","2026-04-03T07:22:12.000Z","MUL_TEXT_SPOTIFY_GENRES","5814","finished"
"tabm_MUL_TEXT_SPOTIFY_GENRES_0","0.9636959663226456","0","ft","n306","TabM Ⓜ️","2026-04-03T06:13:42.000Z","MUL_TEXT_SPOTIFY_GENRES","4105","finished"
"cat_MUL_TEXT_SPOTIFY_GENRES_2","0.9636580978001128","2","ft","n306","CatBoost 😸","2026-04-03T06:27:24.000Z","MUL_TEXT_SPOTIFY_GENRES","5693","finished"
"tabm_MUL_TEXT_SPOTIFY_GENRES_4","0.962992066846707","4","ft","n311","TabM Ⓜ️","2026-04-03T07:42:23.000Z","MUL_TEXT_SPOTIFY_GENRES","4085","finished"
"tabm_MUL_TEXT_SPOTIFY_GENRES_3","0.96238272589111","3","ft","n307","TabM Ⓜ️","2026-04-03T07:28:23.000Z","MUL_TEXT_SPOTIFY_GENRES","4096","finished"
"tabm_MUL_TEXT_SPOTIFY_GENRES_2","0.962316575184763","2","ft","n311","TabM Ⓜ️","2026-04-03T06:34:08.000Z","MUL_TEXT_SPOTIFY_GENRES","4088","finished"
"cat_MUL_TEXT_SPOTIFY_GENRES_0","0.9612303646693776","0","all","n311","CatBoost 😸","2026-04-03T06:11:00.000Z","MUL_TEXT_SPOTIFY_GENRES","2617","finished"
"tabm_MUL_TEXT_SPOTIFY_GENRES_4","0.961102499009658","4","all","n311","TabM Ⓜ️","2026-04-03T07:41:03.000Z","MUL_TEXT_SPOTIFY_GENRES","219","finished"
"cat_MUL_TEXT_SPOTIFY_GENRES_1","0.9610352284847036","1","ft","n307","CatBoost 😸","2026-04-03T06:19:04.000Z","MUL_TEXT_SPOTIFY_GENRES","6260","finished"
"cat_MUL_TEXT_SPOTIFY_GENRES_4","0.9609820977716144","4","all","n306","CatBoost 😸","2026-04-03T07:38:28.000Z","MUL_TEXT_SPOTIFY_GENRES","2218","finished"
"cat_MUL_TEXT_SPOTIFY_GENRES_3","0.9607689358606414","3","all","n311","CatBoost 😸","2026-04-03T07:19:16.000Z","MUL_TEXT_SPOTIFY_GENRES","2436","finished"
