"Name","test_score","fold","multimodal_state","Hostname","model","Created","dataset","Runtime","State"
"tabpfnv2p5_MUL_TEXT_US_ACCIDENTS_4","0.989482915268196","4","ft","n309","TabPFN-v2p5 🇩🇪","2026-04-03T10:17:50.000Z","MUL_TEXT_US_ACCIDENTS","3207","finished"
"tabpfnv2_MUL_TEXT_US_ACCIDENTS_4","0.987145729172204","4","ft","n306","TabPFN-v2 🤯","2026-04-03T10:25:36.000Z","MUL_TEXT_US_ACCIDENTS","3222","finished"
"tabpfnv2p5_MUL_TEXT_US_ACCIDENTS_0","0.9852071951513588","0","ft","n311","TabPFN-v2p5 🇩🇪","2026-04-03T08:20:18.000Z","MUL_TEXT_US_ACCIDENTS","5730","finished"
"tabm_MUL_TEXT_US_ACCIDENTS_4","0.9845166427971096","4","ft","n307","TabM Ⓜ️","2026-04-03T10:08:42.000Z","MUL_TEXT_US_ACCIDENTS","4944","finished"
"tabpfnv2p5_MUL_TEXT_US_ACCIDENTS_4","0.9844890775795728","4","all","n306","TabPFN-v2p5 🇩🇪","2026-04-03T10:14:58.000Z","MUL_TEXT_US_ACCIDENTS","632","finished"
"cat_MUL_TEXT_US_ACCIDENTS_4","0.9839564215754608","4","ft","n307","CatBoost 😸","2026-04-03T10:06:20.000Z","MUL_TEXT_US_ACCIDENTS","5062","finished"
"tabpfnv2_MUL_TEXT_US_ACCIDENTS_1","0.9832171692316912","1","ft","n312","TabPFN-v2 🤯","2026-04-03T08:56:30.000Z","MUL_TEXT_US_ACCIDENTS","4227","finished"
"tabpfnv2_MUL_TEXT_US_ACCIDENTS_0","0.982771681278946","0","ft","n306","TabPFN-v2 🤯","2026-04-03T08:26:28.000Z","MUL_TEXT_US_ACCIDENTS","5769","finished"
"tabpfnv2p5_MUL_TEXT_US_ACCIDENTS_0","0.9827628882773558","0","all","n309","TabPFN-v2p5 🇩🇪","2026-04-03T08:20:06.000Z","MUL_TEXT_US_ACCIDENTS","631","finished"
"light_MUL_TEXT_US_ACCIDENTS_4","0.9825921983925524","4","ft","n311","LightGBM 💡","2026-04-03T10:03:10.000Z","MUL_TEXT_US_ACCIDENTS","4958","finished"
"tabpfnv2_MUL_TEXT_US_ACCIDENTS_4","0.980829056175702","4","all","n311","TabPFN-v2 🤯","2026-04-03T10:20:12.000Z","MUL_TEXT_US_ACCIDENTS","650","finished"
"tabm_MUL_TEXT_US_ACCIDENTS_0","0.9803972247439164","0","ft","n306","TabM Ⓜ️","2026-04-03T08:16:14.000Z","MUL_TEXT_US_ACCIDENTS","4034","finished"
"tabpfnv2p5_MUL_TEXT_US_ACCIDENTS_1","0.9800503284197384","1","ft","n311","TabPFN-v2p5 🇩🇪","2026-04-03T08:51:03.000Z","MUL_TEXT_US_ACCIDENTS","4207","finished"
"tabpfnv2p5_MUL_TEXT_US_ACCIDENTS_4","0.9799449512987533","4","text_only","nlp19.iem.technion.ac.il","TabPFN-v2p5 🇩🇪","2026-04-05T17:07:53.000Z","MUL_TEXT_US_ACCIDENTS","825","finished"
"tabpfnv2p5_MUL_TEXT_US_ACCIDENTS_3","0.9798168647378318","3","ft","n307","TabPFN-v2p5 🇩🇪","2026-04-03T09:55:36.000Z","MUL_TEXT_US_ACCIDENTS","3209","finished"
"tabpfnv2p5_MUL_TEXT_US_ACCIDENTS_0","0.97957930237608","0","text_only","nlp-srv2.iem.technion.ac.il","TabPFN-v2p5 🇩🇪","2026-04-05T15:41:30.000Z","MUL_TEXT_US_ACCIDENTS","694","finished"
